danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.488,0.141,0,-17.171,0,0.0314,0.955,0.959,0.119,0.0662,129.966,audio_features,1zjUEb1oKRoOCabfi46tkT,spotify:track:1zjUEb1oKRoOCabfi46tkT,https://api.spotify.com/v1/tracks/1zjUEb1oKRoOCabfi46tkT,https://api.spotify.com/v1/audio-analysis/1zjUEb1oKRoOCabfi46tkT,150028,4,28
0.181,0.227,2,-16.232,1,0.0354,0.0117,0.856,0.123,0.0739,78.073,audio_features,0lKoQnWjjPJUHgw5nCGKAn,spotify:track:0lKoQnWjjPJUHgw5nCGKAn,https://api.spotify.com/v1/tracks/0lKoQnWjjPJUHgw5nCGKAn,https://api.spotify.com/v1/audio-analysis/0lKoQnWjjPJUHgw5nCGKAn,319973,4,31
0.141,0.211,5,-16.514,0,0.0458,0.973,0.978,0.224,0.0312,73.931,audio_features,1cSQsJtSffCHmMA3daPAJm,spotify:track:1cSQsJtSffCHmMA3daPAJm,https://api.spotify.com/v1/tracks/1cSQsJtSffCHmMA3daPAJm,https://api.spotify.com/v1/audio-analysis/1cSQsJtSffCHmMA3daPAJm,470656,3,34
0.239,0.133,11,-18.579,0,0.0375,0.946,0.252,0.11,0.0705,73.06,audio_features,5P7qyfa6vvupyenpE42WkN,spotify:track:5P7qyfa6vvupyenpE42WkN,https://api.spotify.com/v1/tracks/5P7qyfa6vvupyenpE42WkN,https://api.spotify.com/v1/audio-analysis/5P7qyfa6vvupyenpE42WkN,251309,4,23
0.902,0.608,10,-11.513,1,0.0466,0.909,0.896,0.0912,0.27,111.006,audio_features,7szoU8Rz8rBr74oqIdoUAI,spotify:track:7szoU8Rz8rBr74oqIdoUAI,https://api.spotify.com/v1/tracks/7szoU8Rz8rBr74oqIdoUAI,https://api.spotify.com/v1/audio-analysis/7szoU8Rz8rBr74oqIdoUAI,299120,3,24
0.155,0.0294,10,-16.628,1,0.0379,0.364,0.896,0.0838,0.0351,89.326,audio_features,31ittJiCPkK2D8cXwZ2XSi,spotify:track:31ittJiCPkK2D8cXwZ2XSi,https://api.spotify.com/v1/tracks/31ittJiCPkK2D8cXwZ2XSi,https://api.spotify.com/v1/audio-analysis/31ittJiCPkK2D8cXwZ2XSi,638871,4,25
0.213,0.11,0,-21.988,0,0.036,0.976,0.777,0.112,0.0667,134.987,audio_features,1xcQeHxBbrCx8L5HiHVdoN,spotify:track:1xcQeHxBbrCx8L5HiHVdoN,https://api.spotify.com/v1/tracks/1xcQeHxBbrCx8L5HiHVdoN,https://api.spotify.com/v1/audio-analysis/1xcQeHxBbrCx8L5HiHVdoN,404947,3,22
0.684,0.492,5,-16.103,1,0.0336,0.701,0.9,0.092,0.0395,106.013,audio_features,4CBgWy9ZPs5rqkq5HFksex,spotify:track:4CBgWy9ZPs5rqkq5HFksex,https://api.spotify.com/v1/tracks/4CBgWy9ZPs5rqkq5HFksex,https://api.spotify.com/v1/audio-analysis/4CBgWy9ZPs5rqkq5HFksex,343733,4,21
0.146,0.188,10,-20.305,1,0.0335,0.942,0.894,0.618,0.0363,182.677,audio_features,2tuD9zmz0ulwTrlDQovzQJ,spotify:track:2tuD9zmz0ulwTrlDQovzQJ,https://api.spotify.com/v1/tracks/2tuD9zmz0ulwTrlDQovzQJ,https://api.spotify.com/v1/audio-analysis/2tuD9zmz0ulwTrlDQovzQJ,638756,4,28
0.703,0.337,1,-12.225,0,0.0413,0.507,0.927,0.351,0.164,105.51,audio_features,5xbuJuQsTVheVZvX2AJVIv,spotify:track:5xbuJuQsTVheVZvX2AJVIv,https://api.spotify.com/v1/tracks/5xbuJuQsTVheVZvX2AJVIv,https://api.spotify.com/v1/audio-analysis/5xbuJuQsTVheVZvX2AJVIv,151507,3,49
0.74,0.455,5,-11.697,0,0.147,0.193,0.885,0.0939,0.682,116.485,audio_features,5DwhPYctdeUA6elkvAo0Yk,spotify:track:5DwhPYctdeUA6elkvAo0Yk,https://api.spotify.com/v1/tracks/5DwhPYctdeUA6elkvAo0Yk,https://api.spotify.com/v1/audio-analysis/5DwhPYctdeUA6elkvAo0Yk,489627,4,26
0.196,0.224,4,-21.815,0,0.0377,0.696,0.805,0.785,0.0381,133.274,audio_features,5neTusoYujD2xf8Z4HQYtB,spotify:track:5neTusoYujD2xf8Z4HQYtB,https://api.spotify.com/v1/tracks/5neTusoYujD2xf8Z4HQYtB,https://api.spotify.com/v1/audio-analysis/5neTusoYujD2xf8Z4HQYtB,390907,4,20
0.802,0.538,0,-12.743,1,0.0546,0.854,0.892,0.192,0.136,125.989,audio_features,7BpaJerjwq1LCvInJevW74,spotify:track:7BpaJerjwq1LCvInJevW74,https://api.spotify.com/v1/tracks/7BpaJerjwq1LCvInJevW74,https://api.spotify.com/v1/audio-analysis/7BpaJerjwq1LCvInJevW74,461093,4,20
0.23,0.319,4,-16.53,1,0.068,0.887,0.74,0.112,0.0881,81.941,audio_features,0XkDi8piitAfVkohujH0R7,spotify:track:0XkDi8piitAfVkohujH0R7,https://api.spotify.com/v1/tracks/0XkDi8piitAfVkohujH0R7,https://api.spotify.com/v1/audio-analysis/0XkDi8piitAfVkohujH0R7,332693,4,19
0.652,0.205,5,-23.143,1,0.0268,0.913,0.919,0.127,0.212,129.963,audio_features,2UuEYl071sflC2FX3QfPGB,spotify:track:2UuEYl071sflC2FX3QfPGB,https://api.spotify.com/v1/tracks/2UuEYl071sflC2FX3QfPGB,https://api.spotify.com/v1/audio-analysis/2UuEYl071sflC2FX3QfPGB,343960,3,24
0.256,0.301,8,-17.17,1,0.048,0.167,0.881,0.0957,0.0486,170.116,audio_features,4WZKxpjGwnS60gK4Ry24C8,spotify:track:4WZKxpjGwnS60gK4Ry24C8,https://api.spotify.com/v1/tracks/4WZKxpjGwnS60gK4Ry24C8,https://api.spotify.com/v1/audio-analysis/4WZKxpjGwnS60gK4Ry24C8,276493,4,19
0.0972,0.0215,0,-30.434,1,0.0444,0.976,0.986,0.111,0.0365,89.523,audio_features,2Np61y6W9yD1K0pVIE74Ku,spotify:track:2Np61y6W9yD1K0pVIE74Ku,https://api.spotify.com/v1/tracks/2Np61y6W9yD1K0pVIE74Ku,https://api.spotify.com/v1/audio-analysis/2Np61y6W9yD1K0pVIE74Ku,111129,3,21
