danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.538,0.444,7,-15.407,1,0.903,0.826,0,0.946,0.334,82.715,audio_features,1Gko03WF6z738BGLclrPuU,spotify:track:1Gko03WF6z738BGLclrPuU,https://api.spotify.com/v1/tracks/1Gko03WF6z738BGLclrPuU,https://api.spotify.com/v1/audio-analysis/1Gko03WF6z738BGLclrPuU,400733,3,0
0.531,0.89,5,-5.225,1,0.944,0.776,0,0.929,0.296,92.857,audio_features,0WXOoYe9qmHeMlU3FdObDW,spotify:track:0WXOoYe9qmHeMlU3FdObDW,https://api.spotify.com/v1/tracks/0WXOoYe9qmHeMlU3FdObDW,https://api.spotify.com/v1/audio-analysis/0WXOoYe9qmHeMlU3FdObDW,324803,4,40
0.544,0.944,6,-4.581,0,0.903,0.734,0,0.965,0.24,122.25,audio_features,3QI9MKWG4APu2FyMoLerqo,spotify:track:3QI9MKWG4APu2FyMoLerqo,https://api.spotify.com/v1/tracks/3QI9MKWG4APu2FyMoLerqo,https://api.spotify.com/v1/audio-analysis/3QI9MKWG4APu2FyMoLerqo,332283,3,47
0.503,0.883,9,-4.22,1,0.951,0.82,0,0.95,0.35,72.84,audio_features,2Woz2StfKYFReHhzOP8z74,spotify:track:2Woz2StfKYFReHhzOP8z74,https://api.spotify.com/v1/tracks/2Woz2StfKYFReHhzOP8z74,https://api.spotify.com/v1/audio-analysis/2Woz2StfKYFReHhzOP8z74,486230,3,37
0.517,0.879,6,-4.46,0,0.939,0.75,0,0.707,0.317,73.809,audio_features,09NFJAK99VbybMtHjcTOHJ,spotify:track:09NFJAK99VbybMtHjcTOHJ,https://api.spotify.com/v1/tracks/09NFJAK99VbybMtHjcTOHJ,https://api.spotify.com/v1/audio-analysis/09NFJAK99VbybMtHjcTOHJ,489479,3,39
0.583,0.807,6,-4.857,0,0.916,0.755,0,0.71,0.338,87.079,audio_features,2gLkXqcenJBkY6ghgR6l5i,spotify:track:2gLkXqcenJBkY6ghgR6l5i,https://api.spotify.com/v1/tracks/2gLkXqcenJBkY6ghgR6l5i,https://api.spotify.com/v1/audio-analysis/2gLkXqcenJBkY6ghgR6l5i,537728,3,38
0.573,0.519,1,-17.869,0,0.938,0.774,0,0.499,0.492,62.63,audio_features,1N68eQ79H3eL9AcIT3zJT4,spotify:track:1N68eQ79H3eL9AcIT3zJT4,https://api.spotify.com/v1/tracks/1N68eQ79H3eL9AcIT3zJT4,https://api.spotify.com/v1/audio-analysis/1N68eQ79H3eL9AcIT3zJT4,58627,4,0
0.525,0.978,7,-6.842,1,0.905,0.826,0.000102,0.971,0.252,130.038,audio_features,4J8By6Y7w7YrDaJkOU7sYY,spotify:track:4J8By6Y7w7YrDaJkOU7sYY,https://api.spotify.com/v1/tracks/4J8By6Y7w7YrDaJkOU7sYY,https://api.spotify.com/v1/audio-analysis/4J8By6Y7w7YrDaJkOU7sYY,562147,4,31
0.44,0.675,3,-18.526,0,0.929,0.82,3.16e-05,0.947,0.297,92.311,audio_features,1AmF73CGvmTQrVM9TV7ODs,spotify:track:1AmF73CGvmTQrVM9TV7ODs,https://api.spotify.com/v1/tracks/1AmF73CGvmTQrVM9TV7ODs,https://api.spotify.com/v1/audio-analysis/1AmF73CGvmTQrVM9TV7ODs,181667,4,0
0.639,0.524,8,-15.738,1,0.937,0.846,0,0.884,0.888,75.343,audio_features,2BQ8Ob4NDF1ujukRTHwSSK,spotify:track:2BQ8Ob4NDF1ujukRTHwSSK,https://api.spotify.com/v1/tracks/2BQ8Ob4NDF1ujukRTHwSSK,https://api.spotify.com/v1/audio-analysis/2BQ8Ob4NDF1ujukRTHwSSK,43427,3,0
