danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.532,0.801,2,-3.759,1,0.0393,0.0371,7.07e-06,0.0633,0.799,172.05,audio_features,7CL6oaDC9d0QXFMQRkNBmy,spotify:track:7CL6oaDC9d0QXFMQRkNBmy,https://api.spotify.com/v1/tracks/7CL6oaDC9d0QXFMQRkNBmy,https://api.spotify.com/v1/audio-analysis/7CL6oaDC9d0QXFMQRkNBmy,193573,4,38
0.612,0.468,7,-6.597,1,0.0314,0.168,0,0.112,0.165,146.026,audio_features,0xwPzLmBAYro8BUz7MrtAo,spotify:track:0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/audio-analysis/0xwPzLmBAYro8BUz7MrtAo,225693,4,73
0.646,0.724,9,-6.96,1,0.0265,0.017,1.39e-06,0.153,0.54,115.984,audio_features,0p1HtkrNYxv0iDfEKwXSTp,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/tracks/0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/audio-analysis/0p1HtkrNYxv0iDfEKwXSTp,233480,4,68
0.585,0.655,5,-8.151,1,0.12,0.178,0,0.0842,0.574,159.96,audio_features,5fSPbm5lcwtqwXkeQQswW8,spotify:track:5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/tracks/5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/audio-analysis/5fSPbm5lcwtqwXkeQQswW8,179347,4,70
0.543,0.779,4,-4.131,1,0.0454,0.241,0,0.335,0.758,164.077,audio_features,5y2pNuAvWcPKiORZ12e44S,spotify:track:5y2pNuAvWcPKiORZ12e44S,https://api.spotify.com/v1/tracks/5y2pNuAvWcPKiORZ12e44S,https://api.spotify.com/v1/audio-analysis/5y2pNuAvWcPKiORZ12e44S,189733,4,67
0.599,0.795,11,-4.47,0,0.0302,0.166,4.23e-06,0.224,0.566,135.97,audio_features,21ERipllp1AG7ux7nQZxHp,spotify:track:21ERipllp1AG7ux7nQZxHp,https://api.spotify.com/v1/tracks/21ERipllp1AG7ux7nQZxHp,https://api.spotify.com/v1/audio-analysis/21ERipllp1AG7ux7nQZxHp,271493,4,58
0.47,0.79,2,-5.352,1,0.039,0.0216,0,0.0863,0.495,158.061,audio_features,4wFUdSCer8bdQsrp1M90sa,spotify:track:4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/tracks/4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/audio-analysis/4wFUdSCer8bdQsrp1M90sa,276880,4,67
0.525,0.685,7,-3.954,0,0.0351,0.385,0,0.0731,0.54,78.003,audio_features,0BCy325UZyR9z0t0uxwn2N,spotify:track:0BCy325UZyR9z0t0uxwn2N,https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N,https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N,194187,4,75
0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,audio_features,0gY2iq0xJPRoIB1PScKSw4,spotify:track:0gY2iq0xJPRoIB1PScKSw4,https://api.spotify.com/v1/tracks/0gY2iq0xJPRoIB1PScKSw4,https://api.spotify.com/v1/audio-analysis/0gY2iq0xJPRoIB1PScKSw4,210720,4,65
0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,audio_features,05ZACkzW8YbRq3eFgIfSNB,spotify:track:05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/tracks/05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/audio-analysis/05ZACkzW8YbRq3eFgIfSNB,263387,4,71
0.568,0.796,11,-5.308,1,0.0313,0.12,0,0.084,0.573,133.975,audio_features,4U5DDEuYdoMm4Xv9yklrWu,spotify:track:4U5DDEuYdoMm4Xv9yklrWu,https://api.spotify.com/v1/tracks/4U5DDEuYdoMm4Xv9yklrWu,https://api.spotify.com/v1/audio-analysis/4U5DDEuYdoMm4Xv9yklrWu,221280,4,12
0.609,0.813,0,-5.599,1,0.0368,0.275,0,0.205,0.54,89.964,audio_features,5S5rw0WLVCAux5B5bWCehK,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/tracks/5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/audio-analysis/5S5rw0WLVCAux5B5bWCehK,209280,4,70
