danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.49,0.88,7,-5.185,1,0.0731,0.081,0,0.103,0.493,91.93,audio_features,1dbRZljBhUrIFrpLTXOXqq,spotify:track:1dbRZljBhUrIFrpLTXOXqq,https://api.spotify.com/v1/tracks/1dbRZljBhUrIFrpLTXOXqq,https://api.spotify.com/v1/audio-analysis/1dbRZljBhUrIFrpLTXOXqq,170440,4,69
0.555,0.911,7,-3.174,1,0.0487,0.269,0,0.105,0.768,106.937,audio_features,4PKDK8VRMxdjaaVP7WIE5Q,spotify:track:4PKDK8VRMxdjaaVP7WIE5Q,https://api.spotify.com/v1/tracks/4PKDK8VRMxdjaaVP7WIE5Q,https://api.spotify.com/v1/audio-analysis/4PKDK8VRMxdjaaVP7WIE5Q,198467,4,53
0.662,0.792,9,-4.544,1,0.0358,0.48,0,0.215,0.678,96.99,audio_features,1QMHZ8oFzW7VPxkCW1MfHe,spotify:track:1QMHZ8oFzW7VPxkCW1MfHe,https://api.spotify.com/v1/tracks/1QMHZ8oFzW7VPxkCW1MfHe,https://api.spotify.com/v1/audio-analysis/1QMHZ8oFzW7VPxkCW1MfHe,170920,4,52
0.588,0.868,10,-4.904,1,0.0384,0.0351,0,0.118,0.559,92.021,audio_features,4EIW00kTdPSUDOJwkN80x5,spotify:track:4EIW00kTdPSUDOJwkN80x5,https://api.spotify.com/v1/tracks/4EIW00kTdPSUDOJwkN80x5,https://api.spotify.com/v1/audio-analysis/4EIW00kTdPSUDOJwkN80x5,183871,4,69
0.486,0.565,3,-5.655,1,0.0326,0.334,0.00041,0.105,0.21,167.938,audio_features,1RNZLo1oCpUsdZ14BoSv4I,spotify:track:1RNZLo1oCpUsdZ14BoSv4I,https://api.spotify.com/v1/tracks/1RNZLo1oCpUsdZ14BoSv4I,https://api.spotify.com/v1/audio-analysis/1RNZLo1oCpUsdZ14BoSv4I,192532,4,67
0.489,0.898,5,-4.369,1,0.0365,0.025,4.11e-06,0.255,0.763,164.032,audio_features,2Fh8q3YYsCG0VlNeJ3rb2w,spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w,https://api.spotify.com/v1/tracks/2Fh8q3YYsCG0VlNeJ3rb2w,https://api.spotify.com/v1/audio-analysis/2Fh8q3YYsCG0VlNeJ3rb2w,183723,4,60
0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,audio_features,3LhzpgimYSZhTx5KuchwVX,spotify:track:3LhzpgimYSZhTx5KuchwVX,https://api.spotify.com/v1/tracks/3LhzpgimYSZhTx5KuchwVX,https://api.spotify.com/v1/audio-analysis/3LhzpgimYSZhTx5KuchwVX,196240,4,72
0.609,0.787,6,-5.305,0,0.0338,0.161,1.63e-06,0.103,0.564,96.972,audio_features,2O9ohmrajOlSmgd8l08ZRm,spotify:track:2O9ohmrajOlSmgd8l08ZRm,https://api.spotify.com/v1/tracks/2O9ohmrajOlSmgd8l08ZRm,https://api.spotify.com/v1/audio-analysis/2O9ohmrajOlSmgd8l08ZRm,225947,4,52
0.568,0.699,1,-4.866,0,0.0323,0.253,0,0.281,0.553,109.945,audio_features,7h96d6JG7ENYSagc8sXJrT,spotify:track:7h96d6JG7ENYSagc8sXJrT,https://api.spotify.com/v1/tracks/7h96d6JG7ENYSagc8sXJrT,https://api.spotify.com/v1/audio-analysis/7h96d6JG7ENYSagc8sXJrT,172933,4,37
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,audio_features,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,179507,4,75
0.767,0.569,7,-7.069,1,0.0812,0.178,0,0.227,0.683,144.032,audio_features,1PcDOc7nOO2kMBQFgx7vm3,spotify:track:1PcDOc7nOO2kMBQFgx7vm3,https://api.spotify.com/v1/tracks/1PcDOc7nOO2kMBQFgx7vm3,https://api.spotify.com/v1/audio-analysis/1PcDOc7nOO2kMBQFgx7vm3,160466,4,54
0.692,0.692,2,-6.065,1,0.0818,0.189,0,0.0884,0.75,153.255,audio_features,6QkObBYNxVVUYt4FSpnTqY,spotify:track:6QkObBYNxVVUYt4FSpnTqY,https://api.spotify.com/v1/tracks/6QkObBYNxVVUYt4FSpnTqY,https://api.spotify.com/v1/audio-analysis/6QkObBYNxVVUYt4FSpnTqY,160107,4,58
