danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.583,0.545,2,-11.698,0,0.0351,0.232,0,0.133,0.8,153.25,audio_features,2R7858bg0GHuBBxjTyOL7N,spotify:track:2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/tracks/2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/audio-analysis/2R7858bg0GHuBBxjTyOL7N,302600,4,68
0.779,0.717,6,-9.7,0,0.0335,0.0125,0.0536,0.355,0.789,115.384,audio_features,300zfRaCgTmEm5Eqe3HqZZ,spotify:track:300zfRaCgTmEm5Eqe3HqZZ,https://api.spotify.com/v1/tracks/300zfRaCgTmEm5Eqe3HqZZ,https://api.spotify.com/v1/audio-analysis/300zfRaCgTmEm5Eqe3HqZZ,240800,4,68
0.796,0.693,2,-6.02,1,0.0413,0.164,1.77e-05,0.0408,0.954,108.8,audio_features,0Zt9fqRK58Y0onY1VwaKp7,spotify:track:0Zt9fqRK58Y0onY1VwaKp7,https://api.spotify.com/v1/tracks/0Zt9fqRK58Y0onY1VwaKp7,https://api.spotify.com/v1/audio-analysis/0Zt9fqRK58Y0onY1VwaKp7,218907,4,64
0.497,0.719,6,-9.397,1,0.0266,0.0613,0,0.411,0.547,95.769,audio_features,15MJ5NThPjj6xhPcts8MiY,spotify:track:15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/tracks/15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/audio-analysis/15MJ5NThPjj6xhPcts8MiY,255733,4,68
0.639,0.923,7,-5.708,1,0.032,0.0674,0,0.0879,0.761,97.874,audio_features,4YUlGNZfYA6EUE5KDsGqpC,spotify:track:4YUlGNZfYA6EUE5KDsGqpC,https://api.spotify.com/v1/tracks/4YUlGNZfYA6EUE5KDsGqpC,https://api.spotify.com/v1/audio-analysis/4YUlGNZfYA6EUE5KDsGqpC,175347,4,30
0.539,0.858,6,-4.639,0,0.0444,0.0332,0.000347,0.0562,0.353,117.841,audio_features,6I9HXaU8zbTgASGe7evWnu,spotify:track:6I9HXaU8zbTgASGe7evWnu,https://api.spotify.com/v1/tracks/6I9HXaU8zbTgASGe7evWnu,https://api.spotify.com/v1/audio-analysis/6I9HXaU8zbTgASGe7evWnu,239120,4,57
0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,audio_features,7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/audio-analysis/7FwBtcecmlpc1sLySPXeGE,241307,4,72
0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,audio_features,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800,4,76
0.532,0.729,10,-6.84,1,0.0474,0.382,0,0.366,0.595,121.97,audio_features,0aAR5HogGoT68EWFbyRFqx,spotify:track:0aAR5HogGoT68EWFbyRFqx,https://api.spotify.com/v1/tracks/0aAR5HogGoT68EWFbyRFqx,https://api.spotify.com/v1/audio-analysis/0aAR5HogGoT68EWFbyRFqx,244533,4,65
0.66,0.927,5,-5.867,0,0.156,0.461,5.73e-05,0.699,0.458,136.247,audio_features,4caiYv89C9GZdDD1RzshWd,spotify:track:4caiYv89C9GZdDD1RzshWd,https://api.spotify.com/v1/tracks/4caiYv89C9GZdDD1RzshWd,https://api.spotify.com/v1/audio-analysis/4caiYv89C9GZdDD1RzshWd,211533,4,55
