danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.423,0.227,2,-15.942,1,0.0383,0.53,0.000465,0.303,0.389,142.567,audio_features,7mJIrjmjWH37U9MG2U4oZC,spotify:track:7mJIrjmjWH37U9MG2U4oZC,https://api.spotify.com/v1/tracks/7mJIrjmjWH37U9MG2U4oZC,https://api.spotify.com/v1/audio-analysis/7mJIrjmjWH37U9MG2U4oZC,158067,3,37
0.872,0.687,10,-12.023,0,0.0518,0.202,0.0685,0.0771,0.64,106.937,audio_features,3KB2RvFsLM3OziKMgKWyoY,spotify:track:3KB2RvFsLM3OziKMgKWyoY,https://api.spotify.com/v1/tracks/3KB2RvFsLM3OziKMgKWyoY,https://api.spotify.com/v1/audio-analysis/3KB2RvFsLM3OziKMgKWyoY,313560,4,5
0.769,0.827,5,-6.671,1,0.0762,0.158,0.0496,0.315,0.725,110.688,audio_features,2dQXFXq40PRZyurt30uNxM,spotify:track:2dQXFXq40PRZyurt30uNxM,https://api.spotify.com/v1/tracks/2dQXFXq40PRZyurt30uNxM,https://api.spotify.com/v1/audio-analysis/2dQXFXq40PRZyurt30uNxM,242507,4,13
0.38,0.708,10,-9.15,1,0.0977,0.063,1.45e-05,0.0572,0.883,184.365,audio_features,6M9LLUNwl8tBZCeWS9nH4c,spotify:track:6M9LLUNwl8tBZCeWS9nH4c,https://api.spotify.com/v1/tracks/6M9LLUNwl8tBZCeWS9nH4c,https://api.spotify.com/v1/audio-analysis/6M9LLUNwl8tBZCeWS9nH4c,166960,4,7
0.476,0.746,6,-6.798,0,0.128,0.091,5.59e-06,0.0822,0.817,88.607,audio_features,2CaxrNLrafxNz93l4YOmCP,spotify:track:2CaxrNLrafxNz93l4YOmCP,https://api.spotify.com/v1/tracks/2CaxrNLrafxNz93l4YOmCP,https://api.spotify.com/v1/audio-analysis/2CaxrNLrafxNz93l4YOmCP,152613,4,7
0.6,0.546,0,-5.714,1,0.0691,0.545,0,0.559,0.598,104.451,audio_features,1WWbqYAzu1N216ngniTLNq,spotify:track:1WWbqYAzu1N216ngniTLNq,https://api.spotify.com/v1/tracks/1WWbqYAzu1N216ngniTLNq,https://api.spotify.com/v1/audio-analysis/1WWbqYAzu1N216ngniTLNq,178120,4,18
0.572,0.492,9,-8.444,1,0.031,0.728,5.28e-06,0.156,0.435,72.272,audio_features,4AUxNUnk45eqfqaWiP0fA0,spotify:track:4AUxNUnk45eqfqaWiP0fA0,https://api.spotify.com/v1/tracks/4AUxNUnk45eqfqaWiP0fA0,https://api.spotify.com/v1/audio-analysis/4AUxNUnk45eqfqaWiP0fA0,178640,4,9
0.665,0.637,3,-8.489,0,0.0404,0.746,0.000131,0.0948,0.966,166.222,audio_features,1wxF8huN8OO1HkiDCEFLR2,spotify:track:1wxF8huN8OO1HkiDCEFLR2,https://api.spotify.com/v1/tracks/1wxF8huN8OO1HkiDCEFLR2,https://api.spotify.com/v1/audio-analysis/1wxF8huN8OO1HkiDCEFLR2,251467,4,10
0.623,0.77,10,-6.714,1,0.119,0.264,6.05e-05,0.32,0.969,172.958,audio_features,0XFRGKNOzBElJCR3lz1NX0,spotify:track:0XFRGKNOzBElJCR3lz1NX0,https://api.spotify.com/v1/tracks/0XFRGKNOzBElJCR3lz1NX0,https://api.spotify.com/v1/audio-analysis/0XFRGKNOzBElJCR3lz1NX0,152907,4,4
0.417,0.53,4,-8.07,0,0.0416,0.511,0,0.613,0.448,107.529,audio_features,3qY8Ni73Tx4mJXASDmBWJN,spotify:track:3qY8Ni73Tx4mJXASDmBWJN,https://api.spotify.com/v1/tracks/3qY8Ni73Tx4mJXASDmBWJN,https://api.spotify.com/v1/audio-analysis/3qY8Ni73Tx4mJXASDmBWJN,137413,4,31
0.841,0.4,6,-10.703,1,0.0334,0.294,0.000367,0.0335,0.855,89.594,audio_features,6DNgKv1sWH2505Z5SAqAXr,spotify:track:6DNgKv1sWH2505Z5SAqAXr,https://api.spotify.com/v1/tracks/6DNgKv1sWH2505Z5SAqAXr,https://api.spotify.com/v1/audio-analysis/6DNgKv1sWH2505Z5SAqAXr,146267,3,47
0.72,0.411,2,-11.437,1,0.0277,0.183,0,0.113,0.609,112.599,audio_features,6uXhOcodsFEqQeHRkLgNp2,spotify:track:6uXhOcodsFEqQeHRkLgNp2,https://api.spotify.com/v1/tracks/6uXhOcodsFEqQeHRkLgNp2,https://api.spotify.com/v1/audio-analysis/6uXhOcodsFEqQeHRkLgNp2,170280,4,4
0.666,0.569,8,-13.856,1,0.116,0.155,2.44e-05,0.386,0.743,88.135,audio_features,3wMqRnny1MIRLuv3tjUJO6,spotify:track:3wMqRnny1MIRLuv3tjUJO6,https://api.spotify.com/v1/tracks/3wMqRnny1MIRLuv3tjUJO6,https://api.spotify.com/v1/audio-analysis/3wMqRnny1MIRLuv3tjUJO6,207200,4,38
