danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.843,0.794,8,-7.062,0,0.111,0.133,0,0.0755,0.952,91.862,audio_features,7xRafouoS2J7SYgaURkJjx,spotify:track:7xRafouoS2J7SYgaURkJjx,https://api.spotify.com/v1/tracks/7xRafouoS2J7SYgaURkJjx,https://api.spotify.com/v1/audio-analysis/7xRafouoS2J7SYgaURkJjx,232853,4,39
0.693,0.492,0,-8.269,1,0.198,0.118,0,0.112,0.765,109.996,audio_features,3mkd8FiQAr8yxbavwZx6Do,spotify:track:3mkd8FiQAr8yxbavwZx6Do,https://api.spotify.com/v1/tracks/3mkd8FiQAr8yxbavwZx6Do,https://api.spotify.com/v1/audio-analysis/3mkd8FiQAr8yxbavwZx6Do,238573,4,5
0.826,0.624,11,-6.698,1,0.0447,0.559,0,0.083,0.886,142.027,audio_features,6OPXHnJY3NMn5Qr6K1Qqty,spotify:track:6OPXHnJY3NMn5Qr6K1Qqty,https://api.spotify.com/v1/tracks/6OPXHnJY3NMn5Qr6K1Qqty,https://api.spotify.com/v1/audio-analysis/6OPXHnJY3NMn5Qr6K1Qqty,180413,4,43
0.804,0.54,1,-7.788,1,0.0558,0.466,0.000549,0.348,0.902,164.963,audio_features,2Nu7LrhiXlYZn3acB4bWGq,spotify:track:2Nu7LrhiXlYZn3acB4bWGq,https://api.spotify.com/v1/tracks/2Nu7LrhiXlYZn3acB4bWGq,https://api.spotify.com/v1/audio-analysis/2Nu7LrhiXlYZn3acB4bWGq,203920,4,45
0.373,0.51,2,-13.201,0,0.0385,0.292,0.808,0.0753,0.601,122.81,audio_features,0FaYHxGCGmAzcQdXeIjmZJ,spotify:track:0FaYHxGCGmAzcQdXeIjmZJ,https://api.spotify.com/v1/tracks/0FaYHxGCGmAzcQdXeIjmZJ,https://api.spotify.com/v1/audio-analysis/0FaYHxGCGmAzcQdXeIjmZJ,221493,4,42
0.802,0.634,2,-9.371,0,0.169,0.334,0.198,0.0764,0.857,158.294,audio_features,2jVYJ5WjkhqhEsTchOQyfW,spotify:track:2jVYJ5WjkhqhEsTchOQyfW,https://api.spotify.com/v1/tracks/2jVYJ5WjkhqhEsTchOQyfW,https://api.spotify.com/v1/audio-analysis/2jVYJ5WjkhqhEsTchOQyfW,152073,4,52
0.796,0.585,3,-9.815,1,0.0338,0.3,3.23e-06,0.327,0.87,127.252,audio_features,69B68Pfllp2jTX9sKn2hH9,spotify:track:69B68Pfllp2jTX9sKn2hH9,https://api.spotify.com/v1/tracks/69B68Pfllp2jTX9sKn2hH9,https://api.spotify.com/v1/audio-analysis/69B68Pfllp2jTX9sKn2hH9,164119,4,39
0.687,0.499,0,-10.073,0,0.0435,0.859,0.471,0.097,0.583,162.028,audio_features,795MWYB06Kuc3w1T26ftys,spotify:track:795MWYB06Kuc3w1T26ftys,https://api.spotify.com/v1/tracks/795MWYB06Kuc3w1T26ftys,https://api.spotify.com/v1/audio-analysis/795MWYB06Kuc3w1T26ftys,342596,4,37
0.799,0.756,0,-5.863,1,0.0904,0.0479,3.74e-05,0.191,0.85,97.999,audio_features,1dq5ewYIsKa4CgiTmE43by,spotify:track:1dq5ewYIsKa4CgiTmE43by,https://api.spotify.com/v1/tracks/1dq5ewYIsKa4CgiTmE43by,https://api.spotify.com/v1/audio-analysis/1dq5ewYIsKa4CgiTmE43by,189400,4,34
0.703,0.88,11,-6.503,0,0.151,0.171,0.00965,0.111,0.655,104.856,audio_features,382x0IaQk1Nqx2f3Xzfy14,spotify:track:382x0IaQk1Nqx2f3Xzfy14,https://api.spotify.com/v1/tracks/382x0IaQk1Nqx2f3Xzfy14,https://api.spotify.com/v1/audio-analysis/382x0IaQk1Nqx2f3Xzfy14,273467,4,5
0.768,0.875,7,-6.222,1,0.0789,0.108,0.227,0.168,0.544,116.979,audio_features,7ouBEajSKGc6NQPe9fpB8i,spotify:track:7ouBEajSKGc6NQPe9fpB8i,https://api.spotify.com/v1/tracks/7ouBEajSKGc6NQPe9fpB8i,https://api.spotify.com/v1/audio-analysis/7ouBEajSKGc6NQPe9fpB8i,276093,4,34
0.609,0.949,7,-4.195,1,0.108,0.252,0,0.306,0.848,168.007,audio_features,3Gc1LdChaPOVxFbGUuW8sq,spotify:track:3Gc1LdChaPOVxFbGUuW8sq,https://api.spotify.com/v1/tracks/3Gc1LdChaPOVxFbGUuW8sq,https://api.spotify.com/v1/audio-analysis/3Gc1LdChaPOVxFbGUuW8sq,248009,4,26
0.642,0.566,6,-8.682,0,0.107,0.378,0.00393,0.158,0.864,179.906,audio_features,446rQWVFWcido9fHuW981s,spotify:track:446rQWVFWcido9fHuW981s,https://api.spotify.com/v1/tracks/446rQWVFWcido9fHuW981s,https://api.spotify.com/v1/audio-analysis/446rQWVFWcido9fHuW981s,235600,4,49
0.895,0.62,11,-6.968,1,0.303,0.155,3.25e-06,0.0708,0.882,88.529,audio_features,51FFSo4IT0HXUaubZeTITf,spotify:track:51FFSo4IT0HXUaubZeTITf,https://api.spotify.com/v1/tracks/51FFSo4IT0HXUaubZeTITf,https://api.spotify.com/v1/audio-analysis/51FFSo4IT0HXUaubZeTITf,272000,4,50
0.662,0.71,10,-4.479,0,0.198,0.0978,0.61,0.109,0.393,199.941,audio_features,7e7pzSgy6vpqJW4iZC239Y,spotify:track:7e7pzSgy6vpqJW4iZC239Y,https://api.spotify.com/v1/tracks/7e7pzSgy6vpqJW4iZC239Y,https://api.spotify.com/v1/audio-analysis/7e7pzSgy6vpqJW4iZC239Y,231920,4,4
