danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.592,0.383,0,-10.344,0,0.0352,0.566,0.183,0.24,0.421,122.424,audio_features,6FPEC5iUtgi0GzYhRnE1FU,spotify:track:6FPEC5iUtgi0GzYhRnE1FU,https://api.spotify.com/v1/tracks/6FPEC5iUtgi0GzYhRnE1FU,https://api.spotify.com/v1/audio-analysis/6FPEC5iUtgi0GzYhRnE1FU,304331,4,38
0.514,0.228,1,-17.417,1,0.0378,0.86,0.612,0.115,0.218,123.969,audio_features,2mRVnRNedKeSnDeI7crXrK,spotify:track:2mRVnRNedKeSnDeI7crXrK,https://api.spotify.com/v1/tracks/2mRVnRNedKeSnDeI7crXrK,https://api.spotify.com/v1/audio-analysis/2mRVnRNedKeSnDeI7crXrK,323448,3,39
0.555,0.23,2,-16.94,1,0.0333,0.86,0.914,0.138,0.231,122.175,audio_features,3IKLMhVbSKa40glkfeE9vH,spotify:track:3IKLMhVbSKa40glkfeE9vH,https://api.spotify.com/v1/tracks/3IKLMhVbSKa40glkfeE9vH,https://api.spotify.com/v1/audio-analysis/3IKLMhVbSKa40glkfeE9vH,571863,4,41
0.432,0.345,1,-18.05,1,0.0367,0.563,0.128,0.125,0.247,132.969,audio_features,2Encv0ig5W29JZ30hQgn6o,spotify:track:2Encv0ig5W29JZ30hQgn6o,https://api.spotify.com/v1/tracks/2Encv0ig5W29JZ30hQgn6o,https://api.spotify.com/v1/audio-analysis/2Encv0ig5W29JZ30hQgn6o,652440,4,38
0.446,0.454,7,-9.337,1,0.0431,0.749,0.0416,0.717,0.19,125.297,audio_features,5KtdndjjwcRPMO6kl129TG,spotify:track:5KtdndjjwcRPMO6kl129TG,https://api.spotify.com/v1/tracks/5KtdndjjwcRPMO6kl129TG,https://api.spotify.com/v1/audio-analysis/5KtdndjjwcRPMO6kl129TG,485505,3,46
0.493,0.283,2,-17.36,1,0.0316,0.624,0.109,0.117,0.386,73.745,audio_features,3gPr9tbx4jSM0nS6O9J5UZ,spotify:track:3gPr9tbx4jSM0nS6O9J5UZ,https://api.spotify.com/v1/tracks/3gPr9tbx4jSM0nS6O9J5UZ,https://api.spotify.com/v1/audio-analysis/3gPr9tbx4jSM0nS6O9J5UZ,329653,4,44
0.483,0.488,0,-11.62,1,0.0276,0.87,0.0782,0.142,0.577,130.931,audio_features,0jqMv6eLhPbsFbKlHsV9hv,spotify:track:0jqMv6eLhPbsFbKlHsV9hv,https://api.spotify.com/v1/tracks/0jqMv6eLhPbsFbKlHsV9hv,https://api.spotify.com/v1/audio-analysis/0jqMv6eLhPbsFbKlHsV9hv,246633,4,41
0.61,0.15,9,-20.559,0,0.0352,0.852,0.859,0.106,0.205,104.815,audio_features,1vd6bplZvB2edAjNd9bR7l,spotify:track:1vd6bplZvB2edAjNd9bR7l,https://api.spotify.com/v1/tracks/1vd6bplZvB2edAjNd9bR7l,https://api.spotify.com/v1/audio-analysis/1vd6bplZvB2edAjNd9bR7l,401493,4,36
0.504,0.484,7,-9.07,0,0.036,0.621,0.749,0.176,0.327,126.907,audio_features,733Qlazejy9lhIcyTBwnjT,spotify:track:733Qlazejy9lhIcyTBwnjT,https://api.spotify.com/v1/tracks/733Qlazejy9lhIcyTBwnjT,https://api.spotify.com/v1/audio-analysis/733Qlazejy9lhIcyTBwnjT,393440,4,40
0.422,0.302,10,-18.278,0,0.0402,0.703,0.845,0.125,0.352,95.308,audio_features,2kXJ6su5YWx1a3YQilPxmF,spotify:track:2kXJ6su5YWx1a3YQilPxmF,https://api.spotify.com/v1/tracks/2kXJ6su5YWx1a3YQilPxmF,https://api.spotify.com/v1/audio-analysis/2kXJ6su5YWx1a3YQilPxmF,433267,4,32
0.609,0.299,7,-11.617,0,0.0425,0.835,0.899,0.113,0.305,120.074,audio_features,73fjTjTG8KSLQ04t5fARWm,spotify:track:73fjTjTG8KSLQ04t5fARWm,https://api.spotify.com/v1/tracks/73fjTjTG8KSLQ04t5fARWm,https://api.spotify.com/v1/audio-analysis/73fjTjTG8KSLQ04t5fARWm,475680,4,59
0.531,0.369,6,-9.425,1,0.0263,0.76,8.39e-05,0.229,0.574,82.451,audio_features,4TRyfSh9IzlprJbTlMrWxl,spotify:track:4TRyfSh9IzlprJbTlMrWxl,https://api.spotify.com/v1/tracks/4TRyfSh9IzlprJbTlMrWxl,https://api.spotify.com/v1/audio-analysis/4TRyfSh9IzlprJbTlMrWxl,73794,4,41
0.663,0.287,7,-18.203,1,0.0434,0.773,0.791,0.0848,0.547,81.253,audio_features,6zr0ynyIM2RRaoTMOmj9h9,spotify:track:6zr0ynyIM2RRaoTMOmj9h9,https://api.spotify.com/v1/tracks/6zr0ynyIM2RRaoTMOmj9h9,https://api.spotify.com/v1/audio-analysis/6zr0ynyIM2RRaoTMOmj9h9,228747,4,40
0.58,0.162,3,-14.174,1,0.0344,0.916,0.309,0.123,0.365,91.207,audio_features,0ZciyueIR3Jl1gh4lbiLsk,spotify:track:0ZciyueIR3Jl1gh4lbiLsk,https://api.spotify.com/v1/tracks/0ZciyueIR3Jl1gh4lbiLsk,https://api.spotify.com/v1/audio-analysis/0ZciyueIR3Jl1gh4lbiLsk,463907,4,52
