danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.478,0.963,9,-3.278,0,0.0476,0.00114,0.0197,0.375,0.691,150.049,audio_features,2tJl0xkHViUdALAHkChFcz,spotify:track:2tJl0xkHViUdALAHkChFcz,https://api.spotify.com/v1/tracks/2tJl0xkHViUdALAHkChFcz,https://api.spotify.com/v1/audio-analysis/2tJl0xkHViUdALAHkChFcz,224000,4,42
0.543,0.953,9,-4.559,0,0.0335,0.000166,0.867,0.268,0.328,149.989,audio_features,2kxtGwZAm2TPtCaUPhcAnK,spotify:track:2kxtGwZAm2TPtCaUPhcAnK,https://api.spotify.com/v1/tracks/2kxtGwZAm2TPtCaUPhcAnK,https://api.spotify.com/v1/audio-analysis/2kxtGwZAm2TPtCaUPhcAnK,241604,4,25
0.366,0.897,10,-3.983,0,0.0697,0.0766,0.000252,0.123,0.0696,154.8,audio_features,1FoF5Sld2u6cHGrCrNQHsE,spotify:track:1FoF5Sld2u6cHGrCrNQHsE,https://api.spotify.com/v1/tracks/1FoF5Sld2u6cHGrCrNQHsE,https://api.spotify.com/v1/audio-analysis/1FoF5Sld2u6cHGrCrNQHsE,226207,3,39
0.302,0.865,0,-3.216,1,0.0348,0.0199,7.25e-06,0.328,0.152,150.082,audio_features,0mWGz6hPTPuOK3SaETnqCo,spotify:track:0mWGz6hPTPuOK3SaETnqCo,https://api.spotify.com/v1/tracks/0mWGz6hPTPuOK3SaETnqCo,https://api.spotify.com/v1/audio-analysis/0mWGz6hPTPuOK3SaETnqCo,244133,4,40
0.401,0.785,0,-7.606,1,0.0746,0.000578,0.695,0.459,0.0868,150.057,audio_features,1VGZqN2L5LYxVfCe9jID1z,spotify:track:1VGZqN2L5LYxVfCe9jID1z,https://api.spotify.com/v1/tracks/1VGZqN2L5LYxVfCe9jID1z,https://api.spotify.com/v1/audio-analysis/1VGZqN2L5LYxVfCe9jID1z,197112,4,44
0.502,0.986,5,-3.69,0,0.232,0.0163,0.000232,0.188,0.14,155.116,audio_features,7KkmqHUFkMS2ry2MOwvh5b,spotify:track:7KkmqHUFkMS2ry2MOwvh5b,https://api.spotify.com/v1/tracks/7KkmqHUFkMS2ry2MOwvh5b,https://api.spotify.com/v1/audio-analysis/7KkmqHUFkMS2ry2MOwvh5b,214064,4,31
0.368,0.964,0,-3.904,0,0.374,0.205,0,0.0926,0.224,152.045,audio_features,1lRpl9mG8PU3UxavCwIO9h,spotify:track:1lRpl9mG8PU3UxavCwIO9h,https://api.spotify.com/v1/tracks/1lRpl9mG8PU3UxavCwIO9h,https://api.spotify.com/v1/audio-analysis/1lRpl9mG8PU3UxavCwIO9h,168947,4,50
0.367,0.916,11,-5.129,1,0.154,0.0144,5.38e-06,0.431,0.0616,154.874,audio_features,63vlhpyePZpRsfwVNliyH6,spotify:track:63vlhpyePZpRsfwVNliyH6,https://api.spotify.com/v1/tracks/63vlhpyePZpRsfwVNliyH6,https://api.spotify.com/v1/audio-analysis/63vlhpyePZpRsfwVNliyH6,214810,4,33
0.533,0.96,7,-4.062,1,0.0933,0.00107,1.38e-05,0.202,0.409,75.04,audio_features,4HlIndBHCg4VLMGpsejDVD,spotify:track:4HlIndBHCg4VLMGpsejDVD,https://api.spotify.com/v1/tracks/4HlIndBHCg4VLMGpsejDVD,https://api.spotify.com/v1/audio-analysis/4HlIndBHCg4VLMGpsejDVD,243200,4,41
0.323,0.997,9,-1.999,0,0.241,0.104,0,0.0588,0.0771,112.589,audio_features,6lAdnCFUykdraLhd77lDxk,spotify:track:6lAdnCFUykdraLhd77lDxk,https://api.spotify.com/v1/tracks/6lAdnCFUykdraLhd77lDxk,https://api.spotify.com/v1/audio-analysis/6lAdnCFUykdraLhd77lDxk,249600,3,28
0.418,0.92,7,-4.927,0,0.0496,0.0022,0.00972,0.448,0.0611,74.956,audio_features,1Er7JlE3OP9U4ZYEvO7k8I,spotify:track:1Er7JlE3OP9U4ZYEvO7k8I,https://api.spotify.com/v1/tracks/1Er7JlE3OP9U4ZYEvO7k8I,https://api.spotify.com/v1/audio-analysis/1Er7JlE3OP9U4ZYEvO7k8I,187200,3,37
