danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.574,0.859,7,-4.16,0,0.0435,0.397,0,0.166,0.852,140.057,audio_features,4fKNRxl9ecozPP5gfBwvk1,spotify:track:4fKNRxl9ecozPP5gfBwvk1,https://api.spotify.com/v1/tracks/4fKNRxl9ecozPP5gfBwvk1,https://api.spotify.com/v1/audio-analysis/4fKNRxl9ecozPP5gfBwvk1,159000,4,54
0.595,0.797,8,-2.565,1,0.0466,0.0509,4.92e-06,0.104,0.221,122.801,audio_features,5Xt5iEbljmwJW51LMTQ6Nx,spotify:track:5Xt5iEbljmwJW51LMTQ6Nx,https://api.spotify.com/v1/tracks/5Xt5iEbljmwJW51LMTQ6Nx,https://api.spotify.com/v1/audio-analysis/5Xt5iEbljmwJW51LMTQ6Nx,233902,4,67
0.6,0.792,5,-1.902,1,0.0625,0.0214,0,0.344,0.405,95.879,audio_features,1TMmQ5JK4EewfiIAISLpzl,spotify:track:1TMmQ5JK4EewfiIAISLpzl,https://api.spotify.com/v1/tracks/1TMmQ5JK4EewfiIAISLpzl,https://api.spotify.com/v1/audio-analysis/1TMmQ5JK4EewfiIAISLpzl,205000,4,45
0.78,0.579,9,-4.709,0,0.0609,0.124,0,0.111,0.417,120.036,audio_features,7C5Jk5c6Y1LWbXCcPS6ATS,spotify:track:7C5Jk5c6Y1LWbXCcPS6ATS,https://api.spotify.com/v1/tracks/7C5Jk5c6Y1LWbXCcPS6ATS,https://api.spotify.com/v1/audio-analysis/7C5Jk5c6Y1LWbXCcPS6ATS,227877,4,74
0.597,0.455,10,-7.593,1,0.0413,0.0795,0,0.164,0.164,82.961,audio_features,4N6Wow2t6KO9WzpE4x59Kt,spotify:track:4N6Wow2t6KO9WzpE4x59Kt,https://api.spotify.com/v1/tracks/4N6Wow2t6KO9WzpE4x59Kt,https://api.spotify.com/v1/audio-analysis/4N6Wow2t6KO9WzpE4x59Kt,214053,4,49
0.545,0.865,6,-2.601,0,0.0522,0.0724,4.79e-06,0.919,0.332,89.992,audio_features,5mAxA6Q1SIym6dPNiFLUyd,spotify:track:5mAxA6Q1SIym6dPNiFLUyd,https://api.spotify.com/v1/tracks/5mAxA6Q1SIym6dPNiFLUyd,https://api.spotify.com/v1/audio-analysis/5mAxA6Q1SIym6dPNiFLUyd,205333,4,81
0.697,0.864,11,-4.781,0,0.043,0.0136,1.34e-06,0.101,0.174,124.028,audio_features,35b0MrRJE1uXPYaiwkvIos,spotify:track:35b0MrRJE1uXPYaiwkvIos,https://api.spotify.com/v1/tracks/35b0MrRJE1uXPYaiwkvIos,https://api.spotify.com/v1/audio-analysis/35b0MrRJE1uXPYaiwkvIos,193172,4,67
0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,audio_features,6M6Tk58pQvABy6ru66dY3d,spotify:track:6M6Tk58pQvABy6ru66dY3d,https://api.spotify.com/v1/tracks/6M6Tk58pQvABy6ru66dY3d,https://api.spotify.com/v1/audio-analysis/6M6Tk58pQvABy6ru66dY3d,191293,4,62
0.654,0.783,0,-5.605,0,0.0353,0.0119,3.9e-06,0.106,0.549,104.971,audio_features,0jDL4aAtGj65adbVwMMd3j,spotify:track:0jDL4aAtGj65adbVwMMd3j,https://api.spotify.com/v1/tracks/0jDL4aAtGj65adbVwMMd3j,https://api.spotify.com/v1/audio-analysis/0jDL4aAtGj65adbVwMMd3j,177884,4,36
0.757,0.865,7,-5.355,0,0.165,0.0141,0.00163,0.0917,0.676,99.997,audio_features,47VbGHhKUQrrvOP6udm8Ai,spotify:track:47VbGHhKUQrrvOP6udm8Ai,https://api.spotify.com/v1/tracks/47VbGHhKUQrrvOP6udm8Ai,https://api.spotify.com/v1/audio-analysis/47VbGHhKUQrrvOP6udm8Ai,173014,4,26
0.651,0.823,2,-3.632,1,0.0325,0.0755,0,0.0939,0.505,115.946,audio_features,2kYqdSlrtovVMMIn6ykzba,spotify:track:2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/tracks/2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/audio-analysis/2kYqdSlrtovVMMIn6ykzba,240413,4,59
