danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.68,0.803,4,-5.437,0,0.0424,0.00505,0.621,0.381,0.265,127.996,audio_features,4c6Pf3KmBLorwRP5zse7JF,spotify:track:4c6Pf3KmBLorwRP5zse7JF,https://api.spotify.com/v1/tracks/4c6Pf3KmBLorwRP5zse7JF,https://api.spotify.com/v1/audio-analysis/4c6Pf3KmBLorwRP5zse7JF,315000,4,34
0.577,0.848,5,-8.83,1,0.0569,0.0025,0.884,0.102,0.735,127.956,audio_features,0j5bIfMw1s4B80o6M01N96,spotify:track:0j5bIfMw1s4B80o6M01N96,https://api.spotify.com/v1/tracks/0j5bIfMw1s4B80o6M01N96,https://api.spotify.com/v1/audio-analysis/0j5bIfMw1s4B80o6M01N96,270000,4,33
0.653,0.772,7,-6.657,1,0.0468,0.000173,0.863,0.127,0.126,128.047,audio_features,1cFTe7shcc1XjYL7eTm2tq,spotify:track:1cFTe7shcc1XjYL7eTm2tq,https://api.spotify.com/v1/tracks/1cFTe7shcc1XjYL7eTm2tq,https://api.spotify.com/v1/audio-analysis/1cFTe7shcc1XjYL7eTm2tq,300000,3,30
0.57,0.825,2,-6.279,0,0.0664,0.00478,0.684,0.225,0.0724,128.013,audio_features,6RlGkqMQOFNxWHdLdMmmng,spotify:track:6RlGkqMQOFNxWHdLdMmmng,https://api.spotify.com/v1/tracks/6RlGkqMQOFNxWHdLdMmmng,https://api.spotify.com/v1/audio-analysis/6RlGkqMQOFNxWHdLdMmmng,337493,4,48
0.722,0.92,7,-6.824,0,0.0466,0.000623,0.772,0.109,0.0374,128.021,audio_features,3XU0Yroic44ga05pKlGDy4,spotify:track:3XU0Yroic44ga05pKlGDy4,https://api.spotify.com/v1/tracks/3XU0Yroic44ga05pKlGDy4,https://api.spotify.com/v1/audio-analysis/3XU0Yroic44ga05pKlGDy4,245733,4,37
0.859,0.957,11,-1.621,1,0.0741,0.0264,0.717,0.183,0.0789,128.016,audio_features,0dzeBITohVb95ZggydL4nK,spotify:track:0dzeBITohVb95ZggydL4nK,https://api.spotify.com/v1/tracks/0dzeBITohVb95ZggydL4nK,https://api.spotify.com/v1/audio-analysis/0dzeBITohVb95ZggydL4nK,174375,4,55
0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,audio_features,3Kl3b2oW6BIQ1yehBpGNi0,spotify:track:3Kl3b2oW6BIQ1yehBpGNi0,https://api.spotify.com/v1/tracks/3Kl3b2oW6BIQ1yehBpGNi0,https://api.spotify.com/v1/audio-analysis/3Kl3b2oW6BIQ1yehBpGNi0,225000,4,47
0.698,0.916,7,-2.914,1,0.0699,0.0624,0.0041,0.11,0.325,129.989,audio_features,3KEADxyy9zD4t7DkWOD6XH,spotify:track:3KEADxyy9zD4t7DkWOD6XH,https://api.spotify.com/v1/tracks/3KEADxyy9zD4t7DkWOD6XH,https://api.spotify.com/v1/audio-analysis/3KEADxyy9zD4t7DkWOD6XH,172783,4,57
0.561,0.725,9,-7.212,0,0.042,0.00358,0.857,0.0872,0.117,127.993,audio_features,135TYaJ0WsivC2Zk7MEX4Y,spotify:track:135TYaJ0WsivC2Zk7MEX4Y,https://api.spotify.com/v1/tracks/135TYaJ0WsivC2Zk7MEX4Y,https://api.spotify.com/v1/audio-analysis/135TYaJ0WsivC2Zk7MEX4Y,312197,4,49
0.71,0.856,5,-3.571,0,0.173,0.202,0,0.718,0.743,128.121,audio_features,53HQcfDtBF4M7oc2bw3MAu,spotify:track:53HQcfDtBF4M7oc2bw3MAu,https://api.spotify.com/v1/tracks/53HQcfDtBF4M7oc2bw3MAu,https://api.spotify.com/v1/audio-analysis/53HQcfDtBF4M7oc2bw3MAu,150228,4,46
0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016,audio_features,5zwBmW0IbXpIA84cVHDGhe,spotify:track:5zwBmW0IbXpIA84cVHDGhe,https://api.spotify.com/v1/tracks/5zwBmW0IbXpIA84cVHDGhe,https://api.spotify.com/v1/audio-analysis/5zwBmW0IbXpIA84cVHDGhe,256641,4,66
0.55,0.961,2,-3.049,1,0.0412,0.000628,0.759,0.0718,0.0391,128.027,audio_features,2Ee4xp5gWMeLavEWHaXe8K,spotify:track:2Ee4xp5gWMeLavEWHaXe8K,https://api.spotify.com/v1/tracks/2Ee4xp5gWMeLavEWHaXe8K,https://api.spotify.com/v1/audio-analysis/2Ee4xp5gWMeLavEWHaXe8K,189514,4,49
0.613,0.99,11,-3.219,1,0.0913,0.000111,0.855,0.223,0.106,129.989,audio_features,4j71Wz1AsHJPx5ZRZ75WYk,spotify:track:4j71Wz1AsHJPx5ZRZ75WYk,https://api.spotify.com/v1/tracks/4j71Wz1AsHJPx5ZRZ75WYk,https://api.spotify.com/v1/audio-analysis/4j71Wz1AsHJPx5ZRZ75WYk,201094,4,44
0.577,0.979,11,-3.744,1,0.0466,0.000659,0.684,0.051,0.0351,128.007,audio_features,1cw1tI5LXKRZXmDVDpC0hs,spotify:track:1cw1tI5LXKRZXmDVDpC0hs,https://api.spotify.com/v1/tracks/1cw1tI5LXKRZXmDVDpC0hs,https://api.spotify.com/v1/audio-analysis/1cw1tI5LXKRZXmDVDpC0hs,176250,4,1
0.551,0.928,4,-4.076,0,0.0749,0.0135,0.405,0.383,0.115,127.969,audio_features,1MB60Ingbxmdukc2wq8b2G,spotify:track:1MB60Ingbxmdukc2wq8b2G,https://api.spotify.com/v1/tracks/1MB60Ingbxmdukc2wq8b2G,https://api.spotify.com/v1/audio-analysis/1MB60Ingbxmdukc2wq8b2G,178125,4,50
0.645,0.946,6,-4.766,0,0.104,0.00141,0.254,0.313,0.32,130.074,audio_features,0KxuPS6MrXG6bDoExnIWeP,spotify:track:0KxuPS6MrXG6bDoExnIWeP,https://api.spotify.com/v1/tracks/0KxuPS6MrXG6bDoExnIWeP,https://api.spotify.com/v1/audio-analysis/0KxuPS6MrXG6bDoExnIWeP,213245,4,58
0.659,0.619,0,-7.389,1,0.05,0.00458,0.972,0.0897,0.119,128.015,audio_features,1JsbFVFHNIi7kAhlpxDLhV,spotify:track:1JsbFVFHNIi7kAhlpxDLhV,https://api.spotify.com/v1/tracks/1JsbFVFHNIi7kAhlpxDLhV,https://api.spotify.com/v1/audio-analysis/1JsbFVFHNIi7kAhlpxDLhV,306560,4,8
0.515,0.996,7,-4.426,0,0.0936,0.00146,0.81,0.151,0.335,128.004,audio_features,0LZf48V83KyeLDu8XUS5JC,spotify:track:0LZf48V83KyeLDu8XUS5JC,https://api.spotify.com/v1/tracks/0LZf48V83KyeLDu8XUS5JC,https://api.spotify.com/v1/audio-analysis/0LZf48V83KyeLDu8XUS5JC,215156,4,38
0.672,0.908,1,-6.025,1,0.0348,0.0137,0.859,0.0885,0.153,127.984,audio_features,2eLgWnpWbCvoqx3ZSabTqc,spotify:track:2eLgWnpWbCvoqx3ZSabTqc,https://api.spotify.com/v1/tracks/2eLgWnpWbCvoqx3ZSabTqc,https://api.spotify.com/v1/audio-analysis/2eLgWnpWbCvoqx3ZSabTqc,140000,4,45
0.563,0.996,7,-4.883,1,0.154,0.000371,0.23,0.286,0.396,128.002,audio_features,5bp5qgNITIfJ478HHFL1Tj,spotify:track:5bp5qgNITIfJ478HHFL1Tj,https://api.spotify.com/v1/tracks/5bp5qgNITIfJ478HHFL1Tj,https://api.spotify.com/v1/audio-analysis/5bp5qgNITIfJ478HHFL1Tj,187504,4,43
0.491,0.99,11,-2.501,0,0.157,0.00148,0.324,0.104,0.23,127.99,audio_features,6Th0ey7rQF8DAhS57J3SrL,spotify:track:6Th0ey7rQF8DAhS57J3SrL,https://api.spotify.com/v1/tracks/6Th0ey7rQF8DAhS57J3SrL,https://api.spotify.com/v1/audio-analysis/6Th0ey7rQF8DAhS57J3SrL,189375,4,39
0.441,0.875,6,-2.094,1,0.0954,0.0408,0.452,0.223,0.135,130.037,audio_features,5aNt0z5djvwsPflqoEXd7c,spotify:track:5aNt0z5djvwsPflqoEXd7c,https://api.spotify.com/v1/tracks/5aNt0z5djvwsPflqoEXd7c,https://api.spotify.com/v1/audio-analysis/5aNt0z5djvwsPflqoEXd7c,248593,4,51
0.703,0.997,5,-2.48,1,0.0442,0.0132,0.769,0.0775,0.49,127.991,audio_features,2uUHq7i2gWA162KAoLPWZD,spotify:track:2uUHq7i2gWA162KAoLPWZD,https://api.spotify.com/v1/tracks/2uUHq7i2gWA162KAoLPWZD,https://api.spotify.com/v1/audio-analysis/2uUHq7i2gWA162KAoLPWZD,151875,4,50
0.686,0.911,5,-4.833,0,0.0395,0.000124,0.832,0.254,0.671,127.987,audio_features,4G74OwTuMaQxdPADjH5tAr,spotify:track:4G74OwTuMaQxdPADjH5tAr,https://api.spotify.com/v1/tracks/4G74OwTuMaQxdPADjH5tAr,https://api.spotify.com/v1/audio-analysis/4G74OwTuMaQxdPADjH5tAr,262609,4,38
0.671,0.871,2,-4.751,1,0.141,0.000647,0.247,0.448,0.355,128.043,audio_features,5nKnfKcH9r2Wt33RhRWXhr,spotify:track:5nKnfKcH9r2Wt33RhRWXhr,https://api.spotify.com/v1/tracks/5nKnfKcH9r2Wt33RhRWXhr,https://api.spotify.com/v1/audio-analysis/5nKnfKcH9r2Wt33RhRWXhr,284985,4,40
0.631,0.945,0,-3.674,1,0.04,0.0287,0.913,0.967,0.4,127.983,audio_features,07BCFbk1oCwf80lemfyzK6,spotify:track:07BCFbk1oCwf80lemfyzK6,https://api.spotify.com/v1/tracks/07BCFbk1oCwf80lemfyzK6,https://api.spotify.com/v1/audio-analysis/07BCFbk1oCwf80lemfyzK6,291960,4,50
0.482,0.966,6,-1.971,0,0.1,0.0132,0.443,0.518,0.295,127.984,audio_features,7G9yFIOa2qrc6KBN9AtNnd,spotify:track:7G9yFIOa2qrc6KBN9AtNnd,https://api.spotify.com/v1/tracks/7G9yFIOa2qrc6KBN9AtNnd,https://api.spotify.com/v1/audio-analysis/7G9yFIOa2qrc6KBN9AtNnd,251484,4,41
0.63,0.912,4,-5.805,0,0.17,0.0112,0.226,0.344,0.142,129.905,audio_features,4LzBynFXc2TTHbdeYzp7F4,spotify:track:4LzBynFXc2TTHbdeYzp7F4,https://api.spotify.com/v1/tracks/4LzBynFXc2TTHbdeYzp7F4,https://api.spotify.com/v1/audio-analysis/4LzBynFXc2TTHbdeYzp7F4,164769,4,54
0.53,0.843,3,-4.426,0,0.054,0.00609,0.0215,0.391,0.191,128.029,audio_features,5oEWIKAWSVcABFmzvn9bNN,spotify:track:5oEWIKAWSVcABFmzvn9bNN,https://api.spotify.com/v1/tracks/5oEWIKAWSVcABFmzvn9bNN,https://api.spotify.com/v1/audio-analysis/5oEWIKAWSVcABFmzvn9bNN,260410,4,47
0.535,0.988,3,-2.708,0,0.0458,0.00273,0.598,0.0944,0.195,130.007,audio_features,3dbIcvveDU2NdfDa4TNHOh,spotify:track:3dbIcvveDU2NdfDa4TNHOh,https://api.spotify.com/v1/tracks/3dbIcvveDU2NdfDa4TNHOh,https://api.spotify.com/v1/audio-analysis/3dbIcvveDU2NdfDa4TNHOh,181081,4,52
0.517,0.828,8,-5.648,0,0.0482,9.69e-05,0.841,0.411,0.0605,128.077,audio_features,0HT6YGHjXKNvnTjGGtur3j,spotify:track:0HT6YGHjXKNvnTjGGtur3j,https://api.spotify.com/v1/tracks/0HT6YGHjXKNvnTjGGtur3j,https://api.spotify.com/v1/audio-analysis/0HT6YGHjXKNvnTjGGtur3j,195005,4,57
0.638,0.965,8,-3.973,1,0.249,0.00288,0.377,0.878,0.318,125.998,audio_features,6lGDi6YuuRJ1PDqRPEfh81,spotify:track:6lGDi6YuuRJ1PDqRPEfh81,https://api.spotify.com/v1/tracks/6lGDi6YuuRJ1PDqRPEfh81,https://api.spotify.com/v1/audio-analysis/6lGDi6YuuRJ1PDqRPEfh81,186710,4,38
0.851,0.462,2,-5.463,1,0.163,0.00569,0.816,0.0446,0.185,128.032,audio_features,1qm9MfTAoEixNPSqshHqfV,spotify:track:1qm9MfTAoEixNPSqshHqfV,https://api.spotify.com/v1/tracks/1qm9MfTAoEixNPSqshHqfV,https://api.spotify.com/v1/audio-analysis/1qm9MfTAoEixNPSqshHqfV,223000,4,56
0.657,0.947,7,-0.575,1,0.139,0.00192,0.496,0.362,0.225,130.009,audio_features,48WDvCySijeqoafV98gLxV,spotify:track:48WDvCySijeqoafV98gLxV,https://api.spotify.com/v1/tracks/48WDvCySijeqoafV98gLxV,https://api.spotify.com/v1/audio-analysis/48WDvCySijeqoafV98gLxV,195707,4,48
0.66,0.853,8,-3.456,0,0.12,0.0517,0.0756,0.0382,0.507,128.007,audio_features,2XifeT4RLQS1HaqdgiXzd7,spotify:track:2XifeT4RLQS1HaqdgiXzd7,https://api.spotify.com/v1/tracks/2XifeT4RLQS1HaqdgiXzd7,https://api.spotify.com/v1/audio-analysis/2XifeT4RLQS1HaqdgiXzd7,172031,4,50
0.575,0.975,5,-3.817,0,0.0551,5.11e-05,0.892,0.172,0.0532,126.019,audio_features,2KxC2FpQMuddyCBoRYWfx8,spotify:track:2KxC2FpQMuddyCBoRYWfx8,https://api.spotify.com/v1/tracks/2KxC2FpQMuddyCBoRYWfx8,https://api.spotify.com/v1/audio-analysis/2KxC2FpQMuddyCBoRYWfx8,226667,4,41
0.591,0.937,7,-3.223,1,0.0669,0.0047,0.378,0.084,0.0914,127.988,audio_features,0mMLQtz11t85LOwaxMG6vP,spotify:track:0mMLQtz11t85LOwaxMG6vP,https://api.spotify.com/v1/tracks/0mMLQtz11t85LOwaxMG6vP,https://api.spotify.com/v1/audio-analysis/0mMLQtz11t85LOwaxMG6vP,274687,4,35
0.447,0.926,4,-4.384,0,0.0879,0.00143,0.775,0.0827,0.0347,195.053,audio_features,3uN1f0o988Pc8opHzLK6KA,spotify:track:3uN1f0o988Pc8opHzLK6KA,https://api.spotify.com/v1/tracks/3uN1f0o988Pc8opHzLK6KA,https://api.spotify.com/v1/audio-analysis/3uN1f0o988Pc8opHzLK6KA,180923,3,46
