danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.585,0.841,6,-4.479,0,0.0404,9.06e-05,0.625,0.413,0.0941,143.014,audio_features,2s0xboyJ9qfdUQVS3ZcY8B,spotify:track:2s0xboyJ9qfdUQVS3ZcY8B,https://api.spotify.com/v1/tracks/2s0xboyJ9qfdUQVS3ZcY8B,https://api.spotify.com/v1/audio-analysis/2s0xboyJ9qfdUQVS3ZcY8B,309561,4,41
0.752,0.439,1,-6.444,1,0.192,0.0451,0.886,0.124,0.111,85.975,audio_features,1CHJtrKc555sk95KB27YAM,spotify:track:1CHJtrKc555sk95KB27YAM,https://api.spotify.com/v1/tracks/1CHJtrKc555sk95KB27YAM,https://api.spotify.com/v1/audio-analysis/1CHJtrKc555sk95KB27YAM,208236,4,3
0.587,0.92,11,-2.251,1,0.0736,0.00103,0.583,0.102,0.635,70.017,audio_features,3ltDZTEcRMZdh5Sr4JLiA2,spotify:track:3ltDZTEcRMZdh5Sr4JLiA2,https://api.spotify.com/v1/tracks/3ltDZTEcRMZdh5Sr4JLiA2,https://api.spotify.com/v1/audio-analysis/3ltDZTEcRMZdh5Sr4JLiA2,274751,4,43
0.62,0.995,1,-2.353,1,0.245,0.00488,0.019,0.215,0.535,150.069,audio_features,2Zx8f14aPByIGhEcmOJRS9,spotify:track:2Zx8f14aPByIGhEcmOJRS9,https://api.spotify.com/v1/tracks/2Zx8f14aPByIGhEcmOJRS9,https://api.spotify.com/v1/audio-analysis/2Zx8f14aPByIGhEcmOJRS9,198400,4,35
0.429,0.948,5,-3.657,0,0.227,0.00711,0.0148,0.0812,0.55,115.785,audio_features,5i7fZq3chLyCHo3VeB6goD,spotify:track:5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/tracks/5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/audio-analysis/5i7fZq3chLyCHo3VeB6goD,261517,3,68
0.676,0.98,1,-2.426,1,0.304,0.0428,0.118,0.731,0.418,149.911,audio_features,2sKLqVZGtFUrQNWiDEpst8,spotify:track:2sKLqVZGtFUrQNWiDEpst8,https://api.spotify.com/v1/tracks/2sKLqVZGtFUrQNWiDEpst8,https://api.spotify.com/v1/audio-analysis/2sKLqVZGtFUrQNWiDEpst8,182400,4,34
0.568,0.922,1,-5.148,1,0.0865,0.000313,0.012,0.105,0.289,74.995,audio_features,7evQj9se7zZcNoRkG5Flr3,spotify:track:7evQj9se7zZcNoRkG5Flr3,https://api.spotify.com/v1/tracks/7evQj9se7zZcNoRkG5Flr3,https://api.spotify.com/v1/audio-analysis/7evQj9se7zZcNoRkG5Flr3,262404,4,35
0.628,0.756,10,-5.172,0,0.107,0.00157,0.648,0.307,0.208,72.514,audio_features,6Erns7IIQfnFxyR0BhXrHv,spotify:track:6Erns7IIQfnFxyR0BhXrHv,https://api.spotify.com/v1/tracks/6Erns7IIQfnFxyR0BhXrHv,https://api.spotify.com/v1/audio-analysis/6Erns7IIQfnFxyR0BhXrHv,278224,4,46
0.711,0.962,5,-3.586,0,0.0746,0.000668,0.589,0.396,0.129,139.99,audio_features,5REmyJKyAycj7QeXaFajQL,spotify:track:5REmyJKyAycj7QeXaFajQL,https://api.spotify.com/v1/tracks/5REmyJKyAycj7QeXaFajQL,https://api.spotify.com/v1/audio-analysis/5REmyJKyAycj7QeXaFajQL,205500,4,11
0.584,0.906,0,-3.281,0,0.0503,0.00407,0.37,0.747,0.475,149.887,audio_features,6iXYk75EVx8TKDCBpoMS65,spotify:track:6iXYk75EVx8TKDCBpoMS65,https://api.spotify.com/v1/tracks/6iXYk75EVx8TKDCBpoMS65,https://api.spotify.com/v1/audio-analysis/6iXYk75EVx8TKDCBpoMS65,227247,4,35
0.628,0.938,2,-3.884,0,0.0928,0.305,0.852,0.164,0.211,169.986,audio_features,5zI0FhDU7EPzwfaurZPeL1,spotify:track:5zI0FhDU7EPzwfaurZPeL1,https://api.spotify.com/v1/tracks/5zI0FhDU7EPzwfaurZPeL1,https://api.spotify.com/v1/audio-analysis/5zI0FhDU7EPzwfaurZPeL1,223147,4,34
