danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.756,0.732,6,-6.042,1,0.0745,0.351,0,0.223,0.798,118.015,audio_features,4o5zhD9pAf3MN1LRitbSiX,spotify:track:4o5zhD9pAf3MN1LRitbSiX,https://api.spotify.com/v1/tracks/4o5zhD9pAf3MN1LRitbSiX,https://api.spotify.com/v1/audio-analysis/4o5zhD9pAf3MN1LRitbSiX,209242,4,54
0.826,0.871,2,-6.19,1,0.0574,0.269,0,0.067,0.907,94.942,audio_features,7x5mDD13UWfQUpmwIDdpJc,spotify:track:7x5mDD13UWfQUpmwIDdpJc,https://api.spotify.com/v1/tracks/7x5mDD13UWfQUpmwIDdpJc,https://api.spotify.com/v1/audio-analysis/7x5mDD13UWfQUpmwIDdpJc,243241,4,34
0.596,0.661,1,-7.236,0,0.0333,0.226,0,0.184,0.761,175.973,audio_features,3iLrjLIUl8lCmMK3WUr3VE,spotify:track:3iLrjLIUl8lCmMK3WUr3VE,https://api.spotify.com/v1/tracks/3iLrjLIUl8lCmMK3WUr3VE,https://api.spotify.com/v1/audio-analysis/3iLrjLIUl8lCmMK3WUr3VE,309107,4,35
0.404,0.941,3,-5.236,1,0.19,0.00522,2.59e-05,0.194,0.78,126.949,audio_features,1y6c4XyyFTXKxD718jqs7L,spotify:track:1y6c4XyyFTXKxD718jqs7L,https://api.spotify.com/v1/tracks/1y6c4XyyFTXKxD718jqs7L,https://api.spotify.com/v1/audio-analysis/1y6c4XyyFTXKxD718jqs7L,223530,4,25
0.748,0.52,11,-15.543,1,0.0458,0.135,0.000589,0.104,0.933,128.012,audio_features,5UHdZDhRPAT1ZkH03T46Ho,spotify:track:5UHdZDhRPAT1ZkH03T46Ho,https://api.spotify.com/v1/tracks/5UHdZDhRPAT1ZkH03T46Ho,https://api.spotify.com/v1/audio-analysis/5UHdZDhRPAT1ZkH03T46Ho,213812,4,28
0.692,0.94,4,-3.625,0,0.0354,0.0892,0,0.347,0.865,119.954,audio_features,1gUBSEMA55rHz3tLgrK4hS,spotify:track:1gUBSEMA55rHz3tLgrK4hS,https://api.spotify.com/v1/tracks/1gUBSEMA55rHz3tLgrK4hS,https://api.spotify.com/v1/audio-analysis/1gUBSEMA55rHz3tLgrK4hS,184500,4,22
0.567,0.922,11,-4.501,1,0.105,0.179,6.96e-06,0.127,0.965,128.028,audio_features,1okhB5zKjOldHHpcNCrVy5,spotify:track:1okhB5zKjOldHHpcNCrVy5,https://api.spotify.com/v1/tracks/1okhB5zKjOldHHpcNCrVy5,https://api.spotify.com/v1/audio-analysis/1okhB5zKjOldHHpcNCrVy5,240309,4,33
0.658,0.832,4,-4.701,0,0.0319,0.274,0,0.43,0.922,127.922,audio_features,4Vb42TnaYZaaTBfu3qmyQ4,spotify:track:4Vb42TnaYZaaTBfu3qmyQ4,https://api.spotify.com/v1/tracks/4Vb42TnaYZaaTBfu3qmyQ4,https://api.spotify.com/v1/audio-analysis/4Vb42TnaYZaaTBfu3qmyQ4,182700,4,25
0.777,0.846,4,-4.135,0,0.125,0.5,9.31e-05,0.236,0.791,145.056,audio_features,2AXYCz4RlnuoCl7H5lasPm,spotify:track:2AXYCz4RlnuoCl7H5lasPm,https://api.spotify.com/v1/tracks/2AXYCz4RlnuoCl7H5lasPm,https://api.spotify.com/v1/audio-analysis/2AXYCz4RlnuoCl7H5lasPm,203067,4,27
0.702,0.722,5,-7.775,0,0.0713,0.0972,0.000291,0.322,0.683,179.989,audio_features,5Ss1OzgisPxQQ0yLtvmsdx,spotify:track:5Ss1OzgisPxQQ0yLtvmsdx,https://api.spotify.com/v1/tracks/5Ss1OzgisPxQQ0yLtvmsdx,https://api.spotify.com/v1/audio-analysis/5Ss1OzgisPxQQ0yLtvmsdx,235024,4,24
0.792,0.913,8,-2.065,1,0.275,0.00841,2.38e-05,0.0696,0.606,125.272,audio_features,2sVFUPt8rf9DhxH3D2vqgs,spotify:track:2sVFUPt8rf9DhxH3D2vqgs,https://api.spotify.com/v1/tracks/2sVFUPt8rf9DhxH3D2vqgs,https://api.spotify.com/v1/audio-analysis/2sVFUPt8rf9DhxH3D2vqgs,180000,4,1
0.723,0.61,3,-9.319,0,0.135,0.495,4.13e-06,0.0929,0.415,127.901,audio_features,3wc0kpZM2lv5UlbA9NFteg,spotify:track:3wc0kpZM2lv5UlbA9NFteg,https://api.spotify.com/v1/tracks/3wc0kpZM2lv5UlbA9NFteg,https://api.spotify.com/v1/audio-analysis/3wc0kpZM2lv5UlbA9NFteg,214582,4,49
0.767,0.885,7,-3.162,1,0.179,0.483,0,0.369,0.93,117.985,audio_features,0VcdlLwQc2ffeZLw79dnvB,spotify:track:0VcdlLwQc2ffeZLw79dnvB,https://api.spotify.com/v1/tracks/0VcdlLwQc2ffeZLw79dnvB,https://api.spotify.com/v1/audio-analysis/0VcdlLwQc2ffeZLw79dnvB,188411,4,26
0.804,0.485,1,-7.689,1,0.106,0.0276,1.85e-05,0.0934,0.126,128.057,audio_features,2v8G0VjL4H3ZcLMJrQJ1JJ,spotify:track:2v8G0VjL4H3ZcLMJrQJ1JJ,https://api.spotify.com/v1/tracks/2v8G0VjL4H3ZcLMJrQJ1JJ,https://api.spotify.com/v1/audio-analysis/2v8G0VjL4H3ZcLMJrQJ1JJ,203260,4,20
0.822,0.756,7,-8.062,0,0.0531,0.205,0.36,0.0666,0.38,119.979,audio_features,7k9TBFdtRFqpwAmlQFH9TJ,spotify:track:7k9TBFdtRFqpwAmlQFH9TJ,https://api.spotify.com/v1/tracks/7k9TBFdtRFqpwAmlQFH9TJ,https://api.spotify.com/v1/audio-analysis/7k9TBFdtRFqpwAmlQFH9TJ,193707,4,37
0.605,0.856,6,-3.829,1,0.399,0.0594,0,0.0716,0.679,81.617,audio_features,3FYehQpFHwFHTZ0LJicq6w,spotify:track:3FYehQpFHwFHTZ0LJicq6w,https://api.spotify.com/v1/tracks/3FYehQpFHwFHTZ0LJicq6w,https://api.spotify.com/v1/audio-analysis/3FYehQpFHwFHTZ0LJicq6w,275122,4,35
0.717,0.826,4,-6.907,0,0.0389,0.151,0.000247,0.0962,0.552,100.01,audio_features,3WM9LwbgYpPdoB2jdDEDzM,spotify:track:3WM9LwbgYpPdoB2jdDEDzM,https://api.spotify.com/v1/tracks/3WM9LwbgYpPdoB2jdDEDzM,https://api.spotify.com/v1/audio-analysis/3WM9LwbgYpPdoB2jdDEDzM,235200,4,26
0.795,0.914,11,-3.639,0,0.0618,0.028,0.00883,0.149,0.957,128.003,audio_features,5r57eSdi1h4Ni95G9IsLRk,spotify:track:5r57eSdi1h4Ni95G9IsLRk,https://api.spotify.com/v1/tracks/5r57eSdi1h4Ni95G9IsLRk,https://api.spotify.com/v1/audio-analysis/5r57eSdi1h4Ni95G9IsLRk,241104,4,20
0.77,0.753,4,-7.775,0,0.0489,0.339,0,0.0672,0.876,102.015,audio_features,4uMjXIVAFPH6OymXcq8JEb,spotify:track:4uMjXIVAFPH6OymXcq8JEb,https://api.spotify.com/v1/tracks/4uMjXIVAFPH6OymXcq8JEb,https://api.spotify.com/v1/audio-analysis/4uMjXIVAFPH6OymXcq8JEb,197027,4,9
0.619,0.809,2,-3.73,0,0.0443,0.18,1.33e-06,0.148,0.601,171.985,audio_features,6bqLE3Gwym6sw6s3iILtSk,spotify:track:6bqLE3Gwym6sw6s3iILtSk,https://api.spotify.com/v1/tracks/6bqLE3Gwym6sw6s3iILtSk,https://api.spotify.com/v1/audio-analysis/6bqLE3Gwym6sw6s3iILtSk,307493,4,38
0.883,0.521,10,-5.899,0,0.0473,0.147,0.623,0.086,0.935,126.013,audio_features,55PtuQkEHQn7Hv8Eol2s4M,spotify:track:55PtuQkEHQn7Hv8Eol2s4M,https://api.spotify.com/v1/tracks/55PtuQkEHQn7Hv8Eol2s4M,https://api.spotify.com/v1/audio-analysis/55PtuQkEHQn7Hv8Eol2s4M,230476,4,23
0.81,0.695,7,-6.881,0,0.123,0.477,1.57e-06,0.0774,0.724,97.993,audio_features,6ilV7XWjZyzHP2xj2kPewE,spotify:track:6ilV7XWjZyzHP2xj2kPewE,https://api.spotify.com/v1/tracks/6ilV7XWjZyzHP2xj2kPewE,https://api.spotify.com/v1/audio-analysis/6ilV7XWjZyzHP2xj2kPewE,223765,4,33
