danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.588,0.951,7,-4.35,1,0.0716,0.00301,0.0195,0.174,0.681,128.004,audio_features,5mlrNLqd5Pj8Yorh6trGB4,spotify:track:5mlrNLqd5Pj8Yorh6trGB4,https://api.spotify.com/v1/tracks/5mlrNLqd5Pj8Yorh6trGB4,https://api.spotify.com/v1/audio-analysis/5mlrNLqd5Pj8Yorh6trGB4,258656,4,40
0.608,0.593,2,-6.237,1,0.0385,0.00183,0.0502,0.0959,0.166,127.979,audio_features,1FaooXd1Lp6ZHy4CAheM6f,spotify:track:1FaooXd1Lp6ZHy4CAheM6f,https://api.spotify.com/v1/tracks/1FaooXd1Lp6ZHy4CAheM6f,https://api.spotify.com/v1/audio-analysis/1FaooXd1Lp6ZHy4CAheM6f,328980,4,43
0.275,0.911,5,-3.282,0,0.0647,0.00341,0.901,0.0767,0.119,191.958,audio_features,6cO4KnbaaEg31TKBfjPgwO,spotify:track:6cO4KnbaaEg31TKBfjPgwO,https://api.spotify.com/v1/tracks/6cO4KnbaaEg31TKBfjPgwO,https://api.spotify.com/v1/audio-analysis/6cO4KnbaaEg31TKBfjPgwO,232500,3,39
0.64,0.979,2,-3.391,1,0.235,0.000136,0.852,0.0989,0.182,128.024,audio_features,4OHt3xaWvQsfdOGd1HpBwW,spotify:track:4OHt3xaWvQsfdOGd1HpBwW,https://api.spotify.com/v1/tracks/4OHt3xaWvQsfdOGd1HpBwW,https://api.spotify.com/v1/audio-analysis/4OHt3xaWvQsfdOGd1HpBwW,211106,4,55
0.659,0.978,5,-4.578,0,0.102,0.00139,0.841,0.667,0.239,127.998,audio_features,2khgNkUo08fKwIMYggbCWI,spotify:track:2khgNkUo08fKwIMYggbCWI,https://api.spotify.com/v1/tracks/2khgNkUo08fKwIMYggbCWI,https://api.spotify.com/v1/audio-analysis/2khgNkUo08fKwIMYggbCWI,211123,4,43
0.567,0.981,6,-3.112,0,0.205,0.132,0.618,0.0709,0.1,127.919,audio_features,2pt2jPQ02BF2noGQz3v9DC,spotify:track:2pt2jPQ02BF2noGQz3v9DC,https://api.spotify.com/v1/tracks/2pt2jPQ02BF2noGQz3v9DC,https://api.spotify.com/v1/audio-analysis/2pt2jPQ02BF2noGQz3v9DC,169453,4,51
0.657,0.886,7,-4.107,1,0.0861,0.00174,0.0863,0.2,0.0596,130.016,audio_features,3wGEwxnWKhHMA3C9fkAhHs,spotify:track:3wGEwxnWKhHMA3C9fkAhHs,https://api.spotify.com/v1/tracks/3wGEwxnWKhHMA3C9fkAhHs,https://api.spotify.com/v1/audio-analysis/3wGEwxnWKhHMA3C9fkAhHs,193371,4,58
0.549,0.978,1,-2.321,1,0.263,0.00426,0.00354,0.375,0.182,127.951,audio_features,1CuxhgEb5VE1R0Pmcdphze,spotify:track:1CuxhgEb5VE1R0Pmcdphze,https://api.spotify.com/v1/tracks/1CuxhgEb5VE1R0Pmcdphze,https://api.spotify.com/v1/audio-analysis/1CuxhgEb5VE1R0Pmcdphze,168750,4,44
0.649,0.943,5,-5.414,0,0.0832,0.00844,0.0097,0.177,0.316,127.979,audio_features,1Ic5qdLFRiSoM5MrZ55Gj0,spotify:track:1Ic5qdLFRiSoM5MrZ55Gj0,https://api.spotify.com/v1/tracks/1Ic5qdLFRiSoM5MrZ55Gj0,https://api.spotify.com/v1/audio-analysis/1Ic5qdLFRiSoM5MrZ55Gj0,191250,4,38
0.689,0.913,2,-2.944,1,0.0362,0.00612,0.0552,0.0562,0.076,127.974,audio_features,2RTDwuOYrdVrfest9QVLlP,spotify:track:2RTDwuOYrdVrfest9QVLlP,https://api.spotify.com/v1/tracks/2RTDwuOYrdVrfest9QVLlP,https://api.spotify.com/v1/audio-analysis/2RTDwuOYrdVrfest9QVLlP,200625,4,49
