danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.543,0.365,5,-12.973,0,0.039,0.957,0.914,0.118,0.355,132.098,audio_features,5eMiGAYw53R3Eyyk8p4Bun,spotify:track:5eMiGAYw53R3Eyyk8p4Bun,https://api.spotify.com/v1/tracks/5eMiGAYw53R3Eyyk8p4Bun,https://api.spotify.com/v1/audio-analysis/5eMiGAYw53R3Eyyk8p4Bun,279375,4,37
0.418,0.28,3,-17.164,1,0.0369,0.941,0.839,0.102,0.91,110.492,audio_features,1W3WoQ2ECZzQnpOEt3XZVK,spotify:track:1W3WoQ2ECZzQnpOEt3XZVK,https://api.spotify.com/v1/tracks/1W3WoQ2ECZzQnpOEt3XZVK,https://api.spotify.com/v1/audio-analysis/1W3WoQ2ECZzQnpOEt3XZVK,133027,4,37
0.557,0.393,7,-12.664,1,0.044,0.684,0.834,0.0828,0.158,94.543,audio_features,3zeHdmXo195KoBqqHOO6A9,spotify:track:3zeHdmXo195KoBqqHOO6A9,https://api.spotify.com/v1/tracks/3zeHdmXo195KoBqqHOO6A9,https://api.spotify.com/v1/audio-analysis/3zeHdmXo195KoBqqHOO6A9,112680,4,45
0.312,0.378,6,-10.956,1,0.0358,0.842,0.933,0.108,0.146,110.443,audio_features,2vSjs5QYsnVfp1HIDMhHdh,spotify:track:2vSjs5QYsnVfp1HIDMhHdh,https://api.spotify.com/v1/tracks/2vSjs5QYsnVfp1HIDMhHdh,https://api.spotify.com/v1/audio-analysis/2vSjs5QYsnVfp1HIDMhHdh,283000,4,13
0.607,0.194,2,-10.396,0,0.0308,0.97,0.34,0.107,0.181,99.835,audio_features,7gP40cgwzUeDkypRwpSNrf,spotify:track:7gP40cgwzUeDkypRwpSNrf,https://api.spotify.com/v1/tracks/7gP40cgwzUeDkypRwpSNrf,https://api.spotify.com/v1/audio-analysis/7gP40cgwzUeDkypRwpSNrf,172080,4,34
0.475,0.0703,0,-22.699,0,0.0465,0.961,0.891,0.13,0.497,153.597,audio_features,2wxpgRChMOPsE9lebeEzMj,spotify:track:2wxpgRChMOPsE9lebeEzMj,https://api.spotify.com/v1/tracks/2wxpgRChMOPsE9lebeEzMj,https://api.spotify.com/v1/audio-analysis/2wxpgRChMOPsE9lebeEzMj,147067,4,4
0.314,0.315,5,-12.686,1,0.0274,0.533,0.884,0.112,0.106,171.439,audio_features,3dRkBf8fXhph6yQtQR7uBL,spotify:track:3dRkBf8fXhph6yQtQR7uBL,https://api.spotify.com/v1/tracks/3dRkBf8fXhph6yQtQR7uBL,https://api.spotify.com/v1/audio-analysis/3dRkBf8fXhph6yQtQR7uBL,261827,4,33
0.282,0.499,4,-7.969,1,0.0292,0.273,0.908,0.153,0.279,95.95,audio_features,59tcQJiHwApzE4h6yVnL9i,spotify:track:59tcQJiHwApzE4h6yVnL9i,https://api.spotify.com/v1/tracks/59tcQJiHwApzE4h6yVnL9i,https://api.spotify.com/v1/audio-analysis/59tcQJiHwApzE4h6yVnL9i,699261,4,51
0.421,0.106,7,-16.393,1,0.0368,0.978,0.697,0.681,0.353,133.339,audio_features,0TmXJc8p6FHnuUilFYrBim,spotify:track:0TmXJc8p6FHnuUilFYrBim,https://api.spotify.com/v1/tracks/0TmXJc8p6FHnuUilFYrBim,https://api.spotify.com/v1/audio-analysis/0TmXJc8p6FHnuUilFYrBim,227067,4,5
0.431,0.294,7,-13.928,1,0.0269,0.882,0.901,0.111,0.193,88.085,audio_features,6X3618mK5K2tKZ1w71309J,spotify:track:6X3618mK5K2tKZ1w71309J,https://api.spotify.com/v1/tracks/6X3618mK5K2tKZ1w71309J,https://api.spotify.com/v1/audio-analysis/6X3618mK5K2tKZ1w71309J,127640,4,2
0.491,0.489,0,-11.815,1,0.0699,0.482,0.869,0.082,0.597,113.397,audio_features,53wIyztwFrKjjHMo7IiLQm,spotify:track:53wIyztwFrKjjHMo7IiLQm,https://api.spotify.com/v1/tracks/53wIyztwFrKjjHMo7IiLQm,https://api.spotify.com/v1/audio-analysis/53wIyztwFrKjjHMo7IiLQm,314853,4,37
0.345,0.447,4,-13.866,1,0.0444,0.846,0.937,0.116,0.349,146.413,audio_features,7hpOIIRXsBLVdidajcJ06R,spotify:track:7hpOIIRXsBLVdidajcJ06R,https://api.spotify.com/v1/tracks/7hpOIIRXsBLVdidajcJ06R,https://api.spotify.com/v1/audio-analysis/7hpOIIRXsBLVdidajcJ06R,194708,3,36
