danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.61,0.376,7,-11.68,1,0.037,0.648,0.803,0.0927,0.375,146.014,audio_features,6Jl9PxWmGOoSxOBWa00Z0q,spotify:track:6Jl9PxWmGOoSxOBWa00Z0q,https://api.spotify.com/v1/tracks/6Jl9PxWmGOoSxOBWa00Z0q,https://api.spotify.com/v1/audio-analysis/6Jl9PxWmGOoSxOBWa00Z0q,145689,4,46
0.581,0.14,5,-23.095,1,0.214,0.971,0.955,0.109,0.248,183.773,audio_features,0SeCA3vPHuXGP6sizB05ZA,spotify:track:0SeCA3vPHuXGP6sizB05ZA,https://api.spotify.com/v1/tracks/0SeCA3vPHuXGP6sizB05ZA,https://api.spotify.com/v1/audio-analysis/0SeCA3vPHuXGP6sizB05ZA,50015,4,51
0.396,0.661,7,-13.296,1,0.0373,0.607,0.829,0.0932,0.631,164.987,audio_features,28bvyDj3R9pNU96f7hTF2W,spotify:track:28bvyDj3R9pNU96f7hTF2W,https://api.spotify.com/v1/tracks/28bvyDj3R9pNU96f7hTF2W,https://api.spotify.com/v1/audio-analysis/28bvyDj3R9pNU96f7hTF2W,136440,5,46
0.353,0.865,5,-5.732,1,0.0378,0.765,0.896,0.204,0.826,169.868,audio_features,7th5cSpLRONE5nrvzkSiLS,spotify:track:7th5cSpLRONE5nrvzkSiLS,https://api.spotify.com/v1/tracks/7th5cSpLRONE5nrvzkSiLS,https://api.spotify.com/v1/audio-analysis/7th5cSpLRONE5nrvzkSiLS,131213,3,44
0.237,0.315,11,-18.468,0,0.044,0.97,0.898,0.285,0.521,171.55,audio_features,217H94y73OgLMiT7LswFEn,spotify:track:217H94y73OgLMiT7LswFEn,https://api.spotify.com/v1/tracks/217H94y73OgLMiT7LswFEn,https://api.spotify.com/v1/audio-analysis/217H94y73OgLMiT7LswFEn,124560,3,5
0.516,0.0971,5,-20.081,1,0.0559,0.974,0.951,0.108,0.46,107.037,audio_features,383MxeoXVw7bdeBKEz68Po,spotify:track:383MxeoXVw7bdeBKEz68Po,https://api.spotify.com/v1/tracks/383MxeoXVw7bdeBKEz68Po,https://api.spotify.com/v1/audio-analysis/383MxeoXVw7bdeBKEz68Po,55213,4,54
0.499,0.564,9,-9.736,0,0.0417,0.582,0.881,0.087,0.559,154.024,audio_features,0ksfRvHljT8MW9dlhmQMia,spotify:track:0ksfRvHljT8MW9dlhmQMia,https://api.spotify.com/v1/tracks/0ksfRvHljT8MW9dlhmQMia,https://api.spotify.com/v1/audio-analysis/0ksfRvHljT8MW9dlhmQMia,171480,4,44
0.543,0.148,5,-17.457,1,0.0693,0.833,0.881,0.11,0.421,134.084,audio_features,0qlwfXNM5YTxYzLMtZuTym,spotify:track:0qlwfXNM5YTxYzLMtZuTym,https://api.spotify.com/v1/tracks/0qlwfXNM5YTxYzLMtZuTym,https://api.spotify.com/v1/audio-analysis/0qlwfXNM5YTxYzLMtZuTym,60387,4,8
0.278,0.000879,8,-38.243,1,0.0525,0.851,0.987,0.0892,0.0396,64.154,audio_features,0sBqNVnk1Z8VYfQMkHGskp,spotify:track:0sBqNVnk1Z8VYfQMkHGskp,https://api.spotify.com/v1/tracks/0sBqNVnk1Z8VYfQMkHGskp,https://api.spotify.com/v1/audio-analysis/0sBqNVnk1Z8VYfQMkHGskp,172389,3,43
0.566,0.155,2,-18.76,1,0.033,0.828,0.819,0.116,0.69,108.51,audio_features,7qWRxZQ6YTNDxUV3MRuZiV,spotify:track:7qWRxZQ6YTNDxUV3MRuZiV,https://api.spotify.com/v1/tracks/7qWRxZQ6YTNDxUV3MRuZiV,https://api.spotify.com/v1/audio-analysis/7qWRxZQ6YTNDxUV3MRuZiV,31844,4,42
