danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.38,0.0089,6,-33.388,0,0.0491,0.994,0.891,0.0961,0.0807,71.024,audio_features,2Ua2U7enh9ErAF6DaJh4hg,spotify:track:2Ua2U7enh9ErAF6DaJh4hg,https://api.spotify.com/v1/tracks/2Ua2U7enh9ErAF6DaJh4hg,https://api.spotify.com/v1/audio-analysis/2Ua2U7enh9ErAF6DaJh4hg,77418,4,64
0.179,0.026,0,-30.937,0,0.0385,0.996,0.89,0.0836,0.068,77.116,audio_features,1QmhkjuUlosROqKk59sBSK,spotify:track:1QmhkjuUlosROqKk59sBSK,https://api.spotify.com/v1/tracks/1QmhkjuUlosROqKk59sBSK,https://api.spotify.com/v1/audio-analysis/1QmhkjuUlosROqKk59sBSK,353147,3,65
0.308,0.128,3,-18.791,0,0.0572,0.987,0.93,0.115,0.0635,71.894,audio_features,2WJGRRRZ35beKytyV9h476,spotify:track:2WJGRRRZ35beKytyV9h476,https://api.spotify.com/v1/tracks/2WJGRRRZ35beKytyV9h476,https://api.spotify.com/v1/audio-analysis/2WJGRRRZ35beKytyV9h476,177000,4,27
0.407,0.187,8,-16.436,0,0.044,0.964,0.925,0.108,0.0705,117.264,audio_features,3WzXJhi5jtc29EoOwjPf2D,spotify:track:3WzXJhi5jtc29EoOwjPf2D,https://api.spotify.com/v1/tracks/3WzXJhi5jtc29EoOwjPf2D,https://api.spotify.com/v1/audio-analysis/3WzXJhi5jtc29EoOwjPf2D,148245,5,67
0.542,0.0501,2,-17.623,1,0.0328,0.954,0.891,0.0912,0.0634,110.739,audio_features,5w8M2WZDLoFwycrmB3QfBm,spotify:track:5w8M2WZDLoFwycrmB3QfBm,https://api.spotify.com/v1/tracks/5w8M2WZDLoFwycrmB3QfBm,https://api.spotify.com/v1/audio-analysis/5w8M2WZDLoFwycrmB3QfBm,139876,4,66
0.524,0.0244,0,-26.099,0,0.0373,0.99,0.899,0.138,0.128,128.085,audio_features,0uwPKxXPXVAwqbz21XhUet,spotify:track:0uwPKxXPXVAwqbz21XhUet,https://api.spotify.com/v1/tracks/0uwPKxXPXVAwqbz21XhUet,https://api.spotify.com/v1/audio-analysis/0uwPKxXPXVAwqbz21XhUet,185012,4,64
0.574,0.0577,3,-22.165,0,0.0393,0.991,0.912,0.111,0.0849,140.994,audio_features,2XeZi7qwChzLOt32tsoPXV,spotify:track:2XeZi7qwChzLOt32tsoPXV,https://api.spotify.com/v1/tracks/2XeZi7qwChzLOt32tsoPXV,https://api.spotify.com/v1/audio-analysis/2XeZi7qwChzLOt32tsoPXV,160160,3,60
0.362,0.0434,9,-28.494,0,0.0348,0.992,0.931,0.0852,0.239,68.745,audio_features,6r8w79CjfjW7Loxt4eXksi,spotify:track:6r8w79CjfjW7Loxt4eXksi,https://api.spotify.com/v1/tracks/6r8w79CjfjW7Loxt4eXksi,https://api.spotify.com/v1/audio-analysis/6r8w79CjfjW7Loxt4eXksi,273747,4,55
0.401,0.0268,0,-23.912,1,0.0449,0.983,0.879,0.121,0.0725,121.47,audio_features,5smg7I3dlFezDBYjLY2f0S,spotify:track:5smg7I3dlFezDBYjLY2f0S,https://api.spotify.com/v1/tracks/5smg7I3dlFezDBYjLY2f0S,https://api.spotify.com/v1/audio-analysis/5smg7I3dlFezDBYjLY2f0S,107464,4,66
0.51,0.0567,6,-24.525,0,0.0769,0.995,0.916,0.0902,0.489,149.59,audio_features,0hsP0ePngHpxLQp9ZVVVRl,spotify:track:0hsP0ePngHpxLQp9ZVVVRl,https://api.spotify.com/v1/tracks/0hsP0ePngHpxLQp9ZVVVRl,https://api.spotify.com/v1/audio-analysis/0hsP0ePngHpxLQp9ZVVVRl,118051,3,61
