danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.281,0.137,4,-24.845,1,0.0334,0.989,0.924,0.112,0.499,84.665,audio_features,2OIcoDsIo3qdoAVoFgmToX,spotify:track:2OIcoDsIo3qdoAVoFgmToX,https://api.spotify.com/v1/tracks/2OIcoDsIo3qdoAVoFgmToX,https://api.spotify.com/v1/audio-analysis/2OIcoDsIo3qdoAVoFgmToX,229920,4,30
0.55,0.0493,2,-28.422,1,0.0777,0.995,0.957,0.112,0.613,62.578,audio_features,0MllfMLiCnbsAZzjGLmZg6,spotify:track:0MllfMLiCnbsAZzjGLmZg6,https://api.spotify.com/v1/tracks/0MllfMLiCnbsAZzjGLmZg6,https://api.spotify.com/v1/audio-analysis/0MllfMLiCnbsAZzjGLmZg6,29880,4,3
0.265,0.151,2,-25.191,1,0.0404,0.994,0.886,0.126,0.605,75.405,audio_features,2PUXGEHVZryOnfIQMslhgn,spotify:track:2PUXGEHVZryOnfIQMslhgn,https://api.spotify.com/v1/tracks/2PUXGEHVZryOnfIQMslhgn,https://api.spotify.com/v1/audio-analysis/2PUXGEHVZryOnfIQMslhgn,36360,3,36
0.478,0.456,11,-15.938,0,0.0462,0.986,0.879,0.134,0.189,61.174,audio_features,4busNc4bcll5fWqISZpRVp,spotify:track:4busNc4bcll5fWqISZpRVp,https://api.spotify.com/v1/tracks/4busNc4bcll5fWqISZpRVp,https://api.spotify.com/v1/audio-analysis/4busNc4bcll5fWqISZpRVp,36360,4,36
0.431,0.0623,2,-27.197,1,0.0421,0.995,0.933,0.113,0.505,77.765,audio_features,4HZRI7uzHNyx1XLA1pNENk,spotify:track:4HZRI7uzHNyx1XLA1pNENk,https://api.spotify.com/v1/tracks/4HZRI7uzHNyx1XLA1pNENk,https://api.spotify.com/v1/audio-analysis/4HZRI7uzHNyx1XLA1pNENk,92160,1,36
0.329,0.127,2,-21.859,1,0.0412,0.986,0.826,0.109,0.307,89.174,audio_features,1qs4msUEmqUH1yJuR1ijAl,spotify:track:1qs4msUEmqUH1yJuR1ijAl,https://api.spotify.com/v1/tracks/1qs4msUEmqUH1yJuR1ijAl,https://api.spotify.com/v1/audio-analysis/1qs4msUEmqUH1yJuR1ijAl,32760,4,36
0.508,0.014,7,-31.941,1,0.0647,0.996,0.937,0.083,0.186,77.791,audio_features,45GERIzkPfeehNuwsMpl5Q,spotify:track:45GERIzkPfeehNuwsMpl5Q,https://api.spotify.com/v1/tracks/45GERIzkPfeehNuwsMpl5Q,https://api.spotify.com/v1/audio-analysis/45GERIzkPfeehNuwsMpl5Q,86760,4,36
0.4,0.186,2,-21.749,1,0.0427,0.991,0.851,0.0914,0.275,134.645,audio_features,6IYemzbxw7MV7lTBB0WZ9U,spotify:track:6IYemzbxw7MV7lTBB0WZ9U,https://api.spotify.com/v1/tracks/6IYemzbxw7MV7lTBB0WZ9U,https://api.spotify.com/v1/audio-analysis/6IYemzbxw7MV7lTBB0WZ9U,58320,4,36
0.367,0.283,2,-22.909,1,0.0459,0.991,0.92,0.181,0.496,133.484,audio_features,3MMpjFRN7LJ7dECBzya1eD,spotify:track:3MMpjFRN7LJ7dECBzya1eD,https://api.spotify.com/v1/tracks/3MMpjFRN7LJ7dECBzya1eD,https://api.spotify.com/v1/audio-analysis/3MMpjFRN7LJ7dECBzya1eD,32760,4,36
0.332,0.131,1,-19.923,0,0.0311,0.98,0.838,0.103,0.0361,82.674,audio_features,2i5eKrTVG7kVBNaAPMQt9j,spotify:track:2i5eKrTVG7kVBNaAPMQt9j,https://api.spotify.com/v1/tracks/2i5eKrTVG7kVBNaAPMQt9j,https://api.spotify.com/v1/audio-analysis/2i5eKrTVG7kVBNaAPMQt9j,60480,5,36
