danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.546,0.778,0,-7.507,1,0.0351,0.025,0.877,0.101,0.132,160.018,audio_features,0ReI7PN5C8mQ2VCeL7PtgQ,spotify:track:0ReI7PN5C8mQ2VCeL7PtgQ,https://api.spotify.com/v1/tracks/0ReI7PN5C8mQ2VCeL7PtgQ,https://api.spotify.com/v1/audio-analysis/0ReI7PN5C8mQ2VCeL7PtgQ,188062,4,39
0.17,0.135,3,-20.122,1,0.0417,0.886,0.958,0.956,0.0372,134.033,audio_features,1UIC2el78JSQgiylOe0u8F,spotify:track:1UIC2el78JSQgiylOe0u8F,https://api.spotify.com/v1/tracks/1UIC2el78JSQgiylOe0u8F,https://api.spotify.com/v1/audio-analysis/1UIC2el78JSQgiylOe0u8F,396600,4,57
0.785,0.198,0,-16.471,0,0.0445,0.217,0.878,0.105,0.243,123.982,audio_features,2DQNBF54FOycOIPoG0ts6F,spotify:track:2DQNBF54FOycOIPoG0ts6F,https://api.spotify.com/v1/tracks/2DQNBF54FOycOIPoG0ts6F,https://api.spotify.com/v1/audio-analysis/2DQNBF54FOycOIPoG0ts6F,225862,4,43
0.6,0.189,0,-18.632,1,0.0336,0.869,0.938,0.365,0.125,97.985,audio_features,1drIzBpNWYeQgMVjjTV4xY,spotify:track:1drIzBpNWYeQgMVjjTV4xY,https://api.spotify.com/v1/tracks/1drIzBpNWYeQgMVjjTV4xY,https://api.spotify.com/v1/audio-analysis/1drIzBpNWYeQgMVjjTV4xY,264828,4,56
0.514,0.411,8,-10.245,1,0.0366,0.11,0.847,0.111,0.0383,88.026,audio_features,5JhX0HXEPEBpMlDajptYH9,spotify:track:5JhX0HXEPEBpMlDajptYH9,https://api.spotify.com/v1/tracks/5JhX0HXEPEBpMlDajptYH9,https://api.spotify.com/v1/audio-analysis/5JhX0HXEPEBpMlDajptYH9,244804,4,42
0.549,0.484,8,-9.583,1,0.0316,0.122,0.86,0.0885,0.0672,97.016,audio_features,2Qb77IqgpVEy2Gr0ikEK6U,spotify:track:2Qb77IqgpVEy2Gr0ikEK6U,https://api.spotify.com/v1/tracks/2Qb77IqgpVEy2Gr0ikEK6U,https://api.spotify.com/v1/audio-analysis/2Qb77IqgpVEy2Gr0ikEK6U,284870,4,42
0.39,0.245,3,-17.511,0,0.0394,0.926,0.859,0.361,0.11,132.247,audio_features,2Ja6olyQK3JtLf1pvcgM8z,spotify:track:2Ja6olyQK3JtLf1pvcgM8z,https://api.spotify.com/v1/tracks/2Ja6olyQK3JtLf1pvcgM8z,https://api.spotify.com/v1/audio-analysis/2Ja6olyQK3JtLf1pvcgM8z,353333,3,38
0.71,0.415,8,-15.067,1,0.0347,0.0805,0.86,0.127,0.761,98.011,audio_features,5ASue9VqTEjTrKFscUYOa6,spotify:track:5ASue9VqTEjTrKFscUYOa6,https://api.spotify.com/v1/tracks/5ASue9VqTEjTrKFscUYOa6,https://api.spotify.com/v1/audio-analysis/5ASue9VqTEjTrKFscUYOa6,270920,4,40
0.501,0.393,5,-11.831,1,0.113,0.483,0.898,0.108,0.38,100.044,audio_features,10aMBL3kt0WmVW1cqNwtBc,spotify:track:10aMBL3kt0WmVW1cqNwtBc,https://api.spotify.com/v1/tracks/10aMBL3kt0WmVW1cqNwtBc,https://api.spotify.com/v1/audio-analysis/10aMBL3kt0WmVW1cqNwtBc,331200,4,38
0.638,0.661,7,-9.276,1,0.0327,0.00614,0.858,0.109,0.175,100.005,audio_features,3E4DtlB6A45g8rBVHU3FPU,spotify:track:3E4DtlB6A45g8rBVHU3FPU,https://api.spotify.com/v1/tracks/3E4DtlB6A45g8rBVHU3FPU,https://api.spotify.com/v1/audio-analysis/3E4DtlB6A45g8rBVHU3FPU,231800,4,33
