danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.512,0.596,7,-5.226,1,0.0277,0.884,0.00029,0.282,0.617,103.219,audio_features,5Szsg4ccHxbzBRrLFXAPmK,spotify:track:5Szsg4ccHxbzBRrLFXAPmK,https://api.spotify.com/v1/tracks/5Szsg4ccHxbzBRrLFXAPmK,https://api.spotify.com/v1/audio-analysis/5Szsg4ccHxbzBRrLFXAPmK,184470,4,16
0.776,0.335,9,-10.152,1,0.0614,0.638,0.000126,0.15,0.54,127.754,audio_features,4LLTqpc4ywNrx89seBQi3w,spotify:track:4LLTqpc4ywNrx89seBQi3w,https://api.spotify.com/v1/tracks/4LLTqpc4ywNrx89seBQi3w,https://api.spotify.com/v1/audio-analysis/4LLTqpc4ywNrx89seBQi3w,280828,4,53
0.476,0.565,2,-13.059,1,0.0287,0.682,0.84,0.15,0.825,126.744,audio_features,6CjmCAzJistyH2lPD340r4,spotify:track:6CjmCAzJistyH2lPD340r4,https://api.spotify.com/v1/tracks/6CjmCAzJistyH2lPD340r4,https://api.spotify.com/v1/audio-analysis/6CjmCAzJistyH2lPD340r4,139893,4,9
0.769,0.288,0,-12.323,0,0.0364,0.991,0.0647,0.114,0.697,117.777,audio_features,5gdfUvZS4OdMA7BJtVG2tJ,spotify:track:5gdfUvZS4OdMA7BJtVG2tJ,https://api.spotify.com/v1/tracks/5gdfUvZS4OdMA7BJtVG2tJ,https://api.spotify.com/v1/audio-analysis/5gdfUvZS4OdMA7BJtVG2tJ,216307,4,33
0.469,0.572,4,-7.129,1,0.0288,0.573,6.08e-06,0.141,0.587,180.842,audio_features,2NwjxAXoM2CeFrHpMSXpJv,spotify:track:2NwjxAXoM2CeFrHpMSXpJv,https://api.spotify.com/v1/tracks/2NwjxAXoM2CeFrHpMSXpJv,https://api.spotify.com/v1/audio-analysis/2NwjxAXoM2CeFrHpMSXpJv,203073,4,19
0.537,0.524,0,-7.657,1,0.027,0.653,0.00122,0.137,0.65,111.438,audio_features,4l0US6aOMAODTa7kauy7df,spotify:track:4l0US6aOMAODTa7kauy7df,https://api.spotify.com/v1/tracks/4l0US6aOMAODTa7kauy7df,https://api.spotify.com/v1/audio-analysis/4l0US6aOMAODTa7kauy7df,190635,4,39
0.511,0.269,4,-12.96,1,0.0346,0.899,0.000183,0.0897,0.435,139.793,audio_features,4SiS7LvF6n8WnW5ZeB4RfL,spotify:track:4SiS7LvF6n8WnW5ZeB4RfL,https://api.spotify.com/v1/tracks/4SiS7LvF6n8WnW5ZeB4RfL,https://api.spotify.com/v1/audio-analysis/4SiS7LvF6n8WnW5ZeB4RfL,201573,4,24
0.573,0.441,0,-12.733,1,0.0536,0.439,0.00198,0.623,0.51,97.485,audio_features,6MtoDVDXLKBE4XhZOQs4hJ,spotify:track:6MtoDVDXLKBE4XhZOQs4hJ,https://api.spotify.com/v1/tracks/6MtoDVDXLKBE4XhZOQs4hJ,https://api.spotify.com/v1/audio-analysis/6MtoDVDXLKBE4XhZOQs4hJ,217653,4,19
0.508,0.452,4,-11.095,1,0.0312,0.567,0.268,0.129,0.441,171.869,audio_features,1L63IzD4NQYsD2ZCEwIKJK,spotify:track:1L63IzD4NQYsD2ZCEwIKJK,https://api.spotify.com/v1/tracks/1L63IzD4NQYsD2ZCEwIKJK,https://api.spotify.com/v1/audio-analysis/1L63IzD4NQYsD2ZCEwIKJK,290373,4,33
0.438,0.669,9,-8.643,1,0.0334,0.631,0.000192,0.156,0.456,145.697,audio_features,7maj5pakgmZjGQ2nOEYK4z,spotify:track:7maj5pakgmZjGQ2nOEYK4z,https://api.spotify.com/v1/tracks/7maj5pakgmZjGQ2nOEYK4z,https://api.spotify.com/v1/audio-analysis/7maj5pakgmZjGQ2nOEYK4z,292991,4,33
