danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.656,0.731,2,-5.315,1,0.0876,0.451,2.26e-06,0.0811,0.649,144.005,audio_features,2txZKGnh75sFb3FFnuwjgF,spotify:track:2txZKGnh75sFb3FFnuwjgF,https://api.spotify.com/v1/tracks/2txZKGnh75sFb3FFnuwjgF,https://api.spotify.com/v1/audio-analysis/2txZKGnh75sFb3FFnuwjgF,220587,3,32
0.709,0.681,0,-3.832,1,0.0361,0.0236,0.00229,0.74,0.393,119.024,audio_features,7cGr5XY2pfj9b4UngCktG0,spotify:track:7cGr5XY2pfj9b4UngCktG0,https://api.spotify.com/v1/tracks/7cGr5XY2pfj9b4UngCktG0,https://api.spotify.com/v1/audio-analysis/7cGr5XY2pfj9b4UngCktG0,183693,4,46
0.514,0.453,6,-7.062,1,0.0267,0.456,0.000181,0.178,0.54,75.548,audio_features,3loLXLMqHTwtY9ycNhIoDR,spotify:track:3loLXLMqHTwtY9ycNhIoDR,https://api.spotify.com/v1/tracks/3loLXLMqHTwtY9ycNhIoDR,https://api.spotify.com/v1/audio-analysis/3loLXLMqHTwtY9ycNhIoDR,215613,4,50
0.457,0.348,10,-8.937,1,0.032,0.601,0.459,0.334,0.278,171.702,audio_features,247qxelzjSgKDWINzRJ7Pf,spotify:track:247qxelzjSgKDWINzRJ7Pf,https://api.spotify.com/v1/tracks/247qxelzjSgKDWINzRJ7Pf,https://api.spotify.com/v1/audio-analysis/247qxelzjSgKDWINzRJ7Pf,240027,3,26
0.658,0.179,8,-10.866,1,0.0448,0.689,0,0.17,0.191,128.128,audio_features,4Lpt72os5stnbqajI8tZz2,spotify:track:4Lpt72os5stnbqajI8tZz2,https://api.spotify.com/v1/tracks/4Lpt72os5stnbqajI8tZz2,https://api.spotify.com/v1/audio-analysis/4Lpt72os5stnbqajI8tZz2,238560,4,43
0.687,0.825,5,-7.496,1,0.0515,0.636,0.00408,0.144,0.97,164.232,audio_features,6SYjuziFUZaxUPJLVq7BOH,spotify:track:6SYjuziFUZaxUPJLVq7BOH,https://api.spotify.com/v1/tracks/6SYjuziFUZaxUPJLVq7BOH,https://api.spotify.com/v1/audio-analysis/6SYjuziFUZaxUPJLVq7BOH,171953,4,7
0.726,0.551,10,-6.786,1,0.0289,0.617,0.022,0.1,0.802,133.062,audio_features,3TrYli5BpZzzNoyAH64k2K,spotify:track:3TrYli5BpZzzNoyAH64k2K,https://api.spotify.com/v1/tracks/3TrYli5BpZzzNoyAH64k2K,https://api.spotify.com/v1/audio-analysis/3TrYli5BpZzzNoyAH64k2K,142213,4,14
0.586,0.57,9,-7.848,1,0.0424,0.0396,1.81e-05,0.042,0.751,139.971,audio_features,0B8w3VmElQ9RkBwKRgbheD,spotify:track:0B8w3VmElQ9RkBwKRgbheD,https://api.spotify.com/v1/tracks/0B8w3VmElQ9RkBwKRgbheD,https://api.spotify.com/v1/audio-analysis/0B8w3VmElQ9RkBwKRgbheD,183088,4,28
0.4,0.74,7,-5.176,1,0.0484,0.236,0,0.33,0.668,187.507,audio_features,58vvWxNX1uQVs0ZRBAOfOi,spotify:track:58vvWxNX1uQVs0ZRBAOfOi,https://api.spotify.com/v1/tracks/58vvWxNX1uQVs0ZRBAOfOi,https://api.spotify.com/v1/audio-analysis/58vvWxNX1uQVs0ZRBAOfOi,141480,4,41
0.82,0.45,5,-8.629,0,0.19,0.401,0.77,0.106,0.267,147.035,audio_features,0WNnCTRREQ8wFNoI1vQHch,spotify:track:0WNnCTRREQ8wFNoI1vQHch,https://api.spotify.com/v1/tracks/0WNnCTRREQ8wFNoI1vQHch,https://api.spotify.com/v1/audio-analysis/0WNnCTRREQ8wFNoI1vQHch,173373,4,27
0.585,0.785,9,-7.787,1,0.0262,0.329,0.00981,0.0787,0.569,97.982,audio_features,7gHhHZfZDIOzFJVA4Ibh6b,spotify:track:7gHhHZfZDIOzFJVA4Ibh6b,https://api.spotify.com/v1/tracks/7gHhHZfZDIOzFJVA4Ibh6b,https://api.spotify.com/v1/audio-analysis/7gHhHZfZDIOzFJVA4Ibh6b,197453,4,1
0.499,0.699,4,-7.514,1,0.0702,0.175,6.12e-06,0.148,0.814,169.244,audio_features,7oop0Rsh4jhdOtglVL3Dmf,spotify:track:7oop0Rsh4jhdOtglVL3Dmf,https://api.spotify.com/v1/tracks/7oop0Rsh4jhdOtglVL3Dmf,https://api.spotify.com/v1/audio-analysis/7oop0Rsh4jhdOtglVL3Dmf,146107,4,50
0.63,0.535,4,-8.335,1,0.0495,0.446,0.00631,0.282,0.527,109.588,audio_features,3gvbrdr1UoFMmUUcQHs71F,spotify:track:3gvbrdr1UoFMmUUcQHs71F,https://api.spotify.com/v1/tracks/3gvbrdr1UoFMmUUcQHs71F,https://api.spotify.com/v1/audio-analysis/3gvbrdr1UoFMmUUcQHs71F,217040,4,0
0.551,0.669,7,-6.8,1,0.0663,0.472,0,0.0613,0.53,82.957,audio_features,1Q9BAEptV3nrj8sXBHU70M,spotify:track:1Q9BAEptV3nrj8sXBHU70M,https://api.spotify.com/v1/tracks/1Q9BAEptV3nrj8sXBHU70M,https://api.spotify.com/v1/audio-analysis/1Q9BAEptV3nrj8sXBHU70M,213800,4,47
0.466,0.844,7,-5.949,1,0.0463,0.144,3.65e-05,0.0883,0.45,154.866,audio_features,7Lfe6sNxdQAjmsc9qdvTJP,spotify:track:7Lfe6sNxdQAjmsc9qdvTJP,https://api.spotify.com/v1/tracks/7Lfe6sNxdQAjmsc9qdvTJP,https://api.spotify.com/v1/audio-analysis/7Lfe6sNxdQAjmsc9qdvTJP,215653,4,0
0.221,0.874,6,-4.412,1,0.0493,3.42e-05,0.000272,0.359,0.552,191.001,audio_features,4hqsg6viSC2UoLKUydMFOO,spotify:track:4hqsg6viSC2UoLKUydMFOO,https://api.spotify.com/v1/tracks/4hqsg6viSC2UoLKUydMFOO,https://api.spotify.com/v1/audio-analysis/4hqsg6viSC2UoLKUydMFOO,202400,4,43
0.556,0.866,6,-5.806,1,0.0338,0.00768,0.00275,0.149,0.775,126.027,audio_features,2ukqPb8XYAJoHExmY0pCOm,spotify:track:2ukqPb8XYAJoHExmY0pCOm,https://api.spotify.com/v1/tracks/2ukqPb8XYAJoHExmY0pCOm,https://api.spotify.com/v1/audio-analysis/2ukqPb8XYAJoHExmY0pCOm,160549,4,25
0.555,0.818,9,-6.208,1,0.0331,0.0171,2.45e-06,0.0569,0.55,137.155,audio_features,0aLZJatiP0eWCrfKvM9dpa,spotify:track:0aLZJatiP0eWCrfKvM9dpa,https://api.spotify.com/v1/tracks/0aLZJatiP0eWCrfKvM9dpa,https://api.spotify.com/v1/audio-analysis/0aLZJatiP0eWCrfKvM9dpa,228360,4,29
0.587,0.793,9,-5.856,1,0.047,0.229,0.000138,0.273,0.97,126.631,audio_features,1poOkGfR31kfQ8N9EbD401,spotify:track:1poOkGfR31kfQ8N9EbD401,https://api.spotify.com/v1/tracks/1poOkGfR31kfQ8N9EbD401,https://api.spotify.com/v1/audio-analysis/1poOkGfR31kfQ8N9EbD401,176400,4,0
0.643,0.388,0,-14.081,1,0.041,0.0918,0.000135,0.114,0.717,164.078,audio_features,2czZazqWU3lADtbLQgCsHF,spotify:track:2czZazqWU3lADtbLQgCsHF,https://api.spotify.com/v1/tracks/2czZazqWU3lADtbLQgCsHF,https://api.spotify.com/v1/audio-analysis/2czZazqWU3lADtbLQgCsHF,336813,4,3
0.274,0.875,2,-4.965,1,0.0368,0.00782,0.00112,0.325,0.54,112.486,audio_features,4Dwbii7ProCTYAjRDyvNRA,spotify:track:4Dwbii7ProCTYAjRDyvNRA,https://api.spotify.com/v1/tracks/4Dwbii7ProCTYAjRDyvNRA,https://api.spotify.com/v1/audio-analysis/4Dwbii7ProCTYAjRDyvNRA,301029,3,25
0.58,0.935,7,-5.7,1,0.0288,0.039,0.00109,0.205,0.877,102.462,audio_features,7dKMr11wq0YylSiYJIOI6z,spotify:track:7dKMr11wq0YylSiYJIOI6z,https://api.spotify.com/v1/tracks/7dKMr11wq0YylSiYJIOI6z,https://api.spotify.com/v1/audio-analysis/7dKMr11wq0YylSiYJIOI6z,278707,4,0
0.343,0.737,9,-6.025,1,0.0349,0.0265,2.98e-05,0.345,0.664,160.668,audio_features,0vqeMxEGBrbH1VHE88qV3L,spotify:track:0vqeMxEGBrbH1VHE88qV3L,https://api.spotify.com/v1/tracks/0vqeMxEGBrbH1VHE88qV3L,https://api.spotify.com/v1/audio-analysis/0vqeMxEGBrbH1VHE88qV3L,213173,4,26
0.557,0.764,7,-7.846,0,0.143,0.333,0,0.115,0.737,90.893,audio_features,7BMgx9rf5sNUCUGXnKKoew,spotify:track:7BMgx9rf5sNUCUGXnKKoew,https://api.spotify.com/v1/tracks/7BMgx9rf5sNUCUGXnKKoew,https://api.spotify.com/v1/audio-analysis/7BMgx9rf5sNUCUGXnKKoew,155773,4,3
0.722,0.497,4,-7.608,1,0.0394,0.215,0.00268,0.192,0.691,136.657,audio_features,3YYmCD8ERuxyMu6GDhWDQF,spotify:track:3YYmCD8ERuxyMu6GDhWDQF,https://api.spotify.com/v1/tracks/3YYmCD8ERuxyMu6GDhWDQF,https://api.spotify.com/v1/audio-analysis/3YYmCD8ERuxyMu6GDhWDQF,163347,4,28
0.696,0.875,7,-4.876,1,0.0305,0.184,7.67e-05,0.0834,0.823,104.094,audio_features,1WNtjvH8NmueY4kV10ZI93,spotify:track:1WNtjvH8NmueY4kV10ZI93,https://api.spotify.com/v1/tracks/1WNtjvH8NmueY4kV10ZI93,https://api.spotify.com/v1/audio-analysis/1WNtjvH8NmueY4kV10ZI93,198227,3,20
0.846,0.744,4,-5.738,1,0.0548,0.353,0.000124,0.19,0.805,114.405,audio_features,3GjJ5XSLZPGYDyq0VlCAGK,spotify:track:3GjJ5XSLZPGYDyq0VlCAGK,https://api.spotify.com/v1/tracks/3GjJ5XSLZPGYDyq0VlCAGK,https://api.spotify.com/v1/audio-analysis/3GjJ5XSLZPGYDyq0VlCAGK,206085,4,1
0.685,0.617,7,-7.328,1,0.0252,0.306,3.44e-06,0.297,0.528,96.012,audio_features,2JJNypokDJGxWtyzaZdvfn,spotify:track:2JJNypokDJGxWtyzaZdvfn,https://api.spotify.com/v1/tracks/2JJNypokDJGxWtyzaZdvfn,https://api.spotify.com/v1/audio-analysis/2JJNypokDJGxWtyzaZdvfn,158415,3,24
0.594,0.706,7,-7.343,1,0.0291,0.515,0.00789,0.114,0.906,91.655,audio_features,4LdiTj0GG5PYlmU63XpYBy,spotify:track:4LdiTj0GG5PYlmU63XpYBy,https://api.spotify.com/v1/tracks/4LdiTj0GG5PYlmU63XpYBy,https://api.spotify.com/v1/audio-analysis/4LdiTj0GG5PYlmU63XpYBy,182800,4,32
0.632,0.586,1,-2.796,1,0.0443,0.0103,2.07e-05,0.0624,0.509,109.593,audio_features,4vmgP10TH0YYqJkzr8yLW0,spotify:track:4vmgP10TH0YYqJkzr8yLW0,https://api.spotify.com/v1/tracks/4vmgP10TH0YYqJkzr8yLW0,https://api.spotify.com/v1/audio-analysis/4vmgP10TH0YYqJkzr8yLW0,213733,3,31
