danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.596,0.818,7,-5.654,1,0.0359,0.00653,0.104,0.169,0.834,168.428,audio_features,5a2WV9vQTSOlbCTap3jFjj,spotify:track:5a2WV9vQTSOlbCTap3jFjj,https://api.spotify.com/v1/tracks/5a2WV9vQTSOlbCTap3jFjj,https://api.spotify.com/v1/audio-analysis/5a2WV9vQTSOlbCTap3jFjj,161013,4,24
0.485,0.266,11,-9.3,1,0.0346,0.911,0,0.117,0.548,132.304,audio_features,2Z5aLcm4qBIXteTIzX1iMN,spotify:track:2Z5aLcm4qBIXteTIzX1iMN,https://api.spotify.com/v1/tracks/2Z5aLcm4qBIXteTIzX1iMN,https://api.spotify.com/v1/audio-analysis/2Z5aLcm4qBIXteTIzX1iMN,226784,4,20
0.377,0.468,7,-12.539,1,0.0377,0.0109,0.00349,0.102,0.264,139.527,audio_features,7F5xXhW0lwu3sl95M5dh03,spotify:track:7F5xXhW0lwu3sl95M5dh03,https://api.spotify.com/v1/tracks/7F5xXhW0lwu3sl95M5dh03,https://api.spotify.com/v1/audio-analysis/7F5xXhW0lwu3sl95M5dh03,186160,4,31
0.41,0.659,4,-3.289,1,0.0308,0.728,4.58e-05,0.279,0.608,72.329,audio_features,3YMVQRRsQFxYizd8EJugrD,spotify:track:3YMVQRRsQFxYizd8EJugrD,https://api.spotify.com/v1/tracks/3YMVQRRsQFxYizd8EJugrD,https://api.spotify.com/v1/audio-analysis/3YMVQRRsQFxYizd8EJugrD,338814,4,24
0.671,0.648,9,-6.325,1,0.0313,0.494,4.44e-05,0.36,0.377,108.088,audio_features,68oChP7L8vv9Oy7ekk1DcV,spotify:track:68oChP7L8vv9Oy7ekk1DcV,https://api.spotify.com/v1/tracks/68oChP7L8vv9Oy7ekk1DcV,https://api.spotify.com/v1/audio-analysis/68oChP7L8vv9Oy7ekk1DcV,278547,3,22
0.446,0.216,11,-8.964,1,0.0268,0.897,2.71e-05,0.115,0.338,93.895,audio_features,4iVOmOgUWI6tyqKvwyINXN,spotify:track:4iVOmOgUWI6tyqKvwyINXN,https://api.spotify.com/v1/tracks/4iVOmOgUWI6tyqKvwyINXN,https://api.spotify.com/v1/audio-analysis/4iVOmOgUWI6tyqKvwyINXN,197193,4,38
0.838,0.669,5,-6.151,1,0.0297,0.145,9.09e-06,0.0882,0.81,112.957,audio_features,3oXHbUxSKfigmlQdkTxVpu,spotify:track:3oXHbUxSKfigmlQdkTxVpu,https://api.spotify.com/v1/tracks/3oXHbUxSKfigmlQdkTxVpu,https://api.spotify.com/v1/audio-analysis/3oXHbUxSKfigmlQdkTxVpu,273440,4,39
0.658,0.481,11,-9.889,0,0.0273,0.106,0.000651,0.112,0.644,124.914,audio_features,4qd7c6XSzByd6Dz1QdLAnV,spotify:track:4qd7c6XSzByd6Dz1QdLAnV,https://api.spotify.com/v1/tracks/4qd7c6XSzByd6Dz1QdLAnV,https://api.spotify.com/v1/audio-analysis/4qd7c6XSzByd6Dz1QdLAnV,186627,4,0
0.592,0.572,9,-7.889,1,0.0359,0.0717,3.38e-06,0.233,0.444,111.038,audio_features,7ptUsILjsH0184yYu0U7mn,spotify:track:7ptUsILjsH0184yYu0U7mn,https://api.spotify.com/v1/tracks/7ptUsILjsH0184yYu0U7mn,https://api.spotify.com/v1/audio-analysis/7ptUsILjsH0184yYu0U7mn,304875,4,22
0.574,0.294,0,-9.118,1,0.0276,0.259,8.17e-05,0.0893,0.261,111.594,audio_features,56XOeHY9T4Mm686OttTeh5,spotify:track:56XOeHY9T4Mm686OttTeh5,https://api.spotify.com/v1/tracks/56XOeHY9T4Mm686OttTeh5,https://api.spotify.com/v1/audio-analysis/56XOeHY9T4Mm686OttTeh5,228963,3,30
0.643,0.766,4,-6.481,1,0.0312,0.00984,0.000113,0.242,0.519,130.072,audio_features,2xD4DFnrn91xLuy4M7Yxt0,spotify:track:2xD4DFnrn91xLuy4M7Yxt0,https://api.spotify.com/v1/tracks/2xD4DFnrn91xLuy4M7Yxt0,https://api.spotify.com/v1/audio-analysis/2xD4DFnrn91xLuy4M7Yxt0,250333,4,20
0.591,0.45,7,-8.481,1,0.023,0.516,0.0875,0.242,0.419,95.123,audio_features,2LIOtDQuQ3mJuB1OOHPxIk,spotify:track:2LIOtDQuQ3mJuB1OOHPxIk,https://api.spotify.com/v1/tracks/2LIOtDQuQ3mJuB1OOHPxIk,https://api.spotify.com/v1/audio-analysis/2LIOtDQuQ3mJuB1OOHPxIk,202397,4,18
