danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.467,0.506,1,-6.298,1,0.0291,0.0243,0.0185,0.0895,0.13,116.05,audio_features,6ChGROy5zWwb9NTsvZ8g8C,spotify:track:6ChGROy5zWwb9NTsvZ8g8C,https://api.spotify.com/v1/tracks/6ChGROy5zWwb9NTsvZ8g8C,https://api.spotify.com/v1/audio-analysis/6ChGROy5zWwb9NTsvZ8g8C,276333,3,27
0.74,0.468,9,-6.867,1,0.0313,0.325,1.17e-06,0.119,0.483,134.908,audio_features,0b8spYgQ2INwOpDVfsUbNv,spotify:track:0b8spYgQ2INwOpDVfsUbNv,https://api.spotify.com/v1/tracks/0b8spYgQ2INwOpDVfsUbNv,https://api.spotify.com/v1/audio-analysis/0b8spYgQ2INwOpDVfsUbNv,217875,4,33
0.592,0.46,1,-11.002,1,0.0278,0.0178,0.00284,0.108,0.273,92.015,audio_features,4HNSPTlgghoOZyJIP0CeRr,spotify:track:4HNSPTlgghoOZyJIP0CeRr,https://api.spotify.com/v1/tracks/4HNSPTlgghoOZyJIP0CeRr,https://api.spotify.com/v1/audio-analysis/4HNSPTlgghoOZyJIP0CeRr,247307,4,36
0.579,0.737,8,-7.297,0,0.0374,0.055,0.0331,0.102,0.497,115.016,audio_features,10ayEpFHipm0XDD2gekfJ9,spotify:track:10ayEpFHipm0XDD2gekfJ9,https://api.spotify.com/v1/tracks/10ayEpFHipm0XDD2gekfJ9,https://api.spotify.com/v1/audio-analysis/10ayEpFHipm0XDD2gekfJ9,301578,4,28
0.758,0.644,0,-9.131,1,0.0479,0.129,1.25e-06,0.0901,0.767,129.967,audio_features,547EAYCEC4cudmnwL08cbs,spotify:track:547EAYCEC4cudmnwL08cbs,https://api.spotify.com/v1/tracks/547EAYCEC4cudmnwL08cbs,https://api.spotify.com/v1/audio-analysis/547EAYCEC4cudmnwL08cbs,257080,4,42
0.527,0.677,0,-6.283,0,0.0321,0.000357,0.000944,0.0966,0.561,118.794,audio_features,0kAxs3TYyh5UrCd4VXjxYY,spotify:track:0kAxs3TYyh5UrCd4VXjxYY,https://api.spotify.com/v1/tracks/0kAxs3TYyh5UrCd4VXjxYY,https://api.spotify.com/v1/audio-analysis/0kAxs3TYyh5UrCd4VXjxYY,260827,4,3
0.434,0.617,7,-8.052,1,0.0364,0.00256,0.00368,0.11,0.237,71.802,audio_features,6WmDz0oMiqxPejUCEIVVNv,spotify:track:6WmDz0oMiqxPejUCEIVVNv,https://api.spotify.com/v1/tracks/6WmDz0oMiqxPejUCEIVVNv,https://api.spotify.com/v1/audio-analysis/6WmDz0oMiqxPejUCEIVVNv,333573,4,31
0.376,0.708,0,-5.521,1,0.0444,0.197,8.1e-06,0.137,0.568,159.891,audio_features,7juppRDp7W8m3oQozOYdtd,spotify:track:7juppRDp7W8m3oQozOYdtd,https://api.spotify.com/v1/tracks/7juppRDp7W8m3oQozOYdtd,https://api.spotify.com/v1/audio-analysis/7juppRDp7W8m3oQozOYdtd,210271,4,39
0.566,0.867,7,-6.71,1,0.0447,0.000349,0.000209,0.347,0.572,128.559,audio_features,22EmSV9xNnwIHrZ1GOdKjo,spotify:track:22EmSV9xNnwIHrZ1GOdKjo,https://api.spotify.com/v1/tracks/22EmSV9xNnwIHrZ1GOdKjo,https://api.spotify.com/v1/audio-analysis/22EmSV9xNnwIHrZ1GOdKjo,206330,4,33
0.458,0.137,9,-15.291,0,0.0419,0.568,0,0.114,0.168,131.336,audio_features,6UU6o6ZObhjM2KD520LNaf,spotify:track:6UU6o6ZObhjM2KD520LNaf,https://api.spotify.com/v1/tracks/6UU6o6ZObhjM2KD520LNaf,https://api.spotify.com/v1/audio-analysis/6UU6o6ZObhjM2KD520LNaf,166080,5,2
0.366,0.685,11,-5.91,0,0.0437,0.0343,0.0248,0.232,0.369,113.706,audio_features,7HqtFBLJcilvyUuMav4Y5W,spotify:track:7HqtFBLJcilvyUuMav4Y5W,https://api.spotify.com/v1/tracks/7HqtFBLJcilvyUuMav4Y5W,https://api.spotify.com/v1/audio-analysis/7HqtFBLJcilvyUuMav4Y5W,220867,4,16
0.587,0.486,10,-11.686,1,0.028,0.0311,0.497,0.108,0.33,126.011,audio_features,7MGcxsfMJrHnqOZ4ZaThRf,spotify:track:7MGcxsfMJrHnqOZ4ZaThRf,https://api.spotify.com/v1/tracks/7MGcxsfMJrHnqOZ4ZaThRf,https://api.spotify.com/v1/audio-analysis/7MGcxsfMJrHnqOZ4ZaThRf,321524,4,41
0.472,0.517,11,-8.812,1,0.027,0.684,1.81e-05,0.214,0.363,77.942,audio_features,4RCJhOe7FgR25W1npdn3YG,spotify:track:4RCJhOe7FgR25W1npdn3YG,https://api.spotify.com/v1/tracks/4RCJhOe7FgR25W1npdn3YG,https://api.spotify.com/v1/audio-analysis/4RCJhOe7FgR25W1npdn3YG,218760,4,15
0.549,0.378,2,-9.013,1,0.0272,0.234,0.404,0.0724,0.539,146.236,audio_features,6Y9muHu7e8Q0z8p7idaAjJ,spotify:track:6Y9muHu7e8Q0z8p7idaAjJ,https://api.spotify.com/v1/tracks/6Y9muHu7e8Q0z8p7idaAjJ,https://api.spotify.com/v1/audio-analysis/6Y9muHu7e8Q0z8p7idaAjJ,199028,4,29
0.34,0.665,9,-7.676,0,0.0421,0.58,1.68e-05,0.294,0.367,98.172,audio_features,4kBEukzkShf0QOEzZua0Ss,spotify:track:4kBEukzkShf0QOEzZua0Ss,https://api.spotify.com/v1/tracks/4kBEukzkShf0QOEzZua0Ss,https://api.spotify.com/v1/audio-analysis/4kBEukzkShf0QOEzZua0Ss,202480,4,32
0.521,0.291,8,-9.063,0,0.0276,0.707,0.00155,0.109,0.137,99.847,audio_features,5mbcjmw6eqXlSSRHGxEjkG,spotify:track:5mbcjmw6eqXlSSRHGxEjkG,https://api.spotify.com/v1/tracks/5mbcjmw6eqXlSSRHGxEjkG,https://api.spotify.com/v1/audio-analysis/5mbcjmw6eqXlSSRHGxEjkG,165532,4,33
0.358,0.714,11,-6.12,0,0.0329,0.00105,0.00128,0.338,0.431,102.742,audio_features,2mueIraiRiGExPHAS0fkho,spotify:track:2mueIraiRiGExPHAS0fkho,https://api.spotify.com/v1/tracks/2mueIraiRiGExPHAS0fkho,https://api.spotify.com/v1/audio-analysis/2mueIraiRiGExPHAS0fkho,232973,4,49
0.578,0.439,9,-7.355,1,0.0436,0.609,0,0.118,0.151,145.051,audio_features,2WRqyybESJKQeN9kjtFlR0,spotify:track:2WRqyybESJKQeN9kjtFlR0,https://api.spotify.com/v1/tracks/2WRqyybESJKQeN9kjtFlR0,https://api.spotify.com/v1/audio-analysis/2WRqyybESJKQeN9kjtFlR0,196013,4,54
0.508,0.517,8,-8.054,0,0.0278,0.000717,0.0165,0.117,0.0543,103.935,audio_features,0JsRZWdSquAQtgyJO8mhLA,spotify:track:0JsRZWdSquAQtgyJO8mhLA,https://api.spotify.com/v1/tracks/0JsRZWdSquAQtgyJO8mhLA,https://api.spotify.com/v1/audio-analysis/0JsRZWdSquAQtgyJO8mhLA,285613,4,54
0.473,0.683,9,-7.665,0,0.0427,0.0184,0.299,0.0921,0.212,89.97,audio_features,3iZqyq5JXvhkpWHDIjDYIM,spotify:track:3iZqyq5JXvhkpWHDIjDYIM,https://api.spotify.com/v1/tracks/3iZqyq5JXvhkpWHDIjDYIM,https://api.spotify.com/v1/audio-analysis/3iZqyq5JXvhkpWHDIjDYIM,248547,4,55
0.525,0.698,0,-8.108,1,0.0324,0.0534,0.0558,0.103,0.214,104.976,audio_features,15Zd60KBXudnYr97ybCI0J,spotify:track:15Zd60KBXudnYr97ybCI0J,https://api.spotify.com/v1/tracks/15Zd60KBXudnYr97ybCI0J,https://api.spotify.com/v1/audio-analysis/15Zd60KBXudnYr97ybCI0J,241773,4,33
0.368,0.759,2,-7.758,1,0.0542,0.708,0.819,0.122,0.367,185.818,audio_features,3KmLJHamQlTLegD48QcY0i,spotify:track:3KmLJHamQlTLegD48QcY0i,https://api.spotify.com/v1/tracks/3KmLJHamQlTLegD48QcY0i,https://api.spotify.com/v1/audio-analysis/3KmLJHamQlTLegD48QcY0i,231525,4,31
0.319,0.586,2,-9.137,1,0.0394,0.0288,1.86e-05,0.223,0.201,137.144,audio_features,2FTgZQtTMVmwSpxJRMPdlo,spotify:track:2FTgZQtTMVmwSpxJRMPdlo,https://api.spotify.com/v1/tracks/2FTgZQtTMVmwSpxJRMPdlo,https://api.spotify.com/v1/audio-analysis/2FTgZQtTMVmwSpxJRMPdlo,257012,4,39
