danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.652,0.913,5,-4.98,1,0.0399,0.122,0.00593,0.115,0.905,124.832,audio_features,2A9Zm100yFB3CHQd6kFaB7,spotify:track:2A9Zm100yFB3CHQd6kFaB7,https://api.spotify.com/v1/tracks/2A9Zm100yFB3CHQd6kFaB7,https://api.spotify.com/v1/audio-analysis/2A9Zm100yFB3CHQd6kFaB7,191581,4,47
0.466,0.463,9,-8.851,1,0.0322,0.413,3.82e-05,0.0949,0.382,140.616,audio_features,1EYIDanK6mrRnFT9yYmfUk,spotify:track:1EYIDanK6mrRnFT9yYmfUk,https://api.spotify.com/v1/tracks/1EYIDanK6mrRnFT9yYmfUk,https://api.spotify.com/v1/audio-analysis/1EYIDanK6mrRnFT9yYmfUk,258200,4,40
0.45,0.652,0,-5.821,1,0.0292,0.221,1.81e-06,0.134,0.243,143.627,audio_features,7zVCsUqv1axiLwZ4YSDksc,spotify:track:7zVCsUqv1axiLwZ4YSDksc,https://api.spotify.com/v1/tracks/7zVCsUqv1axiLwZ4YSDksc,https://api.spotify.com/v1/audio-analysis/7zVCsUqv1axiLwZ4YSDksc,265561,4,42
0.199,0.613,10,-8.546,1,0.0339,0.265,0.007,0.134,0.385,167.962,audio_features,0dc0urjbYSgbmhdLWSSlP4,spotify:track:0dc0urjbYSgbmhdLWSSlP4,https://api.spotify.com/v1/tracks/0dc0urjbYSgbmhdLWSSlP4,https://api.spotify.com/v1/audio-analysis/0dc0urjbYSgbmhdLWSSlP4,237427,4,32
0.445,0.715,5,-9.497,1,0.0591,0.25,0,0.18,0.69,168.16,audio_features,4UEn3nHMm6UjfgBArMIeqk,spotify:track:4UEn3nHMm6UjfgBArMIeqk,https://api.spotify.com/v1/tracks/4UEn3nHMm6UjfgBArMIeqk,https://api.spotify.com/v1/audio-analysis/4UEn3nHMm6UjfgBArMIeqk,218640,4,44
0.454,0.772,5,-6.174,0,0.0257,0.00275,0.00677,0.208,0.437,102.32,audio_features,2i8DCTn4g2qBtaicfbHesw,spotify:track:2i8DCTn4g2qBtaicfbHesw,https://api.spotify.com/v1/tracks/2i8DCTn4g2qBtaicfbHesw,https://api.spotify.com/v1/audio-analysis/2i8DCTn4g2qBtaicfbHesw,342160,3,33
0.336,0.424,2,-10.42,0,0.0366,0.913,0.174,0.0942,0.107,81.75,audio_features,6J0OvmRxVmiRyLeJ0aBryf,spotify:track:6J0OvmRxVmiRyLeJ0aBryf,https://api.spotify.com/v1/tracks/6J0OvmRxVmiRyLeJ0aBryf,https://api.spotify.com/v1/audio-analysis/6J0OvmRxVmiRyLeJ0aBryf,248853,4,37
0.507,0.553,7,-6.957,1,0.0286,0.498,0.000419,0.143,0.4,130.793,audio_features,75lG0mNxn3YH7MD4qcLkA6,spotify:track:75lG0mNxn3YH7MD4qcLkA6,https://api.spotify.com/v1/tracks/75lG0mNxn3YH7MD4qcLkA6,https://api.spotify.com/v1/audio-analysis/75lG0mNxn3YH7MD4qcLkA6,245839,4,46
0.441,0.394,0,-9.047,1,0.0286,0.873,0.00261,0.106,0.098,84.255,audio_features,078kLYfYCjjPMbABqriXT3,spotify:track:078kLYfYCjjPMbABqriXT3,https://api.spotify.com/v1/tracks/078kLYfYCjjPMbABqriXT3,https://api.spotify.com/v1/audio-analysis/078kLYfYCjjPMbABqriXT3,236834,4,55
0.637,0.412,10,-10.427,1,0.0333,0.0732,0.473,0.134,0.595,81.142,audio_features,0Nqu3sabDda1cxGkLrTQQ2,spotify:track:0Nqu3sabDda1cxGkLrTQQ2,https://api.spotify.com/v1/tracks/0Nqu3sabDda1cxGkLrTQQ2,https://api.spotify.com/v1/audio-analysis/0Nqu3sabDda1cxGkLrTQQ2,201507,4,7
0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208227,3,77
0.496,0.275,5,-13.008,1,0.0297,0.905,0,0.117,0.39,77.599,audio_features,2R6k1q4Sjs08aqERAoAZ01,spotify:track:2R6k1q4Sjs08aqERAoAZ01,https://api.spotify.com/v1/tracks/2R6k1q4Sjs08aqERAoAZ01,https://api.spotify.com/v1/audio-analysis/2R6k1q4Sjs08aqERAoAZ01,155336,1,36
0.421,0.627,6,-9.822,0,0.0434,0.131,0,0.298,0.706,162.431,audio_features,3mR9SBX9G5EPd7vMFVMPWJ,spotify:track:3mR9SBX9G5EPd7vMFVMPWJ,https://api.spotify.com/v1/tracks/3mR9SBX9G5EPd7vMFVMPWJ,https://api.spotify.com/v1/audio-analysis/3mR9SBX9G5EPd7vMFVMPWJ,212693,4,42
0.559,0.582,6,-6.848,1,0.0283,0.00291,0.0031,0.13,0.356,109.006,audio_features,69HcvrXZ68cJKE0lreubP3,spotify:track:69HcvrXZ68cJKE0lreubP3,https://api.spotify.com/v1/tracks/69HcvrXZ68cJKE0lreubP3,https://api.spotify.com/v1/audio-analysis/69HcvrXZ68cJKE0lreubP3,199893,4,42
0.512,0.627,1,-6.738,1,0.0339,0.0151,0,0.184,0.44,158.042,audio_features,74892qRbe5YeOnlPAYZzoG,spotify:track:74892qRbe5YeOnlPAYZzoG,https://api.spotify.com/v1/tracks/74892qRbe5YeOnlPAYZzoG,https://api.spotify.com/v1/audio-analysis/74892qRbe5YeOnlPAYZzoG,207533,3,41
0.672,0.489,0,-6.478,1,0.0301,0.321,1.12e-05,0.0686,0.151,107.07,audio_features,2RuT0bwvNrCOPey7afGpVW,spotify:track:2RuT0bwvNrCOPey7afGpVW,https://api.spotify.com/v1/tracks/2RuT0bwvNrCOPey7afGpVW,https://api.spotify.com/v1/audio-analysis/2RuT0bwvNrCOPey7afGpVW,244507,4,48
0.727,0.397,5,-10.248,1,0.0259,0.406,0.00669,0.15,0.6,109.939,audio_features,3eL5l4NdFBIc9J7rAFhDZL,spotify:track:3eL5l4NdFBIc9J7rAFhDZL,https://api.spotify.com/v1/tracks/3eL5l4NdFBIc9J7rAFhDZL,https://api.spotify.com/v1/audio-analysis/3eL5l4NdFBIc9J7rAFhDZL,210136,4,53
0.436,0.804,0,-4.907,1,0.0409,0.209,0,0.171,0.784,188.061,audio_features,2eg2gvPXuwZ9FyrPaLgrXi,spotify:track:2eg2gvPXuwZ9FyrPaLgrXi,https://api.spotify.com/v1/tracks/2eg2gvPXuwZ9FyrPaLgrXi,https://api.spotify.com/v1/audio-analysis/2eg2gvPXuwZ9FyrPaLgrXi,170840,4,58
0.599,0.295,3,-11.548,1,0.0264,0.66,0.000934,0.102,0.144,112.588,audio_features,2DAshXha1ZTujz0pP7E28P,spotify:track:2DAshXha1ZTujz0pP7E28P,https://api.spotify.com/v1/tracks/2DAshXha1ZTujz0pP7E28P,https://api.spotify.com/v1/audio-analysis/2DAshXha1ZTujz0pP7E28P,190000,4,46
0.214,0.148,7,-17.775,1,0.037,0.0128,0.058,0.113,0.0277,46.591,audio_features,0lp0bQqzyLmNNHHFYRaaJf,spotify:track:0lp0bQqzyLmNNHHFYRaaJf,https://api.spotify.com/v1/tracks/0lp0bQqzyLmNNHHFYRaaJf,https://api.spotify.com/v1/audio-analysis/0lp0bQqzyLmNNHHFYRaaJf,175778,4,59
0.427,0.11,8,-10.486,1,0.0392,0.883,0,0.113,0.229,58.555,audio_features,7sqxbAwB1tl6MfQXHhA2R5,spotify:track:7sqxbAwB1tl6MfQXHhA2R5,https://api.spotify.com/v1/tracks/7sqxbAwB1tl6MfQXHhA2R5,https://api.spotify.com/v1/audio-analysis/7sqxbAwB1tl6MfQXHhA2R5,249147,4,57
0.536,0.489,4,-7.669,1,0.0319,0.74,0,0.0948,0.364,104.598,audio_features,2OTovEYN1lx57YfLEe4ylM,spotify:track:2OTovEYN1lx57YfLEe4ylM,https://api.spotify.com/v1/tracks/2OTovEYN1lx57YfLEe4ylM,https://api.spotify.com/v1/audio-analysis/2OTovEYN1lx57YfLEe4ylM,219893,4,58
0.222,0.363,4,-10.43,1,0.0329,0.665,0.0087,0.0821,0.113,81.573,audio_features,61N0PRyi0aLJCaYmgIzH0J,spotify:track:61N0PRyi0aLJCaYmgIzH0J,https://api.spotify.com/v1/tracks/61N0PRyi0aLJCaYmgIzH0J,https://api.spotify.com/v1/audio-analysis/61N0PRyi0aLJCaYmgIzH0J,240012,4,36
0.459,0.191,7,-16.576,1,0.035,0.888,0.0282,0.2,0.392,113.309,audio_features,3AzLbLoVT8QpXei0BJGKBW,spotify:track:3AzLbLoVT8QpXei0BJGKBW,https://api.spotify.com/v1/tracks/3AzLbLoVT8QpXei0BJGKBW,https://api.spotify.com/v1/audio-analysis/3AzLbLoVT8QpXei0BJGKBW,188673,4,37
0.429,0.093,3,-15.944,1,0.0433,0.882,0.00703,0.111,0.208,129.661,audio_features,5qW6ZYct54PhKliCntyxRX,spotify:track:5qW6ZYct54PhKliCntyxRX,https://api.spotify.com/v1/tracks/5qW6ZYct54PhKliCntyxRX,https://api.spotify.com/v1/audio-analysis/5qW6ZYct54PhKliCntyxRX,293973,3,57
0.548,0.64,10,-7.725,1,0.0441,0.0034,0.000467,0.111,0.532,129.871,audio_features,6rEj2J53cR5nTP46XmXp3b,spotify:track:6rEj2J53cR5nTP46XmXp3b,https://api.spotify.com/v1/tracks/6rEj2J53cR5nTP46XmXp3b,https://api.spotify.com/v1/audio-analysis/6rEj2J53cR5nTP46XmXp3b,216320,4,37
0.439,0.465,4,-9.587,1,0.0352,0.524,0.0157,0.122,0.433,91.877,audio_features,4dE4cTWfXbTUUzhvcHXwt6,spotify:track:4dE4cTWfXbTUUzhvcHXwt6,https://api.spotify.com/v1/tracks/4dE4cTWfXbTUUzhvcHXwt6,https://api.spotify.com/v1/audio-analysis/4dE4cTWfXbTUUzhvcHXwt6,212333,4,40
0.647,0.569,1,-9.129,0,0.0415,0.0494,0.157,0.106,0.735,160.026,audio_features,1InYdvd5SuL0pvupsM7MJI,spotify:track:1InYdvd5SuL0pvupsM7MJI,https://api.spotify.com/v1/tracks/1InYdvd5SuL0pvupsM7MJI,https://api.spotify.com/v1/audio-analysis/1InYdvd5SuL0pvupsM7MJI,210813,4,32
0.352,0.45,5,-9.881,1,0.0293,0.546,0.127,0.283,0.114,86.937,audio_features,1JxNWpK9xTWKRPoYTIX4Qk,spotify:track:1JxNWpK9xTWKRPoYTIX4Qk,https://api.spotify.com/v1/tracks/1JxNWpK9xTWKRPoYTIX4Qk,https://api.spotify.com/v1/audio-analysis/1JxNWpK9xTWKRPoYTIX4Qk,274200,4,62
0.582,0.34,4,-7.128,1,0.0327,0.838,7.04e-06,0.117,0.186,122.751,audio_features,7vfXlin8TFoaJ7YMUJR1Fm,spotify:track:7vfXlin8TFoaJ7YMUJR1Fm,https://api.spotify.com/v1/tracks/7vfXlin8TFoaJ7YMUJR1Fm,https://api.spotify.com/v1/audio-analysis/7vfXlin8TFoaJ7YMUJR1Fm,273400,4,38
0.636,0.526,7,-7.372,1,0.0363,0.0162,2.3e-06,0.089,0.338,76.447,audio_features,7Lhc9rgUp3cwfwEgo21kZi,spotify:track:7Lhc9rgUp3cwfwEgo21kZi,https://api.spotify.com/v1/tracks/7Lhc9rgUp3cwfwEgo21kZi,https://api.spotify.com/v1/audio-analysis/7Lhc9rgUp3cwfwEgo21kZi,182187,3,41
0.282,0.456,0,-10.705,1,0.0333,0.773,0.00557,0.11,0.169,127.975,audio_features,4YNW5ViGjuHT5dkqrT7DAS,spotify:track:4YNW5ViGjuHT5dkqrT7DAS,https://api.spotify.com/v1/tracks/4YNW5ViGjuHT5dkqrT7DAS,https://api.spotify.com/v1/audio-analysis/4YNW5ViGjuHT5dkqrT7DAS,217674,4,42
0.299,0.47,0,-9.542,1,0.0346,0.437,0.176,0.0919,0.182,113.506,audio_features,7gYwIAHB6VxzLJFSZMMv8i,spotify:track:7gYwIAHB6VxzLJFSZMMv8i,https://api.spotify.com/v1/tracks/7gYwIAHB6VxzLJFSZMMv8i,https://api.spotify.com/v1/audio-analysis/7gYwIAHB6VxzLJFSZMMv8i,281213,4,54
0.415,0.591,2,-9.71,1,0.06,0.00152,0.0107,0.19,0.377,86.98,audio_features,2uKpg1lT3YL40julYrNc1R,spotify:track:2uKpg1lT3YL40julYrNc1R,https://api.spotify.com/v1/tracks/2uKpg1lT3YL40julYrNc1R,https://api.spotify.com/v1/audio-analysis/2uKpg1lT3YL40julYrNc1R,193101,4,41
0.434,0.659,4,-7.633,1,0.0683,0.0386,0.488,0.0891,0.385,129.323,audio_features,7HxBnhvMjQHaOMtzpdRmjm,spotify:track:7HxBnhvMjQHaOMtzpdRmjm,https://api.spotify.com/v1/tracks/7HxBnhvMjQHaOMtzpdRmjm,https://api.spotify.com/v1/audio-analysis/7HxBnhvMjQHaOMtzpdRmjm,192160,4,40
0.601,0.4,0,-8.892,1,0.0283,0.587,0.000505,0.199,0.173,132.74,audio_features,6GShhhftAwBQitztgKUCPN,spotify:track:6GShhhftAwBQitztgKUCPN,https://api.spotify.com/v1/tracks/6GShhhftAwBQitztgKUCPN,https://api.spotify.com/v1/audio-analysis/6GShhhftAwBQitztgKUCPN,228960,4,41
0.567,0.633,8,-10.119,1,0.0398,0.269,0.0272,0.111,0.169,134.037,audio_features,3giMvVYDITrYZ2UIyU1r84,spotify:track:3giMvVYDITrYZ2UIyU1r84,https://api.spotify.com/v1/tracks/3giMvVYDITrYZ2UIyU1r84,https://api.spotify.com/v1/audio-analysis/3giMvVYDITrYZ2UIyU1r84,211275,4,39
0.43,0.395,10,-10.493,1,0.0319,0.8,0,0.283,0.236,111.844,audio_features,3mJyjohY5vN96Vb8FXXqAD,spotify:track:3mJyjohY5vN96Vb8FXXqAD,https://api.spotify.com/v1/tracks/3mJyjohY5vN96Vb8FXXqAD,https://api.spotify.com/v1/audio-analysis/3mJyjohY5vN96Vb8FXXqAD,190333,4,44
