danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.457,0.165,4,-10.318,0,0.0419,0.449,0,0.151,0.346,100.07,audio_features,1iHLsJuDx2wZRR6dm9eIrv,spotify:track:1iHLsJuDx2wZRR6dm9eIrv,https://api.spotify.com/v1/tracks/1iHLsJuDx2wZRR6dm9eIrv,https://api.spotify.com/v1/audio-analysis/1iHLsJuDx2wZRR6dm9eIrv,267189,5,37
0.666,0.483,6,-10.185,1,0.0297,0.803,0.00309,0.0904,0.49,126.061,audio_features,2zOs2Dck8ilE2DqpjZVdD2,spotify:track:2zOs2Dck8ilE2DqpjZVdD2,https://api.spotify.com/v1/tracks/2zOs2Dck8ilE2DqpjZVdD2,https://api.spotify.com/v1/audio-analysis/2zOs2Dck8ilE2DqpjZVdD2,249026,4,54
0.604,0.498,11,-6.563,1,0.0293,0.317,0,0.148,0.288,106.802,audio_features,4cO4CNCjd5L2utbgmOHvqI,spotify:track:4cO4CNCjd5L2utbgmOHvqI,https://api.spotify.com/v1/tracks/4cO4CNCjd5L2utbgmOHvqI,https://api.spotify.com/v1/audio-analysis/4cO4CNCjd5L2utbgmOHvqI,215880,3,36
0.504,0.204,2,-15.458,1,0.0394,0.84,0,0.111,0.3,111.48,audio_features,1mR59Lg0IFCHIKkYm2UNqv,spotify:track:1mR59Lg0IFCHIKkYm2UNqv,https://api.spotify.com/v1/tracks/1mR59Lg0IFCHIKkYm2UNqv,https://api.spotify.com/v1/audio-analysis/1mR59Lg0IFCHIKkYm2UNqv,190618,4,1
0.566,0.311,3,-16.535,1,0.0316,0.855,0.0265,0.658,0.13,109.956,audio_features,6jLkuxdoYI4pOGGPXMqSCo,spotify:track:6jLkuxdoYI4pOGGPXMqSCo,https://api.spotify.com/v1/tracks/6jLkuxdoYI4pOGGPXMqSCo,https://api.spotify.com/v1/audio-analysis/6jLkuxdoYI4pOGGPXMqSCo,252000,4,28
0.486,0.558,5,-10.452,1,0.0273,0.413,4.52e-05,0.109,0.298,91.193,audio_features,2YEOJLd2KExuNfg0JadEzW,spotify:track:2YEOJLd2KExuNfg0JadEzW,https://api.spotify.com/v1/tracks/2YEOJLd2KExuNfg0JadEzW,https://api.spotify.com/v1/audio-analysis/2YEOJLd2KExuNfg0JadEzW,212160,4,31
0.612,0.573,2,-7.31,0,0.0299,0.92,0.0421,0.115,0.42,109.996,audio_features,2ThEm5QN5UrJzmpAAMaH1Y,spotify:track:2ThEm5QN5UrJzmpAAMaH1Y,https://api.spotify.com/v1/tracks/2ThEm5QN5UrJzmpAAMaH1Y,https://api.spotify.com/v1/audio-analysis/2ThEm5QN5UrJzmpAAMaH1Y,257480,4,45
0.628,0.212,2,-13.482,0,0.0298,0.918,0,0.0926,0.235,107.643,audio_features,7psmKIuqBV6mDMPUNqqqRJ,spotify:track:7psmKIuqBV6mDMPUNqqqRJ,https://api.spotify.com/v1/tracks/7psmKIuqBV6mDMPUNqqqRJ,https://api.spotify.com/v1/audio-analysis/7psmKIuqBV6mDMPUNqqqRJ,189680,4,50
0.252,0.138,2,-12.277,1,0.0402,0.907,0,0.0948,0.16,79.319,audio_features,0vmXQNpPJW2WRSyjTkZ1Ep,spotify:track:0vmXQNpPJW2WRSyjTkZ1Ep,https://api.spotify.com/v1/tracks/0vmXQNpPJW2WRSyjTkZ1Ep,https://api.spotify.com/v1/audio-analysis/0vmXQNpPJW2WRSyjTkZ1Ep,234627,3,27
0.472,0.39,0,-11.414,0,0.0326,0.181,0.00206,0.189,0.29,108.574,audio_features,2gczZHOwTQiRIEM4znvQZA,spotify:track:2gczZHOwTQiRIEM4znvQZA,https://api.spotify.com/v1/tracks/2gczZHOwTQiRIEM4znvQZA,https://api.spotify.com/v1/audio-analysis/2gczZHOwTQiRIEM4znvQZA,200000,3,6
0.52,0.775,6,-5.653,1,0.0339,0.00531,2.38e-06,0.0998,0.361,128.921,audio_features,1ZJmzYcbZtA3aLV1OzdLCu,spotify:track:1ZJmzYcbZtA3aLV1OzdLCu,https://api.spotify.com/v1/tracks/1ZJmzYcbZtA3aLV1OzdLCu,https://api.spotify.com/v1/audio-analysis/1ZJmzYcbZtA3aLV1OzdLCu,198477,4,2
0.556,0.537,2,-7.74,1,0.0293,0.0499,9.06e-06,0.166,0.521,89.404,audio_features,7cKQE2K6ggLByzlIMtCxzu,spotify:track:7cKQE2K6ggLByzlIMtCxzu,https://api.spotify.com/v1/tracks/7cKQE2K6ggLByzlIMtCxzu,https://api.spotify.com/v1/audio-analysis/7cKQE2K6ggLByzlIMtCxzu,200253,4,42
0,0.498,0,-14.259,0,0,0.696,0,0,0,0,audio_features,5th9L9peX8eNtz7yGzUph7,spotify:track:5th9L9peX8eNtz7yGzUph7,https://api.spotify.com/v1/tracks/5th9L9peX8eNtz7yGzUph7,https://api.spotify.com/v1/audio-analysis/5th9L9peX8eNtz7yGzUph7,7380,0,0
0.556,0.466,1,-8.175,1,0.0348,0.729,0.408,0.0908,0.786,168.951,audio_features,1ZPWvofTZmBs5ODWBeGL6D,spotify:track:1ZPWvofTZmBs5ODWBeGL6D,https://api.spotify.com/v1/tracks/1ZPWvofTZmBs5ODWBeGL6D,https://api.spotify.com/v1/audio-analysis/1ZPWvofTZmBs5ODWBeGL6D,206307,4,32
0.494,0.268,2,-10.063,1,0.0315,0.816,9.74e-05,0.076,0.162,70.223,audio_features,7CEV9VwA8XO9wwxTXgYKvY,spotify:track:7CEV9VwA8XO9wwxTXgYKvY,https://api.spotify.com/v1/tracks/7CEV9VwA8XO9wwxTXgYKvY,https://api.spotify.com/v1/audio-analysis/7CEV9VwA8XO9wwxTXgYKvY,300840,4,61
0.659,0.747,2,-5.663,1,0.0301,0.137,0.000186,0.124,0.715,127.055,audio_features,4nTZmIdN7nxhfGTwJdyGvG,spotify:track:4nTZmIdN7nxhfGTwJdyGvG,https://api.spotify.com/v1/tracks/4nTZmIdN7nxhfGTwJdyGvG,https://api.spotify.com/v1/audio-analysis/4nTZmIdN7nxhfGTwJdyGvG,221133,4,34
0.506,0.265,11,-12.215,0,0.0289,0.972,0.00355,0.112,0.5,92.039,audio_features,2avzCVT0Zo4dgkp2vBgHOJ,spotify:track:2avzCVT0Zo4dgkp2vBgHOJ,https://api.spotify.com/v1/tracks/2avzCVT0Zo4dgkp2vBgHOJ,https://api.spotify.com/v1/audio-analysis/2avzCVT0Zo4dgkp2vBgHOJ,218333,4,12
0.689,0.484,0,-7.746,1,0.0399,0.503,3.12e-05,0.0489,0.353,113.948,audio_features,6dHkH0E2qffTPJj1lVfXqA,spotify:track:6dHkH0E2qffTPJj1lVfXqA,https://api.spotify.com/v1/tracks/6dHkH0E2qffTPJj1lVfXqA,https://api.spotify.com/v1/audio-analysis/6dHkH0E2qffTPJj1lVfXqA,250987,4,45
