danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.569,0.196,7,-14.255,1,0.0364,0.975,0.000216,0.157,0.647,94.202,audio_features,0ocOl2Z35YlNbPRRMEgpd2,spotify:track:0ocOl2Z35YlNbPRRMEgpd2,https://api.spotify.com/v1/tracks/0ocOl2Z35YlNbPRRMEgpd2,https://api.spotify.com/v1/audio-analysis/0ocOl2Z35YlNbPRRMEgpd2,124707,4,29
0.474,0.0559,4,-14.49,0,0.0422,0.963,1.29e-05,0.111,0.198,135.533,audio_features,19b2hhB7RnOURfZ68WVOdV,spotify:track:19b2hhB7RnOURfZ68WVOdV,https://api.spotify.com/v1/tracks/19b2hhB7RnOURfZ68WVOdV,https://api.spotify.com/v1/audio-analysis/19b2hhB7RnOURfZ68WVOdV,281743,4,32
0.469,0.426,9,-8.224,0,0.0238,0.0875,0,0.243,0.303,90.973,audio_features,1veg6mSKzCg1TFD1vwpUij,spotify:track:1veg6mSKzCg1TFD1vwpUij,https://api.spotify.com/v1/tracks/1veg6mSKzCg1TFD1vwpUij,https://api.spotify.com/v1/audio-analysis/1veg6mSKzCg1TFD1vwpUij,233024,4,32
0.619,0.0698,9,-10.932,1,0.0929,0.974,0,0.109,0.458,135.001,audio_features,65GlvrOfL2tArX1jJv36Sr,spotify:track:65GlvrOfL2tArX1jJv36Sr,https://api.spotify.com/v1/tracks/65GlvrOfL2tArX1jJv36Sr,https://api.spotify.com/v1/audio-analysis/65GlvrOfL2tArX1jJv36Sr,88765,3,2
0.668,0.431,5,-9.893,1,0.416,0.773,0,0.692,0.762,108.022,audio_features,0oURTzCixsBNe6jnYuYtay,spotify:track:0oURTzCixsBNe6jnYuYtay,https://api.spotify.com/v1/tracks/0oURTzCixsBNe6jnYuYtay,https://api.spotify.com/v1/audio-analysis/0oURTzCixsBNe6jnYuYtay,95707,3,33
0.646,0.173,9,-10.791,1,0.0514,0.976,3.6e-05,0.111,0.607,85.368,audio_features,2UZ8C6abrCuhjelaK1MFz1,spotify:track:2UZ8C6abrCuhjelaK1MFz1,https://api.spotify.com/v1/tracks/2UZ8C6abrCuhjelaK1MFz1,https://api.spotify.com/v1/audio-analysis/2UZ8C6abrCuhjelaK1MFz1,124853,4,40
0.481,0.888,1,-4.986,1,0.0534,0.0146,0.00449,0.0972,0.593,105.781,audio_features,5qX4r5vT9bY8xMsiKuZhQn,spotify:track:5qX4r5vT9bY8xMsiKuZhQn,https://api.spotify.com/v1/tracks/5qX4r5vT9bY8xMsiKuZhQn,https://api.spotify.com/v1/audio-analysis/5qX4r5vT9bY8xMsiKuZhQn,224227,4,49
0.641,0.842,9,-6.738,0,0.0282,0.126,0.102,0.15,0.711,115.048,audio_features,4902sigaZA0IflQ6FdWmtk,spotify:track:4902sigaZA0IflQ6FdWmtk,https://api.spotify.com/v1/tracks/4902sigaZA0IflQ6FdWmtk,https://api.spotify.com/v1/audio-analysis/4902sigaZA0IflQ6FdWmtk,203547,4,33
0.535,0.472,9,-9.09,0,0.031,0.0349,0.269,0.129,0.243,82.018,audio_features,1gZmLcA6IqI4YGhKIfFO8E,spotify:track:1gZmLcA6IqI4YGhKIfFO8E,https://api.spotify.com/v1/tracks/1gZmLcA6IqI4YGhKIfFO8E,https://api.spotify.com/v1/audio-analysis/1gZmLcA6IqI4YGhKIfFO8E,175153,4,45
0.589,0.753,2,-8.354,0,0.0343,0.0229,5.24e-06,0.148,0.69,117.027,audio_features,6D0xrEtK9dNepW4tjlPwj5,spotify:track:6D0xrEtK9dNepW4tjlPwj5,https://api.spotify.com/v1/tracks/6D0xrEtK9dNepW4tjlPwj5,https://api.spotify.com/v1/audio-analysis/6D0xrEtK9dNepW4tjlPwj5,307720,4,34
0.316,0.713,5,-7.658,1,0.0359,0.698,0.0321,0.0998,0.36,116.973,audio_features,1GMphu4rFfW80ME1EN8IJo,spotify:track:1GMphu4rFfW80ME1EN8IJo,https://api.spotify.com/v1/tracks/1GMphu4rFfW80ME1EN8IJo,https://api.spotify.com/v1/audio-analysis/1GMphu4rFfW80ME1EN8IJo,150293,4,38
0.403,0.659,2,-7.338,1,0.0303,0.123,0,0.0857,0.435,90.854,audio_features,2ZheGCM31EbCwUfGs0WJB1,spotify:track:2ZheGCM31EbCwUfGs0WJB1,https://api.spotify.com/v1/tracks/2ZheGCM31EbCwUfGs0WJB1,https://api.spotify.com/v1/audio-analysis/2ZheGCM31EbCwUfGs0WJB1,205773,4,53
