danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.558,0.286,3,-9.572,1,0.0295,0.517,0.0374,0.105,0.123,120.316,audio_features,03auri1kCcQxFDvU3yoD3E,spotify:track:03auri1kCcQxFDvU3yoD3E,https://api.spotify.com/v1/tracks/03auri1kCcQxFDvU3yoD3E,https://api.spotify.com/v1/audio-analysis/03auri1kCcQxFDvU3yoD3E,299827,4,9
0.517,0.257,6,-10.778,1,0.104,0.796,0,0.718,0.329,118.433,audio_features,4mtw5y65d5KnOzbwhvYz6X,spotify:track:4mtw5y65d5KnOzbwhvYz6X,https://api.spotify.com/v1/tracks/4mtw5y65d5KnOzbwhvYz6X,https://api.spotify.com/v1/audio-analysis/4mtw5y65d5KnOzbwhvYz6X,318093,3,0
0.61,0.437,7,-8.379,1,0.0242,0.854,0.602,0.0914,0.171,106.004,audio_features,27H7ftAZmkbROLZuqHZ4QD,spotify:track:27H7ftAZmkbROLZuqHZ4QD,https://api.spotify.com/v1/tracks/27H7ftAZmkbROLZuqHZ4QD,https://api.spotify.com/v1/audio-analysis/27H7ftAZmkbROLZuqHZ4QD,218133,4,32
0.698,0.393,6,-8.312,1,0.0329,0.126,0.134,0.106,0.357,93.005,audio_features,1MQGtGT7te6yAQMVKvvRbs,spotify:track:1MQGtGT7te6yAQMVKvvRbs,https://api.spotify.com/v1/tracks/1MQGtGT7te6yAQMVKvvRbs,https://api.spotify.com/v1/audio-analysis/1MQGtGT7te6yAQMVKvvRbs,241187,4,0
0.398,0.307,4,-11.823,1,0.0338,0.812,0.00579,0.0903,0.381,165.345,audio_features,3w0oPvD3NWyzxhbawiFLfY,spotify:track:3w0oPvD3NWyzxhbawiFLfY,https://api.spotify.com/v1/tracks/3w0oPvD3NWyzxhbawiFLfY,https://api.spotify.com/v1/audio-analysis/3w0oPvD3NWyzxhbawiFLfY,206333,3,21
0.563,0.407,2,-10.882,1,0.0284,0.302,0.0292,0.154,0.487,111.317,audio_features,4R3VCicJ7hcYmfjlWgOqvn,spotify:track:4R3VCicJ7hcYmfjlWgOqvn,https://api.spotify.com/v1/tracks/4R3VCicJ7hcYmfjlWgOqvn,https://api.spotify.com/v1/audio-analysis/4R3VCicJ7hcYmfjlWgOqvn,218667,4,33
0.276,0.347,2,-10.402,1,0.031,0.312,0.000143,0.147,0.519,176.637,audio_features,2EK3UM0CKpjxMVk6JWRONr,spotify:track:2EK3UM0CKpjxMVk6JWRONr,https://api.spotify.com/v1/tracks/2EK3UM0CKpjxMVk6JWRONr,https://api.spotify.com/v1/audio-analysis/2EK3UM0CKpjxMVk6JWRONr,143548,3,42
0.472,0.402,0,-14.162,1,0.0272,0.812,0.637,0.0975,0.164,122.214,audio_features,0llpbPQLATUggJkRkZovL9,spotify:track:0llpbPQLATUggJkRkZovL9,https://api.spotify.com/v1/tracks/0llpbPQLATUggJkRkZovL9,https://api.spotify.com/v1/audio-analysis/0llpbPQLATUggJkRkZovL9,262687,4,26
0.482,0.148,5,-11.087,1,0.0465,0.964,0.000119,0.106,0.436,151.981,audio_features,4XyrKa4r49DjoF9qeaueFw,spotify:track:4XyrKa4r49DjoF9qeaueFw,https://api.spotify.com/v1/tracks/4XyrKa4r49DjoF9qeaueFw,https://api.spotify.com/v1/audio-analysis/4XyrKa4r49DjoF9qeaueFw,117840,3,39
0.673,0.224,9,-11.673,1,0.0327,0.916,2.24e-05,0.868,0.572,114.724,audio_features,7yt10HaB4Pg0c7pncxzqIp,spotify:track:7yt10HaB4Pg0c7pncxzqIp,https://api.spotify.com/v1/tracks/7yt10HaB4Pg0c7pncxzqIp,https://api.spotify.com/v1/audio-analysis/7yt10HaB4Pg0c7pncxzqIp,223133,4,29
