danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.471,0.862,2,-6.721,1,0.0335,0.437,0.966,0.304,0.952,142.928,audio_features,1tuJyZqZy0P34uPcwVFoo7,spotify:track:1tuJyZqZy0P34uPcwVFoo7,https://api.spotify.com/v1/tracks/1tuJyZqZy0P34uPcwVFoo7,https://api.spotify.com/v1/audio-analysis/1tuJyZqZy0P34uPcwVFoo7,168867,4,29
0.555,0.429,10,-10.202,1,0.0303,0.823,4.11e-05,0.1,0.391,117.943,audio_features,0XZelTejXEzaztup9j4xnO,spotify:track:0XZelTejXEzaztup9j4xnO,https://api.spotify.com/v1/tracks/0XZelTejXEzaztup9j4xnO,https://api.spotify.com/v1/audio-analysis/0XZelTejXEzaztup9j4xnO,258453,4,0
0.715,0.185,2,-14.994,0,0.0532,0.934,0.000627,0.0788,0.313,131.927,audio_features,4qWb8fJ5xScpaJz1DK8dVS,spotify:track:4qWb8fJ5xScpaJz1DK8dVS,https://api.spotify.com/v1/tracks/4qWb8fJ5xScpaJz1DK8dVS,https://api.spotify.com/v1/audio-analysis/4qWb8fJ5xScpaJz1DK8dVS,157787,4,30
0.375,0.561,7,-8.164,1,0.0333,0.448,5.18e-05,0.0994,0.687,171.394,audio_features,29rZE5N3Q3Ke3GtJaQdbdR,spotify:track:29rZE5N3Q3Ke3GtJaQdbdR,https://api.spotify.com/v1/tracks/29rZE5N3Q3Ke3GtJaQdbdR,https://api.spotify.com/v1/audio-analysis/29rZE5N3Q3Ke3GtJaQdbdR,196766,4,0
0.777,0.266,4,-12.572,1,0.033,0.911,2.01e-05,0.103,0.583,95.998,audio_features,3Haa4El1l2XlEcPHGIvvbw,spotify:track:3Haa4El1l2XlEcPHGIvvbw,https://api.spotify.com/v1/tracks/3Haa4El1l2XlEcPHGIvvbw,https://api.spotify.com/v1/audio-analysis/3Haa4El1l2XlEcPHGIvvbw,184360,3,28
0.597,0.258,2,-9.951,1,0.0293,0.906,5.81e-06,0.122,0.347,115.226,audio_features,0KY35FGGCjF65VHzrcDy6F,spotify:track:0KY35FGGCjF65VHzrcDy6F,https://api.spotify.com/v1/tracks/0KY35FGGCjF65VHzrcDy6F,https://api.spotify.com/v1/audio-analysis/0KY35FGGCjF65VHzrcDy6F,228320,1,4
0.582,0.591,2,-10.414,1,0.0295,0.325,0.37,0.0977,0.278,114.084,audio_features,1WPDc6h6igXcZMZn5zjjfq,spotify:track:1WPDc6h6igXcZMZn5zjjfq,https://api.spotify.com/v1/tracks/1WPDc6h6igXcZMZn5zjjfq,https://api.spotify.com/v1/audio-analysis/1WPDc6h6igXcZMZn5zjjfq,202111,4,43
0.538,0.907,9,-6.0,0,0.0965,0.214,1.67e-06,0.344,0.553,112.876,audio_features,6HEejjbkKRgR9a2MeodWGa,spotify:track:6HEejjbkKRgR9a2MeodWGa,https://api.spotify.com/v1/tracks/6HEejjbkKRgR9a2MeodWGa,https://api.spotify.com/v1/audio-analysis/6HEejjbkKRgR9a2MeodWGa,175813,4,29
0.556,0.54,6,-9.851,0,0.0332,0.264,0.908,0.202,0.768,109.988,audio_features,2jItd4qiEH43kQjrkdN6Uu,spotify:track:2jItd4qiEH43kQjrkdN6Uu,https://api.spotify.com/v1/tracks/2jItd4qiEH43kQjrkdN6Uu,https://api.spotify.com/v1/audio-analysis/2jItd4qiEH43kQjrkdN6Uu,293960,3,32
0.422,0.646,11,-7.281,0,0.0374,0.204,1.75e-05,0.255,0.678,138.465,audio_features,35yqG3NlZFbOr6mJ80qvzQ,spotify:track:35yqG3NlZFbOr6mJ80qvzQ,https://api.spotify.com/v1/tracks/35yqG3NlZFbOr6mJ80qvzQ,https://api.spotify.com/v1/audio-analysis/35yqG3NlZFbOr6mJ80qvzQ,257987,4,31
0.621,0.403,9,-8.211,1,0.0359,0.58,0,0.114,0.634,145.525,audio_features,359krpyCKcFF8SFvqWES9L,spotify:track:359krpyCKcFF8SFvqWES9L,https://api.spotify.com/v1/tracks/359krpyCKcFF8SFvqWES9L,https://api.spotify.com/v1/audio-analysis/359krpyCKcFF8SFvqWES9L,232133,4,64
