danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.44,0.392,4,-5.841,1,0.0307,0.774,1.1e-05,0.111,0.246,96.514,audio_features,4xarUPVjlDBh4aQkoHQmHb,spotify:track:4xarUPVjlDBh4aQkoHQmHb,https://api.spotify.com/v1/tracks/4xarUPVjlDBh4aQkoHQmHb,https://api.spotify.com/v1/audio-analysis/4xarUPVjlDBh4aQkoHQmHb,182282,4,36
0.569,0.472,4,-10.222,1,0.0263,0.499,0.017,0.11,0.326,115.359,audio_features,12AZ6nSJdq3bYgVeza8nSE,spotify:track:12AZ6nSJdq3bYgVeza8nSE,https://api.spotify.com/v1/tracks/12AZ6nSJdq3bYgVeza8nSE,https://api.spotify.com/v1/audio-analysis/12AZ6nSJdq3bYgVeza8nSE,229800,4,23
0.643,0.436,1,-12.245,1,0.0273,0.724,0.459,0.11,0.422,91.485,audio_features,53iFMaNUXn6Oj8hUIKSO5a,spotify:track:53iFMaNUXn6Oj8hUIKSO5a,https://api.spotify.com/v1/tracks/53iFMaNUXn6Oj8hUIKSO5a,https://api.spotify.com/v1/audio-analysis/53iFMaNUXn6Oj8hUIKSO5a,200800,4,52
0.501,0.294,9,-13.375,1,0.0302,0.867,0.0068,0.131,0.191,130.018,audio_features,7kAxc7ZfkPiCWSZBD5ed6F,spotify:track:7kAxc7ZfkPiCWSZBD5ed6F,https://api.spotify.com/v1/tracks/7kAxc7ZfkPiCWSZBD5ed6F,https://api.spotify.com/v1/audio-analysis/7kAxc7ZfkPiCWSZBD5ed6F,254920,4,58
0.395,0.799,6,-4.387,1,0.0489,0.00938,0.172,0.139,0.568,165.999,audio_features,5ZmzCsLLu605RHTFqeKmop,spotify:track:5ZmzCsLLu605RHTFqeKmop,https://api.spotify.com/v1/tracks/5ZmzCsLLu605RHTFqeKmop,https://api.spotify.com/v1/audio-analysis/5ZmzCsLLu605RHTFqeKmop,175067,4,48
0.566,0.579,7,-8.215,0,0.0336,0.3,0,0.134,0.56,139.753,audio_features,5H7Z2DdWYT9ctLSuKzqkSb,spotify:track:5H7Z2DdWYT9ctLSuKzqkSb,https://api.spotify.com/v1/tracks/5H7Z2DdWYT9ctLSuKzqkSb,https://api.spotify.com/v1/audio-analysis/5H7Z2DdWYT9ctLSuKzqkSb,202577,4,46
0.319,0.413,9,-7.164,1,0.0444,0.956,7.2e-06,0.105,0.283,74.805,audio_features,4p6PR5DSLxoWYiKyFuv1De,spotify:track:4p6PR5DSLxoWYiKyFuv1De,https://api.spotify.com/v1/tracks/4p6PR5DSLxoWYiKyFuv1De,https://api.spotify.com/v1/audio-analysis/4p6PR5DSLxoWYiKyFuv1De,145758,5,49
0.404,0.398,7,-9.907,1,0.0289,0.205,0.0125,0.0917,0.251,75.867,audio_features,5NFV5HquTXQXR3q384YMhc,spotify:track:5NFV5HquTXQXR3q384YMhc,https://api.spotify.com/v1/tracks/5NFV5HquTXQXR3q384YMhc,https://api.spotify.com/v1/audio-analysis/5NFV5HquTXQXR3q384YMhc,287484,4,48
0.499,0.395,11,-8.615,0,0.0272,0.293,0.00835,0.0963,0.349,78.266,audio_features,2ZDM6gmgnX3sIjOmt2B9oV,spotify:track:2ZDM6gmgnX3sIjOmt2B9oV,https://api.spotify.com/v1/tracks/2ZDM6gmgnX3sIjOmt2B9oV,https://api.spotify.com/v1/audio-analysis/2ZDM6gmgnX3sIjOmt2B9oV,195827,4,54
0.487,0.724,0,-5.905,1,0.0289,0.00224,1.03e-05,0.213,0.546,102.03,audio_features,72zmwnbXjx9fMUjw3mbDSs,spotify:track:72zmwnbXjx9fMUjw3mbDSs,https://api.spotify.com/v1/tracks/72zmwnbXjx9fMUjw3mbDSs,https://api.spotify.com/v1/audio-analysis/72zmwnbXjx9fMUjw3mbDSs,225560,4,69
0.551,0.452,9,-6.51,0,0.0238,0.743,2.03e-05,0.177,0.107,97.95,audio_features,4IL5B1c7iUHMA5Rr1ucNo6,spotify:track:4IL5B1c7iUHMA5Rr1ucNo6,https://api.spotify.com/v1/tracks/4IL5B1c7iUHMA5Rr1ucNo6,https://api.spotify.com/v1/audio-analysis/4IL5B1c7iUHMA5Rr1ucNo6,328120,3,49
0.608,0.461,5,-11.539,1,0.0291,0.516,0.000174,0.0682,0.383,119.884,audio_features,5O0u0TChECSvCi3M0VsufW,spotify:track:5O0u0TChECSvCi3M0VsufW,https://api.spotify.com/v1/tracks/5O0u0TChECSvCi3M0VsufW,https://api.spotify.com/v1/audio-analysis/5O0u0TChECSvCi3M0VsufW,231964,4,53
