danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.495,0.93,9,-5.656,1,0.106,0.0165,0,0.983,0.761,128.251,audio_features,58oU1dMTTjO6WwoSIlKtG1,spotify:track:58oU1dMTTjO6WwoSIlKtG1,https://api.spotify.com/v1/tracks/58oU1dMTTjO6WwoSIlKtG1,https://api.spotify.com/v1/audio-analysis/58oU1dMTTjO6WwoSIlKtG1,171813,4,2
0.29,0.751,1,-8.468,0,0.121,0.419,0,0.472,0.814,202.127,audio_features,5bp9mEnzBC0nNPbrbbVNdo,spotify:track:5bp9mEnzBC0nNPbrbbVNdo,https://api.spotify.com/v1/tracks/5bp9mEnzBC0nNPbrbbVNdo,https://api.spotify.com/v1/audio-analysis/5bp9mEnzBC0nNPbrbbVNdo,234040,4,1
0.416,0.584,11,-9.907,1,0.0359,0.017,4.64e-05,0.0806,0.84,200.915,audio_features,0smWCdcDkbPAC0PdiyL0XC,spotify:track:0smWCdcDkbPAC0PdiyL0XC,https://api.spotify.com/v1/tracks/0smWCdcDkbPAC0PdiyL0XC,https://api.spotify.com/v1/audio-analysis/0smWCdcDkbPAC0PdiyL0XC,169093,4,23
0.547,0.8,11,-7.397,0,0.0326,0.0765,0,0.0973,0.517,112.248,audio_features,3E0dHzJ1WIkm58RhJAe13n,spotify:track:3E0dHzJ1WIkm58RhJAe13n,https://api.spotify.com/v1/tracks/3E0dHzJ1WIkm58RhJAe13n,https://api.spotify.com/v1/audio-analysis/3E0dHzJ1WIkm58RhJAe13n,224547,4,57
0.69,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.918,audio_features,152Gwa0Gd1eqrGBffMs2HZ,spotify:track:152Gwa0Gd1eqrGBffMs2HZ,https://api.spotify.com/v1/tracks/152Gwa0Gd1eqrGBffMs2HZ,https://api.spotify.com/v1/audio-analysis/152Gwa0Gd1eqrGBffMs2HZ,254560,4,0
0.525,0.47,4,-9.772,0,0.071,0.461,5.87e-05,0.103,0.426,79.159,audio_features,7u9s9Kn0J9U69J0qQV3E5M,spotify:track:7u9s9Kn0J9U69J0qQV3E5M,https://api.spotify.com/v1/tracks/7u9s9Kn0J9U69J0qQV3E5M,https://api.spotify.com/v1/audio-analysis/7u9s9Kn0J9U69J0qQV3E5M,123333,4,8
0.767,0.791,4,-5.138,1,0.102,0.589,0.0564,0.219,0.894,130.286,audio_features,1eYokqEkw1VXaGfFbkQF3E,spotify:track:1eYokqEkw1VXaGfFbkQF3E,https://api.spotify.com/v1/tracks/1eYokqEkw1VXaGfFbkQF3E,https://api.spotify.com/v1/audio-analysis/1eYokqEkw1VXaGfFbkQF3E,126373,4,0
0.745,0.481,1,-9.614,1,0.0418,0.618,0.0101,0.0587,0.617,97.935,audio_features,7fh3ubmMFWBPDfWSxFT4su,spotify:track:7fh3ubmMFWBPDfWSxFT4su,https://api.spotify.com/v1/tracks/7fh3ubmMFWBPDfWSxFT4su,https://api.spotify.com/v1/audio-analysis/7fh3ubmMFWBPDfWSxFT4su,191907,4,0
0.859,0.628,1,-12.426,1,0.0367,0.0262,1.1e-06,0.355,0.962,127.259,audio_features,3NxeHBqjKnVWUVRv6F5sEf,spotify:track:3NxeHBqjKnVWUVRv6F5sEf,https://api.spotify.com/v1/tracks/3NxeHBqjKnVWUVRv6F5sEf,https://api.spotify.com/v1/audio-analysis/3NxeHBqjKnVWUVRv6F5sEf,341008,4,33
0.768,0.709,0,-6.043,1,0.0443,0.422,0,0.0788,0.96,119.328,audio_features,61pUtSLR5kxYnnWoAt8wcg,spotify:track:61pUtSLR5kxYnnWoAt8wcg,https://api.spotify.com/v1/tracks/61pUtSLR5kxYnnWoAt8wcg,https://api.spotify.com/v1/audio-analysis/61pUtSLR5kxYnnWoAt8wcg,151507,4,2
0.651,0.535,0,-10.758,1,0.0303,0.163,0,0.072,0.953,127.137,audio_features,0SulV2rlox8iyPHYZnoQiM,spotify:track:0SulV2rlox8iyPHYZnoQiM,https://api.spotify.com/v1/tracks/0SulV2rlox8iyPHYZnoQiM,https://api.spotify.com/v1/audio-analysis/0SulV2rlox8iyPHYZnoQiM,162693,4,3
0.575,0.545,0,-6.177,1,0.0341,0.547,0,0.116,0.676,104.664,audio_features,0651FOAfvX33QIjpYL4F95,spotify:track:0651FOAfvX33QIjpYL4F95,https://api.spotify.com/v1/tracks/0651FOAfvX33QIjpYL4F95,https://api.spotify.com/v1/audio-analysis/0651FOAfvX33QIjpYL4F95,163000,4,7
0.773,0.505,5,-10.456,0,0.0628,0.55,0.0959,0.0506,0.775,121.295,audio_features,2BWlwnlsnhQjlj2P0nVEAe,spotify:track:2BWlwnlsnhQjlj2P0nVEAe,https://api.spotify.com/v1/tracks/2BWlwnlsnhQjlj2P0nVEAe,https://api.spotify.com/v1/audio-analysis/2BWlwnlsnhQjlj2P0nVEAe,308686,4,31
0.68,0.543,4,-11.798,0,0.0304,0.48,4.27e-05,0.146,0.97,106.42,audio_features,6wvRxVm4bv3qgwaMpInLbJ,spotify:track:6wvRxVm4bv3qgwaMpInLbJ,https://api.spotify.com/v1/tracks/6wvRxVm4bv3qgwaMpInLbJ,https://api.spotify.com/v1/audio-analysis/6wvRxVm4bv3qgwaMpInLbJ,159067,4,8
0.821,0.721,10,-10.401,0,0.0515,0.0816,7.37e-06,0.0664,0.885,105.866,audio_features,0tqp1kKvgBFsfIszEaviqZ,spotify:track:0tqp1kKvgBFsfIszEaviqZ,https://api.spotify.com/v1/tracks/0tqp1kKvgBFsfIszEaviqZ,https://api.spotify.com/v1/audio-analysis/0tqp1kKvgBFsfIszEaviqZ,252373,4,53
0.468,0.529,11,-6.564,0,0.0284,0.803,0.00725,0.257,0.613,111.638,audio_features,0pVEx8AcTpuK4OYXziesGF,spotify:track:0pVEx8AcTpuK4OYXziesGF,https://api.spotify.com/v1/tracks/0pVEx8AcTpuK4OYXziesGF,https://api.spotify.com/v1/audio-analysis/0pVEx8AcTpuK4OYXziesGF,188053,4,54
0.57,0.932,5,-6.669,0,0.0545,0.023,0.219,0.995,0.788,119.215,audio_features,2wqN1A4PvtRSTHhu0Eobve,spotify:track:2wqN1A4PvtRSTHhu0Eobve,https://api.spotify.com/v1/tracks/2wqN1A4PvtRSTHhu0Eobve,https://api.spotify.com/v1/audio-analysis/2wqN1A4PvtRSTHhu0Eobve,355893,4,21
0.495,0.388,0,-9.178,0,0.038,0.598,0.0267,0.128,0.625,73.35,audio_features,2Slco8KmvyUJa6UwXm5gL8,spotify:track:2Slco8KmvyUJa6UwXm5gL8,https://api.spotify.com/v1/tracks/2Slco8KmvyUJa6UwXm5gL8,https://api.spotify.com/v1/audio-analysis/2Slco8KmvyUJa6UwXm5gL8,147667,4,18
0.289,0.523,6,-9.531,1,0.0488,0.0487,0.000293,0.0561,0.378,145.556,audio_features,1HYKyzoQKOjsb8oHIEJbzd,spotify:track:1HYKyzoQKOjsb8oHIEJbzd,https://api.spotify.com/v1/tracks/1HYKyzoQKOjsb8oHIEJbzd,https://api.spotify.com/v1/audio-analysis/1HYKyzoQKOjsb8oHIEJbzd,273000,4,6
0.71,0.474,10,-15.336,1,0.136,0.0108,0.00087,0.344,0.854,91.02,audio_features,7z2ZsnczBj6A18tRZ89TQp,spotify:track:7z2ZsnczBj6A18tRZ89TQp,https://api.spotify.com/v1/tracks/7z2ZsnczBj6A18tRZ89TQp,https://api.spotify.com/v1/audio-analysis/7z2ZsnczBj6A18tRZ89TQp,266133,4,22
0.605,0.502,9,-15.287,0,0.0494,0.00215,0.65,0.0917,0.829,115.779,audio_features,6yPkqQdi57QlyqkMwwSp77,spotify:track:6yPkqQdi57QlyqkMwwSp77,https://api.spotify.com/v1/tracks/6yPkqQdi57QlyqkMwwSp77,https://api.spotify.com/v1/audio-analysis/6yPkqQdi57QlyqkMwwSp77,494800,4,37
0.697,0.642,5,-10.385,1,0.0325,0.167,2.46e-06,0.123,0.962,124.277,audio_features,5E1ArxjL4DSKXAb4Mzm1nQ,spotify:track:5E1ArxjL4DSKXAb4Mzm1nQ,https://api.spotify.com/v1/tracks/5E1ArxjL4DSKXAb4Mzm1nQ,https://api.spotify.com/v1/audio-analysis/5E1ArxjL4DSKXAb4Mzm1nQ,147760,4,1
0.606,0.652,5,-7.386,1,0.0327,0.375,0,0.214,0.857,130.371,audio_features,4cYv4sNvicTaEQ7xWq7GQg,spotify:track:4cYv4sNvicTaEQ7xWq7GQg,https://api.spotify.com/v1/tracks/4cYv4sNvicTaEQ7xWq7GQg,https://api.spotify.com/v1/audio-analysis/4cYv4sNvicTaEQ7xWq7GQg,172960,4,21
0.643,0.582,7,-10.11,1,0.0528,0.309,2.02e-06,0.171,0.675,131.534,audio_features,4fTFhM1luTdXpne4IkHIm2,spotify:track:4fTFhM1luTdXpne4IkHIm2,https://api.spotify.com/v1/tracks/4fTFhM1luTdXpne4IkHIm2,https://api.spotify.com/v1/audio-analysis/4fTFhM1luTdXpne4IkHIm2,232880,4,0
0.381,0.691,10,-9.708,1,0.102,0.0923,4.13e-06,0.0491,0.881,185.082,audio_features,2P841egdsDwDc0Fx0qkamZ,spotify:track:2P841egdsDwDc0Fx0qkamZ,https://api.spotify.com/v1/tracks/2P841egdsDwDc0Fx0qkamZ,https://api.spotify.com/v1/audio-analysis/2P841egdsDwDc0Fx0qkamZ,167067,4,35
0.273,0.702,9,-7.971,0,0.054,0.0701,0.000695,0.144,0.448,75.953,audio_features,1kVVDDnIKz8rl9PcthFTug,spotify:track:1kVVDDnIKz8rl9PcthFTug,https://api.spotify.com/v1/tracks/1kVVDDnIKz8rl9PcthFTug,https://api.spotify.com/v1/audio-analysis/1kVVDDnIKz8rl9PcthFTug,372067,4,33
0.685,0.641,8,-6.271,0,0.0466,0.49,3.07e-06,0.109,0.756,128.259,audio_features,6tLPgXlqugmn2XfNnmGoVp,spotify:track:6tLPgXlqugmn2XfNnmGoVp,https://api.spotify.com/v1/tracks/6tLPgXlqugmn2XfNnmGoVp,https://api.spotify.com/v1/audio-analysis/6tLPgXlqugmn2XfNnmGoVp,160667,4,1
0.688,0.532,10,-8.899,1,0.0461,0.682,4.42e-06,0.173,0.906,126.41,audio_features,54HBjjbwOikYPTodxoO8X8,spotify:track:54HBjjbwOikYPTodxoO8X8,https://api.spotify.com/v1/tracks/54HBjjbwOikYPTodxoO8X8,https://api.spotify.com/v1/audio-analysis/54HBjjbwOikYPTodxoO8X8,170899,4,24
0.622,0.79,3,-3.468,0,0.0322,0.0678,0,0.244,0.73,119.566,audio_features,2TARjNaeT3ImhWvSOcDw92,spotify:track:2TARjNaeT3ImhWvSOcDw92,https://api.spotify.com/v1/tracks/2TARjNaeT3ImhWvSOcDw92,https://api.spotify.com/v1/audio-analysis/2TARjNaeT3ImhWvSOcDw92,182067,4,50
0.497,0.62,4,-8.349,1,0.036,0.375,0,0.345,0.67,130.356,audio_features,5EwqPgp5Ig8xg6ycdjN9gM,spotify:track:5EwqPgp5Ig8xg6ycdjN9gM,https://api.spotify.com/v1/tracks/5EwqPgp5Ig8xg6ycdjN9gM,https://api.spotify.com/v1/audio-analysis/5EwqPgp5Ig8xg6ycdjN9gM,177240,4,0
0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.864,99.682,audio_features,300RfAPZ57B0y6YYj9n6DN,spotify:track:300RfAPZ57B0y6YYj9n6DN,https://api.spotify.com/v1/tracks/300RfAPZ57B0y6YYj9n6DN,https://api.spotify.com/v1/audio-analysis/300RfAPZ57B0y6YYj9n6DN,244827,4,73
0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,audio_features,2udw7RDkldLFIPG9WYdVtT,spotify:track:2udw7RDkldLFIPG9WYdVtT,https://api.spotify.com/v1/tracks/2udw7RDkldLFIPG9WYdVtT,https://api.spotify.com/v1/audio-analysis/2udw7RDkldLFIPG9WYdVtT,232760,4,64
0.673,0.822,0,-6.679,1,0.0415,0.282,3.86e-06,0.126,0.9,97.257,audio_features,1xz2x28NqMFRSx4IfJkC5p,spotify:track:1xz2x28NqMFRSx4IfJkC5p,https://api.spotify.com/v1/tracks/1xz2x28NqMFRSx4IfJkC5p,https://api.spotify.com/v1/audio-analysis/1xz2x28NqMFRSx4IfJkC5p,440920,4,39
0.664,0.831,0,-7.193,0,0.0363,0.0218,0.0178,0.178,0.923,127.461,audio_features,6PtsdXwZtOpREcPaaH7lnC,spotify:track:6PtsdXwZtOpREcPaaH7lnC,https://api.spotify.com/v1/tracks/6PtsdXwZtOpREcPaaH7lnC,https://api.spotify.com/v1/audio-analysis/6PtsdXwZtOpREcPaaH7lnC,585387,4,0
0.739,0.927,0,-7.119,1,0.164,0.0656,0,0.147,0.601,107.299,audio_features,0VwBz8do1kR1jja03ZKAXc,spotify:track:0VwBz8do1kR1jja03ZKAXc,https://api.spotify.com/v1/tracks/0VwBz8do1kR1jja03ZKAXc,https://api.spotify.com/v1/audio-analysis/0VwBz8do1kR1jja03ZKAXc,185227,4,24
0.834,0.832,6,-4.706,0,0.117,0.0192,0.00726,0.371,0.725,112.983,audio_features,5etCgXv0pA9SH6hT6iPSOo,spotify:track:5etCgXv0pA9SH6hT6iPSOo,https://api.spotify.com/v1/tracks/5etCgXv0pA9SH6hT6iPSOo,https://api.spotify.com/v1/audio-analysis/5etCgXv0pA9SH6hT6iPSOo,256613,4,0
0.845,0.653,1,-11.003,1,0.0553,0.0581,0.00646,0.411,0.926,121.127,audio_features,0414uiAvUZRZGrgM21V9lw,spotify:track:0414uiAvUZRZGrgM21V9lw,https://api.spotify.com/v1/tracks/0414uiAvUZRZGrgM21V9lw,https://api.spotify.com/v1/audio-analysis/0414uiAvUZRZGrgM21V9lw,216027,4,27
0.598,0.611,7,-17.374,0,0.0505,0.0378,1.88e-05,0.587,0.713,113.104,audio_features,6RjlRExjCtThujEgjc4kWh,spotify:track:6RjlRExjCtThujEgjc4kWh,https://api.spotify.com/v1/tracks/6RjlRExjCtThujEgjc4kWh,https://api.spotify.com/v1/audio-analysis/6RjlRExjCtThujEgjc4kWh,120813,4,0
0.575,0.471,11,-14.529,0,0.0338,0.0483,0.000378,0.318,0.637,125.837,audio_features,6iJLTnTP6JlqdfVtE3bywO,spotify:track:6iJLTnTP6JlqdfVtE3bywO,https://api.spotify.com/v1/tracks/6iJLTnTP6JlqdfVtE3bywO,https://api.spotify.com/v1/audio-analysis/6iJLTnTP6JlqdfVtE3bywO,159307,4,8
0.753,0.589,4,-7.059,0,0.0362,0.698,5.61e-06,0.105,0.969,122.256,audio_features,6TcAIoLZShiaCUQSnWW4Ve,spotify:track:6TcAIoLZShiaCUQSnWW4Ve,https://api.spotify.com/v1/tracks/6TcAIoLZShiaCUQSnWW4Ve,https://api.spotify.com/v1/audio-analysis/6TcAIoLZShiaCUQSnWW4Ve,175200,4,47
0.667,0.935,5,-2.526,1,0.127,0.115,2.77e-05,0.698,0.78,114.976,audio_features,7yWd2N53BAcdBfAgrpXcIV,spotify:track:7yWd2N53BAcdBfAgrpXcIV,https://api.spotify.com/v1/tracks/7yWd2N53BAcdBfAgrpXcIV,https://api.spotify.com/v1/audio-analysis/7yWd2N53BAcdBfAgrpXcIV,210773,4,0
0.844,0.69,7,-10.362,1,0.058,0.0311,0.00316,0.0445,0.628,107.724,audio_features,4ARJeCBybQTqjpXHY7r4FE,spotify:track:4ARJeCBybQTqjpXHY7r4FE,https://api.spotify.com/v1/tracks/4ARJeCBybQTqjpXHY7r4FE,https://api.spotify.com/v1/audio-analysis/4ARJeCBybQTqjpXHY7r4FE,212027,4,24
0.751,0.747,6,-11.819,1,0.0495,0.0534,0,0.44,0.806,109.038,audio_features,5Z4CFo6lYsBxPSg40wBwUM,spotify:track:5Z4CFo6lYsBxPSg40wBwUM,https://api.spotify.com/v1/tracks/5Z4CFo6lYsBxPSg40wBwUM,https://api.spotify.com/v1/audio-analysis/5Z4CFo6lYsBxPSg40wBwUM,163160,4,15
0.912,0.534,6,-5.319,0,0.0366,0.139,0.102,0.0387,0.963,114.681,audio_features,6PUJEckAKg4Mp47VFZxdpJ,spotify:track:6PUJEckAKg4Mp47VFZxdpJ,https://api.spotify.com/v1/tracks/6PUJEckAKg4Mp47VFZxdpJ,https://api.spotify.com/v1/audio-analysis/6PUJEckAKg4Mp47VFZxdpJ,275813,4,58
0.746,0.677,8,-7.128,0,0.0369,0.106,5.08e-06,0.123,0.814,95.601,audio_features,1kuX1tb3QUKAalYEc4ai5t,spotify:track:1kuX1tb3QUKAalYEc4ai5t,https://api.spotify.com/v1/tracks/1kuX1tb3QUKAalYEc4ai5t,https://api.spotify.com/v1/audio-analysis/1kuX1tb3QUKAalYEc4ai5t,172587,4,42
0.484,0.439,9,-20.487,0,0.0514,0.0356,4.74e-06,0.163,0.618,120.778,audio_features,7nPc4tfJCRvcxxt9Xz3ugx,spotify:track:7nPc4tfJCRvcxxt9Xz3ugx,https://api.spotify.com/v1/tracks/7nPc4tfJCRvcxxt9Xz3ugx,https://api.spotify.com/v1/audio-analysis/7nPc4tfJCRvcxxt9Xz3ugx,276067,4,14
0.773,0.548,2,-13.471,1,0.123,0.426,2.32e-05,0.094,0.765,120.241,audio_features,07Am1WlZMtQ941jtgSymOA,spotify:track:07Am1WlZMtQ941jtgSymOA,https://api.spotify.com/v1/tracks/07Am1WlZMtQ941jtgSymOA,https://api.spotify.com/v1/audio-analysis/07Am1WlZMtQ941jtgSymOA,231333,4,3
0.78,0.609,11,-12.392,0,0.0667,0.0782,0.00185,0.0888,0.942,155.716,audio_features,76lxiK0A2UZh7sWWTe9Fon,spotify:track:76lxiK0A2UZh7sWWTe9Fon,https://api.spotify.com/v1/tracks/76lxiK0A2UZh7sWWTe9Fon,https://api.spotify.com/v1/audio-analysis/76lxiK0A2UZh7sWWTe9Fon,224960,4,0
0.415,0.864,7,-6.509,0,0.159,0.613,0.00659,0.302,0.8,192.297,audio_features,0jf4HB7pcMnbxNJWC9PuRB,spotify:track:0jf4HB7pcMnbxNJWC9PuRB,https://api.spotify.com/v1/tracks/0jf4HB7pcMnbxNJWC9PuRB,https://api.spotify.com/v1/audio-analysis/0jf4HB7pcMnbxNJWC9PuRB,199360,4,28
