danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.61,0.566,6,-9.925,0,0.0498,0.19,0.908,0.0798,0.725,144.491,audio_features,495I9r3rHdHiFrjnP9bV9U,spotify:track:495I9r3rHdHiFrjnP9bV9U,https://api.spotify.com/v1/tracks/495I9r3rHdHiFrjnP9bV9U,https://api.spotify.com/v1/audio-analysis/495I9r3rHdHiFrjnP9bV9U,182893,4,0
0.854,0.723,0,-5.834,1,0.0523,0.096,0.000328,0.0649,0.851,106.931,audio_features,4YWOLMe1SUQsI2zo6XLXdK,spotify:track:4YWOLMe1SUQsI2zo6XLXdK,https://api.spotify.com/v1/tracks/4YWOLMe1SUQsI2zo6XLXdK,https://api.spotify.com/v1/audio-analysis/4YWOLMe1SUQsI2zo6XLXdK,227773,4,20
0.647,0.81,8,-8.418,1,0.0445,0.388,0.897,0.116,0.811,106.003,audio_features,2C2ZrywMqlaEHOvnsD477K,spotify:track:2C2ZrywMqlaEHOvnsD477K,https://api.spotify.com/v1/tracks/2C2ZrywMqlaEHOvnsD477K,https://api.spotify.com/v1/audio-analysis/2C2ZrywMqlaEHOvnsD477K,148627,4,0
0.593,0.442,0,-13.529,1,0.0779,0.63,0.884,0.0954,0.55,79.799,audio_features,00QO1WrRI55bbVLUhPLzDR,spotify:track:00QO1WrRI55bbVLUhPLzDR,https://api.spotify.com/v1/tracks/00QO1WrRI55bbVLUhPLzDR,https://api.spotify.com/v1/audio-analysis/00QO1WrRI55bbVLUhPLzDR,168880,4,0
0.798,0.741,9,-6.886,0,0.0709,0.0624,0.000375,0.264,0.909,114.683,audio_features,3QHFlkS0fMqOTooLCjXTNK,spotify:track:3QHFlkS0fMqOTooLCjXTNK,https://api.spotify.com/v1/tracks/3QHFlkS0fMqOTooLCjXTNK,https://api.spotify.com/v1/audio-analysis/3QHFlkS0fMqOTooLCjXTNK,253293,4,12
0.723,0.716,7,-6.267,1,0.103,0.764,0.0143,0.336,0.881,148.115,audio_features,6xQewfRsXud5v0nu8J0QM6,spotify:track:6xQewfRsXud5v0nu8J0QM6,https://api.spotify.com/v1/tracks/6xQewfRsXud5v0nu8J0QM6,https://api.spotify.com/v1/audio-analysis/6xQewfRsXud5v0nu8J0QM6,163654,4,0
0.439,0.84,1,-6.743,1,0.0611,0.0726,0,0.137,0.766,117.691,audio_features,63QSZwVyIGaxzkGkfIQ7Sk,spotify:track:63QSZwVyIGaxzkGkfIQ7Sk,https://api.spotify.com/v1/tracks/63QSZwVyIGaxzkGkfIQ7Sk,https://api.spotify.com/v1/audio-analysis/63QSZwVyIGaxzkGkfIQ7Sk,148227,4,1
0.786,0.831,10,-7.273,0,0.0403,0.0437,0.789,0.0831,0.893,97.189,audio_features,2rZZ0cxgHC0sE3wFQOvaMR,spotify:track:2rZZ0cxgHC0sE3wFQOvaMR,https://api.spotify.com/v1/tracks/2rZZ0cxgHC0sE3wFQOvaMR,https://api.spotify.com/v1/audio-analysis/2rZZ0cxgHC0sE3wFQOvaMR,291880,4,13
0.46,0.67,7,-6.067,1,0.0874,0.0575,1.92e-05,0.0982,0.449,105.74,audio_features,30j8kNcY81FregCprSbxPT,spotify:track:30j8kNcY81FregCprSbxPT,https://api.spotify.com/v1/tracks/30j8kNcY81FregCprSbxPT,https://api.spotify.com/v1/audio-analysis/30j8kNcY81FregCprSbxPT,165107,4,19
0.622,0.667,5,-10.42,0,0.175,0.479,5.33e-06,0.47,0.927,88.064,audio_features,2nM4LTXL0VtW0wovL4eeXv,spotify:track:2nM4LTXL0VtW0wovL4eeXv,https://api.spotify.com/v1/tracks/2nM4LTXL0VtW0wovL4eeXv,https://api.spotify.com/v1/audio-analysis/2nM4LTXL0VtW0wovL4eeXv,191107,4,35
