danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86e-05,0.269,0.705,101.514,audio_features,0psB5QzGb4653K0uaPgEyh,spotify:track:0psB5QzGb4653K0uaPgEyh,https://api.spotify.com/v1/tracks/0psB5QzGb4653K0uaPgEyh,https://api.spotify.com/v1/audio-analysis/0psB5QzGb4653K0uaPgEyh,217133,4,61
0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,audio_features,5YBVDvTSSSiqv7KZDeUlXA,spotify:track:5YBVDvTSSSiqv7KZDeUlXA,https://api.spotify.com/v1/tracks/5YBVDvTSSSiqv7KZDeUlXA,https://api.spotify.com/v1/audio-analysis/5YBVDvTSSSiqv7KZDeUlXA,274160,4,66
0.615,0.477,2,-8.816,1,0.092,0.0558,6.25e-05,0.231,0.731,156.008,audio_features,5huSgTVqBdIJTFhpShJfcg,spotify:track:5huSgTVqBdIJTFhpShJfcg,https://api.spotify.com/v1/tracks/5huSgTVqBdIJTFhpShJfcg,https://api.spotify.com/v1/audio-analysis/5huSgTVqBdIJTFhpShJfcg,259467,4,47
0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,audio_features,4ReyTz0y3TGkX48wO3Llot,spotify:track:4ReyTz0y3TGkX48wO3Llot,https://api.spotify.com/v1/tracks/4ReyTz0y3TGkX48wO3Llot,https://api.spotify.com/v1/audio-analysis/4ReyTz0y3TGkX48wO3Llot,293653,4,64
0.526,0.905,0,-8.81,1,0.0392,0.0106,0.0191,0.373,0.941,116.454,audio_features,4mFIxFJg3Di1OIyVs7mcYh,spotify:track:4mFIxFJg3Di1OIyVs7mcYh,https://api.spotify.com/v1/tracks/4mFIxFJg3Di1OIyVs7mcYh,https://api.spotify.com/v1/audio-analysis/4mFIxFJg3Di1OIyVs7mcYh,233093,4,48
0.462,0.919,10,-3.595,1,0.0608,0.0145,0,0.562,0.523,103.021,audio_features,6z4CTIToU7a03Rq07F9FF4,spotify:track:6z4CTIToU7a03Rq07F9FF4,https://api.spotify.com/v1/tracks/6z4CTIToU7a03Rq07F9FF4,https://api.spotify.com/v1/audio-analysis/6z4CTIToU7a03Rq07F9FF4,238107,4,48
0.535,0.524,0,-12.088,1,0.0376,0.176,0.068,0.256,0.81,107.617,audio_features,7LzUOUXKmE6QdApk8T0XTc,spotify:track:7LzUOUXKmE6QdApk8T0XTc,https://api.spotify.com/v1/tracks/7LzUOUXKmE6QdApk8T0XTc,https://api.spotify.com/v1/audio-analysis/7LzUOUXKmE6QdApk8T0XTc,259640,4,3
0.526,0.587,2,-8.733,1,0.039,0.24,0.243,0.886,0.364,93.986,audio_features,0IRvfvDUVIvbvgCDY17wnp,spotify:track:0IRvfvDUVIvbvgCDY17wnp,https://api.spotify.com/v1/tracks/0IRvfvDUVIvbvgCDY17wnp,https://api.spotify.com/v1/audio-analysis/0IRvfvDUVIvbvgCDY17wnp,264200,4,50
0.663,0.923,0,-7.091,1,0.04,0.0272,0.00153,0.224,0.924,115.736,audio_features,1IuhMns4MRmjIlAdCDE1jR,spotify:track:1IuhMns4MRmjIlAdCDE1jR,https://api.spotify.com/v1/tracks/1IuhMns4MRmjIlAdCDE1jR,https://api.spotify.com/v1/audio-analysis/1IuhMns4MRmjIlAdCDE1jR,259027,4,43
0.669,0.656,9,-10.549,1,0.0413,0.00113,0.000252,0.0989,0.464,108.098,audio_features,62HyVeSK4fpxjKj6dsI5MP,spotify:track:62HyVeSK4fpxjKj6dsI5MP,https://api.spotify.com/v1/tracks/62HyVeSK4fpxjKj6dsI5MP,https://api.spotify.com/v1/audio-analysis/62HyVeSK4fpxjKj6dsI5MP,259866,4,54
0.478,0.855,4,-7.438,0,0.121,0.0134,3.18e-05,0.179,0.668,151.93,audio_features,6ZU9RJIZ0fNaFuQM57bDIA,spotify:track:6ZU9RJIZ0fNaFuQM57bDIA,https://api.spotify.com/v1/tracks/6ZU9RJIZ0fNaFuQM57bDIA,https://api.spotify.com/v1/audio-analysis/6ZU9RJIZ0fNaFuQM57bDIA,243760,4,56
0.672,0.906,2,-10.217,1,0.0592,0.011,5.46e-05,0.0756,0.242,121.971,audio_features,7eCYyli4U6ZuOxHiT5NqxG,spotify:track:7eCYyli4U6ZuOxHiT5NqxG,https://api.spotify.com/v1/tracks/7eCYyli4U6ZuOxHiT5NqxG,https://api.spotify.com/v1/audio-analysis/7eCYyli4U6ZuOxHiT5NqxG,263173,4,43
0.563,0.98,1,-2.834,0,0.128,0.0124,0.317,0.324,0.619,122.976,audio_features,0EMLtepZpcY9T64AVEmyyv,spotify:track:0EMLtepZpcY9T64AVEmyyv,https://api.spotify.com/v1/tracks/0EMLtepZpcY9T64AVEmyyv,https://api.spotify.com/v1/audio-analysis/0EMLtepZpcY9T64AVEmyyv,191240,4,51
0.667,0.721,7,-7.17,1,0.0329,0.00915,0.0137,0.105,0.567,110.094,audio_features,4O1aEPLNamT9ZuClNZi2KM,spotify:track:4O1aEPLNamT9ZuClNZi2KM,https://api.spotify.com/v1/tracks/4O1aEPLNamT9ZuClNZi2KM,https://api.spotify.com/v1/audio-analysis/4O1aEPLNamT9ZuClNZi2KM,265733,4,37
0.511,0.946,9,-3.757,1,0.148,0.0119,0.019,0.0646,0.85,169.219,audio_features,3QOyz2OttQFNrSGKGxJI5s,spotify:track:3QOyz2OttQFNrSGKGxJI5s,https://api.spotify.com/v1/tracks/3QOyz2OttQFNrSGKGxJI5s,https://api.spotify.com/v1/audio-analysis/3QOyz2OttQFNrSGKGxJI5s,232440,4,45
0.515,0.818,4,-9.577,0,0.0572,0.0394,0.00621,0.093,0.401,113.85,audio_features,3P4TrKsWjKeFakkZXu1Yt2,spotify:track:3P4TrKsWjKeFakkZXu1Yt2,https://api.spotify.com/v1/tracks/3P4TrKsWjKeFakkZXu1Yt2,https://api.spotify.com/v1/audio-analysis/3P4TrKsWjKeFakkZXu1Yt2,268267,4,29
0.714,0.918,11,-3.465,0,0.0928,0.012,0.128,0.115,0.454,98.695,audio_features,7axVaL2WO7cC3fXxtd9Zlj,spotify:track:7axVaL2WO7cC3fXxtd9Zlj,https://api.spotify.com/v1/tracks/7axVaL2WO7cC3fXxtd9Zlj,https://api.spotify.com/v1/audio-analysis/7axVaL2WO7cC3fXxtd9Zlj,285307,4,45
