danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.843,0.544,9,-11.689,1,0.194,0.0977,0.000382,0.0726,0.837,112.792,audio_features,53Po8qhN5QTvait1pXh3nv,spotify:track:53Po8qhN5QTvait1pXh3nv,https://api.spotify.com/v1/tracks/53Po8qhN5QTvait1pXh3nv,https://api.spotify.com/v1/audio-analysis/53Po8qhN5QTvait1pXh3nv,281587,4,35
0.87,0.645,10,-11.548,0,0.221,0.126,0.000106,0.0684,0.759,97.795,audio_features,1cA75QXzCkJYPaDw7jnDoH,spotify:track:1cA75QXzCkJYPaDw7jnDoH,https://api.spotify.com/v1/tracks/1cA75QXzCkJYPaDw7jnDoH,https://api.spotify.com/v1/audio-analysis/1cA75QXzCkJYPaDw7jnDoH,449600,4,7
0.783,0.666,8,-9.523,1,0.0814,0.665,0,0.204,0.906,92.471,audio_features,6gQZKkphKIMxZgca5r7ImA,spotify:track:6gQZKkphKIMxZgca5r7ImA,https://api.spotify.com/v1/tracks/6gQZKkphKIMxZgca5r7ImA,https://api.spotify.com/v1/audio-analysis/6gQZKkphKIMxZgca5r7ImA,233120,4,52
0.606,0.854,9,-7.004,0,0.105,0.355,0.856,0.63,0.913,122.966,audio_features,15zjlmCSTgl4R1jTQrZcNg,spotify:track:15zjlmCSTgl4R1jTQrZcNg,https://api.spotify.com/v1/tracks/15zjlmCSTgl4R1jTQrZcNg,https://api.spotify.com/v1/audio-analysis/15zjlmCSTgl4R1jTQrZcNg,273107,4,0
0.568,0.684,7,-9.874,1,0.061,0.000303,0.589,0.267,0.672,167.331,audio_features,1buiJuJSzPshjqiE6Gt6r1,spotify:track:1buiJuJSzPshjqiE6Gt6r1,https://api.spotify.com/v1/tracks/1buiJuJSzPshjqiE6Gt6r1,https://api.spotify.com/v1/audio-analysis/1buiJuJSzPshjqiE6Gt6r1,173880,4,0
0.64,0.425,5,-10.405,1,0.0478,0.0247,0.868,0.109,0.404,89.231,audio_features,0RfrnupwZ2zvlDAC5fU3tM,spotify:track:0RfrnupwZ2zvlDAC5fU3tM,https://api.spotify.com/v1/tracks/0RfrnupwZ2zvlDAC5fU3tM,https://api.spotify.com/v1/audio-analysis/0RfrnupwZ2zvlDAC5fU3tM,161853,4,21
0.907,0.564,0,-9.29,1,0.0568,0.000928,0.65,0.108,0.229,122.632,audio_features,0B5kY9i9bmP7554oU4jRoO,spotify:track:0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/tracks/0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/audio-analysis/0B5kY9i9bmP7554oU4jRoO,245413,4,47
0.759,0.295,7,-14.302,1,0.0721,0.163,0.0156,0.157,0.533,98.064,audio_features,7g9lpGwHZf0wH9Y3SKRHcR,spotify:track:7g9lpGwHZf0wH9Y3SKRHcR,https://api.spotify.com/v1/tracks/7g9lpGwHZf0wH9Y3SKRHcR,https://api.spotify.com/v1/audio-analysis/7g9lpGwHZf0wH9Y3SKRHcR,171173,4,0
0.857,0.599,5,-12.308,0,0.152,0.227,0,0.11,0.907,115.135,audio_features,1KT8L0DjdRoIAyt33CatHJ,spotify:track:1KT8L0DjdRoIAyt33CatHJ,https://api.spotify.com/v1/tracks/1KT8L0DjdRoIAyt33CatHJ,https://api.spotify.com/v1/audio-analysis/1KT8L0DjdRoIAyt33CatHJ,138053,4,0
0.655,0.634,10,-8.859,0,0.0657,0.0126,0.214,0.319,0.838,119.449,audio_features,2tb86i2sXOlOTlCf9xoosv,spotify:track:2tb86i2sXOlOTlCf9xoosv,https://api.spotify.com/v1/tracks/2tb86i2sXOlOTlCf9xoosv,https://api.spotify.com/v1/audio-analysis/2tb86i2sXOlOTlCf9xoosv,202560,4,28
0.75,0.628,1,-9.968,1,0.0384,0.298,6.54e-05,0.404,0.828,101.475,audio_features,47XBe2nu3OB7xLttAExp3e,spotify:track:47XBe2nu3OB7xLttAExp3e,https://api.spotify.com/v1/tracks/47XBe2nu3OB7xLttAExp3e,https://api.spotify.com/v1/audio-analysis/47XBe2nu3OB7xLttAExp3e,202707,4,43
0.459,0.801,5,-8.043,0,0.0431,0.187,0.00443,0.0842,0.722,100.145,audio_features,37YxcZifpt3WAk4U7U3weN,spotify:track:37YxcZifpt3WAk4U7U3weN,https://api.spotify.com/v1/tracks/37YxcZifpt3WAk4U7U3weN,https://api.spotify.com/v1/audio-analysis/37YxcZifpt3WAk4U7U3weN,213173,4,0
0.571,0.652,2,-11.034,0,0.0499,0.551,0,0.0598,0.947,117.956,audio_features,3GGcwG519BTMdvMeFy7meT,spotify:track:3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/tracks/3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/audio-analysis/3GGcwG519BTMdvMeFy7meT,235267,4,56
0.933,0.619,5,-9.999,0,0.0731,0.0457,0.0179,0.247,0.851,112.387,audio_features,2IH8HmEG7p5QypGyeoR9wQ,spotify:track:2IH8HmEG7p5QypGyeoR9wQ,https://api.spotify.com/v1/tracks/2IH8HmEG7p5QypGyeoR9wQ,https://api.spotify.com/v1/audio-analysis/2IH8HmEG7p5QypGyeoR9wQ,188173,4,27
0.661,0.808,7,-5.91,1,0.0584,0.0234,0.0828,0.117,0.913,128.92,audio_features,2bfoxpLGcAULZTpEpgOvY7,spotify:track:2bfoxpLGcAULZTpEpgOvY7,https://api.spotify.com/v1/tracks/2bfoxpLGcAULZTpEpgOvY7,https://api.spotify.com/v1/audio-analysis/2bfoxpLGcAULZTpEpgOvY7,220747,4,0
0.373,0.856,8,-8.117,0,0.122,0.176,0,0.228,0.605,198.372,audio_features,5LuVBkfELaydohNZahwvNN,spotify:track:5LuVBkfELaydohNZahwvNN,https://api.spotify.com/v1/tracks/5LuVBkfELaydohNZahwvNN,https://api.spotify.com/v1/audio-analysis/5LuVBkfELaydohNZahwvNN,192760,4,52
0.728,0.467,5,-7.394,1,0.0501,0.527,2.4e-05,0.0416,0.584,101.536,audio_features,3uJ8zHRASayItvcSRh8TIm,spotify:track:3uJ8zHRASayItvcSRh8TIm,https://api.spotify.com/v1/tracks/3uJ8zHRASayItvcSRh8TIm,https://api.spotify.com/v1/audio-analysis/3uJ8zHRASayItvcSRh8TIm,198533,4,18
0.68,0.909,10,-7.012,0,0.0712,0.00993,0.00161,0.0978,0.633,97.064,audio_features,2U5dKDtmXiZUUJAtZcHk8B,spotify:track:2U5dKDtmXiZUUJAtZcHk8B,https://api.spotify.com/v1/tracks/2U5dKDtmXiZUUJAtZcHk8B,https://api.spotify.com/v1/audio-analysis/2U5dKDtmXiZUUJAtZcHk8B,387933,4,26
0.752,0.969,8,-11.776,1,0.0521,0.141,0.799,0.13,0.847,127.399,audio_features,1SduNETUG3F1Wwvj9QFUYO,spotify:track:1SduNETUG3F1Wwvj9QFUYO,https://api.spotify.com/v1/tracks/1SduNETUG3F1Wwvj9QFUYO,https://api.spotify.com/v1/audio-analysis/1SduNETUG3F1Wwvj9QFUYO,122358,4,0
