danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.56,0.867,7,-6.699,1,0.0456,0.116,3.38e-06,0.315,0.73,107.867,audio_features,0Es62aB8KBDhb3GxGWsPsn,spotify:track:0Es62aB8KBDhb3GxGWsPsn,https://api.spotify.com/v1/tracks/0Es62aB8KBDhb3GxGWsPsn,https://api.spotify.com/v1/audio-analysis/0Es62aB8KBDhb3GxGWsPsn,192053,4,0
0.682,0.846,0,-6.572,1,0.052,0.0694,0.832,0.0555,0.861,104.7,audio_features,1oDTjzu1f9DJep9NkIBMcM,spotify:track:1oDTjzu1f9DJep9NkIBMcM,https://api.spotify.com/v1/tracks/1oDTjzu1f9DJep9NkIBMcM,https://api.spotify.com/v1/audio-analysis/1oDTjzu1f9DJep9NkIBMcM,162520,4,19
0.746,0.613,11,-8.346,0,0.0491,0.00676,0.0173,0.113,0.744,110.947,audio_features,6Dh9jilShVF6qAwzd8QGwJ,spotify:track:6Dh9jilShVF6qAwzd8QGwJ,https://api.spotify.com/v1/tracks/6Dh9jilShVF6qAwzd8QGwJ,https://api.spotify.com/v1/audio-analysis/6Dh9jilShVF6qAwzd8QGwJ,321613,4,0
0.594,0.913,7,-9.318,1,0.0918,0.102,0.0223,0.0443,0.645,108.128,audio_features,2j6GCSzFpdYkpUGVC9WPEY,spotify:track:2j6GCSzFpdYkpUGVC9WPEY,https://api.spotify.com/v1/tracks/2j6GCSzFpdYkpUGVC9WPEY,https://api.spotify.com/v1/audio-analysis/2j6GCSzFpdYkpUGVC9WPEY,370613,4,21
0.665,0.803,2,-11.27,1,0.0497,0.00334,0.00493,0.119,0.757,111.53,audio_features,6ZSVNyvFee13wQdEDLxtNa,spotify:track:6ZSVNyvFee13wQdEDLxtNa,https://api.spotify.com/v1/tracks/6ZSVNyvFee13wQdEDLxtNa,https://api.spotify.com/v1/audio-analysis/6ZSVNyvFee13wQdEDLxtNa,343600,4,9
0.783,0.694,4,-9.67,1,0.0755,0.678,0.67,0.108,0.928,107.791,audio_features,6KadNdQoQyp6m3Pm3lK86V,spotify:track:6KadNdQoQyp6m3Pm3lK86V,https://api.spotify.com/v1/tracks/6KadNdQoQyp6m3Pm3lK86V,https://api.spotify.com/v1/audio-analysis/6KadNdQoQyp6m3Pm3lK86V,229360,4,18
0.628,0.727,0,-6.863,0,0.0246,0.306,0.105,0.114,0.869,108.848,audio_features,6Zdsh2caQlvqtsofmuefJF,spotify:track:6Zdsh2caQlvqtsofmuefJF,https://api.spotify.com/v1/tracks/6Zdsh2caQlvqtsofmuefJF,https://api.spotify.com/v1/audio-analysis/6Zdsh2caQlvqtsofmuefJF,190267,4,0
0.549,0.528,1,-6.754,1,0.0547,0.156,0.00703,0.516,0.569,153.902,audio_features,1w0PBcaFAPHDZGwaoEiNmJ,spotify:track:1w0PBcaFAPHDZGwaoEiNmJ,https://api.spotify.com/v1/tracks/1w0PBcaFAPHDZGwaoEiNmJ,https://api.spotify.com/v1/audio-analysis/1w0PBcaFAPHDZGwaoEiNmJ,269491,4,13
0.581,0.226,7,-17.113,0,0.0516,0.254,0,0.0918,0.557,146.785,audio_features,4ZJAvnCMxu1Oa9l63NttcV,spotify:track:4ZJAvnCMxu1Oa9l63NttcV,https://api.spotify.com/v1/tracks/4ZJAvnCMxu1Oa9l63NttcV,https://api.spotify.com/v1/audio-analysis/4ZJAvnCMxu1Oa9l63NttcV,279200,4,16
0.89,0.377,5,-12.111,1,0.0605,0.204,1.31e-05,0.0741,0.907,106.979,audio_features,2J9QWk2NYWh3eleZZ0SGJF,spotify:track:2J9QWk2NYWh3eleZZ0SGJF,https://api.spotify.com/v1/tracks/2J9QWk2NYWh3eleZZ0SGJF,https://api.spotify.com/v1/audio-analysis/2J9QWk2NYWh3eleZZ0SGJF,181253,4,33
0.707,0.727,2,-5.752,1,0.0327,0.182,1.92e-06,0.0383,0.888,96.904,audio_features,0KlIZnJCbJH2hglNhprgiT,spotify:track:0KlIZnJCbJH2hglNhprgiT,https://api.spotify.com/v1/tracks/0KlIZnJCbJH2hglNhprgiT,https://api.spotify.com/v1/audio-analysis/0KlIZnJCbJH2hglNhprgiT,162293,4,1
