danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.484,0.476,7,-9.198,1,0.0332,0.496,0.816,0.11,0.301,122.821,audio_features,1mDJWoYvYpqAc6d9ezKBI7,spotify:track:1mDJWoYvYpqAc6d9ezKBI7,https://api.spotify.com/v1/tracks/1mDJWoYvYpqAc6d9ezKBI7,https://api.spotify.com/v1/audio-analysis/1mDJWoYvYpqAc6d9ezKBI7,304147,4,19
0.309,0.838,2,-8.134,1,0.132,0.0851,0.63,0.143,0.391,115.26,audio_features,6yV07yVfbB7Gb15o2MqG8q,spotify:track:6yV07yVfbB7Gb15o2MqG8q,https://api.spotify.com/v1/tracks/6yV07yVfbB7Gb15o2MqG8q,https://api.spotify.com/v1/audio-analysis/6yV07yVfbB7Gb15o2MqG8q,810322,4,46
0.461,0.73,10,-5.089,1,0.301,0.273,0.000434,0.243,0.363,94.194,audio_features,03U4BdwL3Agp8PNZCAOiIV,spotify:track:03U4BdwL3Agp8PNZCAOiIV,https://api.spotify.com/v1/tracks/03U4BdwL3Agp8PNZCAOiIV,https://api.spotify.com/v1/audio-analysis/03U4BdwL3Agp8PNZCAOiIV,98693,4,10
0.663,0.394,0,-14.652,1,0.0393,0.761,0.116,0.0782,0.962,103.697,audio_features,7FkTIb8Xq5SbmRvUej4TwL,spotify:track:7FkTIb8Xq5SbmRvUej4TwL,https://api.spotify.com/v1/tracks/7FkTIb8Xq5SbmRvUej4TwL,https://api.spotify.com/v1/audio-analysis/7FkTIb8Xq5SbmRvUej4TwL,260040,4,26
0.734,0.912,5,-10.034,1,0.0591,0.244,9.09e-05,0.0791,0.71,116.602,audio_features,4Ku7O0GVAPuuKUSSIJJaXf,spotify:track:4Ku7O0GVAPuuKUSSIJJaXf,https://api.spotify.com/v1/tracks/4Ku7O0GVAPuuKUSSIJJaXf,https://api.spotify.com/v1/audio-analysis/4Ku7O0GVAPuuKUSSIJJaXf,257573,4,25
0.489,0.513,11,-13.577,0,0.0477,0.0836,0.814,0.114,0.809,143.826,audio_features,4xiUY4F0bgUSbcVewj7col,spotify:track:4xiUY4F0bgUSbcVewj7col,https://api.spotify.com/v1/tracks/4xiUY4F0bgUSbcVewj7col,https://api.spotify.com/v1/audio-analysis/4xiUY4F0bgUSbcVewj7col,470560,4,0
0.626,0.744,3,-11.919,1,0.0337,0.364,0.0965,0.0322,0.88,106.765,audio_features,5lUtWlmrpOo54BdVbtd7kH,spotify:track:5lUtWlmrpOo54BdVbtd7kH,https://api.spotify.com/v1/tracks/5lUtWlmrpOo54BdVbtd7kH,https://api.spotify.com/v1/audio-analysis/5lUtWlmrpOo54BdVbtd7kH,327440,4,29
0.629,0.672,2,-8.38,1,0.0438,0.397,0.0115,0.137,0.817,110.529,audio_features,63w5XvLZqtZeKTB4WAPHJr,spotify:track:63w5XvLZqtZeKTB4WAPHJr,https://api.spotify.com/v1/tracks/63w5XvLZqtZeKTB4WAPHJr,https://api.spotify.com/v1/audio-analysis/63w5XvLZqtZeKTB4WAPHJr,281507,4,19
0.683,0.869,0,-3.398,1,0.119,0.397,0.787,0.167,0.849,131.252,audio_features,0mdUoqJqjzqm3X7sb21Mnt,spotify:track:0mdUoqJqjzqm3X7sb21Mnt,https://api.spotify.com/v1/tracks/0mdUoqJqjzqm3X7sb21Mnt,https://api.spotify.com/v1/audio-analysis/0mdUoqJqjzqm3X7sb21Mnt,350507,4,18
0.717,0.832,1,-8.58,1,0.037,0.126,0.198,0.259,0.912,116.142,audio_features,1bC1iKxfkMOCH3SZ4GyiWk,spotify:track:1bC1iKxfkMOCH3SZ4GyiWk,https://api.spotify.com/v1/tracks/1bC1iKxfkMOCH3SZ4GyiWk,https://api.spotify.com/v1/audio-analysis/1bC1iKxfkMOCH3SZ4GyiWk,250867,4,29
0.39,0.913,11,-7.174,0,0.0778,0.0262,0.784,0.0649,0.603,146.129,audio_features,4WyVRn3L2uXnSUkY762gqN,spotify:track:4WyVRn3L2uXnSUkY762gqN,https://api.spotify.com/v1/tracks/4WyVRn3L2uXnSUkY762gqN,https://api.spotify.com/v1/audio-analysis/4WyVRn3L2uXnSUkY762gqN,615360,4,36
0.716,0.58,10,-12.747,0,0.239,0.0694,6.71e-06,0.906,0.707,99.077,audio_features,1VzhfMEGIIkn5hFITMJzW1,spotify:track:1VzhfMEGIIkn5hFITMJzW1,https://api.spotify.com/v1/tracks/1VzhfMEGIIkn5hFITMJzW1,https://api.spotify.com/v1/audio-analysis/1VzhfMEGIIkn5hFITMJzW1,279640,4,46
0.681,0.165,11,-17.055,0,0.0333,0.72,0.878,0.0905,0.418,110.374,audio_features,50UbRgOwYNNkHLt436APOE,spotify:track:50UbRgOwYNNkHLt436APOE,https://api.spotify.com/v1/tracks/50UbRgOwYNNkHLt436APOE,https://api.spotify.com/v1/audio-analysis/50UbRgOwYNNkHLt436APOE,103893,4,21
0.357,0.816,10,-6.079,1,0.103,0.569,0.0198,0.181,0.745,177.491,audio_features,6PnnFHI3zb6dqJqm3cTjuc,spotify:track:6PnnFHI3zb6dqJqm3cTjuc,https://api.spotify.com/v1/tracks/6PnnFHI3zb6dqJqm3cTjuc,https://api.spotify.com/v1/audio-analysis/6PnnFHI3zb6dqJqm3cTjuc,333080,4,22
