danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.743,0.803,9,-10.237,1,0.105,0.217,0.0022,0.0967,0.778,117.228,audio_features,2yRKtYiwnMWlDkMDgwGPyr,spotify:track:2yRKtYiwnMWlDkMDgwGPyr,https://api.spotify.com/v1/tracks/2yRKtYiwnMWlDkMDgwGPyr,https://api.spotify.com/v1/audio-analysis/2yRKtYiwnMWlDkMDgwGPyr,365907,4,0
0.909,0.963,7,-4.922,1,0.0735,0.0178,0.003,0.0877,0.849,130.111,audio_features,7BaCmGzaj4tzJkPT2JhkxO,spotify:track:7BaCmGzaj4tzJkPT2JhkxO,https://api.spotify.com/v1/tracks/7BaCmGzaj4tzJkPT2JhkxO,https://api.spotify.com/v1/audio-analysis/7BaCmGzaj4tzJkPT2JhkxO,313080,4,1
0.783,0.751,4,-8.275,0,0.115,0.0713,2.55e-05,0.148,0.804,102.4,audio_features,6SavQZM5TtnpDARG5HQTSB,spotify:track:6SavQZM5TtnpDARG5HQTSB,https://api.spotify.com/v1/tracks/6SavQZM5TtnpDARG5HQTSB,https://api.spotify.com/v1/audio-analysis/6SavQZM5TtnpDARG5HQTSB,233907,4,41
0.582,0.973,11,-6.571,0,0.0602,0.132,0.486,0.098,0.877,138.361,audio_features,6evohxlACvIJ6vAs1083NQ,spotify:track:6evohxlACvIJ6vAs1083NQ,https://api.spotify.com/v1/tracks/6evohxlACvIJ6vAs1083NQ,https://api.spotify.com/v1/audio-analysis/6evohxlACvIJ6vAs1083NQ,535333,4,7
0.586,0.781,5,-5.016,1,0.0584,0.0131,0.0797,0.0406,0.904,97.466,audio_features,11byNEaLDDOZtce9BZgz02,spotify:track:11byNEaLDDOZtce9BZgz02,https://api.spotify.com/v1/tracks/11byNEaLDDOZtce9BZgz02,https://api.spotify.com/v1/audio-analysis/11byNEaLDDOZtce9BZgz02,130773,4,2
0.645,0.961,1,-4.819,1,0.0439,0.268,0.35,0.0468,0.806,119.078,audio_features,3dtWjVnP2LRFjjjrJ1kKtl,spotify:track:3dtWjVnP2LRFjjjrJ1kKtl,https://api.spotify.com/v1/tracks/3dtWjVnP2LRFjjjrJ1kKtl,https://api.spotify.com/v1/audio-analysis/3dtWjVnP2LRFjjjrJ1kKtl,149067,4,37
0.691,0.941,6,-3.617,0,0.0699,0.0112,0.257,0.102,0.876,104.665,audio_features,250wx7ROZxqR3b25pDOoUl,spotify:track:250wx7ROZxqR3b25pDOoUl,https://api.spotify.com/v1/tracks/250wx7ROZxqR3b25pDOoUl,https://api.spotify.com/v1/audio-analysis/250wx7ROZxqR3b25pDOoUl,199560,4,2
0.741,0.947,0,-7.305,1,0.0354,0.0615,0.000695,0.105,0.958,126.001,audio_features,0sQDRiy9FbUmIWVorA8y6V,spotify:track:0sQDRiy9FbUmIWVorA8y6V,https://api.spotify.com/v1/tracks/0sQDRiy9FbUmIWVorA8y6V,https://api.spotify.com/v1/audio-analysis/0sQDRiy9FbUmIWVorA8y6V,380533,4,35
0.696,0.691,5,-13.697,0,0.0415,0.329,0,0.197,0.963,95.047,audio_features,3O74zfxMcavmMSfoHk5OZW,spotify:track:3O74zfxMcavmMSfoHk5OZW,https://api.spotify.com/v1/tracks/3O74zfxMcavmMSfoHk5OZW,https://api.spotify.com/v1/audio-analysis/3O74zfxMcavmMSfoHk5OZW,321933,4,1
0.85,0.754,11,-8.046,1,0.0768,0.0807,0.000876,0.0935,0.903,119.746,audio_features,16Vy2s9eIXsMVVG8Rikt3Z,spotify:track:16Vy2s9eIXsMVVG8Rikt3Z,https://api.spotify.com/v1/tracks/16Vy2s9eIXsMVVG8Rikt3Z,https://api.spotify.com/v1/audio-analysis/16Vy2s9eIXsMVVG8Rikt3Z,259787,4,32
0.707,0.711,7,-9.454,0,0.0328,0.268,0.00526,0.291,0.91,98.378,audio_features,2n0EDWSAL70IcaEv5nBDZl,spotify:track:2n0EDWSAL70IcaEv5nBDZl,https://api.spotify.com/v1/tracks/2n0EDWSAL70IcaEv5nBDZl,https://api.spotify.com/v1/audio-analysis/2n0EDWSAL70IcaEv5nBDZl,201387,4,41
0.708,0.511,0,-15.658,1,0.185,0.00772,0.0597,0.0661,0.931,170.631,audio_features,1MRlKbgb0jCK3CPnn6sdRU,spotify:track:1MRlKbgb0jCK3CPnn6sdRU,https://api.spotify.com/v1/tracks/1MRlKbgb0jCK3CPnn6sdRU,https://api.spotify.com/v1/audio-analysis/1MRlKbgb0jCK3CPnn6sdRU,284293,4,34
