danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.572,0.609,7,-15.725,0,0.076,0.78,0.847,0.0946,0.82,154.38,audio_features,3sT9Axw2nottkNOM4ilOLX,spotify:track:3sT9Axw2nottkNOM4ilOLX,https://api.spotify.com/v1/tracks/3sT9Axw2nottkNOM4ilOLX,https://api.spotify.com/v1/audio-analysis/3sT9Axw2nottkNOM4ilOLX,148413,4,14
0.488,0.479,5,-10.721,1,0.0545,0.832,0,0.242,0.544,79.914,audio_features,69zYBhkrR3N4X9hZuJVFwR,spotify:track:69zYBhkrR3N4X9hZuJVFwR,https://api.spotify.com/v1/tracks/69zYBhkrR3N4X9hZuJVFwR,https://api.spotify.com/v1/audio-analysis/69zYBhkrR3N4X9hZuJVFwR,150600,4,20
0.784,0.742,6,-6.251,0,0.129,0.0639,0.000109,0.16,0.828,114.121,audio_features,3zXV96vIfIXR1st12873nF,spotify:track:3zXV96vIfIXR1st12873nF,https://api.spotify.com/v1/tracks/3zXV96vIfIXR1st12873nF,https://api.spotify.com/v1/audio-analysis/3zXV96vIfIXR1st12873nF,355707,4,0
0.805,0.71,11,-6.631,0,0.155,0.0375,0.00458,0.21,0.711,97.336,audio_features,5eOEWJx3H80NP1GyfqxcvH,spotify:track:5eOEWJx3H80NP1GyfqxcvH,https://api.spotify.com/v1/tracks/5eOEWJx3H80NP1GyfqxcvH,https://api.spotify.com/v1/audio-analysis/5eOEWJx3H80NP1GyfqxcvH,349971,4,0
0.793,0.676,1,-12.662,0,0.0426,0.00931,0.91,0.101,0.871,115.375,audio_features,7MtkIWYU08wiwKGYrNb6lj,spotify:track:7MtkIWYU08wiwKGYrNb6lj,https://api.spotify.com/v1/tracks/7MtkIWYU08wiwKGYrNb6lj,https://api.spotify.com/v1/audio-analysis/7MtkIWYU08wiwKGYrNb6lj,252533,4,13
0.716,0.92,4,-4.558,0,0.0455,0.0054,0.637,0.066,0.89,101.88,audio_features,0W3XqLvn0GXfy6kBHWYMSG,spotify:track:0W3XqLvn0GXfy6kBHWYMSG,https://api.spotify.com/v1/tracks/0W3XqLvn0GXfy6kBHWYMSG,https://api.spotify.com/v1/audio-analysis/0W3XqLvn0GXfy6kBHWYMSG,230587,4,0
0.778,0.662,9,-12.636,0,0.0507,0.377,0.39,0.193,0.926,124.34,audio_features,44jolNaZUr8Ul5k2gIW7K7,spotify:track:44jolNaZUr8Ul5k2gIW7K7,https://api.spotify.com/v1/tracks/44jolNaZUr8Ul5k2gIW7K7,https://api.spotify.com/v1/audio-analysis/44jolNaZUr8Ul5k2gIW7K7,657533,4,0
0.781,0.695,3,-9.911,1,0.052,0.202,0.448,0.121,0.921,87.371,audio_features,1cSn7YyTn523mnxtOZXRYA,spotify:track:1cSn7YyTn523mnxtOZXRYA,https://api.spotify.com/v1/tracks/1cSn7YyTn523mnxtOZXRYA,https://api.spotify.com/v1/audio-analysis/1cSn7YyTn523mnxtOZXRYA,257760,4,47
0.727,0.55,9,-7.396,1,0.0487,0.0572,3.69e-05,0.227,0.883,141.577,audio_features,1MCh9c35k0NAxE81oCrHU1,spotify:track:1MCh9c35k0NAxE81oCrHU1,https://api.spotify.com/v1/tracks/1MCh9c35k0NAxE81oCrHU1,https://api.spotify.com/v1/audio-analysis/1MCh9c35k0NAxE81oCrHU1,236867,4,45
0.847,0.89,10,-6.503,0,0.0972,0.302,0.0307,0.22,0.863,168.175,audio_features,5B1QVksxcw7p6t9lSi1dl5,spotify:track:5B1QVksxcw7p6t9lSi1dl5,https://api.spotify.com/v1/tracks/5B1QVksxcw7p6t9lSi1dl5,https://api.spotify.com/v1/audio-analysis/5B1QVksxcw7p6t9lSi1dl5,234547,4,22
