danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.869,0.409,4,-10.431,1,0.0392,0.0639,0.000409,0.113,0.738,109.091,audio_features,6wiXLuJPmqambLyVJBg0fy,spotify:track:6wiXLuJPmqambLyVJBg0fy,https://api.spotify.com/v1/tracks/6wiXLuJPmqambLyVJBg0fy,https://api.spotify.com/v1/audio-analysis/6wiXLuJPmqambLyVJBg0fy,198773,4,35
0.617,0.839,0,-2.849,0,0.0655,0.0286,0,0.19,0.741,128.91,audio_features,20DfkHC5grnKNJCzZQB6KC,spotify:track:20DfkHC5grnKNJCzZQB6KC,https://api.spotify.com/v1/tracks/20DfkHC5grnKNJCzZQB6KC,https://api.spotify.com/v1/audio-analysis/20DfkHC5grnKNJCzZQB6KC,205560,4,56
0.464,0.889,5,-5.042,1,0.0497,0.0389,0.0272,0.31,0.539,87.858,audio_features,2krJlC7MXXpOdPipgc0TaS,spotify:track:2krJlC7MXXpOdPipgc0TaS,https://api.spotify.com/v1/tracks/2krJlC7MXXpOdPipgc0TaS,https://api.spotify.com/v1/audio-analysis/2krJlC7MXXpOdPipgc0TaS,232720,4,56
0.369,0.815,2,-3.696,1,0.0337,0.0655,0,0.538,0.671,69.796,audio_features,1URYKkXkRmq411nClnK9M8,spotify:track:1URYKkXkRmq411nClnK9M8,https://api.spotify.com/v1/tracks/1URYKkXkRmq411nClnK9M8,https://api.spotify.com/v1/audio-analysis/1URYKkXkRmq411nClnK9M8,215126,4,0
0.357,0.932,6,-4.196,1,0.0827,1.01e-05,0.00093,0.0395,0.339,169.872,audio_features,2kPNfupzN6RAk2ehFcmjPG,spotify:track:2kPNfupzN6RAk2ehFcmjPG,https://api.spotify.com/v1/tracks/2kPNfupzN6RAk2ehFcmjPG,https://api.spotify.com/v1/audio-analysis/2kPNfupzN6RAk2ehFcmjPG,221950,3,51
0.541,0.962,6,-4.055,1,0.107,0.000589,1.26e-05,0.0809,0.729,155.032,audio_features,2i4g3MGvVFX1HU94NWAT0s,spotify:track:2i4g3MGvVFX1HU94NWAT0s,https://api.spotify.com/v1/tracks/2i4g3MGvVFX1HU94NWAT0s,https://api.spotify.com/v1/audio-analysis/2i4g3MGvVFX1HU94NWAT0s,206895,4,2
0.443,0.96,9,-4.717,0,0.115,1.93e-05,0.0022,0.351,0.153,115.008,audio_features,3XwO83lQ9PTk1t87n5Mk6p,spotify:track:3XwO83lQ9PTk1t87n5Mk6p,https://api.spotify.com/v1/tracks/3XwO83lQ9PTk1t87n5Mk6p,https://api.spotify.com/v1/audio-analysis/3XwO83lQ9PTk1t87n5Mk6p,242591,4,0
0.412,0.879,7,-4.459,0,0.0593,6.03e-05,0.298,0.299,0.307,142.081,audio_features,0z8qlGmDQ36ZbMZTLz7tJY,spotify:track:0z8qlGmDQ36ZbMZTLz7tJY,https://api.spotify.com/v1/tracks/0z8qlGmDQ36ZbMZTLz7tJY,https://api.spotify.com/v1/audio-analysis/0z8qlGmDQ36ZbMZTLz7tJY,194680,4,35
0.566,0.798,6,-5.018,0,0.0539,0.00203,0.00378,0.103,0.583,112.958,audio_features,3Gqoh6aG1ZW9QO1j7Vn63U,spotify:track:3Gqoh6aG1ZW9QO1j7Vn63U,https://api.spotify.com/v1/tracks/3Gqoh6aG1ZW9QO1j7Vn63U,https://api.spotify.com/v1/audio-analysis/3Gqoh6aG1ZW9QO1j7Vn63U,209427,4,0
0.215,0.944,0,-3.538,1,0.136,1.63e-05,0.00256,0.247,0.294,165.18,audio_features,2WBSdRYPXqGOZ8mk9iBQBN,spotify:track:2WBSdRYPXqGOZ8mk9iBQBN,https://api.spotify.com/v1/tracks/2WBSdRYPXqGOZ8mk9iBQBN,https://api.spotify.com/v1/audio-analysis/2WBSdRYPXqGOZ8mk9iBQBN,172493,4,26
