danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,audio_features,7lQWRAjyhTpCWFC0jmclT4,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/audio-analysis/7lQWRAjyhTpCWFC0jmclT4,240693,4,77
0.919,0.73,1,-6.581,1,0.088,0.00194,8.51e-05,0.101,0.189,95.044,audio_features,6tUgfsOa8PLkoede5nOR7D,spotify:track:6tUgfsOa8PLkoede5nOR7D,https://api.spotify.com/v1/tracks/6tUgfsOa8PLkoede5nOR7D,https://api.spotify.com/v1/audio-analysis/6tUgfsOa8PLkoede5nOR7D,219880,4,83
0.652,0.905,1,-4.113,1,0.11,0.119,0.00346,0.109,0.265,156.051,audio_features,6YVbCxw3Yqyj4dRomrXPhl,spotify:track:6YVbCxw3Yqyj4dRomrXPhl,https://api.spotify.com/v1/tracks/6YVbCxw3Yqyj4dRomrXPhl,https://api.spotify.com/v1/audio-analysis/6YVbCxw3Yqyj4dRomrXPhl,205747,4,73
0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,audio_features,1OmcAT5Y8eg5bUPv9qJT4R,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/tracks/1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/audio-analysis/1OmcAT5Y8eg5bUPv9qJT4R,218320,4,95
0.495,0.747,0,-5.302,1,0.0328,0.000735,0.000356,0.192,0.457,130.04,audio_features,3PBXTtPiOqfYcbc30ydVTz,spotify:track:3PBXTtPiOqfYcbc30ydVTz,https://api.spotify.com/v1/tracks/3PBXTtPiOqfYcbc30ydVTz,https://api.spotify.com/v1/audio-analysis/3PBXTtPiOqfYcbc30ydVTz,198080,4,60
0.378,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,audio_features,0Tr5G2mE56eLUGvCaXRM8I,spotify:track:0Tr5G2mE56eLUGvCaXRM8I,https://api.spotify.com/v1/tracks/0Tr5G2mE56eLUGvCaXRM8I,https://api.spotify.com/v1/audio-analysis/0Tr5G2mE56eLUGvCaXRM8I,234240,4,64
0.245,0.961,2,-4.223,0,0.0852,9.79e-05,0.00433,0.164,0.574,96.0,audio_features,39ZiU2QVBvDQzeepJjg8tp,spotify:track:39ZiU2QVBvDQzeepJjg8tp,https://api.spotify.com/v1/tracks/39ZiU2QVBvDQzeepJjg8tp,https://api.spotify.com/v1/audio-analysis/39ZiU2QVBvDQzeepJjg8tp,394467,4,55
0.279,0.798,11,-8.69,1,0.0686,0.013,0.119,0.118,0.337,144.988,audio_features,0rFWuqFgHAfuzE8uSB9TWR,spotify:track:0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/tracks/0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/audio-analysis/0rFWuqFgHAfuzE8uSB9TWR,183973,4,57
0.64,0.824,3,-5.435,0,0.0816,0.139,0,0.29,0.561,95.021,audio_features,274tSPavv09i163nBnYrCU,spotify:track:274tSPavv09i163nBnYrCU,https://api.spotify.com/v1/tracks/274tSPavv09i163nBnYrCU,https://api.spotify.com/v1/audio-analysis/274tSPavv09i163nBnYrCU,195173,4,48
0.403,0.754,0,-5.256,1,0.0441,6.08e-05,7.73e-05,0.529,0.398,136.021,audio_features,4CLZlTPjaKqbadAJc031OQ,spotify:track:4CLZlTPjaKqbadAJc031OQ,https://api.spotify.com/v1/tracks/4CLZlTPjaKqbadAJc031OQ,https://api.spotify.com/v1/audio-analysis/4CLZlTPjaKqbadAJc031OQ,226467,4,52
