danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.7,0.804,10,-6.028,0,0.071,0.259,0.895,0.109,0.361,127.99,audio_features,7AQQ92QI9O2Su1kL3X2f8s,spotify:track:7AQQ92QI9O2Su1kL3X2f8s,https://api.spotify.com/v1/tracks/7AQQ92QI9O2Su1kL3X2f8s,https://api.spotify.com/v1/audio-analysis/7AQQ92QI9O2Su1kL3X2f8s,239973,4,20
0.576,0.789,2,-9.963,1,0.0493,0.0132,0.915,0.101,0.39,200.0,audio_features,3k7F9Z4RKOajIRQ2gDWO7N,spotify:track:3k7F9Z4RKOajIRQ2gDWO7N,https://api.spotify.com/v1/tracks/3k7F9Z4RKOajIRQ2gDWO7N,https://api.spotify.com/v1/audio-analysis/3k7F9Z4RKOajIRQ2gDWO7N,244500,4,44
0.679,0.924,1,-8.469,1,0.0461,0.000828,0.826,0.0952,0.202,126.988,audio_features,3xG8Xcrke8F1gfYjzQE1Le,spotify:track:3xG8Xcrke8F1gfYjzQE1Le,https://api.spotify.com/v1/tracks/3xG8Xcrke8F1gfYjzQE1Le,https://api.spotify.com/v1/audio-analysis/3xG8Xcrke8F1gfYjzQE1Le,257176,4,48
0.648,0.467,4,-12.267,0,0.0355,0.0118,0.957,0.38,0.675,115.987,audio_features,4smnlSoB45rmAGV2hDdY5g,spotify:track:4smnlSoB45rmAGV2hDdY5g,https://api.spotify.com/v1/tracks/4smnlSoB45rmAGV2hDdY5g,https://api.spotify.com/v1/audio-analysis/4smnlSoB45rmAGV2hDdY5g,159310,4,37
0.745,0.617,0,-9.847,1,0.0285,0.319,0.83,0.111,0.335,135.004,audio_features,2vgL4j2cyWWBul8FWQ3GQO,spotify:track:2vgL4j2cyWWBul8FWQ3GQO,https://api.spotify.com/v1/tracks/2vgL4j2cyWWBul8FWQ3GQO,https://api.spotify.com/v1/audio-analysis/2vgL4j2cyWWBul8FWQ3GQO,170511,3,0
0.498,0.84,5,-5.169,1,0.131,0.00193,0.833,0.343,0.544,191.96,audio_features,3rxnmxTEqApa2ad9TWWDBx,spotify:track:3rxnmxTEqApa2ad9TWWDBx,https://api.spotify.com/v1/tracks/3rxnmxTEqApa2ad9TWWDBx,https://api.spotify.com/v1/audio-analysis/3rxnmxTEqApa2ad9TWWDBx,170000,4,23
0.414,0.836,6,-6.192,1,0.0379,0.000123,0.868,0.106,0.0551,95.486,audio_features,0PHCiGvt7VKV2XVsCGZFIJ,spotify:track:0PHCiGvt7VKV2XVsCGZFIJ,https://api.spotify.com/v1/tracks/0PHCiGvt7VKV2XVsCGZFIJ,https://api.spotify.com/v1/audio-analysis/0PHCiGvt7VKV2XVsCGZFIJ,328840,4,48
0.562,0.511,10,-13.327,1,0.0353,0.00917,0.741,0.111,0.038,130.038,audio_features,0SovI9ZaXKFzN1b26U0627,spotify:track:0SovI9ZaXKFzN1b26U0627,https://api.spotify.com/v1/tracks/0SovI9ZaXKFzN1b26U0627,https://api.spotify.com/v1/audio-analysis/0SovI9ZaXKFzN1b26U0627,253745,4,32
0.459,0.539,8,-11.551,1,0.0287,0.138,0.964,0.097,0.262,187.981,audio_features,55rIKGbcna1oD0v3BdIo4B,spotify:track:55rIKGbcna1oD0v3BdIo4B,https://api.spotify.com/v1/tracks/55rIKGbcna1oD0v3BdIo4B,https://api.spotify.com/v1/audio-analysis/55rIKGbcna1oD0v3BdIo4B,366064,4,41
0.559,0.546,9,-8.878,0,0.0277,8.99e-05,0.925,0.112,0.895,132.011,audio_features,2pNUmkx55kiyccsZCXKuNs,spotify:track:2pNUmkx55kiyccsZCXKuNs,https://api.spotify.com/v1/tracks/2pNUmkx55kiyccsZCXKuNs,https://api.spotify.com/v1/audio-analysis/2pNUmkx55kiyccsZCXKuNs,291839,4,43
0.609,0.844,11,-8.402,1,0.0352,0.0129,0.801,0.367,0.767,99.994,audio_features,46U7cjUbIwsMr6XwlEcE35,spotify:track:46U7cjUbIwsMr6XwlEcE35,https://api.spotify.com/v1/tracks/46U7cjUbIwsMr6XwlEcE35,https://api.spotify.com/v1/audio-analysis/46U7cjUbIwsMr6XwlEcE35,290540,4,41
