danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.612,0.87,2,-10.143,0,0.0408,0.000978,0.895,0.118,0.76,94.016,audio_features,331tP1ALdrmjioH4RznvwC,spotify:track:331tP1ALdrmjioH4RznvwC,https://api.spotify.com/v1/tracks/331tP1ALdrmjioH4RznvwC,https://api.spotify.com/v1/audio-analysis/331tP1ALdrmjioH4RznvwC,347069,4,29
0.52,0.561,5,-7.95,1,0.0255,0.00807,0.485,0.142,0.421,92.999,audio_features,1sotD6Cn8aOtUsL0bd5HTJ,spotify:track:1sotD6Cn8aOtUsL0bd5HTJ,https://api.spotify.com/v1/tracks/1sotD6Cn8aOtUsL0bd5HTJ,https://api.spotify.com/v1/audio-analysis/1sotD6Cn8aOtUsL0bd5HTJ,196000,4,46
0.672,0.646,7,-9.312,0,0.0396,0.532,0.748,0.18,0.548,79.531,audio_features,48Dz1HTWoMLpT5voht8igk,spotify:track:48Dz1HTWoMLpT5voht8igk,https://api.spotify.com/v1/tracks/48Dz1HTWoMLpT5voht8igk,https://api.spotify.com/v1/audio-analysis/48Dz1HTWoMLpT5voht8igk,299880,4,34
0.568,0.43,2,-9.908,1,0.0286,0.00232,0.725,0.262,0.0526,140.028,audio_features,5wfgLASWmbbLjNkbXsbs8t,spotify:track:5wfgLASWmbbLjNkbXsbs8t,https://api.spotify.com/v1/tracks/5wfgLASWmbbLjNkbXsbs8t,https://api.spotify.com/v1/audio-analysis/5wfgLASWmbbLjNkbXsbs8t,386180,4,43
0.575,0.443,9,-11.801,1,0.0279,0.538,0.925,0.108,0.123,149.939,audio_features,0fJKwnxypaBAMEGEfCgEhQ,spotify:track:0fJKwnxypaBAMEGEfCgEhQ,https://api.spotify.com/v1/tracks/0fJKwnxypaBAMEGEfCgEhQ,https://api.spotify.com/v1/audio-analysis/0fJKwnxypaBAMEGEfCgEhQ,318701,4,44
0.794,0.687,7,-5.028,0,0.0746,0.0395,0.4,0.115,0.787,100.253,audio_features,3s25iX3minD5jORW4KpANZ,spotify:track:3s25iX3minD5jORW4KpANZ,https://api.spotify.com/v1/tracks/3s25iX3minD5jORW4KpANZ,https://api.spotify.com/v1/audio-analysis/3s25iX3minD5jORW4KpANZ,255984,4,45
0.665,0.738,1,-8.089,0,0.0483,0.214,0.489,0.358,0.214,119.949,audio_features,6hJA3Nn6jBjuUxSoymBn9D,spotify:track:6hJA3Nn6jBjuUxSoymBn9D,https://api.spotify.com/v1/tracks/6hJA3Nn6jBjuUxSoymBn9D,https://api.spotify.com/v1/audio-analysis/6hJA3Nn6jBjuUxSoymBn9D,364279,4,26
0.549,0.663,5,-7.555,0,0.0464,0.0309,0.888,0.0938,0.245,114.494,audio_features,4yX50PMifhGzVEo1wv3guc,spotify:track:4yX50PMifhGzVEo1wv3guc,https://api.spotify.com/v1/tracks/4yX50PMifhGzVEo1wv3guc,https://api.spotify.com/v1/audio-analysis/4yX50PMifhGzVEo1wv3guc,277560,4,49
0.379,0.631,4,-11.948,1,0.0492,0.127,0.839,0.106,0.144,171.823,audio_features,1l0aqj8C1yDkdpksIDZZSr,spotify:track:1l0aqj8C1yDkdpksIDZZSr,https://api.spotify.com/v1/tracks/1l0aqj8C1yDkdpksIDZZSr,https://api.spotify.com/v1/audio-analysis/1l0aqj8C1yDkdpksIDZZSr,314587,4,3
0.603,0.337,9,-9.456,0,0.034,0.836,0.939,0.114,0.0816,110.006,audio_features,7DUdkOccGYxVVSb00TstTz,spotify:track:7DUdkOccGYxVVSb00TstTz,https://api.spotify.com/v1/tracks/7DUdkOccGYxVVSb00TstTz,https://api.spotify.com/v1/audio-analysis/7DUdkOccGYxVVSb00TstTz,277027,4,1
0.624,0.388,9,-13.449,0,0.0293,0.765,0.731,0.141,0.14,115.066,audio_features,1YifzovUWtHqLAKlme4Iav,spotify:track:1YifzovUWtHqLAKlme4Iav,https://api.spotify.com/v1/tracks/1YifzovUWtHqLAKlme4Iav,https://api.spotify.com/v1/audio-analysis/1YifzovUWtHqLAKlme4Iav,278707,4,52
0.339,0.697,5,-7.793,0,0.0406,0.00251,0.898,0.151,0.0367,184.12,audio_features,1kua6VM4K3jnxqKxliDVyx,spotify:track:1kua6VM4K3jnxqKxliDVyx,https://api.spotify.com/v1/tracks/1kua6VM4K3jnxqKxliDVyx,https://api.spotify.com/v1/audio-analysis/1kua6VM4K3jnxqKxliDVyx,234360,4,32
