danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.574,0.324,0,-10.993,1,0.0307,0.886,0.0817,0.28,0.211,91.007,audio_features,3JsA2sWDNR9oQogGAzqqtH,spotify:track:3JsA2sWDNR9oQogGAzqqtH,https://api.spotify.com/v1/tracks/3JsA2sWDNR9oQogGAzqqtH,https://api.spotify.com/v1/audio-analysis/3JsA2sWDNR9oQogGAzqqtH,217053,4,55
0.444,0.758,9,-6.959,0,0.0472,0.00564,0.000247,0.576,0.242,80.055,audio_features,2NbSzyMiK2oZov8r5Yddcf,spotify:track:2NbSzyMiK2oZov8r5Yddcf,https://api.spotify.com/v1/tracks/2NbSzyMiK2oZov8r5Yddcf,https://api.spotify.com/v1/audio-analysis/2NbSzyMiK2oZov8r5Yddcf,244427,4,42
0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,0iTpQYzJnYgh7kIxyq8A2O,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O,243160,4,69
0.514,0.632,2,-6.305,1,0.0501,0.208,0.0132,0.115,0.31,94.569,audio_features,601KiLiZtBJRTXBrTjeieP,spotify:track:601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP,233818,4,64
0.612,0.476,8,-8.256,1,0.0275,0.861,0.00401,0.147,0.257,118.383,audio_features,5w7ZSNKnlG4gkhxSZydh8R,spotify:track:5w7ZSNKnlG4gkhxSZydh8R,https://api.spotify.com/v1/tracks/5w7ZSNKnlG4gkhxSZydh8R,https://api.spotify.com/v1/audio-analysis/5w7ZSNKnlG4gkhxSZydh8R,288720,3,54
0.383,0.887,2,-3.649,1,0.0979,0.000775,6.43e-05,0.2,0.664,120.029,audio_features,7IhJ6AUhlSpNLVRBTdptsH,spotify:track:7IhJ6AUhlSpNLVRBTdptsH,https://api.spotify.com/v1/tracks/7IhJ6AUhlSpNLVRBTdptsH,https://api.spotify.com/v1/audio-analysis/7IhJ6AUhlSpNLVRBTdptsH,208320,4,44
0.352,0.866,2,-3.274,1,0.0392,3.03e-05,2.92e-05,0.295,0.544,165.209,audio_features,0KNVDEeZWXZPIYKqJeRRpX,spotify:track:0KNVDEeZWXZPIYKqJeRRpX,https://api.spotify.com/v1/tracks/0KNVDEeZWXZPIYKqJeRRpX,https://api.spotify.com/v1/audio-analysis/0KNVDEeZWXZPIYKqJeRRpX,174013,4,65
0.405,0.64,4,-6.374,0,0.144,0.0185,0,0.103,0.265,169.913,audio_features,1285n66OGGUB3Bnh6c18nS,spotify:track:1285n66OGGUB3Bnh6c18nS,https://api.spotify.com/v1/tracks/1285n66OGGUB3Bnh6c18nS,https://api.spotify.com/v1/audio-analysis/1285n66OGGUB3Bnh6c18nS,191808,4,57
0.528,0.86,11,-8.033,0,0.0397,0.00131,0.25,0.251,0.49,123.12,audio_features,44DnIGEvTlhDkGv3xLSDcp,spotify:track:44DnIGEvTlhDkGv3xLSDcp,https://api.spotify.com/v1/tracks/44DnIGEvTlhDkGv3xLSDcp,https://api.spotify.com/v1/audio-analysis/44DnIGEvTlhDkGv3xLSDcp,266053,4,61
0.644,0.811,11,-7.681,1,0.0499,0.142,0.000629,0.169,0.831,154.903,audio_features,7psPPGwhFzP3pyOcb3ivcT,spotify:track:7psPPGwhFzP3pyOcb3ivcT,https://api.spotify.com/v1/tracks/7psPPGwhFzP3pyOcb3ivcT,https://api.spotify.com/v1/audio-analysis/7psPPGwhFzP3pyOcb3ivcT,202667,4,64
