danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.733,0.553,7,-13.924,1,0.0382,0.252,0.00257,0.147,0.934,124.993,audio_features,0eaZbB3SewakRxB9uHKjjj,spotify:track:0eaZbB3SewakRxB9uHKjjj,https://api.spotify.com/v1/tracks/0eaZbB3SewakRxB9uHKjjj,https://api.spotify.com/v1/audio-analysis/0eaZbB3SewakRxB9uHKjjj,266267,4,9
0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043,audio_features,0F0MA0ns8oXwGw66B2BSXm,spotify:track:0F0MA0ns8oXwGw66B2BSXm,https://api.spotify.com/v1/tracks/0F0MA0ns8oXwGw66B2BSXm,https://api.spotify.com/v1/audio-analysis/0F0MA0ns8oXwGw66B2BSXm,457133,4,67
0.567,0.512,0,-8.831,1,0.0357,0.547,0,0.296,0.334,130.269,audio_features,5fgkjhICZnqFctrV0AyuQD,spotify:track:5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/tracks/5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/audio-analysis/5fgkjhICZnqFctrV0AyuQD,252613,4,67
0.543,0.272,0,-19.497,1,0.106,0.711,0.000467,0.102,0.382,104.792,audio_features,03c6s6VTKDsCU1R5bclNii,spotify:track:03c6s6VTKDsCU1R5bclNii,https://api.spotify.com/v1/tracks/03c6s6VTKDsCU1R5bclNii,https://api.spotify.com/v1/audio-analysis/03c6s6VTKDsCU1R5bclNii,253293,4,6
0.619,0.781,5,-7.455,0,0.0393,0.0243,0.000286,0.402,0.533,126.267,audio_features,6XOINCZBv8Q7RXgNNiTwIN,spotify:track:6XOINCZBv8Q7RXgNNiTwIN,https://api.spotify.com/v1/tracks/6XOINCZBv8Q7RXgNNiTwIN,https://api.spotify.com/v1/audio-analysis/6XOINCZBv8Q7RXgNNiTwIN,236583,4,59
0.64,0.602,9,-7.902,1,0.0299,0.0646,0,0.375,0.951,111.87,audio_features,0u4htORODiTK9vHVA89MQX,spotify:track:0u4htORODiTK9vHVA89MQX,https://api.spotify.com/v1/tracks/0u4htORODiTK9vHVA89MQX,https://api.spotify.com/v1/audio-analysis/0u4htORODiTK9vHVA89MQX,193893,4,64
0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,audio_features,7mnGQesk1TzQLzQ9bYWZPR,spotify:track:7mnGQesk1TzQLzQ9bYWZPR,https://api.spotify.com/v1/tracks/7mnGQesk1TzQLzQ9bYWZPR,https://api.spotify.com/v1/audio-analysis/7mnGQesk1TzQLzQ9bYWZPR,224693,4,69
0.624,0.826,2,-5.534,1,0.0287,0.113,0,0.0938,0.526,110.372,audio_features,3GpdNg7Krt9vjc6tgDoKe1,spotify:track:3GpdNg7Krt9vjc6tgDoKe1,https://api.spotify.com/v1/tracks/3GpdNg7Krt9vjc6tgDoKe1,https://api.spotify.com/v1/audio-analysis/3GpdNg7Krt9vjc6tgDoKe1,257187,4,63
0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,audio_features,3x2bXiU0o4WbsPkawXlfDA,spotify:track:3x2bXiU0o4WbsPkawXlfDA,https://api.spotify.com/v1/tracks/3x2bXiU0o4WbsPkawXlfDA,https://api.spotify.com/v1/audio-analysis/3x2bXiU0o4WbsPkawXlfDA,378707,4,62
0.41,0.874,0,-4.286,1,0.0907,0.197,0,0.0843,0.824,107.08,audio_features,3xKsPtA5XG91Zlh0SyycmM,spotify:track:3xKsPtA5XG91Zlh0SyycmM,https://api.spotify.com/v1/tracks/3xKsPtA5XG91Zlh0SyycmM,https://api.spotify.com/v1/audio-analysis/3xKsPtA5XG91Zlh0SyycmM,205933,4,64
0.5,0.846,0,-8.098,1,0.0457,0.0797,0,0.241,0.738,134.937,audio_features,3yP0cohcr97BUNJcgvmSVg,spotify:track:3yP0cohcr97BUNJcgvmSVg,https://api.spotify.com/v1/tracks/3yP0cohcr97BUNJcgvmSVg,https://api.spotify.com/v1/audio-analysis/3yP0cohcr97BUNJcgvmSVg,284067,4,26
0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,audio_features,12BbMJsJi65mxneq6c9Lm7,spotify:track:12BbMJsJi65mxneq6c9Lm7,https://api.spotify.com/v1/tracks/12BbMJsJi65mxneq6c9Lm7,https://api.spotify.com/v1/audio-analysis/12BbMJsJi65mxneq6c9Lm7,211213,4,62
0.747,0.779,0,-5.623,1,0.0374,0.111,0.0268,0.0524,0.968,115.319,audio_features,5jGg0vWM6YUdSLpjvJV2qV,spotify:track:5jGg0vWM6YUdSLpjvJV2qV,https://api.spotify.com/v1/tracks/5jGg0vWM6YUdSLpjvJV2qV,https://api.spotify.com/v1/audio-analysis/5jGg0vWM6YUdSLpjvJV2qV,220133,4,42
0.566,0.769,4,-4.973,1,0.0469,0.0597,0,0.579,0.324,159.651,audio_features,0q4xWbV08szzUpGPhVsrcD,spotify:track:0q4xWbV08szzUpGPhVsrcD,https://api.spotify.com/v1/tracks/0q4xWbV08szzUpGPhVsrcD,https://api.spotify.com/v1/audio-analysis/0q4xWbV08szzUpGPhVsrcD,204480,4,16
