danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.645,0.72,0,-6.891,0,0.0302,0.421,0.497,0.0988,0.382,130.002,audio_features,7nCMzyXLtL3wGJn0Kx0mo4,spotify:track:7nCMzyXLtL3wGJn0Kx0mo4,https://api.spotify.com/v1/tracks/7nCMzyXLtL3wGJn0Kx0mo4,https://api.spotify.com/v1/audio-analysis/7nCMzyXLtL3wGJn0Kx0mo4,334107,4,36
0.553,0.328,4,-13.52,0,0.0812,0.749,0.894,0.0906,0.785,135.001,audio_features,4M0h7E95t1AdtfZN1zoYUe,spotify:track:4M0h7E95t1AdtfZN1zoYUe,https://api.spotify.com/v1/tracks/4M0h7E95t1AdtfZN1zoYUe,https://api.spotify.com/v1/audio-analysis/4M0h7E95t1AdtfZN1zoYUe,258504,4,31
0.559,0.415,11,-9.933,0,0.0306,0.565,0.658,0.132,0.109,128.04,audio_features,2cypaSmKsYb3coQrFkIj0f,spotify:track:2cypaSmKsYb3coQrFkIj0f,https://api.spotify.com/v1/tracks/2cypaSmKsYb3coQrFkIj0f,https://api.spotify.com/v1/audio-analysis/2cypaSmKsYb3coQrFkIj0f,310987,4,3
0.225,0.657,5,-8.104,0,0.0936,0.461,0.571,0.513,0.0681,180.218,audio_features,5m2yhxkS3X7TVRKmBRVYxf,spotify:track:5m2yhxkS3X7TVRKmBRVYxf,https://api.spotify.com/v1/tracks/5m2yhxkS3X7TVRKmBRVYxf,https://api.spotify.com/v1/audio-analysis/5m2yhxkS3X7TVRKmBRVYxf,263187,5,30
0.582,0.603,1,-6.776,1,0.0295,0.252,0.000613,0.0706,0.307,114.989,audio_features,70ZvEYmbe5jMKv6xJr97Yc,spotify:track:70ZvEYmbe5jMKv6xJr97Yc,https://api.spotify.com/v1/tracks/70ZvEYmbe5jMKv6xJr97Yc,https://api.spotify.com/v1/audio-analysis/70ZvEYmbe5jMKv6xJr97Yc,226099,4,31
0.498,0.673,0,-11.52,0,0.0531,0.0113,0.795,0.0861,0.297,195.998,audio_features,6Q0pNAN5RIXyMH0xwibF5x,spotify:track:6Q0pNAN5RIXyMH0xwibF5x,https://api.spotify.com/v1/tracks/6Q0pNAN5RIXyMH0xwibF5x,https://api.spotify.com/v1/audio-analysis/6Q0pNAN5RIXyMH0xwibF5x,204520,4,0
0.602,0.418,5,-12.392,0,0.0381,0.0517,0.871,0.104,0.0784,118.016,audio_features,2J3kiT2VuOV8f1JuGyv2No,spotify:track:2J3kiT2VuOV8f1JuGyv2No,https://api.spotify.com/v1/tracks/2J3kiT2VuOV8f1JuGyv2No,https://api.spotify.com/v1/audio-analysis/2J3kiT2VuOV8f1JuGyv2No,450563,4,3
0.575,0.576,5,-9.782,0,0.0295,0.0245,0.917,0.116,0.0363,135.998,audio_features,2hgerKBJ7tetp3JfL5OZX9,spotify:track:2hgerKBJ7tetp3JfL5OZX9,https://api.spotify.com/v1/tracks/2hgerKBJ7tetp3JfL5OZX9,https://api.spotify.com/v1/audio-analysis/2hgerKBJ7tetp3JfL5OZX9,287404,4,49
0.506,0.755,7,-10.429,0,0.0528,0.478,0.183,0.141,0.284,139.987,audio_features,1f0WZYCbNwYzbxXrtQWHrO,spotify:track:1f0WZYCbNwYzbxXrtQWHrO,https://api.spotify.com/v1/tracks/1f0WZYCbNwYzbxXrtQWHrO,https://api.spotify.com/v1/audio-analysis/1f0WZYCbNwYzbxXrtQWHrO,397760,4,21
0.532,0.941,10,-7.648,0,0.0432,0.198,0.824,0.275,0.335,89.981,audio_features,2xKnrarkfG4vP7xx1rs3Mh,spotify:track:2xKnrarkfG4vP7xx1rs3Mh,https://api.spotify.com/v1/tracks/2xKnrarkfG4vP7xx1rs3Mh,https://api.spotify.com/v1/audio-analysis/2xKnrarkfG4vP7xx1rs3Mh,263840,4,28
0.313,0.618,5,-7.918,0,0.0976,0.326,0.52,0.199,0.328,143.577,audio_features,4jLEVhTO5xD2GjidMqXOlS,spotify:track:4jLEVhTO5xD2GjidMqXOlS,https://api.spotify.com/v1/tracks/4jLEVhTO5xD2GjidMqXOlS,https://api.spotify.com/v1/audio-analysis/4jLEVhTO5xD2GjidMqXOlS,243805,4,34
0.706,0.321,4,-12.92,1,0.214,0.619,0.639,0.12,0.105,172.021,audio_features,6ECka4UKqtJvFpJUYcbWZY,spotify:track:6ECka4UKqtJvFpJUYcbWZY,https://api.spotify.com/v1/tracks/6ECka4UKqtJvFpJUYcbWZY,https://api.spotify.com/v1/audio-analysis/6ECka4UKqtJvFpJUYcbWZY,271315,4,33
0.708,0.627,9,-6.596,0,0.0587,0.0731,0.0148,0.168,0.703,97.257,audio_features,4cNqxW9yxF9o9nQO8xWgRW,spotify:track:4cNqxW9yxF9o9nQO8xWgRW,https://api.spotify.com/v1/tracks/4cNqxW9yxF9o9nQO8xWgRW,https://api.spotify.com/v1/audio-analysis/4cNqxW9yxF9o9nQO8xWgRW,358493,4,0
0.577,0.913,4,-3.734,0,0.0559,0.00991,0.826,0.144,0.0978,180.186,audio_features,5vYAr96BppvDmDiJipOGjs,spotify:track:5vYAr96BppvDmDiJipOGjs,https://api.spotify.com/v1/tracks/5vYAr96BppvDmDiJipOGjs,https://api.spotify.com/v1/audio-analysis/5vYAr96BppvDmDiJipOGjs,320000,4,36
0.593,0.711,0,-7.34,1,0.0299,0.0852,0.000677,0.123,0.157,120.006,audio_features,7BPSZxMji4JVXTPeXiYgZg,spotify:track:7BPSZxMji4JVXTPeXiYgZg,https://api.spotify.com/v1/tracks/7BPSZxMji4JVXTPeXiYgZg,https://api.spotify.com/v1/audio-analysis/7BPSZxMji4JVXTPeXiYgZg,332173,4,35
0.605,0.732,6,-5.643,0,0.15,0.195,0.0135,0.246,0.134,195.978,audio_features,0AVzhaaOaGgdyXJ2orgfwC,spotify:track:0AVzhaaOaGgdyXJ2orgfwC,https://api.spotify.com/v1/tracks/0AVzhaaOaGgdyXJ2orgfwC,https://api.spotify.com/v1/audio-analysis/0AVzhaaOaGgdyXJ2orgfwC,209573,4,54
0.583,0.64,2,-7.805,1,0.201,0.228,0,0.246,0.235,80.012,audio_features,4KAhc69yQjKk9cZUMxZ3n9,spotify:track:4KAhc69yQjKk9cZUMxZ3n9,https://api.spotify.com/v1/tracks/4KAhc69yQjKk9cZUMxZ3n9,https://api.spotify.com/v1/audio-analysis/4KAhc69yQjKk9cZUMxZ3n9,246373,4,57
0.559,0.71,10,-8.365,0,0.0423,0.00584,0.609,0.0636,0.309,168.036,audio_features,59wdeLZoQ0AY56JkxyTyMF,spotify:track:59wdeLZoQ0AY56JkxyTyMF,https://api.spotify.com/v1/tracks/59wdeLZoQ0AY56JkxyTyMF,https://api.spotify.com/v1/audio-analysis/59wdeLZoQ0AY56JkxyTyMF,349493,4,35
0.574,0.544,9,-13.68,0,0.032,0.131,0.767,0.303,0.0593,104.939,audio_features,1iSF8Hos9v3rO2NrNewChA,spotify:track:1iSF8Hos9v3rO2NrNewChA,https://api.spotify.com/v1/tracks/1iSF8Hos9v3rO2NrNewChA,https://api.spotify.com/v1/audio-analysis/1iSF8Hos9v3rO2NrNewChA,344640,4,39
0.507,0.694,2,-8.211,0,0.121,0.0503,0.909,0.21,0.0621,137.003,audio_features,6pwAa32nWZUxCu01gGDslP,spotify:track:6pwAa32nWZUxCu01gGDslP,https://api.spotify.com/v1/tracks/6pwAa32nWZUxCu01gGDslP,https://api.spotify.com/v1/audio-analysis/6pwAa32nWZUxCu01gGDslP,241840,4,18
0.167,0.491,10,-10.082,0,0.0487,0.167,0.83,0.111,0.101,181.08,audio_features,3izr5gODgeeRiUbLty6y74,spotify:track:3izr5gODgeeRiUbLty6y74,https://api.spotify.com/v1/tracks/3izr5gODgeeRiUbLty6y74,https://api.spotify.com/v1/audio-analysis/3izr5gODgeeRiUbLty6y74,189340,3,32
0.561,0.398,7,-15.38,0,0.0352,0.0919,0.912,0.115,0.0788,105.011,audio_features,6ZFgqpVOGCaj0UPIWqcq0x,spotify:track:6ZFgqpVOGCaj0UPIWqcq0x,https://api.spotify.com/v1/tracks/6ZFgqpVOGCaj0UPIWqcq0x,https://api.spotify.com/v1/audio-analysis/6ZFgqpVOGCaj0UPIWqcq0x,369354,4,0
0.662,0.298,0,-10.604,1,0.0416,0.334,0.81,0.1,0.105,140.637,audio_features,14xvve26dwAaRfyu1HierW,spotify:track:14xvve26dwAaRfyu1HierW,https://api.spotify.com/v1/tracks/14xvve26dwAaRfyu1HierW,https://api.spotify.com/v1/audio-analysis/14xvve26dwAaRfyu1HierW,413455,4,0
0.634,0.485,0,-10.152,1,0.0273,0.131,0.584,0.112,0.27,137.238,audio_features,5ClwTFhAhvyV76Ucnl2bq2,spotify:track:5ClwTFhAhvyV76Ucnl2bq2,https://api.spotify.com/v1/tracks/5ClwTFhAhvyV76Ucnl2bq2,https://api.spotify.com/v1/audio-analysis/5ClwTFhAhvyV76Ucnl2bq2,243870,4,2
0.694,0.807,11,-5.137,0,0.0565,0.0153,0.0322,0.0784,0.584,132.023,audio_features,5O7RFqh9KgViPO7kTB9CGb,spotify:track:5O7RFqh9KgViPO7kTB9CGb,https://api.spotify.com/v1/tracks/5O7RFqh9KgViPO7kTB9CGb,https://api.spotify.com/v1/audio-analysis/5O7RFqh9KgViPO7kTB9CGb,175801,4,28
0.554,0.701,7,-7.858,1,0.0629,0.0533,0.732,0.118,0.363,182.998,audio_features,2Q1D9JJwhcrsYzYyRpc0xM,spotify:track:2Q1D9JJwhcrsYzYyRpc0xM,https://api.spotify.com/v1/tracks/2Q1D9JJwhcrsYzYyRpc0xM,https://api.spotify.com/v1/audio-analysis/2Q1D9JJwhcrsYzYyRpc0xM,250543,4,44
0.678,0.68,5,-7.36,0,0.0303,0.232,0.804,0.0703,0.362,135.988,audio_features,4ozL2UpW20EBXaHbPP0Lpb,spotify:track:4ozL2UpW20EBXaHbPP0Lpb,https://api.spotify.com/v1/tracks/4ozL2UpW20EBXaHbPP0Lpb,https://api.spotify.com/v1/audio-analysis/4ozL2UpW20EBXaHbPP0Lpb,320413,4,33
0.679,0.928,1,-6.515,1,0.051,0.000548,0.134,0.357,0.608,153.944,audio_features,5r9dZ57AbFKsm5dBvvXI6z,spotify:track:5r9dZ57AbFKsm5dBvvXI6z,https://api.spotify.com/v1/tracks/5r9dZ57AbFKsm5dBvvXI6z,https://api.spotify.com/v1/audio-analysis/5r9dZ57AbFKsm5dBvvXI6z,268627,4,20
0.657,0.581,0,-7.679,1,0.138,0.0571,0.494,0.135,0.369,174.031,audio_features,0sWdISsAMr6K8dSUq7tLCD,spotify:track:0sWdISsAMr6K8dSUq7tLCD,https://api.spotify.com/v1/tracks/0sWdISsAMr6K8dSUq7tLCD,https://api.spotify.com/v1/audio-analysis/0sWdISsAMr6K8dSUq7tLCD,273772,4,20
0.554,0.264,7,-16.699,1,0.034,0.215,0.876,0.0814,0.289,168.01,audio_features,2khTLfLnRUssDSEMWqvqAf,spotify:track:2khTLfLnRUssDSEMWqvqAf,https://api.spotify.com/v1/tracks/2khTLfLnRUssDSEMWqvqAf,https://api.spotify.com/v1/audio-analysis/2khTLfLnRUssDSEMWqvqAf,558016,1,0
0.619,0.769,7,-7.536,1,0.0293,0.119,0.898,0.126,0.71,93.972,audio_features,1OnDAZIsOvjbPuHsTcNtZa,spotify:track:1OnDAZIsOvjbPuHsTcNtZa,https://api.spotify.com/v1/tracks/1OnDAZIsOvjbPuHsTcNtZa,https://api.spotify.com/v1/audio-analysis/1OnDAZIsOvjbPuHsTcNtZa,261107,4,28
0.581,0.73,9,-5.038,1,0.107,0.263,0.421,0.159,0.443,165.843,audio_features,61KHfpOOqUgSWpzfpufkzs,spotify:track:61KHfpOOqUgSWpzfpufkzs,https://api.spotify.com/v1/tracks/61KHfpOOqUgSWpzfpufkzs,https://api.spotify.com/v1/audio-analysis/61KHfpOOqUgSWpzfpufkzs,164093,4,53
0.656,0.649,2,-7.595,0,0.0386,0.134,0.13,0.339,0.3,81.992,audio_features,5ppFZ4F0YAmJGJjFykeUzp,spotify:track:5ppFZ4F0YAmJGJjFykeUzp,https://api.spotify.com/v1/tracks/5ppFZ4F0YAmJGJjFykeUzp,https://api.spotify.com/v1/audio-analysis/5ppFZ4F0YAmJGJjFykeUzp,287400,4,3
0.666,0.463,5,-10.04,0,0.042,0.125,0.899,0.107,0.131,151.606,audio_features,6v4ZjPPfsoVUmEUhMoTaEJ,spotify:track:6v4ZjPPfsoVUmEUhMoTaEJ,https://api.spotify.com/v1/tracks/6v4ZjPPfsoVUmEUhMoTaEJ,https://api.spotify.com/v1/audio-analysis/6v4ZjPPfsoVUmEUhMoTaEJ,221186,4,16
0.458,0.451,2,-14.314,1,0.0545,0.275,0.782,0.354,0.0604,104.707,audio_features,2qntSA2cwerjTduHPuKnW5,spotify:track:2qntSA2cwerjTduHPuKnW5,https://api.spotify.com/v1/tracks/2qntSA2cwerjTduHPuKnW5,https://api.spotify.com/v1/audio-analysis/2qntSA2cwerjTduHPuKnW5,345620,1,27
0.64,0.505,5,-8.335,0,0.0322,0.363,0.857,0.183,0.188,97.018,audio_features,2RnaRJBS0JpMxQywBwn7vM,spotify:track:2RnaRJBS0JpMxQywBwn7vM,https://api.spotify.com/v1/tracks/2RnaRJBS0JpMxQywBwn7vM,https://api.spotify.com/v1/audio-analysis/2RnaRJBS0JpMxQywBwn7vM,292827,4,27
0.452,0.617,0,-9.482,1,0.0465,0.0539,0.825,0.129,0.231,171.993,audio_features,6bO6iqcqeZPrDbFTx4e8aO,spotify:track:6bO6iqcqeZPrDbFTx4e8aO,https://api.spotify.com/v1/tracks/6bO6iqcqeZPrDbFTx4e8aO,https://api.spotify.com/v1/audio-analysis/6bO6iqcqeZPrDbFTx4e8aO,420147,4,30
0.793,0.606,3,-13.624,1,0.133,0.327,0.935,0.111,0.572,93.988,audio_features,38Y253aj0hzfYmepykV8BZ,spotify:track:38Y253aj0hzfYmepykV8BZ,https://api.spotify.com/v1/tracks/38Y253aj0hzfYmepykV8BZ,https://api.spotify.com/v1/audio-analysis/38Y253aj0hzfYmepykV8BZ,310733,4,1
0.343,0.549,4,-11.083,1,0.188,0.158,0.0617,0.159,0.331,169.68,audio_features,0XXHSyRJdLEgC01HehssGC,spotify:track:0XXHSyRJdLEgC01HehssGC,https://api.spotify.com/v1/tracks/0XXHSyRJdLEgC01HehssGC,https://api.spotify.com/v1/audio-analysis/0XXHSyRJdLEgC01HehssGC,406867,1,25
0.321,0.77,2,-7.037,1,0.117,0.00664,0.492,0.359,0.207,164.984,audio_features,6A35it6VsvctUZOvBHQ5YJ,spotify:track:6A35it6VsvctUZOvBHQ5YJ,https://api.spotify.com/v1/tracks/6A35it6VsvctUZOvBHQ5YJ,https://api.spotify.com/v1/audio-analysis/6A35it6VsvctUZOvBHQ5YJ,364440,4,23
0.601,0.548,6,-9.963,1,0.089,0.36,0.84,0.167,0.219,82.488,audio_features,1xZWd0EYAK16JpRdguF4Nr,spotify:track:1xZWd0EYAK16JpRdguF4Nr,https://api.spotify.com/v1/tracks/1xZWd0EYAK16JpRdguF4Nr,https://api.spotify.com/v1/audio-analysis/1xZWd0EYAK16JpRdguF4Nr,389613,4,39
0.65,0.771,8,-7.219,0,0.0475,0.0326,0.862,0.11,0.345,130.043,audio_features,7CDoAFCcs9MDFx4feBF6UO,spotify:track:7CDoAFCcs9MDFx4feBF6UO,https://api.spotify.com/v1/tracks/7CDoAFCcs9MDFx4feBF6UO,https://api.spotify.com/v1/audio-analysis/7CDoAFCcs9MDFx4feBF6UO,252133,4,31
0.537,0.643,1,-7.445,0,0.0285,0.002,0.867,0.0918,0.522,130.052,audio_features,0s2qx1JIHxTbAsu1MvDazF,spotify:track:0s2qx1JIHxTbAsu1MvDazF,https://api.spotify.com/v1/tracks/0s2qx1JIHxTbAsu1MvDazF,https://api.spotify.com/v1/audio-analysis/0s2qx1JIHxTbAsu1MvDazF,244173,4,33
0.32,0.314,9,-12.946,0,0.0315,0.87,0.901,0.0832,0.381,147.894,audio_features,3mcKztAGGW5QgBXfmqp73i,spotify:track:3mcKztAGGW5QgBXfmqp73i,https://api.spotify.com/v1/tracks/3mcKztAGGW5QgBXfmqp73i,https://api.spotify.com/v1/audio-analysis/3mcKztAGGW5QgBXfmqp73i,325760,4,35
