danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.0886,0.187,7,-13.249,1,0.0387,0.661,0.779,0.118,0.0487,86.088,audio_features,2aGng5dY3v2KrRuVVTQ8Zu,spotify:track:2aGng5dY3v2KrRuVVTQ8Zu,https://api.spotify.com/v1/tracks/2aGng5dY3v2KrRuVVTQ8Zu,https://api.spotify.com/v1/audio-analysis/2aGng5dY3v2KrRuVVTQ8Zu,295587,5,15
0.165,0.33,1,-13.759,1,0.0381,0.682,0.897,0.126,0.0638,133.61,audio_features,7KljHKHrsk3x3MdiIghg4y,spotify:track:7KljHKHrsk3x3MdiIghg4y,https://api.spotify.com/v1/tracks/7KljHKHrsk3x3MdiIghg4y,https://api.spotify.com/v1/audio-analysis/7KljHKHrsk3x3MdiIghg4y,116779,4,18
0.466,0.0205,0,-18.097,0,0.062,0.988,0.101,0.097,0.0758,132.77,audio_features,0Sw6vAB39WQg5WXKurnnEm,spotify:track:0Sw6vAB39WQg5WXKurnnEm,https://api.spotify.com/v1/tracks/0Sw6vAB39WQg5WXKurnnEm,https://api.spotify.com/v1/audio-analysis/0Sw6vAB39WQg5WXKurnnEm,254813,3,54
0.079,0.149,7,-20.372,0,0.0486,0.102,0.915,0.111,0.111,81.277,audio_features,5zMuzsE5kvd54FwraufeeK,spotify:track:5zMuzsE5kvd54FwraufeeK,https://api.spotify.com/v1/tracks/5zMuzsE5kvd54FwraufeeK,https://api.spotify.com/v1/audio-analysis/5zMuzsE5kvd54FwraufeeK,112973,1,49
0.085,0.242,7,-15.552,0,0.0377,0.537,0.945,0.101,0.0394,81.24,audio_features,64q5EfFKR9hYJ1FHqSClxe,spotify:track:64q5EfFKR9hYJ1FHqSClxe,https://api.spotify.com/v1/tracks/64q5EfFKR9hYJ1FHqSClxe,https://api.spotify.com/v1/audio-analysis/64q5EfFKR9hYJ1FHqSClxe,247400,3,49
0.179,0.026,0,-30.937,0,0.0385,0.996,0.89,0.0836,0.068,77.116,audio_features,1QmhkjuUlosROqKk59sBSK,spotify:track:1QmhkjuUlosROqKk59sBSK,https://api.spotify.com/v1/tracks/1QmhkjuUlosROqKk59sBSK,https://api.spotify.com/v1/audio-analysis/1QmhkjuUlosROqKk59sBSK,353147,3,65
0.403,0.572,4,-9.911,0,0.0537,0.0548,0.95,0.201,0.112,130.163,audio_features,7azgc6j5E6XhEDAfwW3Zrr,spotify:track:7azgc6j5E6XhEDAfwW3Zrr,https://api.spotify.com/v1/tracks/7azgc6j5E6XhEDAfwW3Zrr,https://api.spotify.com/v1/audio-analysis/7azgc6j5E6XhEDAfwW3Zrr,182856,4,39
0.144,0.079,10,-22.993,0,0.0363,0.982,0.898,0.402,0.245,65.63,audio_features,1UYQz9iqSCdLNc9UVkJo0o,spotify:track:1UYQz9iqSCdLNc9UVkJo0o,https://api.spotify.com/v1/tracks/1UYQz9iqSCdLNc9UVkJo0o,https://api.spotify.com/v1/audio-analysis/1UYQz9iqSCdLNc9UVkJo0o,279560,4,39
0.173,0.0683,9,-25.193,1,0.0467,0.719,0.799,0.14,0.0379,120.463,audio_features,20rmtxljOGVz4T3nSrtAV1,spotify:track:20rmtxljOGVz4T3nSrtAV1,https://api.spotify.com/v1/tracks/20rmtxljOGVz4T3nSrtAV1,https://api.spotify.com/v1/audio-analysis/20rmtxljOGVz4T3nSrtAV1,161472,1,50
0.065,0.172,10,-22.823,1,0.0412,0.761,0.72,0.383,0.0357,52.952,audio_features,1tzXb0kRm7DA45EUen0TqM,spotify:track:1tzXb0kRm7DA45EUen0TqM,https://api.spotify.com/v1/tracks/1tzXb0kRm7DA45EUen0TqM,https://api.spotify.com/v1/audio-analysis/1tzXb0kRm7DA45EUen0TqM,475373,4,38
