danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.454,0.939,4,-2.913,1,0.0496,0.00327,0,0.12,0.375,128.063,audio_features,4ivvSAHKmiB4MMy9ci3wZU,spotify:track:4ivvSAHKmiB4MMy9ci3wZU,https://api.spotify.com/v1/tracks/4ivvSAHKmiB4MMy9ci3wZU,https://api.spotify.com/v1/audio-analysis/4ivvSAHKmiB4MMy9ci3wZU,200000,4,18
0.475,0.868,2,-4.331,1,0.0599,0.00573,2.99e-05,0.296,0.355,137.958,audio_features,5lpqtZsfCIVy2XMvTQX48g,spotify:track:5lpqtZsfCIVy2XMvTQX48g,https://api.spotify.com/v1/tracks/5lpqtZsfCIVy2XMvTQX48g,https://api.spotify.com/v1/audio-analysis/5lpqtZsfCIVy2XMvTQX48g,240108,4,0
0.425,0.948,9,-5.081,1,0.13,0.000187,0.0228,0.633,0.191,99.967,audio_features,1NhuRiPNcIp9BrFWUE0teb,spotify:track:1NhuRiPNcIp9BrFWUE0teb,https://api.spotify.com/v1/tracks/1NhuRiPNcIp9BrFWUE0teb,https://api.spotify.com/v1/audio-analysis/1NhuRiPNcIp9BrFWUE0teb,400187,4,19
0.419,0.954,1,-5.009,1,0.154,0.000111,0.00131,0.146,0.142,165.066,audio_features,30Gk2tT2ZbaSLZ7qowNLEP,spotify:track:30Gk2tT2ZbaSLZ7qowNLEP,https://api.spotify.com/v1/tracks/30Gk2tT2ZbaSLZ7qowNLEP,https://api.spotify.com/v1/audio-analysis/30Gk2tT2ZbaSLZ7qowNLEP,263636,4,27
0.233,0.913,8,-9.02,0,0.0786,0.000266,0.929,0.113,0.128,130.061,audio_features,1igPZW1T1LRNp5WYHbESY4,spotify:track:1igPZW1T1LRNp5WYHbESY4,https://api.spotify.com/v1/tracks/1igPZW1T1LRNp5WYHbESY4,https://api.spotify.com/v1/audio-analysis/1igPZW1T1LRNp5WYHbESY4,356309,4,28
0.324,0.988,7,-4.953,1,0.102,0.000671,0,0.569,0.177,114.184,audio_features,02T52AldEjGM1ZHGajbQdV,spotify:track:02T52AldEjGM1ZHGajbQdV,https://api.spotify.com/v1/tracks/02T52AldEjGM1ZHGajbQdV,https://api.spotify.com/v1/audio-analysis/02T52AldEjGM1ZHGajbQdV,202953,4,26
0.326,0.907,10,-4.409,0,0.0902,5.9e-05,0.722,0.18,0.191,139.927,audio_features,0EeDrUu4a74GHwqlMtVX81,spotify:track:0EeDrUu4a74GHwqlMtVX81,https://api.spotify.com/v1/tracks/0EeDrUu4a74GHwqlMtVX81,https://api.spotify.com/v1/audio-analysis/0EeDrUu4a74GHwqlMtVX81,223760,4,22
0.52,0.96,8,-4.47,1,0.0851,6.78e-05,0.000276,0.321,0.694,125.0,audio_features,5kcL8n5QqOkauHc7s46FLd,spotify:track:5kcL8n5QqOkauHc7s46FLd,https://api.spotify.com/v1/tracks/5kcL8n5QqOkauHc7s46FLd,https://api.spotify.com/v1/audio-analysis/5kcL8n5QqOkauHc7s46FLd,245812,4,31
0.351,0.969,1,-3.199,1,0.0744,4.45e-06,0.0632,0.143,0.478,200.121,audio_features,2BIpFaVSPLAYgRcgU6ymgz,spotify:track:2BIpFaVSPLAYgRcgU6ymgz,https://api.spotify.com/v1/tracks/2BIpFaVSPLAYgRcgU6ymgz,https://api.spotify.com/v1/audio-analysis/2BIpFaVSPLAYgRcgU6ymgz,217292,4,29
0.329,0.997,0,-3.628,1,0.197,9.7e-05,0.302,0.338,0.036,117.375,audio_features,1po3qn6edDEF6EZ74iL4SQ,spotify:track:1po3qn6edDEF6EZ74iL4SQ,https://api.spotify.com/v1/tracks/1po3qn6edDEF6EZ74iL4SQ,https://api.spotify.com/v1/audio-analysis/1po3qn6edDEF6EZ74iL4SQ,230027,4,15
0.456,0.933,2,-2.891,1,0.087,0.000217,0.44,0.193,0.159,105.95,audio_features,5tiFH73YfxWkm63OBDVGI4,spotify:track:5tiFH73YfxWkm63OBDVGI4,https://api.spotify.com/v1/tracks/5tiFH73YfxWkm63OBDVGI4,https://api.spotify.com/v1/audio-analysis/5tiFH73YfxWkm63OBDVGI4,199987,4,20
0.4,0.991,8,-3.047,0,0.215,0.000135,0,0.598,0.182,144.99,audio_features,7kACtjBAJ1zXfcACtQS9N7,spotify:track:7kACtjBAJ1zXfcACtQS9N7,https://api.spotify.com/v1/tracks/7kACtjBAJ1zXfcACtQS9N7,https://api.spotify.com/v1/audio-analysis/7kACtjBAJ1zXfcACtQS9N7,227270,4,33
