danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,audio_features,6wNUBZNWFxdUGof6vkaykE,spotify:track:6wNUBZNWFxdUGof6vkaykE,https://api.spotify.com/v1/tracks/6wNUBZNWFxdUGof6vkaykE,https://api.spotify.com/v1/audio-analysis/6wNUBZNWFxdUGof6vkaykE,206052,4,64
0.578,0.736,5,-7.637,0,0.0319,0.0117,0.0299,0.16,0.292,105.004,audio_features,2JCv3LADgWrOcJoOa0so6m,spotify:track:2JCv3LADgWrOcJoOa0so6m,https://api.spotify.com/v1/tracks/2JCv3LADgWrOcJoOa0so6m,https://api.spotify.com/v1/audio-analysis/2JCv3LADgWrOcJoOa0so6m,299133,3,58
0.462,0.957,10,-3.304,1,0.131,0.00129,0.00203,0.314,0.498,165.112,audio_features,03YoRDLmG333y0ORu2D5A4,spotify:track:03YoRDLmG333y0ORu2D5A4,https://api.spotify.com/v1/tracks/03YoRDLmG333y0ORu2D5A4,https://api.spotify.com/v1/audio-analysis/03YoRDLmG333y0ORu2D5A4,223067,4,42
0.512,0.963,11,-5.083,0,0.0498,0.00595,0.0507,0.0646,0.701,143.012,audio_features,0tE2jOqAMQxLhWD1sKQxBS,spotify:track:0tE2jOqAMQxLhWD1sKQxBS,https://api.spotify.com/v1/tracks/0tE2jOqAMQxLhWD1sKQxBS,https://api.spotify.com/v1/audio-analysis/0tE2jOqAMQxLhWD1sKQxBS,328240,4,31
0.568,0.871,1,-5.235,1,0.0494,0.00177,0.000406,0.36,0.693,133.064,audio_features,51txLjbvSBRvtxjCjAFLkM,spotify:track:51txLjbvSBRvtxjCjAFLkM,https://api.spotify.com/v1/tracks/51txLjbvSBRvtxjCjAFLkM,https://api.spotify.com/v1/audio-analysis/51txLjbvSBRvtxjCjAFLkM,197933,4,65
0.706,0.681,11,-10.873,1,0.0414,0.00247,0.0121,0.11,0.78,144.057,audio_features,3cQPQu1BRz0thXh0u7i2Q3,spotify:track:3cQPQu1BRz0thXh0u7i2Q3,https://api.spotify.com/v1/tracks/3cQPQu1BRz0thXh0u7i2Q3,https://api.spotify.com/v1/audio-analysis/3cQPQu1BRz0thXh0u7i2Q3,244000,4,30
0.638,0.8,7,-12.077,1,0.0572,0.372,0.00553,0.113,0.569,112.055,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4,70
0.333,0.782,6,-2.994,0,0.0329,0.056,0.055,0.127,0.21,75.571,audio_features,63I1WTV8FKkL9F1V1mrUHN,spotify:track:63I1WTV8FKkL9F1V1mrUHN,https://api.spotify.com/v1/tracks/63I1WTV8FKkL9F1V1mrUHN,https://api.spotify.com/v1/audio-analysis/63I1WTV8FKkL9F1V1mrUHN,249107,4,38
0.796,0.872,9,-6.722,0,0.0573,0.287,0,0.284,0.866,129.894,audio_features,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,222427,4,70
0.565,0.877,5,-4.561,0,0.0614,0.00813,0.00251,0.26,0.389,118.484,audio_features,1z4xjDLLWJgG48Bn8OCxZv,spotify:track:1z4xjDLLWJgG48Bn8OCxZv,https://api.spotify.com/v1/tracks/1z4xjDLLWJgG48Bn8OCxZv,https://api.spotify.com/v1/audio-analysis/1z4xjDLLWJgG48Bn8OCxZv,285920,4,57
0.338,0.948,11,-1.544,0,0.057,0.153,0.0314,0.117,0.691,188.508,audio_features,7g0khMennYpCxq3CpN31S4,spotify:track:7g0khMennYpCxq3CpN31S4,https://api.spotify.com/v1/tracks/7g0khMennYpCxq3CpN31S4,https://api.spotify.com/v1/audio-analysis/7g0khMennYpCxq3CpN31S4,151987,4,19
0.509,0.962,6,-4.053,0,0.0441,0.000712,0.00406,0.0587,0.845,134.572,audio_features,0fPJXQm1HSCJYai87MPiIz,spotify:track:0fPJXQm1HSCJYai87MPiIz,https://api.spotify.com/v1/tracks/0fPJXQm1HSCJYai87MPiIz,https://api.spotify.com/v1/audio-analysis/0fPJXQm1HSCJYai87MPiIz,243189,4,44
0.786,0.667,8,-4.036,1,0.0348,0.0187,0.0136,0.082,0.823,115.135,audio_features,7mGxOZo8doES0s78zvCdwr,spotify:track:7mGxOZo8doES0s78zvCdwr,https://api.spotify.com/v1/tracks/7mGxOZo8doES0s78zvCdwr,https://api.spotify.com/v1/audio-analysis/7mGxOZo8doES0s78zvCdwr,242587,4,48
0.438,0.294,4,-11.175,1,0.0357,0.11,0.00627,0.122,0.373,120.213,audio_features,34eLaP4TqlXuqzC6inKO4i,spotify:track:34eLaP4TqlXuqzC6inKO4i,https://api.spotify.com/v1/tracks/34eLaP4TqlXuqzC6inKO4i,https://api.spotify.com/v1/audio-analysis/34eLaP4TqlXuqzC6inKO4i,197040,4,17
0.743,0.765,5,-3.586,0,0.0389,0.0438,0.0416,0.667,0.338,114.991,audio_features,1kJtfldK9F7XmsSiSNlbth,spotify:track:1kJtfldK9F7XmsSiSNlbth,https://api.spotify.com/v1/tracks/1kJtfldK9F7XmsSiSNlbth,https://api.spotify.com/v1/audio-analysis/1kJtfldK9F7XmsSiSNlbth,196360,4,68
0.558,0.83,6,-6.245,0,0.073,0.000154,0.000153,0.0699,0.743,157.044,audio_features,64i71pjySnBlA7P46uSGZ7,spotify:track:64i71pjySnBlA7P46uSGZ7,https://api.spotify.com/v1/tracks/64i71pjySnBlA7P46uSGZ7,https://api.spotify.com/v1/audio-analysis/64i71pjySnBlA7P46uSGZ7,210147,4,41
0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,audio_features,7ImkjvM1OKWhJ5HIPOHcHE,spotify:track:7ImkjvM1OKWhJ5HIPOHcHE,https://api.spotify.com/v1/tracks/7ImkjvM1OKWhJ5HIPOHcHE,https://api.spotify.com/v1/audio-analysis/7ImkjvM1OKWhJ5HIPOHcHE,150293,4,55
0.748,0.793,4,-7.795,0,0.0583,0.324,0,0.517,0.916,104.838,audio_features,0qAMjeQFyd1qD0LDiV8gWp,spotify:track:0qAMjeQFyd1qD0LDiV8gWp,https://api.spotify.com/v1/tracks/0qAMjeQFyd1qD0LDiV8gWp,https://api.spotify.com/v1/audio-analysis/0qAMjeQFyd1qD0LDiV8gWp,170481,4,61
0.398,0.316,1,-7.031,1,0.0368,0.805,0,0.295,0.174,118.582,audio_features,0tV8pOpiNsKqUys0ilUcXz,spotify:track:0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/tracks/0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/audio-analysis/0tV8pOpiNsKqUys0ilUcXz,253342,4,74
0.703,0.747,0,-4.446,0,0.0895,0.283,0,0.396,0.7,149.974,audio_features,466s1BacUmiRdR3ISvNjyx,spotify:track:466s1BacUmiRdR3ISvNjyx,https://api.spotify.com/v1/tracks/466s1BacUmiRdR3ISvNjyx,https://api.spotify.com/v1/audio-analysis/466s1BacUmiRdR3ISvNjyx,199320,4,67
0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4,61
0.594,0.933,11,-5.074,1,0.0343,0.0622,0.519,0.391,0.561,140.012,audio_features,2vRI17zbIpXatNS3IS1ktx,spotify:track:2vRI17zbIpXatNS3IS1ktx,https://api.spotify.com/v1/tracks/2vRI17zbIpXatNS3IS1ktx,https://api.spotify.com/v1/audio-analysis/2vRI17zbIpXatNS3IS1ktx,237532,4,44
0.457,0.419,5,-11.346,1,0.0409,0.447,0.000813,0.0902,0.267,156.681,audio_features,6OaexwzJ7LXIykBzRqpOmD,spotify:track:6OaexwzJ7LXIykBzRqpOmD,https://api.spotify.com/v1/tracks/6OaexwzJ7LXIykBzRqpOmD,https://api.spotify.com/v1/audio-analysis/6OaexwzJ7LXIykBzRqpOmD,195307,3,42
0.498,0.95,5,-5.903,1,0.0736,0.000318,2.43e-05,0.39,0.61,91.324,audio_features,2u9kn2AZkrMCb11SuaGGGi,spotify:track:2u9kn2AZkrMCb11SuaGGGi,https://api.spotify.com/v1/tracks/2u9kn2AZkrMCb11SuaGGGi,https://api.spotify.com/v1/audio-analysis/2u9kn2AZkrMCb11SuaGGGi,125120,4,55
0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951,audio_features,49eplIHvgCLY8HAgcaWrUb,spotify:track:49eplIHvgCLY8HAgcaWrUb,https://api.spotify.com/v1/tracks/49eplIHvgCLY8HAgcaWrUb,https://api.spotify.com/v1/audio-analysis/49eplIHvgCLY8HAgcaWrUb,235012,4,65
0.553,0.917,2,-8.806,1,0.0906,0.00265,0.00991,0.07,0.781,101.798,audio_features,0gdmDP6xy3ZV7JNoHWAN9k,spotify:track:0gdmDP6xy3ZV7JNoHWAN9k,https://api.spotify.com/v1/tracks/0gdmDP6xy3ZV7JNoHWAN9k,https://api.spotify.com/v1/audio-analysis/0gdmDP6xy3ZV7JNoHWAN9k,173320,4,50
0.495,0.745,11,-5.475,0,0.035,0.142,0.000441,0.194,0.589,143.398,audio_features,6sIvAyM1AtnSGz3anRLcDo,spotify:track:6sIvAyM1AtnSGz3anRLcDo,https://api.spotify.com/v1/tracks/6sIvAyM1AtnSGz3anRLcDo,https://api.spotify.com/v1/audio-analysis/6sIvAyM1AtnSGz3anRLcDo,206027,4,44
0.525,0.741,10,-5.643,1,0.0311,0.0874,0.147,0.117,0.179,117.031,audio_features,0Ln5tJyLX5qusquBOtq7wf,spotify:track:0Ln5tJyLX5qusquBOtq7wf,https://api.spotify.com/v1/tracks/0Ln5tJyLX5qusquBOtq7wf,https://api.spotify.com/v1/audio-analysis/0Ln5tJyLX5qusquBOtq7wf,252280,4,67
0.298,0.92,7,-6.79,1,0.101,0.000846,0.175,0.0958,0.185,170.967,audio_features,5VR7bYgk4TaJ1ZyNScT1sm,spotify:track:5VR7bYgk4TaJ1ZyNScT1sm,https://api.spotify.com/v1/tracks/5VR7bYgk4TaJ1ZyNScT1sm,https://api.spotify.com/v1/audio-analysis/5VR7bYgk4TaJ1ZyNScT1sm,254547,4,31
0.403,0.654,9,-6.002,0,0.0295,0.000431,4.08e-05,0.166,0.197,74.617,audio_features,6kesIBNAY17BoAz28pnWMC,spotify:track:6kesIBNAY17BoAz28pnWMC,https://api.spotify.com/v1/tracks/6kesIBNAY17BoAz28pnWMC,https://api.spotify.com/v1/audio-analysis/6kesIBNAY17BoAz28pnWMC,354547,4,51
