danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.745,0.65,0,-5.992,0,0.227,0.149,0,0.107,0.521,159.994,audio_features,7F1LWA9sIlTorHUo4amGqk,spotify:track:7F1LWA9sIlTorHUo4amGqk,https://api.spotify.com/v1/tracks/7F1LWA9sIlTorHUo4amGqk,https://api.spotify.com/v1/audio-analysis/7F1LWA9sIlTorHUo4amGqk,221968,4,68
0.558,0.798,1,-4.553,1,0.238,0.0727,0,0.365,0.422,93.692,audio_features,3HNCMMsR5ScZE87K6olm5A,spotify:track:3HNCMMsR5ScZE87K6olm5A,https://api.spotify.com/v1/tracks/3HNCMMsR5ScZE87K6olm5A,https://api.spotify.com/v1/audio-analysis/3HNCMMsR5ScZE87K6olm5A,194000,4,54
0.832,0.625,8,-5.999,0,0.281,0.0649,0,0.105,0.574,130.038,audio_features,6opC9QRzTviOM6y7hYhKh6,spotify:track:6opC9QRzTviOM6y7hYhKh6,https://api.spotify.com/v1/tracks/6opC9QRzTviOM6y7hYhKh6,https://api.spotify.com/v1/audio-analysis/6opC9QRzTviOM6y7hYhKh6,204542,4,62
0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,audio_features,5eqK0tbzUPo2SoeZsov04s,spotify:track:5eqK0tbzUPo2SoeZsov04s,https://api.spotify.com/v1/tracks/5eqK0tbzUPo2SoeZsov04s,https://api.spotify.com/v1/audio-analysis/5eqK0tbzUPo2SoeZsov04s,220307,4,68
0.932,0.702,7,-3.459,0,0.0903,0.00304,1.87e-05,0.267,0.53,143.001,audio_features,2rUwQj4SWaP2anuGDtNpYR,spotify:track:2rUwQj4SWaP2anuGDtNpYR,https://api.spotify.com/v1/tracks/2rUwQj4SWaP2anuGDtNpYR,https://api.spotify.com/v1/audio-analysis/2rUwQj4SWaP2anuGDtNpYR,167853,4,73
0.914,0.507,2,-10.784,1,0.164,0.0855,0.0254,0.0797,0.199,123.956,audio_features,6kig1UFggPUyZBCvXD3Wod,spotify:track:6kig1UFggPUyZBCvXD3Wod,https://api.spotify.com/v1/tracks/6kig1UFggPUyZBCvXD3Wod,https://api.spotify.com/v1/audio-analysis/6kig1UFggPUyZBCvXD3Wod,261733,4,78
0.63,0.826,3,-4.238,0,0.272,0.013,0,0.106,0.171,133.941,audio_features,5tkDCf3xKRZjT5RbCb3sZB,spotify:track:5tkDCf3xKRZjT5RbCb3sZB,https://api.spotify.com/v1/tracks/5tkDCf3xKRZjT5RbCb3sZB,https://api.spotify.com/v1/audio-analysis/5tkDCf3xKRZjT5RbCb3sZB,188069,4,64
0.666,0.842,8,-3.699,0,0.553,0.458,0,0.138,0.579,95.669,audio_features,58kcQSlON6PD1eBcgvub7r,spotify:track:58kcQSlON6PD1eBcgvub7r,https://api.spotify.com/v1/tracks/58kcQSlON6PD1eBcgvub7r,https://api.spotify.com/v1/audio-analysis/58kcQSlON6PD1eBcgvub7r,193202,3,33
0.423,0.536,7,-3.8,1,0.16,0.015,0,0.095,0.0895,71.313,audio_features,6wwruKU956ldDyz55DZTt1,spotify:track:6wwruKU956ldDyz55DZTt1,https://api.spotify.com/v1/tracks/6wwruKU956ldDyz55DZTt1,https://api.spotify.com/v1/audio-analysis/6wwruKU956ldDyz55DZTt1,313909,5,64
0.532,0.726,1,-7.057,1,0.36,0.0251,0,0.717,0.357,152.003,audio_features,3QG8w1aqNvQZdWn9jjhG8u,spotify:track:3QG8w1aqNvQZdWn9jjhG8u,https://api.spotify.com/v1/tracks/3QG8w1aqNvQZdWn9jjhG8u,https://api.spotify.com/v1/audio-analysis/3QG8w1aqNvQZdWn9jjhG8u,192705,4,52
0.851,0.634,11,-7.32,1,0.172,0.289,0,0.0895,0.442,117.034,audio_features,6w8xED58NtK0J5a82lUYAV,spotify:track:6w8xED58NtK0J5a82lUYAV,https://api.spotify.com/v1/tracks/6w8xED58NtK0J5a82lUYAV,https://api.spotify.com/v1/audio-analysis/6w8xED58NtK0J5a82lUYAV,188745,4,36
0.71,0.547,1,-8.215,1,0.0691,0.022,6.04e-05,0.12,0.142,152.003,audio_features,0dvu4Irbq0SM5BWny30rRR,spotify:track:0dvu4Irbq0SM5BWny30rRR,https://api.spotify.com/v1/tracks/0dvu4Irbq0SM5BWny30rRR,https://api.spotify.com/v1/audio-analysis/0dvu4Irbq0SM5BWny30rRR,202752,4,38
0.847,0.731,0,-3.847,1,0.279,0.218,0,0.0745,0.452,119.983,audio_features,0s9Wc5PMMEto8sImSqP4zl,spotify:track:0s9Wc5PMMEto8sImSqP4zl,https://api.spotify.com/v1/tracks/0s9Wc5PMMEto8sImSqP4zl,https://api.spotify.com/v1/audio-analysis/0s9Wc5PMMEto8sImSqP4zl,239160,4,56
0.481,0.716,10,-5.996,0,0.622,0.0123,0,0.141,0.404,78.829,audio_features,5cQffjWJzgnmEtTzKW6dnh,spotify:track:5cQffjWJzgnmEtTzKW6dnh,https://api.spotify.com/v1/tracks/5cQffjWJzgnmEtTzKW6dnh,https://api.spotify.com/v1/audio-analysis/5cQffjWJzgnmEtTzKW6dnh,341680,4,56
0.866,0.605,2,-6.972,1,0.37,0.152,0,0.372,0.723,86.196,audio_features,2KdsPGSUXbSZyq4oiDOqAe,spotify:track:2KdsPGSUXbSZyq4oiDOqAe,https://api.spotify.com/v1/tracks/2KdsPGSUXbSZyq4oiDOqAe,https://api.spotify.com/v1/audio-analysis/2KdsPGSUXbSZyq4oiDOqAe,232200,4,44
0.881,0.663,8,-6.064,0,0.233,0.0219,2.42e-06,0.0927,0.742,151.034,audio_features,2GU5I7OQ8PtkLScEjTmcok,spotify:track:2GU5I7OQ8PtkLScEjTmcok,https://api.spotify.com/v1/tracks/2GU5I7OQ8PtkLScEjTmcok,https://api.spotify.com/v1/audio-analysis/2GU5I7OQ8PtkLScEjTmcok,168999,4,52
0.791,0.586,11,-7.372,0,0.29,0.012,0,0.46,0.413,163.029,audio_features,1e1JKLEDKP7hEQzJfNAgPl,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl,https://api.spotify.com/v1/audio-analysis/1e1JKLEDKP7hEQzJfNAgPl,181812,4,82
0.681,0.694,0,-8.123,0,0.258,0.0252,0,0.541,0.659,156.149,audio_features,3cSuhzV7wKX5diQ8hos78P,spotify:track:3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/tracks/3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/audio-analysis/3cSuhzV7wKX5diQ8hos78P,310733,4,63
0.406,0.661,8,-5.142,1,0.311,0.173,0,0.101,0.335,180.206,audio_features,6hVGw7yVUd2bpdHMPCWrtN,spotify:track:6hVGw7yVUd2bpdHMPCWrtN,https://api.spotify.com/v1/tracks/6hVGw7yVUd2bpdHMPCWrtN,https://api.spotify.com/v1/audio-analysis/6hVGw7yVUd2bpdHMPCWrtN,244613,3,68
0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360,4,80
0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,audio_features,2771LMNxwf62FTAdpJMQfM,spotify:track:2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,223962,4,91
0.918,0.734,11,-2.832,0,0.269,0.0294,7.9e-06,0.191,0.608,97.044,audio_features,2vfvGlqCB7oertO5VLE0sz,spotify:track:2vfvGlqCB7oertO5VLE0sz,https://api.spotify.com/v1/tracks/2vfvGlqCB7oertO5VLE0sz,https://api.spotify.com/v1/audio-analysis/2vfvGlqCB7oertO5VLE0sz,230693,4,61
0.558,0.743,9,-5.763,0,0.344,0.486,0,0.106,0.308,80.576,audio_features,2vHWPWCgKah6RmPx8fRQNJ,spotify:track:2vHWPWCgKah6RmPx8fRQNJ,https://api.spotify.com/v1/tracks/2vHWPWCgKah6RmPx8fRQNJ,https://api.spotify.com/v1/audio-analysis/2vHWPWCgKah6RmPx8fRQNJ,209711,4,47
0.617,0.882,1,-2.701,0,0.101,0.168,0,0.12,0.267,145.933,audio_features,3GUZHOhbl6hQEqsHCkUDDd,spotify:track:3GUZHOhbl6hQEqsHCkUDDd,https://api.spotify.com/v1/tracks/3GUZHOhbl6hQEqsHCkUDDd,https://api.spotify.com/v1/audio-analysis/3GUZHOhbl6hQEqsHCkUDDd,251960,4,51
0.468,0.679,10,-5.555,1,0.357,0.474,0,0.304,0.458,82.011,audio_features,0XtDR3GBqsU1XB07mDmlFq,spotify:track:0XtDR3GBqsU1XB07mDmlFq,https://api.spotify.com/v1/tracks/0XtDR3GBqsU1XB07mDmlFq,https://api.spotify.com/v1/audio-analysis/0XtDR3GBqsU1XB07mDmlFq,205009,4,26
0.687,0.829,1,-4.299,1,0.31,0.409,0,0.197,0.302,84.064,audio_features,3jpz2BXV1cuXrGZZP7omZx,spotify:track:3jpz2BXV1cuXrGZZP7omZx,https://api.spotify.com/v1/tracks/3jpz2BXV1cuXrGZZP7omZx,https://api.spotify.com/v1/audio-analysis/3jpz2BXV1cuXrGZZP7omZx,211506,4,32
0.812,0.402,1,-6.594,1,0.0697,0.0414,0,0.0998,0.261,85.044,audio_features,7iNbVcdcfrm4ulauq0pTzo,spotify:track:7iNbVcdcfrm4ulauq0pTzo,https://api.spotify.com/v1/tracks/7iNbVcdcfrm4ulauq0pTzo,https://api.spotify.com/v1/audio-analysis/7iNbVcdcfrm4ulauq0pTzo,203833,4,57
0.617,0.492,10,-7.588,0,0.448,0.0621,0,0.484,0.208,141.953,audio_features,05KOgYg8PGeJyyWBPi5ja8,spotify:track:05KOgYg8PGeJyyWBPi5ja8,https://api.spotify.com/v1/tracks/05KOgYg8PGeJyyWBPi5ja8,https://api.spotify.com/v1/audio-analysis/05KOgYg8PGeJyyWBPi5ja8,218674,4,71
