danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.779,0.541,1,-6.821,0,0.0806,0.238,0,0.106,0.305,155.028,audio_features,2xLGWmTEfHH9kxDNEGgMNc,spotify:track:2xLGWmTEfHH9kxDNEGgMNc,https://api.spotify.com/v1/tracks/2xLGWmTEfHH9kxDNEGgMNc,https://api.spotify.com/v1/audio-analysis/2xLGWmTEfHH9kxDNEGgMNc,237707,4,54
0.763,0.604,1,-7.561,1,0.07,0.391,0,0.272,0.331,141.925,audio_features,0uBu60Wd7yzm2sFrj2hSr6,spotify:track:0uBu60Wd7yzm2sFrj2hSr6,https://api.spotify.com/v1/tracks/0uBu60Wd7yzm2sFrj2hSr6,https://api.spotify.com/v1/audio-analysis/0uBu60Wd7yzm2sFrj2hSr6,170267,4,77
0.688,0.569,10,-7.007,0,0.0375,0.392,0.000175,0.12,0.359,109.041,audio_features,4GCIYE1x1TWJCChPkpy9by,spotify:track:4GCIYE1x1TWJCChPkpy9by,https://api.spotify.com/v1/tracks/4GCIYE1x1TWJCChPkpy9by,https://api.spotify.com/v1/audio-analysis/4GCIYE1x1TWJCChPkpy9by,252373,4,67
0.562,0.595,5,-9.896,1,0.334,0.37,6.96e-06,0.13,0.426,125.172,audio_features,1E3zyoTHtJzsu5CjwIFIhY,spotify:track:1E3zyoTHtJzsu5CjwIFIhY,https://api.spotify.com/v1/tracks/1E3zyoTHtJzsu5CjwIFIhY,https://api.spotify.com/v1/audio-analysis/1E3zyoTHtJzsu5CjwIFIhY,305507,4,68
0.834,0.475,11,-8.532,1,0.0672,0.452,0,0.12,0.681,110.532,audio_features,0rDp24SRrDTsrVoUdSWZa2,spotify:track:0rDp24SRrDTsrVoUdSWZa2,https://api.spotify.com/v1/tracks/0rDp24SRrDTsrVoUdSWZa2,https://api.spotify.com/v1/audio-analysis/0rDp24SRrDTsrVoUdSWZa2,225413,4,65
0.876,0.443,6,-6.632,1,0.324,0.445,0,0.118,0.273,115.048,audio_features,4Ln4KAwk37peyCh2QpqYnP,spotify:track:4Ln4KAwk37peyCh2QpqYnP,https://api.spotify.com/v1/tracks/4Ln4KAwk37peyCh2QpqYnP,https://api.spotify.com/v1/audio-analysis/4Ln4KAwk37peyCh2QpqYnP,200347,4,69
0.762,0.6,5,-7.585,0,0.0909,0.542,0,0.0841,0.39,115.908,audio_features,2jBleFNl3YK8lyJc1OvxXt,spotify:track:2jBleFNl3YK8lyJc1OvxXt,https://api.spotify.com/v1/tracks/2jBleFNl3YK8lyJc1OvxXt,https://api.spotify.com/v1/audio-analysis/2jBleFNl3YK8lyJc1OvxXt,352627,4,69
0.678,0.444,1,-6.892,1,0.0346,0.217,0,0.0857,0.0941,110.966,audio_features,19s7kcYey8tz8BienN8S4J,spotify:track:19s7kcYey8tz8BienN8S4J,https://api.spotify.com/v1/tracks/19s7kcYey8tz8BienN8S4J,https://api.spotify.com/v1/audio-analysis/19s7kcYey8tz8BienN8S4J,241214,4,65
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,audio_features,7AQim7LbvFVZJE3O8TYgf2,spotify:track:7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2,146520,4,88
0.546,0.296,4,-20.172,0,0.0668,0.583,0,0.297,0.27,112.254,audio_features,0GguM9B0CZBoriefiHhxBz,spotify:track:0GguM9B0CZBoriefiHhxBz,https://api.spotify.com/v1/tracks/0GguM9B0CZBoriefiHhxBz,https://api.spotify.com/v1/audio-analysis/0GguM9B0CZBoriefiHhxBz,238064,4,13
0.649,0.652,0,-5.423,0,0.307,0.162,0,0.128,0.378,92.278,audio_features,46MeaErZLYBAaHoXhsImrY,spotify:track:46MeaErZLYBAaHoXhsImrY,https://api.spotify.com/v1/tracks/46MeaErZLYBAaHoXhsImrY,https://api.spotify.com/v1/audio-analysis/46MeaErZLYBAaHoXhsImrY,187690,5,57
0.859,0.377,4,-11.614,0,0.118,0.761,0.00103,0.0821,0.131,119.941,audio_features,0edJBA3HndGtL85tvd6TL4,spotify:track:0edJBA3HndGtL85tvd6TL4,https://api.spotify.com/v1/tracks/0edJBA3HndGtL85tvd6TL4,https://api.spotify.com/v1/audio-analysis/0edJBA3HndGtL85tvd6TL4,259848,4,49
0.85,0.598,3,-7.727,0,0.105,0.747,0,0.175,0.534,122.978,audio_features,7FXXVMGfMLy1IkmgDIZJBp,spotify:track:7FXXVMGfMLy1IkmgDIZJBp,https://api.spotify.com/v1/tracks/7FXXVMGfMLy1IkmgDIZJBp,https://api.spotify.com/v1/audio-analysis/7FXXVMGfMLy1IkmgDIZJBp,227307,4,61
0.747,0.434,6,-8.3,0,0.0828,0.426,0.000405,0.108,0.311,127.052,audio_features,75UFzgBCaVwJJ4IVIaatpe,spotify:track:75UFzgBCaVwJJ4IVIaatpe,https://api.spotify.com/v1/tracks/75UFzgBCaVwJJ4IVIaatpe,https://api.spotify.com/v1/audio-analysis/75UFzgBCaVwJJ4IVIaatpe,217320,4,69
0.719,0.521,2,-7.67,1,0.0851,0.178,0,0.111,0.166,101.995,audio_features,4plgBLw54eoTmAqyB0grGh,spotify:track:4plgBLw54eoTmAqyB0grGh,https://api.spotify.com/v1/tracks/4plgBLw54eoTmAqyB0grGh,https://api.spotify.com/v1/audio-analysis/4plgBLw54eoTmAqyB0grGh,300733,4,54
0.71,0.489,4,-10.224,0,0.178,0.376,0,0.0981,0.0767,130.057,audio_features,6FPr7b2IQpmUtafljoISjK,spotify:track:6FPr7b2IQpmUtafljoISjK,https://api.spotify.com/v1/tracks/6FPr7b2IQpmUtafljoISjK,https://api.spotify.com/v1/audio-analysis/6FPr7b2IQpmUtafljoISjK,195960,4,51
0.796,0.505,6,-9.356,0,0.111,0.142,0,0.1,0.724,141.015,audio_features,40JXmrRgkCKqZ7cTnRmgvi,spotify:track:40JXmrRgkCKqZ7cTnRmgvi,https://api.spotify.com/v1/tracks/40JXmrRgkCKqZ7cTnRmgvi,https://api.spotify.com/v1/audio-analysis/40JXmrRgkCKqZ7cTnRmgvi,233880,4,57
