danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,audio_features,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4,75
0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,audio_features,4IYKjN1DrYzxKXt0umJqsG,spotify:track:4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/tracks/4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/audio-analysis/4IYKjN1DrYzxKXt0umJqsG,253533,4,66
0.868,0.646,1,-4.674,0,0.288,0.303,0,0.284,0.67,88.641,audio_features,0AvV49z4EPz5ocYN7eKGAK,spotify:track:0AvV49z4EPz5ocYN7eKGAK,https://api.spotify.com/v1/tracks/0AvV49z4EPz5ocYN7eKGAK,https://api.spotify.com/v1/audio-analysis/0AvV49z4EPz5ocYN7eKGAK,304600,4,73
0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4,73
0.601,0.422,10,-13.364,0,0.518,0.21,0,0.0839,0.563,132.456,audio_features,6OtlkByM64FzhICejC8TaY,spotify:track:6OtlkByM64FzhICejC8TaY,https://api.spotify.com/v1/tracks/6OtlkByM64FzhICejC8TaY,https://api.spotify.com/v1/audio-analysis/6OtlkByM64FzhICejC8TaY,226987,3,55
0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,audio_features,2xTft6GEZeTyWNpdX94rkf,spotify:track:2xTft6GEZeTyWNpdX94rkf,https://api.spotify.com/v1/tracks/2xTft6GEZeTyWNpdX94rkf,https://api.spotify.com/v1/audio-analysis/2xTft6GEZeTyWNpdX94rkf,307773,4,73
0.889,0.816,9,-4.67,1,0.247,0.472,0,0.204,0.777,96.056,audio_features,5ByAIlEEnxYdvpnezg7HTX,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302693,4,76
0.671,0.737,0,-5.131,1,0.108,0.0338,0.00344,0.0596,0.197,90.519,audio_features,1rylJ0VXvhOzLGNm401iaI,spotify:track:1rylJ0VXvhOzLGNm401iaI,https://api.spotify.com/v1/tracks/1rylJ0VXvhOzLGNm401iaI,https://api.spotify.com/v1/audio-analysis/1rylJ0VXvhOzLGNm401iaI,310227,4,58
0.86,0.674,9,-5.878,0,0.339,0.0912,0.00159,0.0322,0.592,77.005,audio_features,04wE70zoYM5Pckgw36dWBq,spotify:track:04wE70zoYM5Pckgw36dWBq,https://api.spotify.com/v1/tracks/04wE70zoYM5Pckgw36dWBq,https://api.spotify.com/v1/audio-analysis/04wE70zoYM5Pckgw36dWBq,238467,4,17
0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,audio_features,3NGT0Td7H4Is1qrlDQJxma,spotify:track:3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/tracks/3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/audio-analysis/3NGT0Td7H4Is1qrlDQJxma,273107,4,67
