danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,audio_features,7wGoVu4Dady5GV0Sv4UIsx,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,218320,4,97
0.682,0.594,8,-7.473,1,0.287,0.01,0,0.119,0.277,167.973,audio_features,2eOf8euAPRGUnl194vqPNy,spotify:track:2eOf8euAPRGUnl194vqPNy,https://api.spotify.com/v1/tracks/2eOf8euAPRGUnl194vqPNy,https://api.spotify.com/v1/audio-analysis/2eOf8euAPRGUnl194vqPNy,195422,4,0
0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,audio_features,43ZyHQITOjhciSUUNPVRHc,spotify:track:43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc,https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc,124056,4,93
0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,audio_features,2Xqd0wUttjueBfdcltADOv,spotify:track:2Xqd0wUttjueBfdcltADOv,https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,245387,4,0
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4,91
0.776,0.846,9,-5.987,1,0.13,0.0108,0.000785,0.133,0.141,140.039,audio_features,0883TI8NYMSZhtYZTOk8Hj,spotify:track:0883TI8NYMSZhtYZTOk8Hj,https://api.spotify.com/v1/tracks/0883TI8NYMSZhtYZTOk8Hj,https://api.spotify.com/v1/audio-analysis/0883TI8NYMSZhtYZTOk8Hj,221143,4,89
0.787,0.586,10,-9.64,1,0.0695,0.411,0.000311,0.118,0.581,140.036,audio_features,4Tulf6yVo59f2ofSi3YUqW,spotify:track:4Tulf6yVo59f2ofSi3YUqW,https://api.spotify.com/v1/tracks/4Tulf6yVo59f2ofSi3YUqW,https://api.spotify.com/v1/audio-analysis/4Tulf6yVo59f2ofSi3YUqW,210862,4,39
0.49,0.598,9,-4.814,0,0.186,0.801,0,0.576,0.61,84.004,audio_features,5b2QnYcT9rQIkhRWt4HztQ,spotify:track:5b2QnYcT9rQIkhRWt4HztQ,https://api.spotify.com/v1/tracks/5b2QnYcT9rQIkhRWt4HztQ,https://api.spotify.com/v1/audio-analysis/5b2QnYcT9rQIkhRWt4HztQ,303781,4,77
0.384,0.821,8,-2.83,0,0.0948,0.158,0,0.137,0.244,121.108,audio_features,2AKl7EDsNJXjW2n8OF3PrF,spotify:track:2AKl7EDsNJXjW2n8OF3PrF,https://api.spotify.com/v1/tracks/2AKl7EDsNJXjW2n8OF3PrF,https://api.spotify.com/v1/audio-analysis/2AKl7EDsNJXjW2n8OF3PrF,256163,4,87
0.621,0.509,10,-10.884,0,0.476,0.124,0.000124,0.241,0.328,179.919,audio_features,2xyglzh3Np9TPyPObUIoyr,spotify:track:2xyglzh3Np9TPyPObUIoyr,https://api.spotify.com/v1/tracks/2xyglzh3Np9TPyPObUIoyr,https://api.spotify.com/v1/audio-analysis/2xyglzh3Np9TPyPObUIoyr,210924,4,50
0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,audio_features,2771LMNxwf62FTAdpJMQfM,spotify:track:2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,223962,4,45
0.901,0.529,2,-4.443,1,0.191,0.0519,0,0.179,0.146,138.003,audio_features,1YZfcVLbbJwfizR5cDOp3q,spotify:track:1YZfcVLbbJwfizR5cDOp3q,https://api.spotify.com/v1/tracks/1YZfcVLbbJwfizR5cDOp3q,https://api.spotify.com/v1/audio-analysis/1YZfcVLbbJwfizR5cDOp3q,307660,4,72
0.669,0.686,4,-5.534,1,0.184,0.627,0,0.0734,0.437,180.046,audio_features,6VFMGKuYTlaYgbhvILfbc7,spotify:track:6VFMGKuYTlaYgbhvILfbc7,https://api.spotify.com/v1/tracks/6VFMGKuYTlaYgbhvILfbc7,https://api.spotify.com/v1/audio-analysis/6VFMGKuYTlaYgbhvILfbc7,229573,4,91
0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,audio_features,6fwdbPMwP1zVStm8FybmkO,spotify:track:6fwdbPMwP1zVStm8FybmkO,https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO,https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO,258880,4,87
0.629,0.817,6,-4.261,1,0.0357,0.199,0,0.317,0.466,123.087,audio_features,6syOdAs4IK8kPWR7gDyjRw,spotify:track:6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/tracks/6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/audio-analysis/6syOdAs4IK8kPWR7gDyjRw,220293,4,85
0.9,0.649,5,-3.79,1,0.269,0.109,0,0.0825,0.442,129.985,audio_features,0R01L2PrvabbllwxJYZyfd,spotify:track:0R01L2PrvabbllwxJYZyfd,https://api.spotify.com/v1/tracks/0R01L2PrvabbllwxJYZyfd,https://api.spotify.com/v1/audio-analysis/0R01L2PrvabbllwxJYZyfd,208048,4,81
0.656,0.804,8,-5.191,0,0.363,0.173,0,0.763,0.314,125.882,audio_features,6mVjlizvk7mq58DJl7pQ2j,spotify:track:6mVjlizvk7mq58DJl7pQ2j,https://api.spotify.com/v1/tracks/6mVjlizvk7mq58DJl7pQ2j,https://api.spotify.com/v1/audio-analysis/6mVjlizvk7mq58DJl7pQ2j,188637,4,87
0.749,0.671,6,-5.151,1,0.0599,0.68,0,0.167,0.756,81.994,audio_features,6GNifiuBPrKFpwNBYnooFm,spotify:track:6GNifiuBPrKFpwNBYnooFm,https://api.spotify.com/v1/tracks/6GNifiuBPrKFpwNBYnooFm,https://api.spotify.com/v1/audio-analysis/6GNifiuBPrKFpwNBYnooFm,268864,4,58
0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,audio_features,1XRgIKC5TPwo7nWGyKqgG0,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/tracks/1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/audio-analysis/1XRgIKC5TPwo7nWGyKqgG0,233087,4,77
0.895,0.885,0,-4.182,1,0.268,0.11,4.04e-05,0.106,0.633,134.973,audio_features,2nUJvBO87SkxCViQsLc9Zr,spotify:track:2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/tracks/2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/audio-analysis/2nUJvBO87SkxCViQsLc9Zr,186027,4,18
0.919,0.73,1,-6.581,1,0.088,0.00194,8.51e-05,0.101,0.189,95.044,audio_features,6tUgfsOa8PLkoede5nOR7D,spotify:track:6tUgfsOa8PLkoede5nOR7D,https://api.spotify.com/v1/tracks/6tUgfsOa8PLkoede5nOR7D,https://api.spotify.com/v1/audio-analysis/6tUgfsOa8PLkoede5nOR7D,219880,4,82
