danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.813,0.714,10,-6.528,0,0.188,0.274,0.0374,0.0899,0.621,137.003,audio_features,4I31cTuAHTf9aO7JkGW8PO,spotify:track:4I31cTuAHTf9aO7JkGW8PO,https://api.spotify.com/v1/tracks/4I31cTuAHTf9aO7JkGW8PO,https://api.spotify.com/v1/audio-analysis/4I31cTuAHTf9aO7JkGW8PO,232587,4,69
0.774,0.886,6,-3.106,0,0.235,0.133,0,0.201,0.854,139.986,audio_features,6AMM2zeZWrQpISC7QtmLCw,spotify:track:6AMM2zeZWrQpISC7QtmLCw,https://api.spotify.com/v1/tracks/6AMM2zeZWrQpISC7QtmLCw,https://api.spotify.com/v1/audio-analysis/6AMM2zeZWrQpISC7QtmLCw,167179,4,0
0.895,0.885,0,-4.182,1,0.268,0.11,4.04e-05,0.106,0.633,134.973,audio_features,2nUJvBO87SkxCViQsLc9Zr,spotify:track:2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/tracks/2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/audio-analysis/2nUJvBO87SkxCViQsLc9Zr,186027,4,88
0.873,0.487,5,-5.502,1,0.239,0.0386,0.000233,0.0632,0.495,99.989,audio_features,19e7nxjjaxsdxJpUe0LYQQ,spotify:track:19e7nxjjaxsdxJpUe0LYQQ,https://api.spotify.com/v1/tracks/19e7nxjjaxsdxJpUe0LYQQ,https://api.spotify.com/v1/audio-analysis/19e7nxjjaxsdxJpUe0LYQQ,174242,4,71
0.812,0.574,10,-8.405,0,0.392,0.381,0,0.129,0.38,144.03,audio_features,4Ab0KYznTstaZv4asvIjUM,spotify:track:4Ab0KYznTstaZv4asvIjUM,https://api.spotify.com/v1/tracks/4Ab0KYznTstaZv4asvIjUM,https://api.spotify.com/v1/audio-analysis/4Ab0KYznTstaZv4asvIjUM,218000,4,63
0.568,0.609,2,-8.978,0,0.274,0.0819,0,0.0717,0.0712,134.916,audio_features,08rB1AFgNC3e4UUjvC9Zel,spotify:track:08rB1AFgNC3e4UUjvC9Zel,https://api.spotify.com/v1/tracks/08rB1AFgNC3e4UUjvC9Zel,https://api.spotify.com/v1/audio-analysis/08rB1AFgNC3e4UUjvC9Zel,228000,4,0
0.597,0.677,2,-6.81,0,0.396,0.666,0,0.106,0.341,137.016,audio_features,2hLuNmDwpl04WVyFXhQePA,spotify:track:2hLuNmDwpl04WVyFXhQePA,https://api.spotify.com/v1/tracks/2hLuNmDwpl04WVyFXhQePA,https://api.spotify.com/v1/audio-analysis/2hLuNmDwpl04WVyFXhQePA,182313,4,0
0.766,0.911,6,-4.521,0,0.31,0.0847,0,0.254,0.942,144.081,audio_features,2YjB6y1dGmA7okAes4r9rf,spotify:track:2YjB6y1dGmA7okAes4r9rf,https://api.spotify.com/v1/tracks/2YjB6y1dGmA7okAes4r9rf,https://api.spotify.com/v1/audio-analysis/2YjB6y1dGmA7okAes4r9rf,242992,4,56
0.497,0.734,1,-6.112,1,0.382,0.377,0,0.151,0.384,139.096,audio_features,7JxZIyGYOLpe2oqyzTJADC,spotify:track:7JxZIyGYOLpe2oqyzTJADC,https://api.spotify.com/v1/tracks/7JxZIyGYOLpe2oqyzTJADC,https://api.spotify.com/v1/audio-analysis/7JxZIyGYOLpe2oqyzTJADC,196480,4,10
0.534,0.648,1,-4.891,0,0.123,0.22,2.09e-06,0.077,0.167,139.761,audio_features,1sdYeOmSJymoav7ZQ7cXZO,spotify:track:1sdYeOmSJymoav7ZQ7cXZO,https://api.spotify.com/v1/tracks/1sdYeOmSJymoav7ZQ7cXZO,https://api.spotify.com/v1/audio-analysis/1sdYeOmSJymoav7ZQ7cXZO,199446,4,0
0.822,0.844,2,-5.125,1,0.171,0.0229,0.000186,0.351,0.844,140.076,audio_features,3ClHjRhLozN1CrmByHXgwR,spotify:track:3ClHjRhLozN1CrmByHXgwR,https://api.spotify.com/v1/tracks/3ClHjRhLozN1CrmByHXgwR,https://api.spotify.com/v1/audio-analysis/3ClHjRhLozN1CrmByHXgwR,208614,4,60
