danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.348,0.387,4,-12.153,0,0.0263,0.604,0.00496,0.0892,0.212,170.88,audio_features,2UqdNDip45Kd0s8EsPaiip,spotify:track:2UqdNDip45Kd0s8EsPaiip,https://api.spotify.com/v1/tracks/2UqdNDip45Kd0s8EsPaiip,https://api.spotify.com/v1/audio-analysis/2UqdNDip45Kd0s8EsPaiip,230893,3,58
0.215,0.229,9,-12.675,0,0.0318,0.946,0.0152,0.0986,0.0463,150.561,audio_features,6LARr2IilXpIETOhscaBGh,spotify:track:6LARr2IilXpIETOhscaBGh,https://api.spotify.com/v1/tracks/6LARr2IilXpIETOhscaBGh,https://api.spotify.com/v1/audio-analysis/6LARr2IilXpIETOhscaBGh,176000,4,54
0.556,0.319,9,-6.493,1,0.0312,0.542,0,0.0715,0.508,126.685,audio_features,3IdUFyowk0nKj9qUWlEFWX,spotify:track:3IdUFyowk0nKj9qUWlEFWX,https://api.spotify.com/v1/tracks/3IdUFyowk0nKj9qUWlEFWX,https://api.spotify.com/v1/audio-analysis/3IdUFyowk0nKj9qUWlEFWX,133094,4,54
0.312,0.101,8,-18.09,1,0.0416,0.977,0.000104,0.111,0.117,107.362,audio_features,74j2X6ulJ7yTllPdfbx7tO,spotify:track:74j2X6ulJ7yTllPdfbx7tO,https://api.spotify.com/v1/tracks/74j2X6ulJ7yTllPdfbx7tO,https://api.spotify.com/v1/audio-analysis/74j2X6ulJ7yTllPdfbx7tO,189250,3,53
0.182,0.206,7,-12.03,1,0.0316,0.415,0,0.1,0.127,182.209,audio_features,4Yw7XgIOc5w2Z7LgbuSPli,spotify:track:4Yw7XgIOc5w2Z7LgbuSPli,https://api.spotify.com/v1/tracks/4Yw7XgIOc5w2Z7LgbuSPli,https://api.spotify.com/v1/audio-analysis/4Yw7XgIOc5w2Z7LgbuSPli,246499,3,55
0.442,0.325,7,-9.91,1,0.0286,0.72,4.51e-05,0.168,0.195,111.568,audio_features,6DAzaRBBHWYtOaiQee3yfG,spotify:track:6DAzaRBBHWYtOaiQee3yfG,https://api.spotify.com/v1/tracks/6DAzaRBBHWYtOaiQee3yfG,https://api.spotify.com/v1/audio-analysis/6DAzaRBBHWYtOaiQee3yfG,201292,4,53
0.697,0.225,10,-11.068,1,0.0449,0.913,0.193,0.124,0.487,84.568,audio_features,2iMRkpZz0nxGAGHIsUE351,spotify:track:2iMRkpZz0nxGAGHIsUE351,https://api.spotify.com/v1/tracks/2iMRkpZz0nxGAGHIsUE351,https://api.spotify.com/v1/audio-analysis/2iMRkpZz0nxGAGHIsUE351,190244,4,52
0.444,0.153,9,-13.083,1,0.0404,0.769,0,0.111,0.218,125.67,audio_features,737QrlDXQ60hnDCkzUDxhK,spotify:track:737QrlDXQ60hnDCkzUDxhK,https://api.spotify.com/v1/tracks/737QrlDXQ60hnDCkzUDxhK,https://api.spotify.com/v1/audio-analysis/737QrlDXQ60hnDCkzUDxhK,179729,5,55
0.558,0.0283,2,-15.801,1,0.0413,0.984,0,0.223,0.406,70.443,audio_features,4jbe59AoOM81GJQ8tT8IZy,spotify:track:4jbe59AoOM81GJQ8tT8IZy,https://api.spotify.com/v1/tracks/4jbe59AoOM81GJQ8tT8IZy,https://api.spotify.com/v1/audio-analysis/4jbe59AoOM81GJQ8tT8IZy,121833,4,52
0.765,0.0594,4,-15.268,1,0.0548,0.828,0.000367,0.111,0.174,121.532,audio_features,7vHImVUMf7vpc2LKFnIkLx,spotify:track:7vHImVUMf7vpc2LKFnIkLx,https://api.spotify.com/v1/tracks/7vHImVUMf7vpc2LKFnIkLx,https://api.spotify.com/v1/audio-analysis/7vHImVUMf7vpc2LKFnIkLx,122875,4,51
0.507,0.261,11,-13.747,1,0.0317,0.954,0.076,0.105,0.119,94.101,audio_features,69D5aQqroUldJeL9dVvNya,spotify:track:69D5aQqroUldJeL9dVvNya,https://api.spotify.com/v1/tracks/69D5aQqroUldJeL9dVvNya,https://api.spotify.com/v1/audio-analysis/69D5aQqroUldJeL9dVvNya,260533,4,51
0.373,0.121,4,-13.366,1,0.0375,0.957,2.98e-06,0.0911,0.175,169.539,audio_features,4Ys8dcs3k8qIDKoHqTTnse,spotify:track:4Ys8dcs3k8qIDKoHqTTnse,https://api.spotify.com/v1/tracks/4Ys8dcs3k8qIDKoHqTTnse,https://api.spotify.com/v1/audio-analysis/4Ys8dcs3k8qIDKoHqTTnse,231067,3,36
0.559,0.106,0,-12.976,1,0.0379,0.905,0.00495,0.268,0.321,113.231,audio_features,0F2tl2H9ryg2vHQgWsjxEV,spotify:track:0F2tl2H9ryg2vHQgWsjxEV,https://api.spotify.com/v1/tracks/0F2tl2H9ryg2vHQgWsjxEV,https://api.spotify.com/v1/audio-analysis/0F2tl2H9ryg2vHQgWsjxEV,157453,3,20
0.633,0.331,0,-9.232,1,0.0528,0.961,0,0.12,0.68,119.809,audio_features,3xvFTqHmlMqKjHgczCGn2C,spotify:track:3xvFTqHmlMqKjHgczCGn2C,https://api.spotify.com/v1/tracks/3xvFTqHmlMqKjHgczCGn2C,https://api.spotify.com/v1/audio-analysis/3xvFTqHmlMqKjHgczCGn2C,112872,4,59
0.54,0.253,5,-14.274,1,0.032,0.837,0.00139,0.117,0.32,171.949,audio_features,01NSrsQkOZ3PgRcGLGrOT5,spotify:track:01NSrsQkOZ3PgRcGLGrOT5,https://api.spotify.com/v1/tracks/01NSrsQkOZ3PgRcGLGrOT5,https://api.spotify.com/v1/audio-analysis/01NSrsQkOZ3PgRcGLGrOT5,163973,4,63
