danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.341,0.56,8,-6.581,1,0.0353,0.548,1.55e-06,0.103,0.347,125.931,audio_features,785GHbJRiiQ1Guu8V8vgWf,spotify:track:785GHbJRiiQ1Guu8V8vgWf,https://api.spotify.com/v1/tracks/785GHbJRiiQ1Guu8V8vgWf,https://api.spotify.com/v1/audio-analysis/785GHbJRiiQ1Guu8V8vgWf,229107,4,48
0.669,0.472,0,-6.543,0,0.035,0.704,0,0.243,0.87,169.807,audio_features,4y0WpCQRpLusnadYW1dDhr,spotify:track:4y0WpCQRpLusnadYW1dDhr,https://api.spotify.com/v1/tracks/4y0WpCQRpLusnadYW1dDhr,https://api.spotify.com/v1/audio-analysis/4y0WpCQRpLusnadYW1dDhr,162147,4,48
0.626,0.499,1,-11.007,1,0.0343,0.394,0,0.0602,0.322,120.305,audio_features,183egccUAzP1fEFSy2TSZQ,spotify:track:183egccUAzP1fEFSy2TSZQ,https://api.spotify.com/v1/tracks/183egccUAzP1fEFSy2TSZQ,https://api.spotify.com/v1/audio-analysis/183egccUAzP1fEFSy2TSZQ,221373,4,52
0.646,0.463,8,-6.529,1,0.0306,0.38,0,0.0457,0.733,147.081,audio_features,0dMWL9laoZYIySUxSrRSil,spotify:track:0dMWL9laoZYIySUxSrRSil,https://api.spotify.com/v1/tracks/0dMWL9laoZYIySUxSrRSil,https://api.spotify.com/v1/audio-analysis/0dMWL9laoZYIySUxSrRSil,123413,4,58
0.618,0.5,7,-8.47,1,0.0393,0.262,0,0.0912,0.741,109.664,audio_features,0umEB1utqZ3fBNEE0y5DD9,spotify:track:0umEB1utqZ3fBNEE0y5DD9,https://api.spotify.com/v1/tracks/0umEB1utqZ3fBNEE0y5DD9,https://api.spotify.com/v1/audio-analysis/0umEB1utqZ3fBNEE0y5DD9,207613,4,50
0.707,0.564,4,-6.604,1,0.0559,0.606,0,0.143,0.538,126.047,audio_features,1sO1cZyMmqYq7GGYGJEb3j,spotify:track:1sO1cZyMmqYq7GGYGJEb3j,https://api.spotify.com/v1/tracks/1sO1cZyMmqYq7GGYGJEb3j,https://api.spotify.com/v1/audio-analysis/1sO1cZyMmqYq7GGYGJEb3j,224053,4,46
0.408,0.43,1,-6.876,1,0.0264,0.712,0,0.107,0.26,183.951,audio_features,7GHQoEQGQRbrowuiayJ3Mw,spotify:track:7GHQoEQGQRbrowuiayJ3Mw,https://api.spotify.com/v1/tracks/7GHQoEQGQRbrowuiayJ3Mw,https://api.spotify.com/v1/audio-analysis/7GHQoEQGQRbrowuiayJ3Mw,197427,3,47
0.603,0.546,2,-7.426,1,0.0326,0.0945,0,0.15,0.414,123.934,audio_features,5RS5bZyibXXrYZQX5IO4cu,spotify:track:5RS5bZyibXXrYZQX5IO4cu,https://api.spotify.com/v1/tracks/5RS5bZyibXXrYZQX5IO4cu,https://api.spotify.com/v1/audio-analysis/5RS5bZyibXXrYZQX5IO4cu,211093,4,50
0.705,0.44,2,-4.452,1,0.0254,0.486,0,0.113,0.453,86.008,audio_features,1k8aOPSd54EREmgEGhCMtP,spotify:track:1k8aOPSd54EREmgEGhCMtP,https://api.spotify.com/v1/tracks/1k8aOPSd54EREmgEGhCMtP,https://api.spotify.com/v1/audio-analysis/1k8aOPSd54EREmgEGhCMtP,207200,4,53
0.677,0.849,9,-5.315,1,0.059,0.0916,0,0.0895,0.863,123.014,audio_features,22vT1wZNxPzRuib3BAsTsi,spotify:track:22vT1wZNxPzRuib3BAsTsi,https://api.spotify.com/v1/tracks/22vT1wZNxPzRuib3BAsTsi,https://api.spotify.com/v1/audio-analysis/22vT1wZNxPzRuib3BAsTsi,170200,4,53
0.626,0.341,7,-9.491,1,0.0272,0.81,0,0.158,0.412,97.591,audio_features,70OrTBlb0RLKNfxWE6fZZM,spotify:track:70OrTBlb0RLKNfxWE6fZZM,https://api.spotify.com/v1/tracks/70OrTBlb0RLKNfxWE6fZZM,https://api.spotify.com/v1/audio-analysis/70OrTBlb0RLKNfxWE6fZZM,251240,3,55
0.465,0.27,4,-16.661,1,0.0425,0.902,0.00104,0.145,0.58,94.519,audio_features,3QiAAp20rPC3dcAtKtMaqQ,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/tracks/3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/audio-analysis/3QiAAp20rPC3dcAtKtMaqQ,129173,4,78
0.272,0.158,4,-9.24,0,0.0339,0.905,0,0.298,0.0995,169.908,audio_features,7K3i0GUuw4tdIy2BtXVqtW,spotify:track:7K3i0GUuw4tdIy2BtXVqtW,https://api.spotify.com/v1/tracks/7K3i0GUuw4tdIy2BtXVqtW,https://api.spotify.com/v1/audio-analysis/7K3i0GUuw4tdIy2BtXVqtW,207760,5,52
0.422,0.357,2,-9.647,0,0.0351,0.679,2.49e-05,0.129,0.41,79.801,audio_features,2kO5Egy17uFWI9hBP6B37K,spotify:track:2kO5Egy17uFWI9hBP6B37K,https://api.spotify.com/v1/tracks/2kO5Egy17uFWI9hBP6B37K,https://api.spotify.com/v1/audio-analysis/2kO5Egy17uFWI9hBP6B37K,230286,3,61
