danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.137,0.415,3,-8.003,1,0.0374,0.979,0.00626,0.139,0.0999,76.156,audio_features,2nsZBM2TAgBUjWSE4ZqsA3,spotify:track:2nsZBM2TAgBUjWSE4ZqsA3,https://api.spotify.com/v1/tracks/2nsZBM2TAgBUjWSE4ZqsA3,https://api.spotify.com/v1/audio-analysis/2nsZBM2TAgBUjWSE4ZqsA3,239133,4,39
0.346,0.163,2,-13.701,1,0.0521,0.944,1.68e-05,0.105,0.273,80.526,audio_features,73Qw33wmrc3r4kSRBXHGSX,spotify:track:73Qw33wmrc3r4kSRBXHGSX,https://api.spotify.com/v1/tracks/73Qw33wmrc3r4kSRBXHGSX,https://api.spotify.com/v1/audio-analysis/73Qw33wmrc3r4kSRBXHGSX,164333,4,49
0.207,0.32,10,-10.369,1,0.0327,0.915,0.00837,0.0937,0.126,82.775,audio_features,1WrksSayukHRLctEsjcSGf,spotify:track:1WrksSayukHRLctEsjcSGf,https://api.spotify.com/v1/tracks/1WrksSayukHRLctEsjcSGf,https://api.spotify.com/v1/audio-analysis/1WrksSayukHRLctEsjcSGf,243827,5,51
0.212,0.33,10,-13.524,1,0.0372,0.948,0.000146,0.105,0.121,88.927,audio_features,0elasvAZq14sQBPg845HVN,spotify:track:0elasvAZq14sQBPg845HVN,https://api.spotify.com/v1/tracks/0elasvAZq14sQBPg845HVN,https://api.spotify.com/v1/audio-analysis/0elasvAZq14sQBPg845HVN,289489,4,38
0.414,0.274,1,-12.208,0,0.0307,0.435,0.0214,0.116,0.0379,124.964,audio_features,2NxY1dWGp744sWvGeu9x1h,spotify:track:2NxY1dWGp744sWvGeu9x1h,https://api.spotify.com/v1/tracks/2NxY1dWGp744sWvGeu9x1h,https://api.spotify.com/v1/audio-analysis/2NxY1dWGp744sWvGeu9x1h,196267,4,30
0.245,0.192,6,-15.034,1,0.0447,0.953,0.0151,0.119,0.143,83.883,audio_features,6wiukd9nMaPGktzo0SlPl3,spotify:track:6wiukd9nMaPGktzo0SlPl3,https://api.spotify.com/v1/tracks/6wiukd9nMaPGktzo0SlPl3,https://api.spotify.com/v1/audio-analysis/6wiukd9nMaPGktzo0SlPl3,243107,3,24
0.175,0.363,7,-6.242,1,0.03,0.813,0.000584,0.157,0.333,94.036,audio_features,6sqOpx2T74DyEAcVfwx7c8,spotify:track:6sqOpx2T74DyEAcVfwx7c8,https://api.spotify.com/v1/tracks/6sqOpx2T74DyEAcVfwx7c8,https://api.spotify.com/v1/audio-analysis/6sqOpx2T74DyEAcVfwx7c8,195467,4,26
0.24,0.0518,0,-18.344,1,0.0469,0.993,0.00165,0.101,0.275,173.432,audio_features,0HxFfvcePAN3Jec7Bgg1Rq,spotify:track:0HxFfvcePAN3Jec7Bgg1Rq,https://api.spotify.com/v1/tracks/0HxFfvcePAN3Jec7Bgg1Rq,https://api.spotify.com/v1/audio-analysis/0HxFfvcePAN3Jec7Bgg1Rq,184133,4,36
0.165,0.216,0,-12.807,1,0.0352,0.978,0.00157,0.128,0.184,79.323,audio_features,0TrNTlTyxc5XZUNw3MHbMW,spotify:track:0TrNTlTyxc5XZUNw3MHbMW,https://api.spotify.com/v1/tracks/0TrNTlTyxc5XZUNw3MHbMW,https://api.spotify.com/v1/audio-analysis/0TrNTlTyxc5XZUNw3MHbMW,209933,1,35
0.205,0.275,6,-11.03,1,0.0533,0.984,0.000119,0.0927,0.158,73.236,audio_features,3MQAJdRsn0AEWyZs9Rno73,spotify:track:3MQAJdRsn0AEWyZs9Rno73,https://api.spotify.com/v1/tracks/3MQAJdRsn0AEWyZs9Rno73,https://api.spotify.com/v1/audio-analysis/3MQAJdRsn0AEWyZs9Rno73,265400,1,24
0.0962,0.168,1,-15.372,1,0.0439,0.938,0.0673,0.183,0.0771,59.871,audio_features,0vmfPUePkt5uhsYYZWAdXk,spotify:track:0vmfPUePkt5uhsYYZWAdXk,https://api.spotify.com/v1/tracks/0vmfPUePkt5uhsYYZWAdXk,https://api.spotify.com/v1/audio-analysis/0vmfPUePkt5uhsYYZWAdXk,232053,3,24
0.273,0.513,11,-9.342,0,0.0543,0.973,0.00219,0.575,0.399,125.913,audio_features,4uWaKjhoP44R7jCTGXhGBG,spotify:track:4uWaKjhoP44R7jCTGXhGBG,https://api.spotify.com/v1/tracks/4uWaKjhoP44R7jCTGXhGBG,https://api.spotify.com/v1/audio-analysis/4uWaKjhoP44R7jCTGXhGBG,199227,4,31
0.253,0.135,9,-15.108,1,0.0308,0.937,5.86e-05,0.633,0.152,69.281,audio_features,4INpamUxVd94SwNoFdiRzP,spotify:track:4INpamUxVd94SwNoFdiRzP,https://api.spotify.com/v1/tracks/4INpamUxVd94SwNoFdiRzP,https://api.spotify.com/v1/audio-analysis/4INpamUxVd94SwNoFdiRzP,226641,4,22
0.222,0.366,3,-6.938,1,0.0335,0.975,0.0518,0.0967,0.376,130.521,audio_features,6oJIEWNjikiTqjljHcuvZD,spotify:track:6oJIEWNjikiTqjljHcuvZD,https://api.spotify.com/v1/tracks/6oJIEWNjikiTqjljHcuvZD,https://api.spotify.com/v1/audio-analysis/6oJIEWNjikiTqjljHcuvZD,148360,4,22
0.15,0.333,11,-9.523,0,0.0296,0.883,0.000696,0.112,0.0548,83.368,audio_features,4ivVHj3Yn83fVUPQt6f2vM,spotify:track:4ivVHj3Yn83fVUPQt6f2vM,https://api.spotify.com/v1/tracks/4ivVHj3Yn83fVUPQt6f2vM,https://api.spotify.com/v1/audio-analysis/4ivVHj3Yn83fVUPQt6f2vM,358147,4,24
0.216,0.318,5,-9.203,1,0.0339,0.931,0.0111,0.096,0.167,100.191,audio_features,0NyoL0U4nAA7bMQa7nMz0w,spotify:track:0NyoL0U4nAA7bMQa7nMz0w,https://api.spotify.com/v1/tracks/0NyoL0U4nAA7bMQa7nMz0w,https://api.spotify.com/v1/audio-analysis/0NyoL0U4nAA7bMQa7nMz0w,207933,3,25
0.3,0.237,2,-12.344,1,0.0349,0.942,7.1e-05,0.0992,0.203,129.142,audio_features,55eiHpHaMMYZCXfH39KSWr,spotify:track:55eiHpHaMMYZCXfH39KSWr,https://api.spotify.com/v1/tracks/55eiHpHaMMYZCXfH39KSWr,https://api.spotify.com/v1/audio-analysis/55eiHpHaMMYZCXfH39KSWr,237401,4,25
0.168,0.301,4,-9.056,0,0.0365,0.795,0,0.0953,0.113,211.51,audio_features,50BZm0hfNZbaQKLEsinIgL,spotify:track:50BZm0hfNZbaQKLEsinIgL,https://api.spotify.com/v1/tracks/50BZm0hfNZbaQKLEsinIgL,https://api.spotify.com/v1/audio-analysis/50BZm0hfNZbaQKLEsinIgL,271510,4,44
0.465,0.281,5,-12.202,1,0.0297,0.913,0.000656,0.115,0.262,110.035,audio_features,7yPtjVIw1fQ86Pug1Tuzbd,spotify:track:7yPtjVIw1fQ86Pug1Tuzbd,https://api.spotify.com/v1/tracks/7yPtjVIw1fQ86Pug1Tuzbd,https://api.spotify.com/v1/audio-analysis/7yPtjVIw1fQ86Pug1Tuzbd,210933,4,59
