danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.49,0.172,11,-17.49,0,0.0351,0.803,0.0057,0.116,0.408,154.007,audio_features,0zUAob6pnNxXj6hK2JK61r,spotify:track:0zUAob6pnNxXj6hK2JK61r,https://api.spotify.com/v1/tracks/0zUAob6pnNxXj6hK2JK61r,https://api.spotify.com/v1/audio-analysis/0zUAob6pnNxXj6hK2JK61r,226052,4,33
0.706,0.492,5,-7.53,1,0.0277,0.873,0.0441,0.101,0.263,103.083,audio_features,4p8AMWj6ZBnrE3IUY004yE,spotify:track:4p8AMWj6ZBnrE3IUY004yE,https://api.spotify.com/v1/tracks/4p8AMWj6ZBnrE3IUY004yE,https://api.spotify.com/v1/audio-analysis/4p8AMWj6ZBnrE3IUY004yE,228573,4,2
0.488,0.782,2,-9.791,1,0.0416,0.667,0.135,0.114,0.606,198.461,audio_features,4KcL2K2LULhvSHi9fP7d2g,spotify:track:4KcL2K2LULhvSHi9fP7d2g,https://api.spotify.com/v1/tracks/4KcL2K2LULhvSHi9fP7d2g,https://api.spotify.com/v1/audio-analysis/4KcL2K2LULhvSHi9fP7d2g,171667,3,23
0.381,0.315,7,-6.346,1,0.0274,0.374,0,0.0903,0.315,174.976,audio_features,376ryd01tHL5ckzkvu7yVn,spotify:track:376ryd01tHL5ckzkvu7yVn,https://api.spotify.com/v1/tracks/376ryd01tHL5ckzkvu7yVn,https://api.spotify.com/v1/audio-analysis/376ryd01tHL5ckzkvu7yVn,192587,4,0
0.363,0.546,9,-7.254,1,0.0316,0.51,9.43e-05,0.358,0.228,160.209,audio_features,7ovNMSBomzImYzBi7RWepo,spotify:track:7ovNMSBomzImYzBi7RWepo,https://api.spotify.com/v1/tracks/7ovNMSBomzImYzBi7RWepo,https://api.spotify.com/v1/audio-analysis/7ovNMSBomzImYzBi7RWepo,232373,4,33
0.318,0.223,4,-20.324,1,0.254,0.888,0.000162,0.684,0.266,93.31,audio_features,18YH3E7x91v6AC3lhGiolf,spotify:track:18YH3E7x91v6AC3lhGiolf,https://api.spotify.com/v1/tracks/18YH3E7x91v6AC3lhGiolf,https://api.spotify.com/v1/audio-analysis/18YH3E7x91v6AC3lhGiolf,589653,4,2
0.484,0.379,0,-9.447,0,0.0255,0.908,0.000157,0.123,0.129,93.18,audio_features,3mLhoikLnyzVEcLFEBEoqW,spotify:track:3mLhoikLnyzVEcLFEBEoqW,https://api.spotify.com/v1/tracks/3mLhoikLnyzVEcLFEBEoqW,https://api.spotify.com/v1/audio-analysis/3mLhoikLnyzVEcLFEBEoqW,256182,3,35
0.392,0.302,0,-10.872,1,0.0298,0.886,0.000139,0.106,0.206,115.964,audio_features,5P0cZ3i8YB7DFbVLXuuPeL,spotify:track:5P0cZ3i8YB7DFbVLXuuPeL,https://api.spotify.com/v1/tracks/5P0cZ3i8YB7DFbVLXuuPeL,https://api.spotify.com/v1/audio-analysis/5P0cZ3i8YB7DFbVLXuuPeL,239040,4,48
0.579,0.353,10,-10.653,1,0.0303,0.791,0.000409,0.0918,0.265,139.095,audio_features,1wYYeL1U58MfPFHRRfdunQ,spotify:track:1wYYeL1U58MfPFHRRfdunQ,https://api.spotify.com/v1/tracks/1wYYeL1U58MfPFHRRfdunQ,https://api.spotify.com/v1/audio-analysis/1wYYeL1U58MfPFHRRfdunQ,199280,4,34
0.789,0.512,7,-6.257,1,0.0309,0.534,0,0.0287,0.543,119.958,audio_features,4KpLLAXfyqTIPyLb7BXiV1,spotify:track:4KpLLAXfyqTIPyLb7BXiV1,https://api.spotify.com/v1/tracks/4KpLLAXfyqTIPyLb7BXiV1,https://api.spotify.com/v1/audio-analysis/4KpLLAXfyqTIPyLb7BXiV1,212243,4,35
0.242,0.73,0,-3.979,1,0.0359,0.0323,7.18e-05,0.101,0.294,130.192,audio_features,7CH8W7Nt7gJDEZLFfFjqly,spotify:track:7CH8W7Nt7gJDEZLFfFjqly,https://api.spotify.com/v1/tracks/7CH8W7Nt7gJDEZLFfFjqly,https://api.spotify.com/v1/audio-analysis/7CH8W7Nt7gJDEZLFfFjqly,339328,4,33
0.489,0.122,7,-12.72,1,0.028,0.76,5.2e-06,0.112,0.0434,71.02,audio_features,4IGrRJ3HmDMf6zmw3ktvor,spotify:track:4IGrRJ3HmDMf6zmw3ktvor,https://api.spotify.com/v1/tracks/4IGrRJ3HmDMf6zmw3ktvor,https://api.spotify.com/v1/audio-analysis/4IGrRJ3HmDMf6zmw3ktvor,260431,3,33
0.285,0.338,1,-10.708,0,0.0296,0.167,8.21e-06,0.0814,0.172,127.693,audio_features,6F4HklNWPFLj2l8yDOxKyM,spotify:track:6F4HklNWPFLj2l8yDOxKyM,https://api.spotify.com/v1/tracks/6F4HklNWPFLj2l8yDOxKyM,https://api.spotify.com/v1/audio-analysis/6F4HklNWPFLj2l8yDOxKyM,241773,4,37
0.511,0.699,6,-7.235,1,0.0263,0.114,1.63e-06,0.0857,0.555,136.11,audio_features,5SSQDVq2hUTxmMwfa59DFx,spotify:track:5SSQDVq2hUTxmMwfa59DFx,https://api.spotify.com/v1/tracks/5SSQDVq2hUTxmMwfa59DFx,https://api.spotify.com/v1/audio-analysis/5SSQDVq2hUTxmMwfa59DFx,179228,4,2
0.582,0.136,4,-20.658,1,0.0318,0.599,0.000264,0.178,0.172,96.11,audio_features,3WXlWfTd0rBrkhVENMxkT9,spotify:track:3WXlWfTd0rBrkhVENMxkT9,https://api.spotify.com/v1/tracks/3WXlWfTd0rBrkhVENMxkT9,https://api.spotify.com/v1/audio-analysis/3WXlWfTd0rBrkhVENMxkT9,225627,4,32
0.25,0.0946,9,-19.382,0,0.036,0.984,0.859,0.073,0.036,74.129,audio_features,4k2B3bnSHrA2gq6OFy8ESD,spotify:track:4k2B3bnSHrA2gq6OFy8ESD,https://api.spotify.com/v1/tracks/4k2B3bnSHrA2gq6OFy8ESD,https://api.spotify.com/v1/audio-analysis/4k2B3bnSHrA2gq6OFy8ESD,194680,3,33
0.546,0.225,2,-11.625,1,0.0472,0.836,0.000729,0.0753,0.329,91.154,audio_features,0tZDgH4fneRMBf1jPrm8Wo,spotify:track:0tZDgH4fneRMBf1jPrm8Wo,https://api.spotify.com/v1/tracks/0tZDgH4fneRMBf1jPrm8Wo,https://api.spotify.com/v1/audio-analysis/0tZDgH4fneRMBf1jPrm8Wo,202187,4,5
0.507,0.515,11,-9.338,0,0.0275,0.831,2.44e-06,0.111,0.655,150.126,audio_features,3PFoujx7MuevBltoM6FMRi,spotify:track:3PFoujx7MuevBltoM6FMRi,https://api.spotify.com/v1/tracks/3PFoujx7MuevBltoM6FMRi,https://api.spotify.com/v1/audio-analysis/3PFoujx7MuevBltoM6FMRi,159707,4,11
0.446,0.378,9,-10.935,0,0.0333,0.977,0.233,0.114,0.135,119.959,audio_features,27ItCZOFcoAeMrNA3nPNp0,spotify:track:27ItCZOFcoAeMrNA3nPNp0,https://api.spotify.com/v1/tracks/27ItCZOFcoAeMrNA3nPNp0,https://api.spotify.com/v1/audio-analysis/27ItCZOFcoAeMrNA3nPNp0,242573,4,32
0.524,0.505,3,-8.032,0,0.0276,0.718,6.04e-06,0.277,0.506,148.045,audio_features,1Tog7z9obwbdD2iBj1Ik0i,spotify:track:1Tog7z9obwbdD2iBj1Ik0i,https://api.spotify.com/v1/tracks/1Tog7z9obwbdD2iBj1Ik0i,https://api.spotify.com/v1/audio-analysis/1Tog7z9obwbdD2iBj1Ik0i,123960,3,50
0.465,0.285,4,-15.233,0,0.0365,0.705,0,0.0855,0.257,150.071,audio_features,2U5tSaswxk9OdElQX2n01s,spotify:track:2U5tSaswxk9OdElQX2n01s,https://api.spotify.com/v1/tracks/2U5tSaswxk9OdElQX2n01s,https://api.spotify.com/v1/audio-analysis/2U5tSaswxk9OdElQX2n01s,183467,3,34
