danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.157,0.0374,0,-23.994,1,0.0389,0.985,0.925,0.107,0.0762,142.967,audio_features,1ljy3MzZ1Uxt7zWIXrErR0,spotify:track:1ljy3MzZ1Uxt7zWIXrErR0,https://api.spotify.com/v1/tracks/1ljy3MzZ1Uxt7zWIXrErR0,https://api.spotify.com/v1/audio-analysis/1ljy3MzZ1Uxt7zWIXrErR0,370400,4,4
0.25,0.0304,9,-22.989,1,0.0457,0.945,0.887,0.136,0.213,77.039,audio_features,1MQJgscb4DOyzxaROSLEmc,spotify:track:1MQJgscb4DOyzxaROSLEmc,https://api.spotify.com/v1/tracks/1MQJgscb4DOyzxaROSLEmc,https://api.spotify.com/v1/audio-analysis/1MQJgscb4DOyzxaROSLEmc,121067,4,39
0.502,0.12,11,-22.779,1,0.0339,0.866,0.00604,0.293,0.432,107.724,audio_features,0ZnpUnazZNVP3HXf1xP91u,spotify:track:0ZnpUnazZNVP3HXf1xP91u,https://api.spotify.com/v1/tracks/0ZnpUnazZNVP3HXf1xP91u,https://api.spotify.com/v1/audio-analysis/0ZnpUnazZNVP3HXf1xP91u,145373,3,39
0.0838,0.00648,6,-39.66,1,0.0465,0.993,0.305,0.091,0.0355,171.684,audio_features,72dNdGMJKWQ3dWv0xJhUxl,spotify:track:72dNdGMJKWQ3dWv0xJhUxl,https://api.spotify.com/v1/tracks/72dNdGMJKWQ3dWv0xJhUxl,https://api.spotify.com/v1/audio-analysis/72dNdGMJKWQ3dWv0xJhUxl,152960,1,38
0.456,0.117,2,-25.009,0,0.0446,0.973,0.86,0.101,0.192,111.128,audio_features,4ijjtOMVO3jSlFqrFKZlSt,spotify:track:4ijjtOMVO3jSlFqrFKZlSt,https://api.spotify.com/v1/tracks/4ijjtOMVO3jSlFqrFKZlSt,https://api.spotify.com/v1/audio-analysis/4ijjtOMVO3jSlFqrFKZlSt,173693,4,39
0.0881,0.109,7,-21.646,1,0.0393,0.933,0.528,0.156,0.0396,73.319,audio_features,0gNceds3IiNsl5juGZNPHq,spotify:track:0gNceds3IiNsl5juGZNPHq,https://api.spotify.com/v1/tracks/0gNceds3IiNsl5juGZNPHq,https://api.spotify.com/v1/audio-analysis/0gNceds3IiNsl5juGZNPHq,520733,4,38
0.16,0.0411,9,-30.549,1,0.0677,0.988,0.108,0.347,0.0396,72.175,audio_features,291gXudnTa10B5cd0jTqNO,spotify:track:291gXudnTa10B5cd0jTqNO,https://api.spotify.com/v1/tracks/291gXudnTa10B5cd0jTqNO,https://api.spotify.com/v1/audio-analysis/291gXudnTa10B5cd0jTqNO,157547,3,38
0.155,0.0737,10,-24.241,1,0.0445,0.961,0.456,0.0948,0.0925,83.12,audio_features,6AD61H8CvyRXHA6Q7VmNn3,spotify:track:6AD61H8CvyRXHA6Q7VmNn3,https://api.spotify.com/v1/tracks/6AD61H8CvyRXHA6Q7VmNn3,https://api.spotify.com/v1/audio-analysis/6AD61H8CvyRXHA6Q7VmNn3,281053,5,34
0.296,0.137,2,-17.442,1,0.0403,0.967,0.000387,0.0756,0.166,90.656,audio_features,4wrXp77WWT9Klv8lyB2LLb,spotify:track:4wrXp77WWT9Klv8lyB2LLb,https://api.spotify.com/v1/tracks/4wrXp77WWT9Klv8lyB2LLb,https://api.spotify.com/v1/audio-analysis/4wrXp77WWT9Klv8lyB2LLb,339773,4,38
0.142,0.0493,5,-21.521,0,0.0507,0.956,0.191,0.108,0.0685,69.164,audio_features,3aOClAnbiCk2czety6zNNG,spotify:track:3aOClAnbiCk2czety6zNNG,https://api.spotify.com/v1/tracks/3aOClAnbiCk2czety6zNNG,https://api.spotify.com/v1/audio-analysis/3aOClAnbiCk2czety6zNNG,250933,3,37
0.113,0.0715,6,-31.734,0,0.0567,0.989,0.265,0.108,0.0629,74.647,audio_features,04jCDghWqnkhcoURY81NlG,spotify:track:04jCDghWqnkhcoURY81NlG,https://api.spotify.com/v1/tracks/04jCDghWqnkhcoURY81NlG,https://api.spotify.com/v1/audio-analysis/04jCDghWqnkhcoURY81NlG,219747,1,38
0.248,0.0988,7,-17.779,1,0.0391,0.956,0.00654,0.123,0.198,90.891,audio_features,5sLGsRLevlu8itM8TGPA3q,spotify:track:5sLGsRLevlu8itM8TGPA3q,https://api.spotify.com/v1/tracks/5sLGsRLevlu8itM8TGPA3q,https://api.spotify.com/v1/audio-analysis/5sLGsRLevlu8itM8TGPA3q,121600,3,38
0.144,0.0505,11,-31.109,0,0.0472,0.97,0.764,0.155,0.0377,139.727,audio_features,3wT4YKvuN98JeRgy7rxYRp,spotify:track:3wT4YKvuN98JeRgy7rxYRp,https://api.spotify.com/v1/tracks/3wT4YKvuN98JeRgy7rxYRp,https://api.spotify.com/v1/audio-analysis/3wT4YKvuN98JeRgy7rxYRp,283840,4,38
0.325,0.189,11,-13.458,1,0.0352,0.972,0.0791,0.0996,0.537,178.348,audio_features,5y4obvkd8XSu4yyI4qoIZ2,spotify:track:5y4obvkd8XSu4yyI4qoIZ2,https://api.spotify.com/v1/tracks/5y4obvkd8XSu4yyI4qoIZ2,https://api.spotify.com/v1/audio-analysis/5y4obvkd8XSu4yyI4qoIZ2,155187,4,37
0.361,0.0311,6,-22.02,1,0.0475,0.987,0.00696,0.0963,0.169,74.404,audio_features,7o5zTf6bWA8o30mxkX5bws,spotify:track:7o5zTf6bWA8o30mxkX5bws,https://api.spotify.com/v1/tracks/7o5zTf6bWA8o30mxkX5bws,https://api.spotify.com/v1/audio-analysis/7o5zTf6bWA8o30mxkX5bws,351720,4,28
0.216,0.198,0,-17.631,1,0.032,0.929,0.922,0.209,0.16,62.365,audio_features,5DRaSOfpdFolA8laC7AXFO,spotify:track:5DRaSOfpdFolA8laC7AXFO,https://api.spotify.com/v1/tracks/5DRaSOfpdFolA8laC7AXFO,https://api.spotify.com/v1/audio-analysis/5DRaSOfpdFolA8laC7AXFO,338827,3,38
0.146,0.16,9,-20.191,1,0.0398,0.975,0.888,0.0844,0.0602,81.19,audio_features,4ZgFucEkNTGUvKp7Y7E0GH,spotify:track:4ZgFucEkNTGUvKp7Y7E0GH,https://api.spotify.com/v1/tracks/4ZgFucEkNTGUvKp7Y7E0GH,https://api.spotify.com/v1/audio-analysis/4ZgFucEkNTGUvKp7Y7E0GH,340893,4,37
0.162,0.0167,2,-33.191,0,0.0422,0.98,0.0986,0.0868,0.0376,130.542,audio_features,6VMtaMm3dHTt6NVUvLKNpC,spotify:track:6VMtaMm3dHTt6NVUvLKNpC,https://api.spotify.com/v1/tracks/6VMtaMm3dHTt6NVUvLKNpC,https://api.spotify.com/v1/audio-analysis/6VMtaMm3dHTt6NVUvLKNpC,274320,3,38
0.282,0.0493,8,-19.522,0,0.0467,0.974,0.000152,0.144,0.0806,86.54,audio_features,5pmTUtAyS5zZZOHYNEKiQh,spotify:track:5pmTUtAyS5zZZOHYNEKiQh,https://api.spotify.com/v1/tracks/5pmTUtAyS5zZZOHYNEKiQh,https://api.spotify.com/v1/audio-analysis/5pmTUtAyS5zZZOHYNEKiQh,339200,3,36
