danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.562,0.168,9,-16.561,1,0.0371,0.85,0.000421,0.183,0.133,70.683,audio_features,6Czpijv6jeR4ZPSbYtNGX1,spotify:track:6Czpijv6jeR4ZPSbYtNGX1,https://api.spotify.com/v1/tracks/6Czpijv6jeR4ZPSbYtNGX1,https://api.spotify.com/v1/audio-analysis/6Czpijv6jeR4ZPSbYtNGX1,275133,4,33
0.454,0.245,9,-10.806,1,0.0366,0.996,0.0043,0.296,0.527,129.301,audio_features,52Cvk0pvqzx1THvxihmlEK,spotify:track:52Cvk0pvqzx1THvxihmlEK,https://api.spotify.com/v1/tracks/52Cvk0pvqzx1THvxihmlEK,https://api.spotify.com/v1/audio-analysis/52Cvk0pvqzx1THvxihmlEK,203600,3,1
0.597,0.24,4,-17.044,1,0.057,0.853,0.000136,0.126,0.557,99.269,audio_features,1G4aEmcwtaH59TUXUdJMly,spotify:track:1G4aEmcwtaH59TUXUdJMly,https://api.spotify.com/v1/tracks/1G4aEmcwtaH59TUXUdJMly,https://api.spotify.com/v1/audio-analysis/1G4aEmcwtaH59TUXUdJMly,226348,3,2
0.638,0.254,2,-9.461,1,0.0404,0.834,0,0.106,0.479,112.431,audio_features,3rY8Jrj9Kl1hOxQEy3q0KL,spotify:track:3rY8Jrj9Kl1hOxQEy3q0KL,https://api.spotify.com/v1/tracks/3rY8Jrj9Kl1hOxQEy3q0KL,https://api.spotify.com/v1/audio-analysis/3rY8Jrj9Kl1hOxQEy3q0KL,272427,4,44
0.461,0.507,7,-9.093,1,0.027,0.605,0.0041,0.122,0.572,117.359,audio_features,1XdpS9G10RN8sKJlkDi9y3,spotify:track:1XdpS9G10RN8sKJlkDi9y3,https://api.spotify.com/v1/tracks/1XdpS9G10RN8sKJlkDi9y3,https://api.spotify.com/v1/audio-analysis/1XdpS9G10RN8sKJlkDi9y3,152027,4,1
0.611,0.0995,0,-17.563,1,0.0511,0.991,0.0351,0.0851,0.369,118.55,audio_features,2mXWVSHndVrNZaEYvxYNGh,spotify:track:2mXWVSHndVrNZaEYvxYNGh,https://api.spotify.com/v1/tracks/2mXWVSHndVrNZaEYvxYNGh,https://api.spotify.com/v1/audio-analysis/2mXWVSHndVrNZaEYvxYNGh,202200,4,32
0.357,0.292,4,-14.922,1,0.046,0.797,0.00483,0.104,0.28,170.081,audio_features,3ifM7StPSMZrurKTSTeJF1,spotify:track:3ifM7StPSMZrurKTSTeJF1,https://api.spotify.com/v1/tracks/3ifM7StPSMZrurKTSTeJF1,https://api.spotify.com/v1/audio-analysis/3ifM7StPSMZrurKTSTeJF1,309899,3,32
0.792,0.303,9,-12.063,1,0.0446,0.874,0,0.113,0.345,114.919,audio_features,7sqgTU6on3tAJ9dtBKSGEY,spotify:track:7sqgTU6on3tAJ9dtBKSGEY,https://api.spotify.com/v1/tracks/7sqgTU6on3tAJ9dtBKSGEY,https://api.spotify.com/v1/audio-analysis/7sqgTU6on3tAJ9dtBKSGEY,160667,4,44
0.661,0.371,10,-8.078,1,0.147,0.858,0,0.0936,0.676,73.071,audio_features,2YB1RRSVyjb8v2kGmDyxIs,spotify:track:2YB1RRSVyjb8v2kGmDyxIs,https://api.spotify.com/v1/tracks/2YB1RRSVyjb8v2kGmDyxIs,https://api.spotify.com/v1/audio-analysis/2YB1RRSVyjb8v2kGmDyxIs,217965,4,34
0.623,0.798,7,-9.421,1,0.0709,0.542,0.000568,0.101,0.537,176.05,audio_features,3l7oxSj4fyQWJRFmOIpjt1,spotify:track:3l7oxSj4fyQWJRFmOIpjt1,https://api.spotify.com/v1/tracks/3l7oxSj4fyQWJRFmOIpjt1,https://api.spotify.com/v1/audio-analysis/3l7oxSj4fyQWJRFmOIpjt1,230440,4,1
0.394,0.348,9,-10.153,1,0.0319,0.683,0.00104,0.115,0.0733,99.2,audio_features,4DSX2tFCQNb1uvNoEzhogI,spotify:track:4DSX2tFCQNb1uvNoEzhogI,https://api.spotify.com/v1/tracks/4DSX2tFCQNb1uvNoEzhogI,https://api.spotify.com/v1/audio-analysis/4DSX2tFCQNb1uvNoEzhogI,213653,4,1
0.285,0.771,0,-5.046,1,0.0423,0.261,0.00014,0.294,0.377,94.805,audio_features,6U1X5hqOnJumJcuoCsI0lB,spotify:track:6U1X5hqOnJumJcuoCsI0lB,https://api.spotify.com/v1/tracks/6U1X5hqOnJumJcuoCsI0lB,https://api.spotify.com/v1/audio-analysis/6U1X5hqOnJumJcuoCsI0lB,210307,3,32
