danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.388,0.842,9,-3.651,0,0.0278,0.000864,0.00295,0.322,0.475,88.335,audio_features,1LHE8cxWt7SVCitinqEhyl,spotify:track:1LHE8cxWt7SVCitinqEhyl,https://api.spotify.com/v1/tracks/1LHE8cxWt7SVCitinqEhyl,https://api.spotify.com/v1/audio-analysis/1LHE8cxWt7SVCitinqEhyl,233686,4,57
0.507,0.891,6,-3.951,1,0.0304,0.00769,0.297,0.0776,0.698,141.99,audio_features,51qT7GJC1ycvGmcS7Iy3AW,spotify:track:51qT7GJC1ycvGmcS7Iy3AW,https://api.spotify.com/v1/tracks/51qT7GJC1ycvGmcS7Iy3AW,https://api.spotify.com/v1/audio-analysis/51qT7GJC1ycvGmcS7Iy3AW,207787,4,13
0.651,0.942,1,-2.699,0,0.0595,0.00551,0.0608,0.252,0.644,110.013,audio_features,28AgTOIZke8nitD0NNeb3G,spotify:track:28AgTOIZke8nitD0NNeb3G,https://api.spotify.com/v1/tracks/28AgTOIZke8nitD0NNeb3G,https://api.spotify.com/v1/audio-analysis/28AgTOIZke8nitD0NNeb3G,190448,4,59
0.551,0.825,2,-5.813,1,0.0306,0.000614,0.307,0.115,0.686,107.031,audio_features,1zXpHPdBAUxnOCQqFMFLk3,spotify:track:1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/tracks/1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/audio-analysis/1zXpHPdBAUxnOCQqFMFLk3,247280,4,55
0.774,0.673,5,-6.473,0,0.035,0.22,0.583,0.0973,0.917,126.016,audio_features,4IY8Lz6j0sc2DuUva1KLNo,spotify:track:4IY8Lz6j0sc2DuUva1KLNo,https://api.spotify.com/v1/tracks/4IY8Lz6j0sc2DuUva1KLNo,https://api.spotify.com/v1/audio-analysis/4IY8Lz6j0sc2DuUva1KLNo,210040,4,58
0.583,0.895,3,-6.575,1,0.0359,0.0696,0.826,0.17,0.968,133.035,audio_features,6qFevXmrxCtPjimHZiMR2c,spotify:track:6qFevXmrxCtPjimHZiMR2c,https://api.spotify.com/v1/tracks/6qFevXmrxCtPjimHZiMR2c,https://api.spotify.com/v1/audio-analysis/6qFevXmrxCtPjimHZiMR2c,237965,4,47
0.584,0.935,7,-2.851,1,0.186,0.0179,0,0.141,0.549,157.994,audio_features,30s2kMSgTWYjjMphKvcY04,spotify:track:30s2kMSgTWYjjMphKvcY04,https://api.spotify.com/v1/tracks/30s2kMSgTWYjjMphKvcY04,https://api.spotify.com/v1/audio-analysis/30s2kMSgTWYjjMphKvcY04,227529,4,49
0.498,0.8,4,-7.401,1,0.0662,0.0908,0.00893,0.547,0.645,171.943,audio_features,0SEGzVjv7gMuKvEqBBDKp8,spotify:track:0SEGzVjv7gMuKvEqBBDKp8,https://api.spotify.com/v1/tracks/0SEGzVjv7gMuKvEqBBDKp8,https://api.spotify.com/v1/audio-analysis/0SEGzVjv7gMuKvEqBBDKp8,204000,4,53
0.715,0.52,9,-6.933,1,0.0265,0.391,0,0.0797,0.769,108.991,audio_features,6WkUf2gOjccjhJOvFeHx57,spotify:track:6WkUf2gOjccjhJOvFeHx57,https://api.spotify.com/v1/tracks/6WkUf2gOjccjhJOvFeHx57,https://api.spotify.com/v1/audio-analysis/6WkUf2gOjccjhJOvFeHx57,188411,4,7
0.576,0.725,2,-7.87,1,0.0263,3.48e-05,0.0004,0.345,0.478,127.98,audio_features,4kDUNQZ4TonZqumRRKGhvI,spotify:track:4kDUNQZ4TonZqumRRKGhvI,https://api.spotify.com/v1/tracks/4kDUNQZ4TonZqumRRKGhvI,https://api.spotify.com/v1/audio-analysis/4kDUNQZ4TonZqumRRKGhvI,225076,4,50
