danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.53,0.634,2,-6.554,1,0.0277,0.0249,0.775,0.0889,0.271,126.103,audio_features,1lR97L6Z5CGqdwd3NlnUmP,spotify:track:1lR97L6Z5CGqdwd3NlnUmP,https://api.spotify.com/v1/tracks/1lR97L6Z5CGqdwd3NlnUmP,https://api.spotify.com/v1/audio-analysis/1lR97L6Z5CGqdwd3NlnUmP,268569,4,34
0.583,0.793,6,-9.017,0,0.0362,0.0923,0.0239,0.183,0.548,152.017,audio_features,3hdatctL1l6ootWs56REUN,spotify:track:3hdatctL1l6ootWs56REUN,https://api.spotify.com/v1/tracks/3hdatctL1l6ootWs56REUN,https://api.spotify.com/v1/audio-analysis/3hdatctL1l6ootWs56REUN,206000,4,7
0.469,0.823,4,-6.109,1,0.0362,0.00149,0.00544,0.218,0.77,154.557,audio_features,4SpVQ5r2v8TTb7EqMg4U8A,spotify:track:4SpVQ5r2v8TTb7EqMg4U8A,https://api.spotify.com/v1/tracks/4SpVQ5r2v8TTb7EqMg4U8A,https://api.spotify.com/v1/audio-analysis/4SpVQ5r2v8TTb7EqMg4U8A,220060,4,7
0.921,0.432,0,-11.109,1,0.0502,0.506,0.00223,0.0617,0.693,112.117,audio_features,4Pv7OY4tfCA8KIdtlkANOS,spotify:track:4Pv7OY4tfCA8KIdtlkANOS,https://api.spotify.com/v1/tracks/4Pv7OY4tfCA8KIdtlkANOS,https://api.spotify.com/v1/audio-analysis/4Pv7OY4tfCA8KIdtlkANOS,178320,4,65
0.638,0.421,9,-9.571,0,0.0285,0.435,0.722,0.26,0.622,99.409,audio_features,3PVddJWQvyhTP5dtpEf08R,spotify:track:3PVddJWQvyhTP5dtpEf08R,https://api.spotify.com/v1/tracks/3PVddJWQvyhTP5dtpEf08R,https://api.spotify.com/v1/audio-analysis/3PVddJWQvyhTP5dtpEf08R,224961,4,31
0.408,0.538,0,-8.425,1,0.0331,0.00368,0.675,0.261,0.0391,139.999,audio_features,7tsrLWSFqHf0ucwOiNAhAw,spotify:track:7tsrLWSFqHf0ucwOiNAhAw,https://api.spotify.com/v1/tracks/7tsrLWSFqHf0ucwOiNAhAw,https://api.spotify.com/v1/audio-analysis/7tsrLWSFqHf0ucwOiNAhAw,328774,4,33
0.576,0.629,11,-8.783,0,0.148,0.418,0.000756,0.252,0.861,179.782,audio_features,2y89a0zvMiELpbSnrFeqvK,spotify:track:2y89a0zvMiELpbSnrFeqvK,https://api.spotify.com/v1/tracks/2y89a0zvMiELpbSnrFeqvK,https://api.spotify.com/v1/audio-analysis/2y89a0zvMiELpbSnrFeqvK,170807,4,48
0.717,0.535,9,-8.757,1,0.0327,0.000671,0.0533,0.102,0.768,117.992,audio_features,7LPzqhC2yOdqbuiaA64wjJ,spotify:track:7LPzqhC2yOdqbuiaA64wjJ,https://api.spotify.com/v1/tracks/7LPzqhC2yOdqbuiaA64wjJ,https://api.spotify.com/v1/audio-analysis/7LPzqhC2yOdqbuiaA64wjJ,204684,4,44
0.452,0.487,8,-10.58,0,0.0774,0.0857,1.61e-06,0.099,0.395,96.127,audio_features,6yXdwjK0tBD8SEbTbQAHPj,spotify:track:6yXdwjK0tBD8SEbTbQAHPj,https://api.spotify.com/v1/tracks/6yXdwjK0tBD8SEbTbQAHPj,https://api.spotify.com/v1/audio-analysis/6yXdwjK0tBD8SEbTbQAHPj,193750,4,41
0.587,0.706,0,-7.872,1,0.0551,0.05,0.0414,0.0908,0.349,124.01,audio_features,2VTpAdcsIbZ3qhRJaA9bVX,spotify:track:2VTpAdcsIbZ3qhRJaA9bVX,https://api.spotify.com/v1/tracks/2VTpAdcsIbZ3qhRJaA9bVX,https://api.spotify.com/v1/audio-analysis/2VTpAdcsIbZ3qhRJaA9bVX,220865,4,28
