danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.715,0.869,11,-5.877,1,0.176,0.0456,0.000797,0.562,0.559,131.993,audio_features,35rC7q0Z1Chr473tOEjE10,spotify:track:35rC7q0Z1Chr473tOEjE10,https://api.spotify.com/v1/tracks/35rC7q0Z1Chr473tOEjE10,https://api.spotify.com/v1/audio-analysis/35rC7q0Z1Chr473tOEjE10,214284,4,18
0.672,0.389,9,-10.369,0,0.045,0.721,0.645,0.102,0.235,140.012,audio_features,5nNRGtgS9d1vcxFCZuAA8r,spotify:track:5nNRGtgS9d1vcxFCZuAA8r,https://api.spotify.com/v1/tracks/5nNRGtgS9d1vcxFCZuAA8r,https://api.spotify.com/v1/audio-analysis/5nNRGtgS9d1vcxFCZuAA8r,236630,1,0
0.279,0.836,4,-5.447,0,0.0438,6.39e-05,0.128,0.396,0.755,118.886,audio_features,3lGbH3WuGbtOvUNGV8CLlt,spotify:track:3lGbH3WuGbtOvUNGV8CLlt,https://api.spotify.com/v1/tracks/3lGbH3WuGbtOvUNGV8CLlt,https://api.spotify.com/v1/audio-analysis/3lGbH3WuGbtOvUNGV8CLlt,256787,5,34
0.305,0.241,1,-15.145,1,0.0314,0.84,0.805,0.101,0.061,104.994,audio_features,1Rylwz6fFeJxxPnH650O96,spotify:track:1Rylwz6fFeJxxPnH650O96,https://api.spotify.com/v1/tracks/1Rylwz6fFeJxxPnH650O96,https://api.spotify.com/v1/audio-analysis/1Rylwz6fFeJxxPnH650O96,313019,3,16
0.37,0.225,9,-11.582,1,0.0297,0.893,0,0.279,0.246,79.657,audio_features,1RKUY6EaZivQxBvf26Obsq,spotify:track:1RKUY6EaZivQxBvf26Obsq,https://api.spotify.com/v1/tracks/1RKUY6EaZivQxBvf26Obsq,https://api.spotify.com/v1/audio-analysis/1RKUY6EaZivQxBvf26Obsq,159014,4,0
0.586,0.621,9,-8.082,0,0.0307,0.736,0.000382,0.15,0.456,102.989,audio_features,2UOYvDIdgkUFTxFdvcc5hh,spotify:track:2UOYvDIdgkUFTxFdvcc5hh,https://api.spotify.com/v1/tracks/2UOYvDIdgkUFTxFdvcc5hh,https://api.spotify.com/v1/audio-analysis/2UOYvDIdgkUFTxFdvcc5hh,201747,4,32
0.807,0.334,4,-8.227,0,0.0542,0.637,0.0403,0.11,0.731,98.01,audio_features,4tciF5t89UDly954ZqHA7O,spotify:track:4tciF5t89UDly954ZqHA7O,https://api.spotify.com/v1/tracks/4tciF5t89UDly954ZqHA7O,https://api.spotify.com/v1/audio-analysis/4tciF5t89UDly954ZqHA7O,208707,4,14
0.346,0.265,1,-14.74,1,0.0397,0.886,0.354,0.194,0.266,111.271,audio_features,27e6lhSPjmSb850e20y00h,spotify:track:27e6lhSPjmSb850e20y00h,https://api.spotify.com/v1/tracks/27e6lhSPjmSb850e20y00h,https://api.spotify.com/v1/audio-analysis/27e6lhSPjmSb850e20y00h,193320,4,0
0.247,0.707,3,-9.174,1,0.0401,0.0595,0.213,0.0959,0.592,175.638,audio_features,3jCfWLeYU5EGbLALtkkGHz,spotify:track:3jCfWLeYU5EGbLALtkkGHz,https://api.spotify.com/v1/tracks/3jCfWLeYU5EGbLALtkkGHz,https://api.spotify.com/v1/audio-analysis/3jCfWLeYU5EGbLALtkkGHz,173339,4,38
0.597,0.864,5,-5.629,1,0.0271,0.261,0.0747,0.0973,0.55,130.079,audio_features,3FFKTnkWaGLBeyqtDSc4a8,spotify:track:3FFKTnkWaGLBeyqtDSc4a8,https://api.spotify.com/v1/tracks/3FFKTnkWaGLBeyqtDSc4a8,https://api.spotify.com/v1/audio-analysis/3FFKTnkWaGLBeyqtDSc4a8,222672,4,0
0.835,0.514,7,-9.441,1,0.0844,0.659,0.0155,0.0823,0.571,90.0,audio_features,7fnerefbjuEIsWbGzOgHdI,spotify:track:7fnerefbjuEIsWbGzOgHdI,https://api.spotify.com/v1/tracks/7fnerefbjuEIsWbGzOgHdI,https://api.spotify.com/v1/audio-analysis/7fnerefbjuEIsWbGzOgHdI,246284,4,49
0.698,0.527,8,-8.254,1,0.076,0.336,0.00636,0.243,0.346,93.96,audio_features,7BPTxogVBeND6K9yFM76Mq,spotify:track:7BPTxogVBeND6K9yFM76Mq,https://api.spotify.com/v1/tracks/7BPTxogVBeND6K9yFM76Mq,https://api.spotify.com/v1/audio-analysis/7BPTxogVBeND6K9yFM76Mq,287779,4,0
0.555,0.921,0,-4.492,1,0.032,0.058,1.71e-06,0.266,0.665,138.029,audio_features,0yyAWMwszF0AgMW33qmcEg,spotify:track:0yyAWMwszF0AgMW33qmcEg,https://api.spotify.com/v1/tracks/0yyAWMwszF0AgMW33qmcEg,https://api.spotify.com/v1/audio-analysis/0yyAWMwszF0AgMW33qmcEg,288520,4,0
0.36,0.228,9,-10.711,1,0.0408,0.9,0,0.105,0.358,69.234,audio_features,5GhDWLArvW9ATjqZ8rnEQU,spotify:track:5GhDWLArvW9ATjqZ8rnEQU,https://api.spotify.com/v1/tracks/5GhDWLArvW9ATjqZ8rnEQU,https://api.spotify.com/v1/audio-analysis/5GhDWLArvW9ATjqZ8rnEQU,238769,4,0
0.715,0.773,2,-5.89,1,0.0947,0.123,0.157,0.0611,0.761,115.947,audio_features,2VifCoyFkA3U0PjmOjIwwW,spotify:track:2VifCoyFkA3U0PjmOjIwwW,https://api.spotify.com/v1/tracks/2VifCoyFkA3U0PjmOjIwwW,https://api.spotify.com/v1/audio-analysis/2VifCoyFkA3U0PjmOjIwwW,246560,4,14
0.424,0.872,2,-3.152,1,0.0514,0.0233,0,0.36,0.384,126.038,audio_features,2bD5J6yG1QKht8F5M8oEsw,spotify:track:2bD5J6yG1QKht8F5M8oEsw,https://api.spotify.com/v1/tracks/2bD5J6yG1QKht8F5M8oEsw,https://api.spotify.com/v1/audio-analysis/2bD5J6yG1QKht8F5M8oEsw,202560,4,6
0.632,0.593,1,-6.587,0,0.0393,0.255,0,0.183,0.489,92.89,audio_features,3minGt3vPFVTiobgjlh5on,spotify:track:3minGt3vPFVTiobgjlh5on,https://api.spotify.com/v1/tracks/3minGt3vPFVTiobgjlh5on,https://api.spotify.com/v1/audio-analysis/3minGt3vPFVTiobgjlh5on,208231,4,0
0.585,0.473,6,-7.039,1,0.025,0.309,0.000793,0.0642,0.388,99.981,audio_features,1V93Bs5JRIxAx8kb886cBs,spotify:track:1V93Bs5JRIxAx8kb886cBs,https://api.spotify.com/v1/tracks/1V93Bs5JRIxAx8kb886cBs,https://api.spotify.com/v1/audio-analysis/1V93Bs5JRIxAx8kb886cBs,253893,4,46
0.685,0.541,9,-9.882,1,0.0457,0.323,0.0158,0.151,0.487,120.04,audio_features,0RhJzeWQHRbJ8H9q0Bk9jm,spotify:track:0RhJzeWQHRbJ8H9q0Bk9jm,https://api.spotify.com/v1/tracks/0RhJzeWQHRbJ8H9q0Bk9jm,https://api.spotify.com/v1/audio-analysis/0RhJzeWQHRbJ8H9q0Bk9jm,249773,4,0
