danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.334,0.162,5,-17.274,1,0.0431,0.981,0.686,0.422,0.104,68.489,audio_features,79MgyQQ1Jdk7KuAKlPrQmU,spotify:track:79MgyQQ1Jdk7KuAKlPrQmU,https://api.spotify.com/v1/tracks/79MgyQQ1Jdk7KuAKlPrQmU,https://api.spotify.com/v1/audio-analysis/79MgyQQ1Jdk7KuAKlPrQmU,472133,3,36
0.467,0.26,10,-13.195,0,0.0313,0.946,0.0286,0.118,0.256,109.058,audio_features,1QWqz04mtyRqWIE9jwUx7w,spotify:track:1QWqz04mtyRqWIE9jwUx7w,https://api.spotify.com/v1/tracks/1QWqz04mtyRqWIE9jwUx7w,https://api.spotify.com/v1/audio-analysis/1QWqz04mtyRqWIE9jwUx7w,256200,4,37
0.311,0.0312,11,-21.88,1,0.036,0.955,0.855,0.0965,0.15,73.467,audio_features,5yD1uMw9Kf0lP9OUwedSz6,spotify:track:5yD1uMw9Kf0lP9OUwedSz6,https://api.spotify.com/v1/tracks/5yD1uMw9Kf0lP9OUwedSz6,https://api.spotify.com/v1/audio-analysis/5yD1uMw9Kf0lP9OUwedSz6,251293,4,41
0.464,0.523,5,-10.752,0,0.0472,0.414,0,0.214,0.584,129.209,audio_features,7cUN2jtawZ1jxzVe2SFIOc,spotify:track:7cUN2jtawZ1jxzVe2SFIOc,https://api.spotify.com/v1/tracks/7cUN2jtawZ1jxzVe2SFIOc,https://api.spotify.com/v1/audio-analysis/7cUN2jtawZ1jxzVe2SFIOc,282027,4,2
0.569,0.453,3,-10.315,1,0.0402,0.741,0.00464,0.314,0.615,78.101,audio_features,3ZxrZcUapr8jdBJIJWD8q6,spotify:track:3ZxrZcUapr8jdBJIJWD8q6,https://api.spotify.com/v1/tracks/3ZxrZcUapr8jdBJIJWD8q6,https://api.spotify.com/v1/audio-analysis/3ZxrZcUapr8jdBJIJWD8q6,391053,4,33
0.479,0.271,5,-13.526,0,0.0341,0.92,0.663,0.135,0.0959,113.217,audio_features,6NQhYme0LGQ6zLAJCjX6wH,spotify:track:6NQhYme0LGQ6zLAJCjX6wH,https://api.spotify.com/v1/tracks/6NQhYme0LGQ6zLAJCjX6wH,https://api.spotify.com/v1/audio-analysis/6NQhYme0LGQ6zLAJCjX6wH,322267,4,26
0.479,0.264,1,-10.107,1,0.0344,0.923,0.499,0.112,0.199,104.707,audio_features,4XjKJ3z7fYau8N0keicoFx,spotify:track:4XjKJ3z7fYau8N0keicoFx,https://api.spotify.com/v1/tracks/4XjKJ3z7fYau8N0keicoFx,https://api.spotify.com/v1/audio-analysis/4XjKJ3z7fYau8N0keicoFx,834840,4,23
0.393,0.183,4,-15.203,0,0.035,0.823,0.117,0.106,0.139,168.035,audio_features,0Haa5GeQyJJ9SjSqbqcXsT,spotify:track:0Haa5GeQyJJ9SjSqbqcXsT,https://api.spotify.com/v1/tracks/0Haa5GeQyJJ9SjSqbqcXsT,https://api.spotify.com/v1/audio-analysis/0Haa5GeQyJJ9SjSqbqcXsT,465200,3,48
0.42,0.26,7,-17.802,0,0.0312,0.88,0.929,0.189,0.301,93.241,audio_features,67bFqjh0nEwzLsaRUYY5fR,spotify:track:67bFqjh0nEwzLsaRUYY5fR,https://api.spotify.com/v1/tracks/67bFqjh0nEwzLsaRUYY5fR,https://api.spotify.com/v1/audio-analysis/67bFqjh0nEwzLsaRUYY5fR,319680,4,30
0.343,0.391,8,-13.759,1,0.0394,0.535,0.00357,0.312,0.572,198.707,audio_features,0nPe2JSoIX41p3XC7dHOfX,spotify:track:0nPe2JSoIX41p3XC7dHOfX,https://api.spotify.com/v1/tracks/0nPe2JSoIX41p3XC7dHOfX,https://api.spotify.com/v1/audio-analysis/0nPe2JSoIX41p3XC7dHOfX,581867,4,35
