danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.703,0.235,0,-14.113,1,0.0388,0.934,0.653,0.117,0.453,121.97,audio_features,1F63C2sRRBCHw6O3fcEiLr,spotify:track:1F63C2sRRBCHw6O3fcEiLr,https://api.spotify.com/v1/tracks/1F63C2sRRBCHw6O3fcEiLr,https://api.spotify.com/v1/audio-analysis/1F63C2sRRBCHw6O3fcEiLr,303467,4,6
0.664,0.734,1,-9.132,1,0.0281,0.443,0.794,0.11,0.737,114.006,audio_features,3Kq7lY0D1GkxhDrkoZpqYb,spotify:track:3Kq7lY0D1GkxhDrkoZpqYb,https://api.spotify.com/v1/tracks/3Kq7lY0D1GkxhDrkoZpqYb,https://api.spotify.com/v1/audio-analysis/3Kq7lY0D1GkxhDrkoZpqYb,253413,4,35
0.732,0.707,11,-4.725,0,0.0338,0.341,0.819,0.0755,0.661,110.024,audio_features,4Nju6jp25uReGCHGr2HBPr,spotify:track:4Nju6jp25uReGCHGr2HBPr,https://api.spotify.com/v1/tracks/4Nju6jp25uReGCHGr2HBPr,https://api.spotify.com/v1/audio-analysis/4Nju6jp25uReGCHGr2HBPr,225713,4,33
0.673,0.664,7,-7.916,1,0.0411,0.424,0.893,0.121,0.572,104.977,audio_features,5wM16PalWHMlBi4IJTeGIr,spotify:track:5wM16PalWHMlBi4IJTeGIr,https://api.spotify.com/v1/tracks/5wM16PalWHMlBi4IJTeGIr,https://api.spotify.com/v1/audio-analysis/5wM16PalWHMlBi4IJTeGIr,237627,4,34
0.695,0.857,4,-7.251,0,0.0343,0.57,0.896,0.292,0.911,118.036,audio_features,6R3E6PSWMomUEeXRN40D1G,spotify:track:6R3E6PSWMomUEeXRN40D1G,https://api.spotify.com/v1/tracks/6R3E6PSWMomUEeXRN40D1G,https://api.spotify.com/v1/audio-analysis/6R3E6PSWMomUEeXRN40D1G,241987,4,36
0.612,0.862,11,-5.756,0,0.0418,0.098,0.788,0.329,0.756,139.996,audio_features,6y5chPgMpbKQiBW4qKTZnZ,spotify:track:6y5chPgMpbKQiBW4qKTZnZ,https://api.spotify.com/v1/tracks/6y5chPgMpbKQiBW4qKTZnZ,https://api.spotify.com/v1/audio-analysis/6y5chPgMpbKQiBW4qKTZnZ,290640,4,18
0.634,0.64,0,-8.108,1,0.0334,0.697,0.832,0.129,0.641,89.968,audio_features,1OPul4djgqzViAUdGMHJof,spotify:track:1OPul4djgqzViAUdGMHJof,https://api.spotify.com/v1/tracks/1OPul4djgqzViAUdGMHJof,https://api.spotify.com/v1/audio-analysis/1OPul4djgqzViAUdGMHJof,227750,4,36
0.663,0.566,2,-9.834,1,0.0321,0.354,0.859,0.106,0.233,116.003,audio_features,3LGRrDmbePCJb4nnkwZSRJ,spotify:track:3LGRrDmbePCJb4nnkwZSRJ,https://api.spotify.com/v1/tracks/3LGRrDmbePCJb4nnkwZSRJ,https://api.spotify.com/v1/audio-analysis/3LGRrDmbePCJb4nnkwZSRJ,440093,4,44
0.782,0.422,10,-7.691,0,0.0512,0.541,0.772,0.107,0.701,90.861,audio_features,1mivhcSDSj80huBoFP0Mtd,spotify:track:1mivhcSDSj80huBoFP0Mtd,https://api.spotify.com/v1/tracks/1mivhcSDSj80huBoFP0Mtd,https://api.spotify.com/v1/audio-analysis/1mivhcSDSj80huBoFP0Mtd,304040,4,38
0.685,0.532,11,-11.967,0,0.0522,0.135,0.771,0.0897,0.413,170.026,audio_features,09wvsGUxDkEE78KBojkkyJ,spotify:track:09wvsGUxDkEE78KBojkkyJ,https://api.spotify.com/v1/tracks/09wvsGUxDkEE78KBojkkyJ,https://api.spotify.com/v1/audio-analysis/09wvsGUxDkEE78KBojkkyJ,252747,4,35
0.636,0.503,7,-9.245,0,0.0344,0.764,0.528,0.159,0.492,80.988,audio_features,4Y6xICLVqxR86iIx9mMYnA,spotify:track:4Y6xICLVqxR86iIx9mMYnA,https://api.spotify.com/v1/tracks/4Y6xICLVqxR86iIx9mMYnA,https://api.spotify.com/v1/audio-analysis/4Y6xICLVqxR86iIx9mMYnA,257933,4,44
0.715,0.855,5,-7.414,0,0.0314,0.629,0.701,0.409,0.86,104.993,audio_features,1Y19rXbPZw0W1XVqOXCugJ,spotify:track:1Y19rXbPZw0W1XVqOXCugJ,https://api.spotify.com/v1/tracks/1Y19rXbPZw0W1XVqOXCugJ,https://api.spotify.com/v1/audio-analysis/1Y19rXbPZw0W1XVqOXCugJ,341133,4,31
0.611,0.662,5,-8.747,0,0.0317,0.696,0.302,0.0837,0.97,156.014,audio_features,7dN9LGx8yEL0cy2IqqQVoy,spotify:track:7dN9LGx8yEL0cy2IqqQVoy,https://api.spotify.com/v1/tracks/7dN9LGx8yEL0cy2IqqQVoy,https://api.spotify.com/v1/audio-analysis/7dN9LGx8yEL0cy2IqqQVoy,315733,4,31
0.79,0.686,0,-10.105,1,0.0386,0.245,0.812,0.106,0.791,101.001,audio_features,6m78zszTRKtdMTtrD0eGZ8,spotify:track:6m78zszTRKtdMTtrD0eGZ8,https://api.spotify.com/v1/tracks/6m78zszTRKtdMTtrD0eGZ8,https://api.spotify.com/v1/audio-analysis/6m78zszTRKtdMTtrD0eGZ8,239360,4,33
0.803,0.371,5,-10.391,0,0.0476,0.564,0.478,0.0698,0.633,85.992,audio_features,5irWoHPP5g7TsupmMmgmD7,spotify:track:5irWoHPP5g7TsupmMmgmD7,https://api.spotify.com/v1/tracks/5irWoHPP5g7TsupmMmgmD7,https://api.spotify.com/v1/audio-analysis/5irWoHPP5g7TsupmMmgmD7,216320,4,32
0.752,0.75,7,-6.364,1,0.031,0.372,0.834,0.198,0.677,109.98,audio_features,0zrjNv1HP03aCmouIGyBNr,spotify:track:0zrjNv1HP03aCmouIGyBNr,https://api.spotify.com/v1/tracks/0zrjNv1HP03aCmouIGyBNr,https://api.spotify.com/v1/audio-analysis/0zrjNv1HP03aCmouIGyBNr,321920,4,2
0.776,0.649,7,-10.553,1,0.0522,0.205,0.539,0.0554,0.711,94.003,audio_features,7aZUTTJOlFktobixJwtTO3,spotify:track:7aZUTTJOlFktobixJwtTO3,https://api.spotify.com/v1/tracks/7aZUTTJOlFktobixJwtTO3,https://api.spotify.com/v1/audio-analysis/7aZUTTJOlFktobixJwtTO3,253440,4,30
0.8,0.858,10,-5.318,0,0.0367,0.199,0.271,0.151,0.923,105.592,audio_features,508i2fa2DAEchJjKbW3bb9,spotify:track:508i2fa2DAEchJjKbW3bb9,https://api.spotify.com/v1/tracks/508i2fa2DAEchJjKbW3bb9,https://api.spotify.com/v1/audio-analysis/508i2fa2DAEchJjKbW3bb9,255093,4,39
0.704,0.633,4,-8.611,0,0.0439,0.0659,0.758,0.369,0.813,116.022,audio_features,3K5VkGckhii5dCD1ZFTD6B,spotify:track:3K5VkGckhii5dCD1ZFTD6B,https://api.spotify.com/v1/tracks/3K5VkGckhii5dCD1ZFTD6B,https://api.spotify.com/v1/audio-analysis/3K5VkGckhii5dCD1ZFTD6B,305360,4,5
0.789,0.73,0,-8.427,1,0.0323,0.312,0.777,0.0592,0.761,106.01,audio_features,0MZFM0nol43wiJGztOwvCR,spotify:track:0MZFM0nol43wiJGztOwvCR,https://api.spotify.com/v1/tracks/0MZFM0nol43wiJGztOwvCR,https://api.spotify.com/v1/audio-analysis/0MZFM0nol43wiJGztOwvCR,256027,4,32
0.842,0.419,1,-11.353,0,0.038,0.741,0.808,0.485,0.662,103.063,audio_features,3pCt7ONizPHoq8caZfunlJ,spotify:track:3pCt7ONizPHoq8caZfunlJ,https://api.spotify.com/v1/tracks/3pCt7ONizPHoq8caZfunlJ,https://api.spotify.com/v1/audio-analysis/3pCt7ONizPHoq8caZfunlJ,266453,4,32
0.774,0.446,5,-13.802,0,0.0371,0.739,0.92,0.0957,0.694,91.998,audio_features,0AhLhOpQ8NE3cjUQwKvXRI,spotify:track:0AhLhOpQ8NE3cjUQwKvXRI,https://api.spotify.com/v1/tracks/0AhLhOpQ8NE3cjUQwKvXRI,https://api.spotify.com/v1/audio-analysis/0AhLhOpQ8NE3cjUQwKvXRI,318000,4,30
0.694,0.934,4,-8.179,0,0.0321,0.094,0.479,0.22,0.767,105.995,audio_features,5QXVGvLX2UpYLUgNAOFYrJ,spotify:track:5QXVGvLX2UpYLUgNAOFYrJ,https://api.spotify.com/v1/tracks/5QXVGvLX2UpYLUgNAOFYrJ,https://api.spotify.com/v1/audio-analysis/5QXVGvLX2UpYLUgNAOFYrJ,232943,4,34
0.739,0.447,9,-8.571,0,0.0566,0.877,0.771,0.0802,0.758,90.003,audio_features,1xW8tKllytcong3aKIIbcI,spotify:track:1xW8tKllytcong3aKIIbcI,https://api.spotify.com/v1/tracks/1xW8tKllytcong3aKIIbcI,https://api.spotify.com/v1/audio-analysis/1xW8tKllytcong3aKIIbcI,248627,4,43
0.72,0.682,5,-8.141,1,0.0307,0.768,0.616,0.0974,0.681,99.986,audio_features,2EyYDdomsInVCyIp5afbZC,spotify:track:2EyYDdomsInVCyIp5afbZC,https://api.spotify.com/v1/tracks/2EyYDdomsInVCyIp5afbZC,https://api.spotify.com/v1/audio-analysis/2EyYDdomsInVCyIp5afbZC,329973,4,36
0.734,0.737,7,-8.025,1,0.0273,0.139,0.651,0.0928,0.579,111.988,audio_features,6LOA1tEyiS6oHdwZiJ9rkA,spotify:track:6LOA1tEyiS6oHdwZiJ9rkA,https://api.spotify.com/v1/tracks/6LOA1tEyiS6oHdwZiJ9rkA,https://api.spotify.com/v1/audio-analysis/6LOA1tEyiS6oHdwZiJ9rkA,345040,4,45
