danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.524,0.108,0,-18.361,1,0.0493,0.957,0.00123,0.139,0.322,127.982,audio_features,5i2sgqnzaxYpvXmGAB592h,spotify:track:5i2sgqnzaxYpvXmGAB592h,https://api.spotify.com/v1/tracks/5i2sgqnzaxYpvXmGAB592h,https://api.spotify.com/v1/audio-analysis/5i2sgqnzaxYpvXmGAB592h,253933,4,36
0.32,0.0675,0,-18.277,1,0.0395,0.994,0.918,0.118,0.0784,63.286,audio_features,58ySxQtOOnBnos5xr5R9hc,spotify:track:58ySxQtOOnBnos5xr5R9hc,https://api.spotify.com/v1/tracks/58ySxQtOOnBnos5xr5R9hc,https://api.spotify.com/v1/audio-analysis/58ySxQtOOnBnos5xr5R9hc,265040,4,54
0.767,0.258,9,-18.331,0,0.0471,0.919,0.83,0.107,0.643,120.012,audio_features,6KjKbWznK5HfNiC1vpeMtG,spotify:track:6KjKbWznK5HfNiC1vpeMtG,https://api.spotify.com/v1/tracks/6KjKbWznK5HfNiC1vpeMtG,https://api.spotify.com/v1/audio-analysis/6KjKbWznK5HfNiC1vpeMtG,278307,4,55
0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,audio_features,0F845nujLVqCb0XMZCh5Pc,spotify:track:0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/tracks/0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/audio-analysis/0F845nujLVqCb0XMZCh5Pc,201440,4,63
0.404,0.0722,5,-17.763,1,0.0421,0.905,0.372,0.122,0.225,70.094,audio_features,1EzGtQRzHlP3xNvzNalgvZ,spotify:track:1EzGtQRzHlP3xNvzNalgvZ,https://api.spotify.com/v1/tracks/1EzGtQRzHlP3xNvzNalgvZ,https://api.spotify.com/v1/audio-analysis/1EzGtQRzHlP3xNvzNalgvZ,240040,4,53
0.367,0.337,8,-6.785,1,0.0269,0.762,0.498,0.0899,0.419,107.802,audio_features,3sUOaOeKGEXee4AR6ri1CE,spotify:track:3sUOaOeKGEXee4AR6ri1CE,https://api.spotify.com/v1/tracks/3sUOaOeKGEXee4AR6ri1CE,https://api.spotify.com/v1/audio-analysis/3sUOaOeKGEXee4AR6ri1CE,158973,3,17
0.564,0.28,11,-16.137,0,0.0361,0.918,0.047,0.683,0.285,111.28,audio_features,4OYOCRaALWPVbC2IvcXgqc,spotify:track:4OYOCRaALWPVbC2IvcXgqc,https://api.spotify.com/v1/tracks/4OYOCRaALWPVbC2IvcXgqc,https://api.spotify.com/v1/audio-analysis/4OYOCRaALWPVbC2IvcXgqc,333173,4,61
0.286,0.0899,10,-20.082,0,0.0399,0.949,0.000521,0.0819,0.222,50.803,audio_features,3VS1qUm62nDLZJtxd0V2bb,spotify:track:3VS1qUm62nDLZJtxd0V2bb,https://api.spotify.com/v1/tracks/3VS1qUm62nDLZJtxd0V2bb,https://api.spotify.com/v1/audio-analysis/3VS1qUm62nDLZJtxd0V2bb,200933,4,52
0.35,0.246,0,-10.664,1,0.0315,0.852,0,0.254,0.415,74.532,audio_features,5I5P7jP67nMZZRtVRl0uEX,spotify:track:5I5P7jP67nMZZRtVRl0uEX,https://api.spotify.com/v1/tracks/5I5P7jP67nMZZRtVRl0uEX,https://api.spotify.com/v1/audio-analysis/5I5P7jP67nMZZRtVRl0uEX,196333,3,17
0.328,0.0421,6,-22.933,1,0.0426,0.993,0.525,0.0964,0.179,52.793,audio_features,4YhDhdIh1YYVmNUvnYjoRy,spotify:track:4YhDhdIh1YYVmNUvnYjoRy,https://api.spotify.com/v1/tracks/4YhDhdIh1YYVmNUvnYjoRy,https://api.spotify.com/v1/audio-analysis/4YhDhdIh1YYVmNUvnYjoRy,323227,4,52
